date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,24270,4933.0,-405967,-1143,26281,33802,0,6398.0,0.0,-6400,7271,,7500,883,,3395,-5257,117434,,,56422,,,8663,42647,0.0,5210,5416.0,629348,2013年03月31日,-405967,216981,216981,0,120859,201497,5116,,,10419.0,51.0,2.0,12965.0,629348,,,,1685,,121742.0,0,,0.0,,338723.0,,1323.0,,67815,,0.0,883,137226,10564,,0
2013-08-09,2,2013,,20831,4933.0,-439579,-1143,26281,45060,0,7536.0,0.0,-1536,14878,,7500,800,,4234,-393,107820,,,48507,,,15623,41063,0.0,36,6439.0,629348,2013年06月30日,-439579,188939,188939,0,136286,195746,4759,,,13107.0,51.0,,9899.0,629348,,,,2268,,138581.0,706,706.0,0.0,,327520.0,0.0,1593.0,,64297,,1495.0,2295,131774,17091,,0
2013-11-12,3,2013,,19507,4933.0,-492510,-1143,26281,37839,0,9071.0,,1876,17088,,4500,706,,3945,3019,90885,,,60727,,,22553,37570,0.0,1528,6636.0,629348,2013年09月30日,-492510,139420,139420,0,146615,167215,4414,,,8752.0,51.0,,6495.0,629348,,,,1862,,147321.0,706,706.0,0.0,,286741.0,,1816.0,,53810,,0.0,706,119526,13093,,0
2014-03-10,4,2013,,16424,4933.0,-538554,2068,29386,36990,16701,6204.0,,8713,12170,,0,0,,5225,6645,63053,,,44804,,,21104,26399,0.0,508,7625.0,629348,2013年12月31日,-538554,100213,100213,0,133737,117667,4163,,,8892.0,52.0,,0.0,629348,,,,1916,,133737.0,706,706.0,0.0,,233950.0,,1751.0,,48527,,0.0,0,116283,10860,,0
2014-05-13,1,2014,,15501,4933.0,-580859,1522,28840,21828,20320,6411.0,,10501,46197,,0,0,,2958,8979,61722,,0.0,32788,,,7098,6539,,829,8357.0,652548,2014年03月31日,-580859,82896,82896,0,129057,98948,3694,,10174.0,,0.0,0.0,0.0,652548,,,,826,,129057.0,706,706.0,,,211953.0,,2168.0,,48722,,,0,113005,11105,,0
2014-08-13,2,2014,1495.0,12112,4933.0,-608566,-4430,20888,22906,34307,5284.0,,-201,44896,6651.0,2260,0,0.0,2906,4229,59915,,0.0,41675,12295.0,12295.0,21426,26645,,0,7096.0,652548,2014年06月30日,-608566,44487,44487,0,178111,123442,3304,,7965.0,,0.0,0.0,0.0,652548,,,,606,,178111.0,706,706.0,,,222598.0,,2088.0,,47917,0.0,0.0,0,99156,19285,36750.0,0
2014-11-14,3,2014,0.0,9925,3813.0,-626832,-4430,19388,19863,49162,3339.0,,-4946,37451,3868.0,1787,0,0.0,2383,-516,54015,,0.0,40430,21662.0,21662.0,18460,26995,3365.0,0,0.0,652548,2014年09月30日,-626832,20770,20770,0,189893,125992,3023,,14092.0,,0.0,0.0,0.0,652548,,,,2865,,189893.0,0,0.0,,,210663.0,,1768.0,,46139,,,0,84671,20631,33583.0,0
2015-03-31,4,2014,,8449,3813.0,-800012,-7138,10524,33465,22089,31.0,,-8371,31692,,1805,188,,2141,-1233,71801,,0.0,47412,,6814.0,6127,11241,,589,0.0,852548,2014年12月31日,-800012,44165,44165,0,150348,144883,2821,,40274.0,,0.0,,,852548,,,,2749,,150536.0,0,0.0,0.0,,194701.0,,0.0,,22070,,,188,49818,19142,,0
2015-05-13,1,2015,,7384,3813.0,-809010,-7137,4656,49910,5145,117.0,,-20256,26559,,1446,187,,2097,-13119,91378,,0.0,33193,,13181.0,7103,9192,,0,0.0,852548,2015年03月31日,-809010,23282,23282,0,137999,123696,2650,,,13347.0,,,,852548,,,161468.0,2908,138186.0,,0,0.0,,161468.0,,,0.0,,17172,,,187,37772,8216,,0
2015-08-13,2,2015,0.0,7780,0.0,-873508,-3687,296,44483,15403,14.0,,-14793,24266,673.0,1143,184,184.0,1393,-11106,85183,,,27467,0.0,0.0,5043,4866,,0,0.0,907548,2015年06月30日,-873508,19247,19247,0,119154,121512,2482,,,25569.0,,,,907548,,,138585.0,2492,119338.0,,0,0.0,,138585.0,,,0.0,,5122,,,184,17073,4737,23593.0,0
