date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付土地房屋款,應付帳款合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款,應收帳款淨額,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,577491,1394043,580242,1136605,17080,64624,8054,52070,19913,5121,596487,18996,24347,79926,39282,0.0,923076.0,41001,2524,974058,923076.0,50982.0,1299988,,4500.0,140127,299988,121733,0,24614,27811,2025,3197,38925.0,1146447,113574,2087250,2013年03月31日,368092,,,2315950,2313881,33749000,396328,1739004,1496107,,,372185,,130136.0,44545.0,471500,2087250,,,2468184.0,384893,,4784134.0,300737,219254,219254,14439,430000,27934,27934,2069,729180,3288027,0.0,8824.0,0
2013-08-08,2,2013,533955,1420501,546657,952282,18266,246585,182963,58865,60980,7524,540357,6402,23117,80135,37382,0.0,,41001,2598,1027828,,,1299988,,,103592,276862,99722,4757,8331,11528,1591,3197,39134.0,1267419,116701,2087250,2013年06月30日,171182,,,2168408,2165710,33749000,408915,1751706,1453282,,,372185,,102445.0,13088.0,471500,2087250,,,2687959.0,418642,,4856367.0,207527,219118,219118,14425,637000,27135,27135,2698,936253,3403085,0.0,7649.0,0
2013-11-07,3,2013,554753,1420707,542659,972504,17602,68917,8752,58148,47290,8311,655005,100252,32475,80347,59814,0.0,,41001,2618,1149247,,,1299988,,,170671,329914,101081,2017,13532,16729,3768,3197,39346.0,1362730,118826,2087250,2013年09月30日,191404,,,2186719,2186719,33749000,408915,2040158,1644086,,,372185,,107292.0,3070.0,711500,2087250,,,2976487.0,418642,,5163206.0,269683,218982,218982,14384,637000,26336,26336,0,936329,3519120,0.0,30860.0,0
2014-03-14,4,2013,564311,1428161,507096,991413,18285,67289,7858,52164,56894,19267,584742,20431,28394,81421,28164,0.0,,41298,2628,1222600,,,1299988,,,108520,344930,57224,7267,3406,6603,192,3197,40123.0,1267036,129293,2087250,2013年12月31日,210313,,,2216584,2216584,33749000,408915,1887370,1798954,,,372185,,110711.0,13165.0,711500,2087250,,,2956637.0,418642,,5173221.0,355275,218846,218846,14517,769000,25536,25536,0,1069267,3374267,0.0,0.0,0
2014-05-12,1,2014,469631,1419978,507096,1049411,24313,62449,8416,48618,67536,15921,490179,20548,27899,82495,148410,,,42164,2628,1192719,,,1299988,0.0,0.0,138239,344973,49190,5415,9937,13134,978,3197,40331.0,1265484,125142,2087250,2014年03月31日,268311,,,2271236,2271236,33749000,408915,1787327,1648200,,,372185,105155.0,,20797.0,681500,2087250,,,2857532.0,418642,,5128768.0,216466,218710,218710,14458,769000,24737,24737,0,1070205,3480568,121045.0,0.0,0
2014-08-08,2,2014,749851,1417960,507096,964996,25408,181509,130770,49987,58911,26479,756124,6273,23173,83267,26640,,,42725,2562,1026102,,,1299988,0.0,,108481,344856,51533,752,4234,7431,1452,3197,40542.0,1688862,135596,2087250,2014年06月30日,173904,,,2221004,2221004,33749000,418907,2208666,1502868,,,372185,89449.0,,14663.0,751500,2087250,,,3072507.0,442267,,5293511.0,270942,218574,218574,14489,562000,23938,23938,0,863841,3790643,,140.0,0
2014-11-11,3,2014,699851,1412708,470852,988647,21472,81599,7807,53327,58441,24447,781236,81385,33754,83941,43687,,,43118,2542,1105004,,,1291515,0.0,,168538,344894,51452,20465,3429,6626,1286,3197,40823.0,1686860,136342,2087250,2014年09月30日,197555,,,2251687,2251687,33529000,418907,2294607,1643821,,,372185,98765.0,,6388.0,860500,2087250,,,3156986.0,442858,,5408673.0,318473,218438,218438,14403,560000,23138,23138,0,862379,3764852,,18007.0,0
2015-03-12,4,2014,1062851,1424348,461857,1012878,21313,63225,8410,52702,49757,23285,1066996,4145,23320,87677,24950,,,43168,2611,1038060,,,1291400,0.0,,99844,344958,46597,2113,4597,7794,426,3197,44509.0,1757933,132734,2087250,2014年12月31日,221786,,,2274881,2274881,33526000,418907,2207341,1531636,,,372185,99767.0,,15221.0,570500,2087250,,,3073320.0,442868,,5348201.0,291199,218302,218302,14743,560000,22339,22339,0,865979,3816565,,,0
2015-05-11,1,2015,1482851,1413042,461554,1032003,26765,55664,7611,47143,41080,27649,1510979,28128,25094,88133,25551,,,43218,2592,1063329,,,1291284,0.0,,117094,344994,57439,910,4451,7648,1394,3197,,1756464,137085,2087250,2015年03月31日,240911,22103.0,,2298493,2298493,33523000,418907,2613773,1509980,44915.0,,372185,,105482.0,,505500,2087250,5318566.0,3020073.0,,442875,5318566.0,,239188,218167,218167,14890,100000,21540,21540,0,406300,3808586,0.0,1419.0,0
2015-08-12,2,2015,600000,1404093,461554,906670,15030,178330,130222,47166,34517,4480,606615,6615,30230,88318,24793,,,43218,2592,1039938,,,1283541,0.0,,86326,344988,60412,942,3436,6633,1531,3197,,2023593,123780,2087250,2015年06月30日,98527,14287.0,,2181836,2181836,33322000,435958,2096958,1432360,45100.0,,372185,,87956.0,,806000,2087250,5485143.0,3303307.0,,466977,5485143.0,,216525,218031,218031,14970,900000,20741,20741,0,1206349,4052783,,1460.0,0
