date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付票據,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據,應付票據合計,應付租賃款－流動,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,現金流量避險中屬有效避險部分之避險工具利益（損失）－採用權益法之子公司,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2014-11-13,1,2013,30193,1557503,-692199,,8765.0,8765,58540,23000,58540.0,3719.0,,-5865,40796,10603,38533,9691,28842,0.0,97704,111203,3973.0,3973,-5865,-5865.0,3101,1036,61114,61114.0,0.0,,,,,153246,200587.0,204306,0.0,0.0,,349924,0.0,,49368,,,94603.0,1491704,2013年03月31日,-692199,904254,808894,0,948789,584888,,,,42391.0,,,468901,1491704,,,,1358105.0,15254,,12,15242.0,15242,,2262359.0,67351,67351.0,,244261,43734,95360,409316,1677471,57185.0,43558,5275,,0
2014-11-13,2,2013,30193,1551340,-706365,,8765.0,8765,61694,45800,61042.0,1525.0,,2983,45342,15149,34748,6712,28036,0.0,100959,198362,3901.0,3901,2983,2983.0,6292,1102,51596,51596.0,0.0,,,,,175178,181976.0,183501,0.0,652.0,,349226,0.0,,37506,,,94667.0,1491704,2013年06月30日,-706365,895537,803576,0,1028729,570821,,,,62777.0,,,517214,1491704,,,,1433751.0,15254,,12,15242.0,15242,,2329288.0,67351,67351.0,,236712,44355,91961,405022,1758467,146062.0,34968,2942,,0
2014-11-13,3,2013,30193,1516899,-790461,,8765.0,8765,87001,66964,87001.0,1176.0,,686,48956,18763,38602,5693,32909,0.0,99774,53301,3702.0,3702,686,686.0,6246,4978,66215,66215.0,0.0,,,,,231784,137786.0,138962,0.0,0.0,,352835,0.0,,34273,,,93528.0,1491704,2013年09月30日,-790461,713226,717183,0,1039467,567302,,,,39291.0,,,465800,1491704,,,,1433041.0,15254,,12,15242.0,15242,,2146267.0,67351,67351.0,,226449,43541,-3957,393574,1578965,0.0,36086,1080,,0
2014-11-13,4,2013,30193,1492620,-807688,,8758.0,8758,78968,113351,78507.0,681.0,,7947,57836,27643,54733,7201,47532,0.0,95167,54508,3612.0,3612,7941,7941.0,6319,4150,89805,89805.0,0.0,,10974.0,,,160158,230718.0,231399,0.0,461.0,,356797,0.0,,41370,,,88848.0,1491704,2013年12月31日,-807688,703367,707217,0,1094612,623512,,,,36022.0,6.0,6.0,452900,1491704,,,,1476031.0,15254,,12,15242.0,15242,,2179398.0,67351,67351.0,6.0,218901,43995,-3850,381419,1555886,,33805,2751,,0
2014-11-13,1,2014,30000,1465009,-815543,,8758.0,8758,68168,107763,67278.0,1440.0,,6670,49124,19124,71235,28418,42817,0.0,93311,54269,3447.0,3447,6538,6538.0,6304,3916,76443,76443.0,0.0,,0.0,0.0,,196425,207227.0,208667,0.0,890.0,335590.0,335590,,35595.0,35595,37.0,37.0,87007.0,1491704,2014年03月31日,-815543,693739,698085,0,1149132,700497,,,144701.0,,132.0,,518985,1491704,,,,1534794.0,15254,,12,15242.0,15242,,2228533.0,67351,67351.0,132.0,225000,43505,-4346,385662,1528036,0.0,36764,3401,,0
2014-11-13,2,2014,30000,1415096,-866042,,8758.0,8758,50530,107843,50291.0,419.0,,-290,41667,11667,24523,3765,20758,0.0,91640,79351,2643.0,2643,-290,-290.0,6132,3862,70055,70055.0,0.0,,11214.0,0.0,,165451,132067.0,132486,0.0,239.0,,284418,0.0,,35354,,,85508.0,1491704,2014年06月30日,-866042,625863,640626,0,981344,480493,,,30614.0,,0.0,,483367,1491704,,,,1357835.0,15254,,12,15242.0,15242,,1983698.0,67351,67351.0,0.0,217500,42401,-14763,376491,1503205,0.0,24315,30445,,0
2014-11-13,3,2014,30000,1437635,-919694,,8758.0,8758,49339,161771,48499.0,1504.0,,7691,38178,8178,38086,3829,34257,0.0,89996,52036,3155.0,3155,7691,7691.0,5984,3936,56956,56956.0,0.0,12256.0,12256.0,0.0,,108175,165812.0,167316,0.0,840.0,,249893,0.0,,30657,,,84012.0,1491704,2014年09月30日,-919694,569564,594955,0,1002695,441177,,,33316.0,,0.0,,477916,1491704,,,,1370042.0,15254,,12,15242.0,15242,,1939606.0,67351,67351.0,0.0,210000,43163,-25391,367347,1498429,0.0,20013,1782,,0
2015-03-30,4,2014,30000,1437238,-942359,,7971.0,7971,53722,131583,53722.0,5178.0,,15832,51639,21639,36662,5563,31099,0.0,84561,56799,3095.0,3095,15832,15832.0,6114,4031,67723,67723.0,0.0,,12463.0,0.0,,145347,137797.0,142975,0.0,0.0,,221979,0.0,,31459,,,78447.0,1491704,2014年12月31日,-942359,554229,580431,0,1012895,419528,,,28432.0,,0.0,0.0,487629,1491704,,,,1367307.0,15254,,12,15242.0,15242,,1921536.0,67351,67351.0,0.0,202500,44213,-26202,354412,1502008,,20810,5460,,0
2015-05-14,1,2015,30000,1407319,-418438,,,7971,360522,174914,,,,13804,39149,9149,131071,14679,116392,,80642,58000,,2923,13804,,6077,4926,55318,,,,0.0,0.0,,130200,,111023,,,,204041,,,33065,,0.0,,958000,2015年03月31日,-418438,545314,568620,0,1180326,595343,74565.0,,,149809.0,0.0,,364518,958000,,2068633.0,1523319.0,,15254,,12,,15242,2068633.0,,67351,,0.0,195000,44825,-23306,342993,1473290,,22039,5326,0.0,0
2015-08-13,2,2015,30000,1370120,-454672,,,7971,83520,122786,,,323.0,10719,42749,12749,115524,3338,112186,26160.0,74544,81017,,2711,10719,,4026,7195,63411,,,,0.0,0.0,120000.0,133827,,95691,,,,209994,,,30701,,,,1218000,2015年06月30日,-454672,794586,817901,0,908254,693127,70518.0,,,247992.0,0.0,,429681,1218000,,2152235.0,1357649.0,,43854,,12,,43842,2152235.0,,67351,,,187500,43860,-23315,449395,1459108,,25182,1091,0.0,0
