date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,4193679,14595239,1281221,1139,295114,,9435,204425,32790,,19023,547576,284587,39403.0,254027,137210,236112,1431163,0,0,,215509,189781,,411871,122810,410366.0,7962867,725578,5358281,2013年03月31日,8920859,,20342528,20342528,0,1138321,1681771,11550159,,3065,4536059,,8020392.0,79408.0,869169,5358281,0.0,,,4378546.0,184583,,24721074.0,2149199,,9072,0,2696775,13170915,254244,217.0,,,0
2013-08-07,2,2013,4193789,12736865,970901,1139,1776238,,11629,205612,48991,,40568,549197,367471,120300.0,308311,137774,238000,1752583,0,0,,333806,216397,,549809,173684,411423.0,7951130,734429,5358281,2013年06月30日,6251133,,18485341,18485341,0,1949673,3555092,11487218,,3756,4536059,,7679512.0,636034.0,543626,5358281,0.0,,,6253591.0,184583,,24738932.0,2149302,,9171,0,2698499,13251714,308532,221.0,,,0
2013-11-06,3,2013,3894415,12975845,740659,1139,1690539,,9317,204714,27651,,28926,550954,902457,653778.0,335065,138478,239666,1922185,0,278438,,306820,301086,,662571,143678,412476.0,7939978,753639,4018711,2013年09月30日,6490113,,17383853,17383853,0,1949673,3584769,10085940,,3318,4536059,,5964882.0,636102.0,534839,4018711,87732.0,,,6197033.0,184583,,23580886.0,2061310,,9013,0,2612264,13494946,335284,219.0,,,0
2014-03-19,4,2013,3906100,13466430,635482,1139,279494,,7141,105407,23769,,16661,547498,1345905,1309884.0,91618,138025,26902,1915851,0,15698,,165325,177303,,322869,85633,409473.0,7928826,701852,4018711,2013年12月31日,7096181,,17775131,17775131,0,1949673,1859569,8353296,,2880,4420576,,5262121.0,608919.0,599813,4018711,4946.0,,,4464867.0,184583,,22239998.0,2057800,,9119,0,2605298,13886702,91840,222.0,,,0
2014-05-09,1,2014,3883776,13530716,874787,1139,307329,,8329,101793,40171,,35175,544646,1503150,,101181,132097,26166,1677455,0,15698,0.0,169477,138254,,359433,83523,412549.0,7917925,723587,4018711,2014年03月31日,7160467,,17835803,17835803,0,1949673,1896305,8299978,,3036,4420576,5144175.0,,626728.0,609400,4018711,4946.0,,,4496788.0,184583,,22332591.0,2055837,,9028,0,2600483,14032613,101403,222.0,1467956.0,,0
2014-08-06,2,2014,6022989,12781095,530514,1139,1754306,,9193,104201,77731,,19548,551454,103070,67752.0,113394,137343,26524,1642723,0,15698,0.0,253973,225538,,510103,119140,414111.0,7907023,738688,4018711,2014年06月30日,6379633,,17088590,17088590,0,1980886,2802770,7718652,,4902,4420576,4758122.0,,38226.0,448050,4018711,4946.0,,,5407873.0,184583,,22496463.0,2053649,,8794,0,2605103,14777811,113611,217.0,,,0
2014-11-05,3,2014,6036044,12976522,541349,1139,804315,,6584,101831,55256,,34089,550037,99908,61925.0,64467,137486,29032,1534260,0,15698,0.0,244004,276838,,652067,162531,412551.0,7896122,515920,4018711,2014年09月30日,6575060,,17281647,17281647,0,1980886,1861416,7195016,,4298,4420576,4183749.0,,50177.0,425880,4018711,4946.0,,,4466800.0,184583,,21748447.0,2055347,,8951,0,2605384,14553431,64689,222.0,,,0
2015-03-24,4,2014,6049884,13042786,863120,1139,551132,,11846,123519,63752,,24021,544620,139627,,51828,138127,25462,1242326,0,15698,0.0,150616,143211,,358881,100429,406493.0,7885221,551680,4018711,2014年12月31日,6641324,,17369599,17369599,0,1980886,1435688,6776557,,3717,4420576,4108178.0,,47281.0,474750,4018711,4946.0,,,4112059.0,184583,,21481658.0,2131751,73833.0,9209,0,2676371,14705101,52058,230.0,104956.0,,0
2015-05-06,1,2015,5997317,13165814,762146,1139,475830,,8446,143377,63573,,45139,543818,189313,,69424,137755,26052,1119366,0,0,0.0,216873,144345,,470390,123069,,7874361,585787,4018711,2015年03月31日,6771252,77104.0,17512485,17512485,0,1980886,1458875,6921347,406063.0,3209,4413676,,4323139.0,,481150,4018711,0.0,21647474.0,4134989.0,,184583,21647474.0,,2132296,75001.0,9065,0,2676114,14726127,69652,228.0,154196.0,,0
2015-08-05,2,2015,5973935,12836664,859676,1139,1049847,,12166,138985,54971,,49931,543227,178235,,48299,137940,24223,1114277,0,0,0.0,252292,207005,,582447,134088,,7863502,612734,4018711,2015年06月30日,6402606,59644.0,17178943,17178943,0,2020382,2117519,7261226,405287.0,2645,4413676,,4460117.0,,493760,4018711,0.0,21971774.0,4792831.0,,184583,21971774.0,,2132085,78358.0,8881,0,2675312,14710548,48524,225.0,145131.0,,0
