date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款項－關係人,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,122352.0,105565.0,227917.0,562383,12335,-157016,,4933,,,-1562,,,961217,163961.0,92243,5799.0,86444.0,,444,189856,,,444.0,856396,4420.0,,,,145609,666.0,10405,353605,9959,,43292,909926,2013年03月31日,-157016.0,,,800647,778874,0,0.0,1555292,1572599,42177,,182207.0,494.0,0.0,433140,909926,,21654,,1657752.0,31946,19143.0,12803.0,,2458399.0,,3761.0,775.0,,13814,35757,66548,,21773,102460,885800,,72481,569339.0,0
2013-08-09,2,2013,123400.0,99031.0,222431.0,568188,6168,-148486,1021.0,4198,,,8713,,,902509,154476.0,99020,5798.0,93222.0,,441,159003,,7692.0,441.0,812905,4420.0,,,,165884,666.0,12135,412570,8865,,43805,909926,2013年06月30日,-148486.0,,,829317,797679,4420,0.0,1502115,1565005,42230,,151934.0,4967.0,0.0,415954,909926,,21647,,1593824.0,31946,19143.0,12803.0,,2423141.0,,0.0,644.0,,18304,38742,51317,,31638,91709,858136,,74869,525602.0,0
2013-11-08,3,2013,0.0,81199.0,81199.0,557874,6168,53518,847.0,4024,,,1060,,,691046,212645.0,98504,13735.0,84769.0,,428,161265,,213.0,428.0,728766,4420.0,,,,150340,0.0,11415,390057,7893,,42970,710652,2013年09月30日,53518.0,,,830181,792756,504000,0.0,1274016,1412767,40624,,118005.0,3895.0,0.0,417320,710652,,21634,,1435605.0,31946,19143.0,12803.0,,2265786.0,,0.0,624.0,,15337,44118,124190,,37425,161589,853019,,64894,397202.0,0
2014-02-27,4,2013,0.0,68394.0,68394.0,554169,6168,72910,535.0,3712,,,13065,,,297497,219484.0,81121,11094.0,70027.0,,471,208322,,12530.0,471.0,413531,0.0,,,,152098,0.0,8092,347757,9780,,42333,710652,2013年12月31日,72910.0,,,891145,829022,0,0.0,904862,1044709,40974,,164608.0,0.0,143.0,447175,710652,,21627,,1049139.0,32395,19592.0,12803.0,,1940284.0,,0.0,743.0,,9069,43609,113110,,62123,144277,895575,,23314,9619.0,0
2014-04-25,1,2014,0.0,57253.0,57253.0,539909,6168,63397,0.0,0,,,10732,,,272127,200747.0,94994,9592.0,85402.0,122998.0,473,186307,27166.0,10732.0,473.0,413913,0.0,,0.0,,152994,0.0,5119,324332,7579,,41750,710652,2014年03月31日,63397.0,,,878975,817176,0,0.0,864706,1020088,39881,156738.0,,0.0,3247.0,434466,710652,,21642,,995130.0,32395,19592.0,12803.0,,1874105.0,,0.0,0.0,,4435,40002,103874,36143.0,61799,130424,854017,,19285,14127.0,0
2014-08-08,2,2014,0.0,54974.0,54974.0,516632,0,64579,-22.0,1770,0.0,,-2184,0.0,0.0,276988,211708.0,122570,10672.0,111898.0,105349.0,412,179440,38959.0,-2162.0,412.0,413168,0.0,10741.0,0.0,,188732,0.0,5731,416789,9684,,41298,910652,2014年06月30日,62236.0,,,1104885,1040368,0,2343.0,774324,1206410,38792,217734.0,,4758.0,1883.0,298115,921393,,21660,,913200.0,56580,,,,2018085.0,,0.0,0.0,,2875,35513,113929,35132.0,64517,138876,811675,,22812,10306.0,0
2014-11-07,3,2014,0.0,51750.0,51750.0,531112,0,79347,,1941,0.0,,16633,,,262738,199425.0,135442,,,,426,155457,,,426.0,434293,0.0,,0.0,,161578,0.0,6861,432374,7335,,41793,921393,2014年09月30日,77004.0,,,1161217,1073953,0,2343.0,748997,1244893,39930,201078.0,,3956.0,540.0,313864,921393,,21680,,886013.0,56580,,,,2047230.0,,0.0,0.0,,3686,34045,111224,,87264,137016,802337,,31890,11563.0,0
2015-03-13,4,2014,,36916.0,36916.0,528324,0,83641,21.0,5636,,,37886,,,251114,202499.0,176788,10770.0,166018.0,,409,139494,,37865.0,409.0,456130,,,0.0,194952.0,157987,,10293,439220,6440,,42378,921393,2014年12月31日,81298.0,,,1185437,1099675,0,2343.0,770148,1401154,41766,286266.0,,2426.0,143.0,348328,921393,,21704,,1012616.0,56755,19767.0,36988.0,,2198053.0,,,0.0,117.0,8028,44820,17375,,85762,242468,796899,,30531,11699.0,0
2015-05-08,1,2015,,,,508460,0,70591,,40184,,,35616,,,235649,,167797,,,,412,168826,,,412.0,460544,,,0.0,195385.0,148464,,5429,416182,13916,,40952,921393,2015年03月31日,,2426.0,4468.0,1168723,1084355,0,,755719,1370998,41108,,236445.0,,,363751,921393,2174973.0,15251,1006250.0,,56755,19767.0,36988.0,2174973.0,,0.0,,,39.0,4096,44590,35387,,84368,250531,803975,,31462,,0
2015-08-07,2,2015,,,,667555,0,16465,,31230,,91841.0,26359,,,133404,,158178,,,,408,169226,,,,479437,1459.0,16421.0,0.0,195817.0,194005,,7032,449305,10355,,44459,921393,2015年06月30日,11201.0,2426.0,4464.0,1118519,1035437,184000,5264.0,833089,1358376,41482,,194837.0,,,404381,937814,2329344.0,15304,1210825.0,,56258,19767.0,36491.0,2329344.0,,0.0,,,20.0,4046,48226,162161,,83082,377736,970968,,30570,,0
