date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,812286,1314041,-1128,17000.0,,169599,93431,-16188,66094,49904,181706,,100057,-15060,558378,,101519,2039,599249,48623,162898,,25750,,831613,2013年03月31日,947819,,2342349,2344209,0,359896,394412,2166819,,32362,6326,,637336.0,55161.0,0.0,831613,,,848340.0,214743,6101,208642,,3190689.0,213054,53415,59168,-1860,453928,1023870,0
2013-08-12,2,2013,859003,1177036,-259,17869.0,,476553,71236,-1295,70424,59756,181286,,107669,-1036,545746,,111175,1871,641213,54744,206807,,26480,,831613,2013年06月30日,774850,,2220136,2222097,0,395860,711217,2315234,,31400,6326,,717863.0,45776.0,5418.0,831613,,,1170421.0,214743,6101,208642,,3390557.0,223506,50771,54412,-1961,459204,1075323,0
2013-11-11,3,2013,894116,1304358,526,18654.0,,236680,78597,-10450,39194,50934,180494,,126808,-10976,614550,,110337,1851,631490,49712,210385,,36007,,831613,2013年09月30日,902172,,2338301,2340264,0,395860,425966,2086296,,29276,6326,,431974.0,37904.0,,831613,,,884957.0,214743,6101,208642,,3223258.0,229860,50755,48637,-1963,458991,1136962,0
2014-03-21,4,2013,1056161,1443665,-535,14304.0,,262535,65037,7131,72708,54329,167273,,92790,7666,651954,,122671,4499,673466,54920,206116,167273.0,36133,,831613,2013年12月31日,1041479,,2495127,2497152,0,395860,510312,2214304,,25864,6326,,494178.0,47899.0,,831613,,,979794.0,214743,6101,208642,,3474921.0,257965,49669,44244,-2025,469482,1260617,0
2014-05-08,1,2014,1039726,1587940,-142,14697.0,,206887,16448,5228,51774,49942,166738,,93999,5370,665404,0.0,128173,2378,710360,44756,230257,,39866,,831613,2014年03月31日,1185754,,2637398,2639524,0,395860,458589,2314540,,27461,6326,582676.0,,69377.0,,831613,,,928492.0,214743,6101,208642,,3565890.0,263604,50298,39561,-2126,469903,1251350,0
2014-08-08,2,2014,1016479,1309672,1654,16492.0,,661668,22004,-16192,43795,64372,166154,,101052,-17846,657789,0.0,119543,5623,744553,53216,228583,,39932,,831613,2014年06月30日,857058,,2337774,2339836,0,446288,897944,2468748,,24071,6326,681739.0,,67315.0,0.0,831613,,,1364772.0,214743,6101,208642,,3702546.0,266724,52264,33950,-2062,466828,1233798,0
2014-11-10,3,2014,1037028,1445297,562,15401.0,,233858,24703,14644,38550,58596,165592,,96783,14082,720289,0.0,121179,5821,717934,66325,249422,,38928,,831613,2014年09月30日,992683,,2504333,2506297,0,446288,463896,2200542,,20837,6326,347872.0,,64488.0,,831613,,,940976.0,214743,6101,208642,,3445309.0,281545,51191,29943,-1964,477080,1244767,0
2015-03-23,4,2014,1249419,1536719,756,,15595.0,317271,38795,51269,53963,94539,185279,,91302,50513,787723,0.0,113188,3992,774709,69746,245382,,37036,,831613,2014年12月31日,1084105,,2632187,2634344,0,446288,573515,2362410,,18722,6326,351516.0,,85101.0,,831613,,,1197050.0,214743,6101,208642,,3829237.0,295438,54753,142818,-2157,623535,1466827,0
2015-05-12,1,2015,1242773,1637769,1659,,16498.0,239543,30625,46681,43502,95760,185096,791.0,93252,45022,847974,0.0,150966,5908,743087,64332,213221,,48065,,831613,2015年03月31日,1185155,98863.0,2730279,2730806,0,446288,538782,2409565,184305.0,19964,6326,,414566.0,,,831613,3887514.0,1157235.0,,214743,6101,208642,3887514.0,,297357,57397,136000,-527,618453,1477949,0
2015-08-08,2,2015,1240869,1407666,2505,,17287.0,580863,35657,23127,46586,63708,183906,0.0,94688,20622,885753,0.0,140993,4790,745436,67192,223243,,60639,,831613,2015年06月30日,902527,59707.0,2476430,2477149,0,498813,832939,2435419,183906.0,22807,6326,,414430.0,,,831613,3928021.0,1451591.0,,214743,6101,208642,3928021.0,,298746,56312,136000,-719,618652,1492602,0
