date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動資產合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,1640409,317373,243714,306559,100,55854,,4020,243714,452355,417241,96462,0.0,,,39907,55481,108851,5392,3785140,1699791,2013年03月31日,145972,,3274784,2752878,0,171401,633610,744764,760,,79855.0,13.0,30000,1699791,,,2992851.0,492000,12000,480000,,6267635.0,152794,1942000,521906,2359241,5522871,87293,0
2013-08-07,2,2013,1634155,361178,241501,304346,100,62374,,10730,241501,458396,643211,97618,,,,59875,66709,117965,3986,3759041,1699791,2013年06月30日,180626,,3331806,2794470,0,180552,647365,984748,720,,331197.0,11.0,0,1699791,,,3144576.0,492000,12000,480000,,6476382.0,151437,1854000,537336,2497211,5491634,65087,0
2013-11-06,3,2013,1627800,427220,241501,304346,100,65969,,7497,241501,454150,641891,93639,,,,59896,63254,112670,3191,3736361,1699791,2013年09月30日,246668,,3411271,2860512,0,180552,643269,1003851,680,,309898.0,,0,1699791,,,3051160.0,492000,12000,480000,,6462431.0,225702,1766000,550759,2407891,5458580,40547,0
2014-03-25,4,2013,1901543,465813,216600,279445,100,84703,,12870,216600,664442,641985,103577,,,,29893,72970,97706,6519,3725966,1699791,2013年12月31日,285261,,3434803,2874204,0,180552,857008,969200,1410,,320556.0,,5000,1699791,,,3266993.0,492000,12000,480000,,6701796.0,235715,1768000,560599,2409985,5732596,16389,0
2014-05-07,1,2014,1920930,516330,224347,287192,100,58610,,12966,224347,440794,659014,328453,,0.0,,29893,33997,101075,5221,3703238,1699791,2014年03月31日,335778,,3507106,2932468,0,180552,633325,706114,1610,102685.0,,31.0,70000,1699791,,,3153339.0,492000,12000,480000,,6660445.0,110216,1861000,574638,2520014,5954331,86759,0
2014-08-07,2,2014,2095230,593835,162094,224939,100,63358,,8082,162094,442992,658688,337393,,0.0,,44845,44893,105831,3968,3676255,1699791,2014年06月30日,394924,,3538513,2947720,0,198911,606123,562919,1499,110653.0,,35.0,10000,1699791,,,3134883.0,492000,12000,480000,,6673396.0,45190,1870072,590793,2528760,6110477,64256,0
2014-11-07,3,2014,2317322,655477,135533,198378,100,73391,,16666,135533,508756,657299,327339,,0.0,13.0,74850,46793,107887,4066,3653662,1699791,2014年09月30日,456566,,3587561,2982801,0,198911,713857,533048,1389,90688.0,,54.0,10000,1699791,,,3245299.0,492000,12000,480000,,6832860.0,75305,1874143,604760,2531442,6299812,40058,0
2015-03-25,4,2014,1529056,694901,146047,208891,100,100329,163455.0,9877,146047,525817,657432,331034,,0.0,8.0,74820,46721,96898,10673,4557137,1699791,2014年12月31日,495990,,3650543,3032739,0,198911,929535,560530,1278,119564.0,,8385.0,10000,1699791,,,3328592.0,492000,12000,480000,,6979135.0,92205,1741625,617804,2399057,6418605,22422,0
2015-05-07,1,2015,1527647,732760,136916,199760,100,64159,172507.0,7112,136916,535290,655871,337892,,0.0,20.0,74852,41157,103325,2288,4528380,1699791,2015年03月31日,533849,8385.0,3688857,3061467,0,198911,906370,592912,1167,,94284.0,,10000,1699791,6988098.0,3299241.0,,492000,12000,480000,6988098.0,,98283,1737000,627390,2392871,6395186,87860,0
2015-08-07,2,2015,1555148,775944,115612,178457,100,68606,163455.0,10022,115612,529587,659061,328578,,0.0,15.0,149634,41925,94462,4870,4499888,1699791,2015年06月30日,554390,0.0,3721445,3083347,0,221554,963222,591069,1320,,136058.0,,10000,1699791,6976103.0,3254658.0,,492000,12000,480000,6976103.0,,101301,1632375,638098,2291436,6385034,65899,0
