date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款項－關係人,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,國外營運機構財務報表換算之兌換差額合計,土地淨額,在製品,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,確定福利計畫再衡量數總額,約當現金,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,1567100,10258668,9114,-155365,-59746,,64279.0,75697,68075,542208,3044,447,274063,1655804,88704,221934,104385,3106849.0,1409899.0,117549,24718.0,503690,13594,805852,,265944,174093,333809,459354.0,559711,69844,1075030,1075030,2389,36908.0,,,,1843047,,179812.0,,332,3488279,3420204,,4816,490096.0,3530760.0,2422086.0,1037030,5717934,2013年03月31日,-519361,13401379.0,5865853.0,9269066,9168439,2800000,363996,5227499,5658809,,0.0,,778617.0,1003252,,,1696950.0,1108674.0,7535526.0,309040.0,8967.0,5717934,341226,,,8623896.0,3368715,33638,11607,173563,,3149907,,,17892962.0,402195.0,93155.0,,16791,17288.0,8321.0,171517,47792,,776228,,2721190,64707,100627,3396397,12234153,76691,380639,0
2013-08-13,2,2013,1377509.0,1377509,10316518,9114,28548,-65197,60990.0,60990.0,72469,70277,680975,3062,417,293442,1420481,42972,233239,115370,,1358000.0,117869,0.0,515256,19072,632932,264894.0,264894,188635,358639,459354.0,649200,59383,1142260,1142260,2929,62173.0,,,1915699.0,1915699,129925.0,129925.0,1256.0,1256,3771108,3700831,4286.0,4286,496184.0,,2419556.0,1044063,5717934,2013年06月30日,-50408,,5982069.0,9451302,9346466,5475000,78956,5496350,6292722,,0.0,,1022698.0,1344952,,,,,,,,5717934,304425,,,8965124.0,3368715,33638,11607,173563,3149907.0,3149907,,,18416426.0,,89643.0,,21114,,7896.0,171517,48608,1344952.0,1019769,2782001.0,2782001,64873,104836,3468774,12123704,106887,243782,0
2013-11-12,3,2013,,1282548,10347980,9114,91689,-65772,,60691.0,70185,79621,874003,3018,436,273749,1343717,61169,240108,129771,,1345479.0,110337,0.0,560136,18825,688724,,275514,206247,339521,459354.0,660809,59471,1142432,1142432,2887,36908.0,,,,2014249,,0.0,,0,3824567,3744946,,21117,541311.0,,2381607.0,1039457,5691184,2013年09月30日,12733,,6068255.0,9490688,9383336,2800000,78956,5349593,6428996,,0.0,,1138092.0,1114606,,,,,,,,5691184,275376,,,9142869.0,3363622,33638,13092,166985,3149907.0,3149907,,,18633557.0,,86051.0,,11565,,7234.0,171517,49101,,1135205,,3061623,63768,107352,3793276,12204561,69609,289971,0
2014-03-18,4,2013,1195273.0,1195273,10259383,9114,73043,-59175,,66072.0,71984,81929,892158,3042,467,318683,1229923,34650,168052,73629,,,94423,0.0,557127,23498,696059,,273017,192251,377858,,522234,63203,1004327,1004327,1495,36908.0,,,,1737999,,0.0,,51,3552166,3470237,,3142,533629.0,,,1028955,5691184,2013年12月31日,-5913,,,9508412,9408106,2800000,78956,4842437,5951399,,0.0,,1157785.0,979264,,224179.0,,,,,,5691184,289842,,,8543860.0,3362104,33638,13092,165467,3149907.0,3149907,,,18052272.0,,,,22311,,,178803,35378,,932111,,2965493,64311,100306,3701423,12100873,59006,295528,0
2014-05-08,1,2014,1082706.0,1082706,10085730,9114,15643,-53816,,66969.0,75505,83468,680839,3110,280,349513,1112393,29687,142812,57777,,,85035,0.0,529650,23020,676817,,271958,203470,403329,,617950,56344,1104114,1104114,1801,36908.0,0.0,,,1521339,,199697.0,,0,3199323,3115855,,5416,506630.0,,,1029073,5691184,2014年03月31日,-63313,,,9486130,9386443,2800000,78956,4676604,5700513,,,1153301.0,,1159226,,214118.0,,,,,,5691184,282694,,,8126407.0,3367011,33638,13092,170374,3149907.0,3149907,,,17612537.0,,,,18813,,,178803,35785,,937382,,2741350,64647,99687,3449803,11912024,92953,283868,0
2014-08-07,2,2014,880322.0,880322,9801998,9114,93099,-48087,,68464.0,82447,83870,1062416,3048,9622,304287,903664,23342,137062,77529,,,59533,0.0,533444,22537,901959,,273984,228565,352374,,586183,57096,1118837,1118837,2585,36908.0,0.0,,,1874831,,149800.0,,0,3959247,3875377,,2077,510907.0,,,1015537,5691184,2014年06月30日,20056,,,9291780,9192146,2800000,73043,5349878,6242687,,,915517.0,,1356119,,134124.0,,,,,,5691184,304089,,,8798264.0,3140484,33638,13092,170374,2923380.0,2923380,,,18090044.0,,,,20786,,,178683,36302,,778808,,2736259,62858,99634,3448386,11847357,94945,508021,0
2014-11-06,3,2014,374762.0,374762,9730132,9114,313836,-67690,,59794.0,73926,93934,806835,3105,268,333938,407731,32969,124235,61653,,,62582,,537224,22052,907397,,271485,195828,401628,,681109,57096,1133081,1133081,2464,36908.0,0.0,,,2157260,,,,500,4464716,4370782,,2640,515172.0,,,1013835,5691184,2014年09月30日,240793,,,9531260,9438174,2800000,73043,4616980,6708413,,,881776.0,,1241549,,136889.0,,,,,,5691184,256144,,,8950056.0,3136124,33638,13092,166014,2923380.0,2923380,,,18481316.0,,,,31870,,,181952,38499,,742423,,3613900,63521,93086,4333076,11772903,103967,515295,0
2015-03-20,4,2014,682473.0,682473,9704188,56063,561492,-62383,,62485.0,75371,102452,810684,3230,622,458344,711566,29093,148864,83923,,,64941,0.0,564137,24087,739162,,227661,191782,520727,,558560,57159,987645,987645,2036,0.0,0.0,,,2150431,,0.0,,51,4527164,4424712,,22585,540050.0,,,1022709,5663184,2014年12月31日,488449,,,9901463,9802678,0,73043,4747134,7002853,,0.0,1241265.0,,1071172,,173826.0,,,,,,5663184,237303,,,8735714.0,3119658,33638,4184,158456,2923380.0,2923380,,,18637177.0,,,,24088,,,188920,36831,,1065403,,3235523,65919,98785,3988580,11634324,90587,388423,0
2015-05-07,1,2015,669673.0,669673,9461668,56063,710532,-60943,,0.0,139045,101395,701955,3195,288,419248,697748,28075,120540,47750,,,72790,,565910,24168,858904,,225663,198748,480191,,529030,57167,966809,966809,2145,0.0,,,,1892306,,0.0,,0,4141515,4040120,,4749,,,,1032487,5663184,2015年03月31日,637489,,,10006996,9914658,0,73043,4267092,6497584,541742.0,,,1213379.0,971888,,217678.0,,,,,,5663184,239031,18072676.0,8065680.0,,3121694,33638,4184,160492,2923380.0,2923380,,18072676.0,,,,,22834,,,175502,26925,,993556,,3057176,64420,92338,3798588,11575092,128865,511654,0
2015-08-06,2,2015,924028.0,924028,8900500,56063,269398,-74039,,0.0,138684,101320,1356947,3150,12717,383213,958098,34070,738291,673255,,,65036,0.0,567097,23509,1154012,,223943,205964,457252,,575810,57167,1086253,1086253,2103,28437.0,0.0,,,1959711,,0.0,,2499,3682994,3581674,,40401,,,,1018671,5663184,2015年06月30日,147510,,,9489767,9401298,2363000,121888,5454505,7141096,543588.0,,,1494777.0,1174100,,184089.0,,,,,,5663184,304479,18444064.0,8954297.0,,3113940,33638,4184,152738,2923380.0,2923380,,18444064.0,,,,,31663,,,175502,35038,,1308585,,2757193,63293,88469,3499792,11302968,155320,809609,0
