date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-07,1,2014,4663447,2231521,,44440,618293,52271,67863,203144,203144.0,129704,15271,15271.0,438759,120995.0,516144,0.0,188948.0,0.0,948447,,4583.0,874983,,12887,,121698,476922,1512784,2014年03月31日,1302099,,8286825,8278077,0,739962,1848006,4302566,,542931.0,189460.0,1984698.0,,27563.0,24300.0,1512834,2286.0,,19390,58138,,1922213.0,4465859,,10209038.0,0.0,798,161206,8748,74207,5906472,317764.0,50.0,3
2013-05-13,1,2013,5752190,4324015,,38564,1014829,88306,-32813,215793,215793.0,226968,16738,16738.0,474930,114936.0,802047,0.0,,,1232136,,3596.0,1481653,,16238,,75893,590341,1512454,2013年03月31日,3552051,,10286843,10269809,0,739962,2633914,5991806,,150000.0,32002.0,,3226594.0,124909.0,28500.0,1512454,,,13943,60120,,2716696.0,4466153,,13003539.0,208.0,5924,79815,17034,82782,7011733,359994.0,0.0,0
2013-08-13,2,2013,5443486,4048944,,37889,951740,179949,20518,270762,270762.0,90895,16435,16435.0,829912,122453.0,779009,0.0,204026.0,,1025181,,3818.0,976516,,60847,,74879,582183,1512454,2013年06月30日,3119522,,10063599,10048757,0,739962,2469084,5488627,,189899.0,189460.0,,3007486.0,137345.0,34000.0,1513142,38301.0,,7776,60002,,2552063.0,4466153,,12615662.0,161.0,6542,158686,14842,82979,7127035,707459.0,688.0,30
2013-11-12,3,2013,5371068,3751556,,44797,915454,77446,-34625,206282,206282.0,176370,16415,16415.0,859137,122141.0,760726,,196511.0,,1123438,,3580.0,1389036,,263,,72366,524653,1512454,2013年09月30日,2822134,,9708285,9695338,0,739962,2351085,5163074,,88888.0,189460.0,,2473834.0,48992.0,29600.0,1513210,8253.0,,15486,57809,,2429900.0,4465197,,12138185.0,0.0,4591,103090,12947,78815,6975111,736996.0,756.0,33
2014-03-26,4,2013,4808266,2443505,,46390,769083,69335,19868,197664,,124661,13447,,483090,,460544,,192350.0,,662651,,3982.0,768828,,76077,,71494,494693,1512784,2013年12月31日,1514083,,8452862,8442016,0,739962,1702027,4163750,,0.0,189460.0,,2471955.0,27563.0,25600.0,1512784,12632.0,,2852,58216,,1779849.0,4465859,,10232711.0,0.0,6159,165028,10846,77822,6068961,,0.0,0
2014-08-13,2,2014,4366584,2014277,,43660,590216,70152,-12458,132391,132391.0,145468,15303,15303.0,370902,118288.0,422257,0.0,154806.0,0.0,754543,141736.0,5132.0,818138,,3693,,204006,499261,1512829,2014年06月30日,1274315,,7987447,7981365,0,739962,1682942,4101507,,724535.0,0.0,1762458.0,,27563.0,25050.0,1512829,434.0,,5877,57711,,1755956.0,4466717,,9743403.0,0.0,0,157483,6082,73014,5641896,252614.0,0.0,0
2014-11-12,3,2014,4517674,1538707,,39272,513769,86679,57959,194087,194087,104103,15365,15365,269088,121057,336309,,147232,0,578912,134240,5022,578663,,26491,,193662,480881,1512829,2014年09月30日,798745,,7579114,7574485,0,739962,1488639,3477103,,744819,0,1452807,,37302,17500,1513249,138,,7669,58296,,1562300,4464570,,9141414,,0,163734,4629,73661,5664311,148031,420,42
2015-03-25,4,2014,3738673,639605,,39175,463733,109362,175796,162138,162138.0,90574,17317,17317.0,254685,180402.0,332284,,150685.0,0.0,877306,,1957.0,803593,,29807,,201485,412864,1513276,2014年12月31日,-100357,,6795229,6793222,0,739962,1591647,3668845,,753357.0,0.0,1399183.0,,60609.0,17500.0,1513276,51.0,,8353,40522,,1659669.0,4464545,,8454898.0,,10183,139171,2007,68022,4786053,74283.0,,0
2015-05-04,1,2015,3511000,406650,,37517,407309,76640,146098,143871,143871.0,102040,16621,16621.0,261820,181131.0,272110,0.0,149747.0,0.0,689416,93074.0,749.0,716341,,3603,,198974,408983,1513276,2015年03月31日,-333312,52269.0,6533250,6530389,0,739962,1412485,3461479,751950.0,,0.0,,1389048.0,,17500.0,1513276,50.0,8012671.0,8247,40291,1479421.0,,4464365,8012671.0,,,10024,132898,2861,66936,4551192,80689.0,0.0,0
2015-08-11,2,2015,3270033,79619,,41035,294167,59602,108546,138584,138584.0,85597,16825,16825.0,245665,176006.0,219058,0.0,113535.0,0.0,416322,133187.0,94.0,467541,,1122,,199258,403786,1513276,2015年06月30日,-660343,48069.0,6178418,6165473,0,739962,1035177,2998274,744947.0,,0.0,,1306872.0,,0.0,1513276,0.0,7275297.0,4754,39951,1096879.0,,4464032,7275297.0,,,4926,117246,12945,61702,4277023,69659.0,0.0,0
