date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,0.0,939668,,3860,531335,16925,,258021,0.0,,118998,624,16684,25910,8673,879,,67429,25394,209,12289,-241,8342,25185,232529,0.0,0.0,,24817,85511,,213457,21621,11993,59087.0,,905919,2013年03月31日,309554,,,1527441,1514543,0,217894,291970,704415,,479,,4980.0,3887,0.0,,214086.0,36734.0,0,,905919,,,408246.0,60605,60605,,1935687.0,48847,3850,12898,116276,1231272,4246,4948,17237,0.0,0
2013-08-12,2,2013,0.0,930385,,3860,373618,-3912,,236847,,,343851,480,-4240,26710,7899,680,,66885,25229,239,13040,-328,8342,24990,238140,,,,23975,81069,,185532,23590,10835,58543.0,,905919,2013年06月30日,129012,,,1347245,1335902,0,241059,498440,762097,,467,,10940.0,3547,,,287547.0,22835.0,0,,905919,,,614973.0,60605,60605,,1962218.0,49648,3333,11343,116533,1200121,4353,5771,18811,,0
2013-11-12,3,2013,0.0,922586,,3860,437217,2638,,243504,,,134805,5854,2050,26790,7936,1644,,66906,49675,24572,12634,-588,8342,25103,241850,,,,30442,98755,0.0,199154,13633,11108,58564.0,,905919,2013年09月30日,192611,,,1417213,1405791,0,241059,342443,652927,,382,,10940.0,3547,,,160480.0,11651.0,40000,,905919,,,459467.0,60605,60605,,1876680.0,50118,3746,11422,117024,1223753,8264,6220,18854,,0
2014-03-14,4,2013,0.0,954706,3853.0,3853,472437,22988,263685.0,263685,,,185581,519,22416,33391,9727,1377,,83140,44937,19128,15765,-572,8342,25809,262498,1873.0,,,32591,104987,,201341,48661,9365,74798.0,,905919,2013年12月31日,227831,,,1474923,1459504,97000,241059,418572,753914,,6453,,4980.0,3547,,,219363.0,22022.0,40000,227831.0,905919,,,561873.0,60605,60605,,2036796.0,60161,9248,15419,143301,1282882,5810,7899,23664,,0
2014-05-13,1,2014,,968611,3853.0,3853,555497,-3362,237335.0,237335,,,116109,955,-3762,29943,10779,1305,,83443,30889,4883,14847,-400,8342,26006,235557,4433.0,,0.0,24487,80365,,202412,4284,15945,75101.0,,905919,2014年03月31日,310891,,,1520819,1513826,96585,241059,286499,694157,,8080,,4980.0,3547,,224598.0,,35595.0,0,,905919,,,430041.0,60605,60605,,1950860.0,60099,7935,6993,143542,1256703,4121,4317,19164,,0
2014-08-12,2,2014,,958120,,3853,400896,-26167,,214530,,,346065,1317,-26578,28711,8725,3323,3323.0,83710,27456,1119,14384,-411,8342,26337,262996,3607.0,,0.0,34801,101052,,200710,24788,9466,75368.0,,905919,2014年06月30日,133194,,,1343394,1332705,78585,264155,534297,802863,,7513,,17889.0,3547,,280285.0,,23668.0,0,,905919,,,678647.0,56075,56075,,2022041.0,60640,7706,10689,144350,1219178,2089,5602,19986,,0
2014-11-11,3,2014,,947147,,3853,450820,-32583,,208114,,,136131,853,-32991,28381,8106,2163,2163.0,83710,45712,19549,13713,-408,8342,26163,284239,2754.0,,0.0,46652,78965,,200255,6482,9349,75368.0,,905919,2014年09月30日,183118,,,1392734,1377069,60000,264155,396546,714148,,6948,,9111.0,3547,,193378.0,,11417.0,95000,,905919,,,541036.0,56075,56075,,1933770.0,60780,7848,15665,144490,1219622,8318,6562,20275,,0
2015-03-16,4,2014,,944409,3853.0,3853,514579,-38161,202536.0,202536,,,180552,1809,-38122,34077,7957,1084,,62694,48563,22974,16650,39,8754,25589,296173,2754.0,,0.0,23750,102849,,221122,34489,9120,53940.0,,905919,2014年12月31日,246877,,,1452216,1435697,60000,264155,407170,772829,,6383,,0.0,3547,,202105.0,,20942.0,45000,246877.0,905919,,,531849.0,56075,56075,,1984065.0,61985,5492,16519,124679,1211236,6927,9470,26120,,0
2015-05-12,1,2015,,940056,3853.0,3853,574683,-41449,199248.0,199248,,,118894,830,-42035,27661,8368,3194,,63853,58013,30572,6145,-586,9288,27441,270128,2754.0,,0.0,27361,78072,,233047,4472,9547,,,905919,2015年03月31日,306981,33027.0,,1507809,1491888,60000,264155,315015,736560,54565.0,5818,0.0,,3547,,,210408.0,,30000,,905919,1948566.0,440757.0,,56075,56075,1948566.0,,61889,5018,15921,125742,1212006,4934,13148,19293,,0
2015-08-12,2,2015,,956811,3853.0,3853,419775,-28820,211877.0,211877,,,327409,8002,-29301,25206,8846,3840,3840.0,64128,60466,32902,9484,-481,9142,27564,270881,2754.0,,0.0,26102,100751,,179487,34570,8075,,,905919,2015年06月30日,129095,19804.0,,1362136,1347902,60000,287133,508272,752092,54986.0,5326,0.0,,3547,,,244900.0,,9000,,905919,1995356.0,633220.0,,54263,54263,1995356.0,,60820,4931,14234,124948,1243264,2337,6876,16360,,0
