date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-03,1,2013,3046645,3694221,48113,178748,178748,103902,19818,52180,8302,42244,13642,28602,60000,996588,7392,92244,2173,9608.0,515,2825,1948644,1948644,0,,343024,98625,,44,,728729,0,,0,988681.0,379798,1202736,3211800,2013年03月31日,2386997,,,7885207,7829447,0,1307224,832816,4762026,,17113,,1780879.0,41915.0,977.0,117471,3211800,,,,1880926.0,903608,,9766133.0,809.0,0.0,51522,217458,7505,55760,1048110,5004107,156651,27246,156651,43878,0,43878
2013-08-07,2,2013,2957883,3738668,46651,333160,219639,57159,35278,48063,5312,46440,11667,34773,60000,1001729,6733,98066,2010,9608.0,515,2835,1916553,1916553,0,,250516,94300,,87,113521.0,1197054,19058,,4443,994481.0,374996,1181445,3211800,2013年06月30日,2416061,,,7937641,7884149,0,1322607,1003308,5099419,,19166,,1685682.0,83283.0,2739.0,193899,3211800,,,,2059984.0,898403,,9997625.0,0.0,0.0,54947,219999,9558,53492,1056676,4898206,170291,33221,170291,42751,0,42751
2013-11-05,3,2013,2889629,3831289,46328,286770,286770,76072,23678,69923,7043,74806,39419,35387,89570,999627,4782,122760,1886,9608.0,515,2859,1959470,1959470,0,,370693,84295,,186,,838131,11512,,411,994330.0,370205,1147325,3211800,2013年09月30日,2508682,,,8024129,7975219,0,1322607,1110292,5371801,,18045,,2318302.0,91358.0,2739.0,207067,3211800,,,,2161803.0,908452,,10185932.0,0.0,0.0,51884,219839,8437,48910,1051511,4814131,90358,28445,90358,62880,0,62880
2014-03-13,4,2013,2836339,3924372,47959,350535,350535,92830,40061,37156,12273,16539,11106,5433,89805,913790,3770,125540,1766,9608.0,515,2850,1817317,1817317,0,,229226,121879,2272.0,170,,1093044,26996,38333.0,1603,909505.0,365412,1045671,3211800,2013年12月31日,2601765,,,8151532,8097469,0,1322607,997434,5482355,,16846,,2324114.0,118112.0,0.0,137498,3211800,,4567.0,,1975953.0,921236,,10127485.0,586.0,27.0,60162,207363,7238,54063,978519,4645130,71552,31119,71552,24883,0,24883
2014-05-07,1,2014,2796221,4090607,47839,229083,229083,67046,37545,42659,7279,107571,52013,55558,90470,920002,3854,108105,1193,9608.0,515,2850,1953144,1953144,0,0.0,374964,115395,3102.0,71,,979682,10230,29209.0,7341,915633.0,360620,965643,3211800,2014年03月31日,2768000,,,8318574,8261188,0,1322607,1067696,5869523,,15899,2595340.0,,167918.0,0.0,134504,3211800,,4547.0,,2051625.0,921236,,10370199.0,0.0,0.0,59380,206349,6291,57386,983929,4500676,119960,13592,119960,35380,0,35380
2014-08-08,2,2014,2760164,3761944,46479,656866,286400,83717,22525,52278,5626,102584,8173,94411,89865,926155,3777,109129,1351,9608.0,515,4826,1989084,1989084,0,0.0,334307,112487,3780.0,6,370466.0,1056236,34123,22523.0,11521,921863.0,355996,838146,3211800,2014年06月30日,2388139,,,7973185,7917505,0,1373805,1396115,6018275,,14961,2558019.0,,97866.0,0.0,138525,3211800,,4516.0,,2382994.0,921236,,10356179.0,0.0,1014.0,56208,213029,5353,55680,986879,4337904,159454,13087,159454,46652,0,46652
2014-11-07,3,2014,2686551,3834577,47613,306594,306594,84327,39580,48885,7035,116741,41719,75022,60000,930537,1924,114815,1233,9608.0,515,4826,1944648,1944648,0,0.0,260913,113575,700.0,17,,934145,14974,5855.0,708,928098.0,352818,791822,3211800,2014年09月30日,2460772,,,8047083,8007193,0,1373805,950811,5771546,,14033,2514296.0,,71982.0,0.0,146338,3211800,,4633.0,,1946958.0,921236,,9994041.0,1807.0,0.0,60977,214843,4425,39890,996147,4222495,155852,48756,155852,41850,0,41850
2015-03-17,4,2014,2664723,3940807,49380,360005,360005,82622,60590,21393,8267,68962,4190,64772,60000,996368,2001,116677,897,0.0,515,2826,1945989,1945989,0,0.0,224240,110884,1199.0,88,,792749,23692,4961.0,765,993852.0,349641,724457,3211800,2014年12月31日,2567002,,,8164510,8134433,0,1373805,977938,6075893,,3501,2999859.0,,108423.0,164.0,151706,3211800,,3626.0,,2038492.0,921236,,10203002.0,0.0,0.0,60560,218730,3501,30077,1060554,4127109,156130,52954,156130,13126,0,13126
2015-05-08,1,2015,2618485,4069067,48825,236294,236294,79113,55983,50366,14667,102354,38170,64184,60000,1002268,1979,106505,1096,0.0,515,3826,1915473,1915473,0,0.0,188445,132792,0.0,415,,639662,11686,5538.0,763,,346462,645372,3211800,2015年03月31日,2695262,150575.0,167.0,8285283,8258086,0,1373805,907809,6271429,999774.0,3015,,3382826.0,,,148787,3211800,10257783.0,3626.0,1972500.0,,921236,10257783.0,,135.0,,58797,217690,3015,27197,1064691,3986354,133847,41583,133847,35699,0,35699
2015-08-07,2,2015,2612259,3812229,47225,637758,267847,75148,47610,19727,6135,42911,7240,35671,96500,1008346,1952,138588,1038,0.0,515,3761,1641245,1641245,0,0.0,202723,118666,6234.0,17,369911.0,847190,21704,6283.0,401,,343285,841735,3211800,2015年06月30日,2394901,81126.0,164.0,8087449,8063723,0,1417328,1224765,6174705,1005879.0,2439,,3491330.0,,,157844,3211800,10381334.0,3221.0,2293885.0,,992084,10381334.0,,670.0,0.0,57553,221098,2439,23726,1069120,4206629,48329,37289,48329,13592,0,13592
