date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-05-15,4,2013,1181765,13751243,2792189,,,6513717,812447,1100251,96610,,1203736,21971,347,347,2480902,,1680,96610,5432875,,,18253024,933216,18370901,193853,85029,2682320,2013年12月31日,2792189,,,5571119,5571119,0,,33184524,29254389,23118,,3220900,412812,5055572,2682320,,,,37752605,,,,,,43323724,,,479,208265,2086700,2480902,0,4568081,14069335,935262,0
2015-02-26,4,2014,1271234,15620447,4127461,,,4029515,703958,1101816,355161,-14393,1288867,17633,23287,23287,2017024,122,7929,369554,4514548,,0,13485919,470432,10115478,205401,29769,2860410,2014年12月31日,4127461,,,7425237,7425237,0,,23302867,22697137,19202,6656416,,271149,3053027,2860410,,,,31231276,82205,11954,69156,1095,,38656513,,11328,61,282029,5911324,2016902,0,7928409,15959376,68863,0
2015-05-11,1,2015,1076688,14992753,3592793,,,2427640,712266,530774,290862,-10228,1122633,45945,3333,3333,1838730,222,8131,295051,4270402,11051,0,10180570,304960,6704662,509932,7737,2860140,2015年03月31日,3592793,179425,,6826270,6826270,0,,17963584,15723051,25042,,3444028,,3036090,2860140,6039,31075349,24249079,,82475,12224,69156,1095,31075349,,0,15410,0,318635,4446765,1838508,,6285495,15352298,233459,0
2015-07-30,2,2015,912034,15186906,3690752,-1815,5813,2879643,1251580,638896,208753,-6157,938587,26553,34,34,1773353,219,8080,216725,5606225,,0,11076583,242763,6655700,1772009,0,3095430,2015年06月30日,3690752,100935,,9138692,9138692,0,,19467588,20029837,21967,,5081206,,2977497,3095430,,35630884,26492192,,2143757,12224,2130438,1095,35630884,,,24509,0,378281,5251251,1773134,,7024604,15601047,251258,0
2015-11-09,3,2015,999378,15866882,4646908,,,4242008,1514475,608038,645271,-3399,1048585,49207,0,0,1827600,0,8744,648670,12179295,,0,23395890,269656,14737097,760774,0,3095040,2015年09月30日,4646908,460240,,10531366,10531366,0,,32291584,34414402,22400,,5798404,,1360730,3095040,,50911973,40380607,,2144147,12614,2130438,1095,50911973,,,0,707,599545,6260716,1827600,,8089023,16497571,330794,0
2016-03-07,4,2015,1998845,15122211,5766830,,,3742196,1939747,587357,464366,-2326,2028194,29349,3014,3014,1757667,0,65712,466692,8248600,,0,17793936,378575,17428451,300433,0,3094566,2015年12月31日,5766830,582749,,11470383,11470383,0,,30153504,33357097,18912,,6354927,,3678654,3094566,,49034948,37564565,,2144621,13088,2130438,1095,49034948,,9453,28252,17,471016,5653377,1757667,,7411061,15677851,406063,0
2016-05-06,1,2016,2015089,14817947,6119884,,,3589746,1476053,548203,283451,-1235,2063579,48490,0,0,1714700,0,58267,284686,7600363,0,0,10832949,549362,8175915,667251,0,3094518,2016年03月31日,6119884,432749,,11642522,11642522,0,,24845911,27407048,16085,,10168114,,5882016,3094518,0,42773238,31130716,,2144669,13136,2130438,1095,42773238,,19457,0,0,473891,4570105,1714700,,6284805,15366190,247202,0
2016-08-10,2,2016,1069841,13738180,5130019,0,0,5747802,1416644,291946,85397,-172,1177628,107787,0,0,83530,33094,215622,85569,6300580,,0,5110871,192440,3763229,558788,0,3094518,2016年06月30日,5130019,161195,25564,10454603,10454603,0,,18373232,17929671,13915,,6835677,,4566652,3094518,,32356927,21902324,,2144669,13137,2130438,1094,32356927,,0,0,0,459539,3445562,50436,,3529092,14427256,153887,0
2016-11-11,3,2016,1087528,13050430,6117215,0,,3891218,1026881,256833,-225911,0,1354619,267091,0,0,64472,30173,202797,-225911,7517837,,0,10281809,1464697,10724267,298061,0,3094398,2016年09月30日,5896075,390095,,11136943,11136943,0,221140,23557188,24572015,11115,,5507677,,5147869,3094398,,38354608,27217665,,2151241,0,2151241,0,38354608,,0,310,0,518251,3596005,34299,,3660477,13782593,267030,0
