date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,按攤銷後成本衡量之金融負債－非流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計減損－以成本衡量之金融資產－非流動,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,避險之衍生金融負債－非流動,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,285599,,,,162062,134006,134006.0,25122,1322,30601,30601,75109,7876.0,25283,25283,7876.0,667188,36083,,,314419,0.0,127.0,510929,0.0,14753.0,4536,,1185079,2013年03月31日,-77108,,1313588,1320879,3000000,227766,583013,1548078,2232,11404,,250441.0,993.0,84360,,1185079,,18212,,,590889.0,8499,,1904477.0,295,,0.0,43285,,,2232,-7291,7876.0,356399,0
2013-08-13,2,2013,0.0,283061,,,,139995,123737,123737.0,43378,7065,26203,26203,46517,7876.0,26796,26796,7876.0,719375,36083,,,429310,0.0,6013.0,581793,0.0,16032.0,1714,,1185079,2013年06月30日,-99175,,1295267,1304555,3000000,227766,706491,1650387,5276,11404,,241578.0,1977.0,103699,,1185079,,15452,,,714367.0,8499,,2009634.0,100,,0.0,44114,,,5276,-9288,7876.0,359247,0
2013-11-12,3,2013,0.0,281755,,,,116595,126304,126304.0,27763,1660,18942,18942,44039,7876.0,27071,27071,7876.0,633315,36083,,,310429,0.0,2958.0,486273,0.0,16237.0,807,,1185079,2013年09月30日,-122575,,1267496,1275750,3000000,227766,581827,1505140,4109,11404,,296615.0,1578.0,106760,,1185079,,14856,,,589703.0,8499,,1857199.0,0,,91.0,39124,,,4109,-8254,7876.0,352059,0
2014-03-26,4,2013,0.0,279707,,,0.0,97766,118908,118908.0,16392,1159,11206,11206,47564,0.0,28632,28632,0.0,521741,36083,,,241229,0.0,26.0,452977,0.0,0.0,1414,,1185079,2013年12月31日,-141404,,1255421,1256420,3000000,227766,480392,1371081,3464,11404,,330993.0,1253.0,89108,,1185079,,17743,,,480392.0,8499,,1735813.0,919,,0.0,52929,,,3464,-999,0.0,364732,0
2014-05-12,1,2014,,277667,,0.0,0.0,90466,109971,109971.0,54935,7379,7057,7057,49770,0.0,30138,30138,0.0,608952,36083,0.0,,314752,,401.0,476394,,0.0,1677,,1185079,2014年03月31日,-148704,,1254042,1255340,3000000,227766,538343,1427201,3080,11404,235473.0,,1203.0,90694,0.0,1185079,,13721,,,538343.0,8499,,1792385.0,544,,,54299,,,3080,-1298,0.0,365184,0
2014-08-12,2,2014,,274003,0.0,,,43485,101662,101662.0,56193,4586,13284,13284,52324,0.0,30056,30056,0.0,623378,36083,0.0,0.0,270155,,0.0,445426,,0.0,936,0.0,1185079,2014年06月30日,-195685,,1203858,1205566,3000000,227766,533591,1378567,2696,11404,200153.0,,1484.0,134835,,1185079,,12171,0.0,,533591.0,8499,,1737449.0,0,0.0,157.0,52127,0.0,0.0,2696,-1708,0.0,358882,0
2014-11-12,3,2014,,270005,,,,31295,99154,,25532,12640,13633,13633,51115,0.0,30538,30538,,561167,36083,0.0,,256098,,0.0,465228,,0.0,845,,1185079,2014年09月30日,-207875,,1199582,1201430,3000000,227766,482437,1325486,2312,11404,221599.0,,278.0,97694,,1185079,,15573,,,482437.0,8499,,1682019.0,7,,0.0,53678,,,2312,-1848,0.0,356533,0
2015-03-24,4,2014,,267860,,,,-26562,97924,97924.0,21965,26510,16456,16456,45530,,29200,29200,,480308,36083,0.0,,199991,,277.0,376258,,,382,,1185079,2014年12月31日,-265732,,1153153,1157443,3000000,227766,393376,1191948,1928,11404,267505.0,,47.0,62421,,1185079,,16231,,,393376.0,8499,,1546529.0,29,,,55593,,,1928,-4290,,354581,0
2015-05-06,1,2015,,262986,,,,-81183,80257,80257.0,33887,23882,30088,30088,51170,,28758,28758,,511214,36083,,,233223,,284.0,322936,,3531.0,605,,1185079,2015年03月31日,-320353,86.0,1100194,1100194,3000000,227766,436497,1172183,1558,11404,,248787.0,,80336,,1185079,1536691.0,12223,,436497.0,,8499,1536691.0,,0,,53.0,71206,,,1558,0,,364508,0
2015-08-13,2,2015,,261362,,,,-139237,86769,86769.0,32312,21405,32174,32174,45056,,28786,28786,,494628,0,,,198673,,0.0,337111,,,279,,1155079,2015年06月30日,-378407,0.0,1045531,1045531,0,227766,434831,1133445,1224,11404,,224059.0,,105176,,1155079,1480362.0,12036,,434831.0,,8284,1480362.0,,3,,0.0,55545,,,1224,0,,346917,0
