date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金總額,股本合計,負債及權益總計,負債總計,資本公積合計,資產總計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2016-03-16,4,2015,0,14797376,6608606,256,,865142,,22609,,24757,6703,6703,332405,25634,115274,57703,534,217,2286752,,367918,265886,1302423,119977,7756966,2015年12月31日,5511113,189693,20129409,20129409,0,1097493,1695342,6993611,306237,0,300000,2787512,7756966,22158032,2028623,5739080,22158032,876,251515,0,,333281,15164421,174338,57354,0
2016-05-06,1,2016,0,14590817,6744099,300,0,501784,,19599,,36751,15844,15844,334602,25635,121104,56325,951,205,2420918,0,416575,197107,1339553,120720,7756966,2016年03月31日,5646606,214372,20276896,20276896,0,1097493,1345682,6996910,308016,0,300000,2615992,7756966,21957180,1680284,5739080,21957180,0,248049,0,0,334602,14960270,180128,64574,0
2016-08-08,2,2016,,14320362,6133548,284,,1347318,1255217,657,1166877,64159,7452,7452,335891,25496,125656,52220,597,205,2390108,,507323,177421,1640776,131619,7756966,2016年06月30日,4908250,68206,19693753,19693753,0,1225298,3362937,8737853,309798,548,300000,2982049,7756966,23392581,3698828,5739080,23392581,0,207878,,,335891,14654728,125767,73231,0
2016-11-04,3,2016,,13842749,6265849,306,,475651,82032,2682,7367,61522,12063,12063,338068,25545,91773,26971,898,205,2229891,,328085,202429,1458067,178571,7756966,2016年09月30日,5040551,96562,19823417,19823417,0,1225298,1196822,7220903,311625,493,0,3205389,7756966,21359339,1535922,5739080,21359339,1032,203115,,,339100,14138436,138936,64597,0
