date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,天然資源淨額,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,3315562,664434,8729008,-3757915,3628836,333592,25795,29887,-3775495,,3343036,1109402,1317863,,505028,,-17580,115042.0,17548065,105200,,,0.0,2432467,16330,679646,3772911,731141,7004,1454481,58470,897115,350417,,2785097,20118413,10236296,2013年03月31日,6644119,,23774776,21147109,4758700,831144,17639135,24332780,31583,43000.0,,1253745,,2284006.0,,128008.0,6195000,10236296,,,,,31830158.0,6062500,881.0,,136626.0,112178.0,5703802.0,,109013.0,,55604934.0,0.0,1181.0,421244,65159,12451916,,,2627667,14191023,31272154,573961,0
2013-08-14,2,2013,3404710,664434,7150383,-9848552,3556981,3656507,51617,579783,-9751345,,3299582,1143616,1336416,,469423,,92232,114782.0,18263458,105200,45378.0,,0.0,2717617,6736,503734,2863961,983265,8600,1623877,390,1054347,558512,,3585715,15011845,10238647,2013年06月30日,4919440,,16189478,13603890,4758700,1169012,21496479,25470847,30184,43000.0,,1061931,,1571595.0,-193.0,24991.0,7425000,10238647,5168.0,6486.0,,,36225480.0,6071405,0.0,,136626.0,113989.0,5713109.0,,107681.0,,52414958.0,0.0,449.0,486786,63037,12905799,,,2585588,14729001,26944111,577825,0
2014-01-23,3,2013,3562424,657814,8618049,-14001622,3859899,672967,18439,30511,-14006045,,2703849,1193250,1342898,,458822,,-3527,114374.0,18642975,105200,,,0.0,2944219,11583,587697,2694069,985069,14675,1395650,307,466619,588967,,4737757,14610428,11794779,2013年09月30日,6387106,,20547393,17653173,4758700,1169012,19189077,25833723,27931,43000.0,,1061931,,3037137.0,-896.0,119949.0,8455000,11794779,,,,,33414906.0,11351590,0.0,,136626.0,123154.0,11014247.0,,77563.0,,53962299.0,0.0,970.0,422354,56127,12460577,,,2894220,14225829,28128576,458898,0
2014-03-18,4,2013,3511262,654854,35701656,-13855408,4215568,990172,118959,20233,-13829883,,2757186,1016607,1333406,,593315,,26471,,19983819,105200,,,0.0,3001782,14169,678970,3428474,1284751,15812,1344715,5451,671182,639532,,6088775,42499766,11919768,2013年12月31日,33470713,,49464692,46236763,4758700,1169012,20278332,28022538,142578,43000.0,,1061931,,3816666.0,-946.0,280016.0,7827000,11919768,,,,,36355893.0,12550422,712397.0,,136626.0,209507.0,11481369.0,,10523.0,,85820585.0,0.0,79.0,455729,48929,14288426,,,3227929,16077561,57798047,405295,0
2014-05-15,1,2014,3517799,654854,36609677,-12234310,4462980,841042,70674,24809,-11627752,,3260613,897577,1364762,,2247017,,607192,,20182694,105200,,0.0,,2959722,8558,450518,4107832,720749,11639,1292036,8689,409191,383269,,7021240,46273186,11920685,2014年03月31日,34378734,,52591745,49365563,4758700,1169012,21034219,26803001,140655,43000.0,,1061931,2962102.0,,-634.0,316546.0,8357000,11920685,,,,,38638599.0,12568153,,716116.0,136626.0,220543.0,11484837.0,,10031.0,,91230344.0,,42.0,641269,66612,15598349,,,3226182,17604380,64427343,571918,0
2014-08-14,2,2014,3477156,704154,32448939,-8968279,5324247,6817957,125717,640652,-8977187,,3326788,1053368,1381578,,2168065,,-8289,,20636848,105200,0.0,0.0,,3071363,12770,402645,4453294,821407,13180,1396519,42840,463790,316230,,8081799,48229680,11921132,2014年06月30日,14390773,,50714225,47195875,4758700,4228283,27041881,28759504,145472,43000.0,,13829883,3558100.0,,-619.0,1120477.0,7002000,11921132,0.0,0.0,,,46288868.0,11908191,,4600.0,136626.0,205413.0,11486535.0,65226.0,9791.0,,97003093.0,,8.0,684524,70016,17180885,,,3518350,19246987,68243589,525432,0
2014-11-14,3,2014,3456390,704154,35134756,-15842168,4569159,1184067,38992,30595,-15294689,,3805989,925754,1462903,,2148670,,548358,,21276352,105200,,0.0,61527.0,3167038,21453,363881,4203550,808628,33167,1539974,73539,481247,294425,,9328844,44355552,11925453,2014年09月30日,17076590,,47217869,43604045,4758700,4228283,22796002,27731655,145374,43000.0,,13829883,2519234.0,,-879.0,1116229.0,8092000,11925453,,,,,45294739.0,11943725,,0.0,136626.0,225338.0,11501476.0,72629.0,7656.0,,92512608.0,,0.0,505191,29810,20469116,,,3613824,22498737,64780953,551543,0
2015-03-25,4,2014,4428839,700939,37734516,-12369830,4454448,1307637,112176,251164,-10541569,0.0,4247801,819716,1447707,,2144956,,1828673,,21593185,105200,,0.0,61187.0,3293163,7672,216755,4412849,736557,7494,1159299,52053,630668,324205,,9809769,51038220,11925647,2014年12月31日,19676350,,55543525,51729661,4758700,4228283,21201899,27507818,143984,43000.0,,13829883,2108863.0,,-412.0,183971.0,6788000,11925647,,,,,44836523.0,12716267,,712786.0,136626.0,284798.0,11502154.0,72344.0,7559.0,,100380048.0,,0.0,734231,108075,21391499,,,3813864,23634624,72872230,456489,0
2015-05-13,1,2015,4271330,700939,13790777,-10693523,4691673,1051387,217019,457511,-10263861,0.0,4647982,738979,1493077,,2009510,,429875,,22158827,105200,,0.0,0.0,2818748,5913,454096,3028577,447133,7890,1648389,71891,450928,153793,,10602268,27361608,11925914,2015年03月31日,6129357,218712.0,32058820,28154951,4758700,1675132,19485438,28315014,143959,,43000.0,5986288,,1832326.0,-213.0,,6805000,11925914,0.0,,78245216.0,46186396.0,,12807321,,712786.0,136626.0,375046.0,11503092.0,72344.0,7427.0,78245216.0,,,0.0,564726,105915,24643155,,,3903869,26700958,49930202,585351,0
2015-08-13,2,2015,4209183,700939,11281510,-14357267,4408822,7500221,87017,7214,-14023217,,7638283,719295,1532321,,2001411,,334172,,22416140,105200,,0.0,0.0,2657868,4915,282992,2878489,462249,5367,1659993,50606,506735,218449,,12069672,25525112,11928487,2015年06月30日,3165692,64507.0,24543540,21151760,4758700,2129530,28689891,29344115,220632,,43000.0,5986288,,3160938.0,-122.0,,7195000,11928487,,,78624038.0,54080498.0,,12070180,,0.0,136626.0,342871.0,11512183.0,72344.0,6156.0,78624038.0,,,0.0,543068,101152,23315218,,,3391780,25390607,49279923,517728,0
