date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保固之長期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應收租賃款,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃資產淨額,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2015-03-10,4,2014,63954,63954,514447,,104788,7500,45035,55929,,,-936,,68578,1425,31270,,2579,,42275,174772,,908510,47436,145072,2290,,0,69163,24771,,16771,3199,174772,76840,110118,102969,,11083,101828,33278,146439,,626800,2014年12月31日,,,136693,960138,959688,241000,44539,,345110,583751,,2068,,81130,,12461,44286,181493,626800,,7191,,,1067431,231326,,2027569,2297,925,281,407,2519,,11293,,545030,174772,818799,818799,450,722321,1443818,0,0
2015-08-11,2,2015,,81540,497906,,97284,10375,81293,98723,,32815,-1284,-1284,87861,2287,20638,,,,96963,171788,,1207898,158640,178342,0,,,97687,18563,,16647,4034,,60848,103019,122217,,3909,0,42171,,1301,671800,2015年06月30日,86805,7212,,1065639,1065295,0,,10479,436224,654841,952295,1879,,,193785,,20000,,671800,2385112,7959,,1319473,,297495,2385112,,,279,116,,3846,,10912,,707615,,,,344,883249,1730271,,0
2016-02-19,4,2015,,99325,484639,,150210,10375,51354,120398,,8308,-739,-739,106847,2945,75907,39301,,36606,176512,170456,1651,1649153,243688,178159,0,,,123070,24556,9993,83608,4577,,171052,230510,198214,,14221,0,59458,,954,736800,2015年12月31日,139731,6421,,1262161,1261766,0,,10479,702720,872277,,1973,,,166918,,176473,,736800,3030925,,9311,1768764,,375495,3030925,,,0,40,,4839,,11554,,881438,168805,1228953,,395,1066044,2158648,,0
2016-05-11,1,2016,112835,112835,536325,,154399,10375,38448,110065,38448,2080,-362,,125874,8436,77642,41879,,35763,176517,170524,3237,1718021,139909,286154,0,,,93411,19467,9993,30470,4603,167287,77517,152090,12664,,11001,,74573,,863,736800,2016年03月31日,143920,6638,,1266702,1266332,0,,10479,475482,686878,,1950,,,145247,,39751,,736800,2965895,,9718,1699193,,375495,2965895,,,1365,0,,5344,,11483,,1038125,167287,1401595,,370,1223711,2279017,,0
2016-08-10,2,2016,307553,307553,524524,,117358,37375,75569,147390,75569,1136,308,,315702,3520,93692,45296,,48396,176720,170712,4943,1923341,211184,224573,0,12186,,124320,20331,0,37618,4629,165769,163146,258937,45387,,21869,,95791,,259,812380,2016年06月30日,97567,5369,,1381622,1381237,0,,19052,826299,832250,,2278,739,,185494,,100000,,824566,3331277,,8317,1949655,,439005,3331277,,,0,1162,,5775,,11250,,938552,165769,1535437,,385,1123356,2499027,,0
2016-11-10,3,2016,137024,137024,512181,7310,50765,37375,71225,175969,71225,431,228,,143802,2091,100092,38753,,61339,176724,171118,6867,2095161,234014,274016,0,,,39320,7347,0,14894,4687,164251,52441,158153,40051,488,13064,,105712,,0,824566,2016年09月30日,30974,2986,,1314935,1314564,0,,19052,745590,841821,,2150,739,,255526,,290000,,824566,3500613,,7310,2185678,,439005,3500613,,,47,0,,5856,5856,11925,1255804,1255804,164251,1684423,1684423,371,1440088,2658792,,0
