date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,143841,143841,2504169,276958,1093237,42837,213661,295412,11185,394041,7922,800,347242,65102,32945,32945,175758,564,5044278,5044278,,,,286289,199474,19736,2579070,63952,171484.0,3701189,2013年03月31日,501573,,,6654248,6654248,0,561056,3073518,8661422,,30608,,540761.0,24681.0,26034.0,1931767,3701189,,,4897378.0,1848637,,11551626.0,3869.0,42983,890,43975,1475728,0,1823860,2890204,,25295,31593,242278,0
2013-08-09,2,2013,210508,210508,2486972,355570,995048,44794,462174,322053,13142,441666,7857,800,346391,81830,32945,32945,175459,153,4608475,4608475,0.0,,,218317,299725,2113,2771876,63614,170932.0,3701189,2013年06月30日,372649,,,6558016,6558016,0,593172,3321429,8635265,,29227,,679772.0,59780.0,25919.0,1837536,3701189,,,5066171.0,1848637,,11624187.0,118.0,83781,890,64550,1397461,0,1744742,2988922,,34181,48732,223301,0
2013-11-08,3,2013,35508,35508,2485056,355570,1129914,37319,225895,360183,5667,329671,5277,1544,284493,87796,32945,32945,114111,150,4450172,4450172,0.0,,,378435,99742,262,2333588,59235,170382.0,3701189,2013年09月30日,507515,,,6685407,6685407,0,593172,2887489,8045582,,29227,,654217.0,55245.0,25919.0,1798239,3701189,,,4339179.0,1848637,,11024586.0,,76380,890,50582,1166307,0,1451690,2979004,,47025,54701,288886,0
2014-03-21,4,2013,35508,35508,2466197,355570,1268714,39277,281076,425308,7625,376973,6789,800,199359,123414,32945,32945,3251,141,4897312,4897312,0.0,,,319457,299458,276,2476120,54667,196108.0,3701189,2013年12月31日,646315,,,6826165,6826165,0,593172,3539301,8729248,,29227,,653578.0,68975.0,25919.0,2193086,3701189,,,4894258.0,1848637,,11720423.0,,97596,890,45994,1154708,0,1354957,2991175,,58671,90328,334676,0
2014-05-02,1,2014,77174,77174,2471136,355570,1565598,41057,259913,856942,9404,397466,19801,8342,200707,156575,33853,33853,4915,138,5279616,5279616,,,,355403,199663,346,2819965,42682,195792.0,3701189,2014年03月31日,943199,,,7124828,7124828,0,593172,4405660,9817525,,29227,648467.0,,106307.0,25919.0,3086149,3701189,,,5714144.0,1848637,,12838972.0,413.0,49252,890,38166,1106887,0,1308484,3021447,,45283,122584,300491,0
2014-08-01,2,2014,77174,77174,2534536,355570,1225037,41057,809593,925902,9404,459934,7229,800,197670,124047,33853,33853,2355,138,6497479,6497479,0.0,,0.0,405002,299677,376,3028891,47176,195315.0,3701189,2014年06月30日,566574,,,6784267,6784267,0,658463,6249440,11277037,,0,558301.0,,72499.0,25919.0,4202359,3701189,,,7543287.0,1848637,,14327554.0,0.0,96347,890,36364,1095287,0,1293847,3050517,,55165,90056,375531,0
2014-11-07,3,2014,118841,118841,2559672,355570,1552810,38565,276391,552092,6913,484035,21620,800,198091,124275,33853,33853,3163,138,6237132,6237132,0.0,,0.0,315584,199785,260,2882368,45573,194928.0,3701189,2014年09月30日,894347,,,7109549,7109549,0,658463,5265833,10542534,,0,646139.0,,78520.0,25919.0,3911258,3701189,,,6512281.0,1848637,,13621830.0,,89159,890,39779,1047467,0,1246448,3079296,,24787,90284,343574,0
2015-03-20,4,2014,168841,168841,2570438,355570,1723260,37853,342291,204496,6201,525869,17080,800,166349,132062,33853,33853,4220,25021,4591252,4591252,0.0,,0.0,167160,99855,628,2483956,56810,162129.0,3701189,2014年12月31日,1064797,,,7279287,7279287,0,658463,2942681,8278663,,0,820104.0,,101923.0,10929.0,1703616,3701189,,,4095787.0,1848637,,11375074.0,1339.0,47686,890,38341,985867,0,1153106,3096411,,24777,73188,339948,0
2015-05-06,1,2015,220924,220924,2585963,355570,1873992,36429,230625,253855,4777,503231,24192,800,166783,118504,33853,33853,5200,25021,4798096,4798096,,,,318788,99855,301,1938255,36734,,3701189,2015年03月31日,1215529,130238.0,1.0,7428595,7428595,0,658463,2631183,8002702,161583.0,0,,816188.0,,,1347791,3701189,11113414.0,3684819.0,,1848637,11113414.0,,354.0,82240,890,50675,885963,0,1053636,3110712,,40104,59630,258115,0
2015-08-07,2,2015,270924,270924,2564057,355570,1211793,26854,927227,358369,-4798,475848,19817,800,219358,676181,199739,199739,58424,25021,4075999,4075999,0.0,,0.0,234577,99879,456,1821153,60718,,3701189,2015年06月30日,455049,60408.0,0.0,6756821,6756821,0,756744,3125570,7280101,160934.0,0,,825533.0,,,1326761,3701189,10927002.0,4170181.0,,1848637,10927002.0,,414.0,72480,890,51093,824363,0,1044611,3646901,370332.0,38195,81089,185107,0
