date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他非流動負債合計,其他非流動資產合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,確定福利計畫再衡量數-母公司,確定福利計畫再衡量數總額,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,117097,253538,124598,807,,,,849,848,2730,133575,,,72433,4117,148984,30343,,563879,2013年03月31日,247135,,,1163560,1163560,0,6403,233652,1180259,43010,,,353857.0,30292.0,0.0,,,,563879,,,234710.0,346143,346143,,,1398270.0,1363.0,500472,210.0,55174,,1058,218011,12221,0
2013-08-06,2,2013,113247,143204,251250,3233,,,,1088,14003,2730,138545,0.0,,67000,1647,162244,47603,,563879,2013年06月30日,114996,,,1053226,1053226,0,28208,330589,1190567,41842,,,330024.0,9442.0,0.0,,,,563879,,,344816.0,346143,346143,,,1398042.0,162.0,501288,224.0,49656,,14227,207475,7630,0
2013-11-06,3,2013,111165,156864,112482,4671,,,,1693,848,2733,120978,,,53885,736,131125,58426,,563879,2013年09月30日,128656,,,1066886,1066886,0,28208,180288,1039748,45487,,,265859.0,11492.0,0.0,,,,563879,,,181136.0,346143,346143,,,1248022.0,0.0,452069,,48889,,848,208274,6620,0
2014-03-20,4,2013,99972,176189,132447,4426,,,,872,633,5552,174669,,,99985,6588,118645,65709,,563879,2013年12月31日,147981,,,1086211,1086211,0,28208,255604,1139201,46331,,,338321.0,14935.0,0.0,,,,563879,,,256546.0,346143,346143,,,1342757.0,777.0,425818,309.0,51701,,942,203556,11613,0
2014-05-02,1,2014,98010,224081,123408,10516,,,,892,633,5552,242066,,,70906,4518,120277,41176,,563879,2014年03月31日,195873,,,1134103,1134103,0,28208,214659,1161003,41203,,309444.0,,14935.0,,,,,563879,,,215422.0,346143,346143,,,1349525.0,0.0,426391,130.0,43757,,763,188522,11133,0
2014-08-05,2,2014,89341,221834,208024,4559,,,,937,633,5722,244112,,0.0,101091,2081,161007,62503,,563879,2014年06月30日,184928,,,1131856,1131856,0,36906,321515,1270472,44565,,443624.0,,9382.0,,,,,563879,,,322148.0,346143,346143,,,1454004.0,0.0,346971,0.0,43904,,633,183532,7696,0
2014-11-10,3,2014,99848,277031,158198,8588,,,,1805,633,8326,288795,,0.0,84366,10938,169715,51004,,563879,2014年09月30日,240125,,,1187053,1187053,0,36906,258225,1259702,39228,,541017.0,,2918.0,,,,,563879,,,259355.0,346143,346143,,,1446408.0,0.0,185864,497.0,39304,,1130,186706,14719,0
2015-03-12,4,2014,95897,333704,162106,3435,,,,1024,379,8328,201435,,0.0,39719,6995,190979,51006,,563879,2014年12月31日,296798,,,1243726,1243726,0,36906,219922,1288014,33167,,602626.0,,10078.0,,,,,563879,,,221596.0,346143,346143,,,1465322.0,0.0,224570,1295.0,39916,,1674,177308,13963,0
2015-04-29,1,2015,97567,369927,128933,4997,-99570.0,-99570.0,,1026,379,8792,195168,,0.0,70132,4695,168901,38440,,571199,2015年03月31日,333021,15911.0,,1301891,1301891,0,36906,220697,1341079,34883,,,711520.0,,,,,,571199,1522967.0,221076.0,,460335,346143,114192.0,1522967.0,,0.0,213505,0.0,40646,,379,181888,8548,0
2015-08-10,2,2015,103282,205123,303363,4236,-78461.0,-78461.0,,1045,379,8483,192240,,29000.0,41871,2574,138708,28960,24.0,571199,2015年06月30日,145415,8330.0,,1151455,1151455,0,59708,357193,1328505,28632,,,731178.0,,,,,,571199,1509027.0,357572.0,,453594,346143,107451.0,1509027.0,,10.0,225106,0.0,40125,,379,180522,8053,0
2015-11-09,3,2015,109849,296635,153817,4602,-62828.0,-62933.0,-62933.0,1330,379,8480,149581,,4000.0,76178,11188,247300,51437,,570909,2015年09月30日,236927,6067.0,134396.0,1258310,1258310,0,59708,248580,1307773,40043,,,658861.0,,,105.0,105.0,102531.0,570909,1508643.0,250333.0,,453594,346143,107451.0,1508643.0,,,182648,1374.0,42498,0.0,1753,200870,13344,0
2016-03-10,4,2015,121169,368805,179832,10023,-47712.0,-47712.0,,1050,204,8645,210640,,0.0,73811,8139,166284,21860,,570869,2015年12月31日,309097,16291.0,,1345556,1345556,0,59708,279123,1416500,36229,,,769691.0,,,,0.0,,570869,1624883.0,279327.0,,453594,346143,107451.0,1624883.0,,,225091,0.0,42340,,204,208383,12911,0
2016-04-27,1,2016,133529,431179,132000,3789,-39189.0,-39189.0,,1030,0,8645,182471,,0.0,67986,5489,129133,17586,,570869,2016年03月31日,371471,22197.0,,1416453,1416453,0,59708,228702,1432389,31751,,,862436.0,,,,0.0,,570869,1645155.0,228702.0,,453594,378857,74737.0,1645155.0,,,225347,0.0,38841,,0,212766,11627,0
2016-07-26,2,2016,136766,312486,324595,8209,-30666.0,-30666.0,,863,0,11645,227851,,0.0,71009,2271,171749,489,0.0,570869,2016年06月30日,231689,13748.0,,1306283,1306283,0,80365,412486,1485170,46424,432.0,,824290.0,,,,,,570869,1718769.0,412486.0,,453594,378857,74737.0,1718769.0,,0.0,244814,,38764,,0,233599,7768,0
2016-11-09,3,2016,145055,426278,181347,12231,-22142.0,-22142.0,,1334,0,11645,261700,,0.0,164367,12612,307557,57548,,570848,2016年09月30日,345481,9270.0,,1428578,1428578,0,80365,368930,1540630,57217,432.0,,668459.0,,,,0.0,,570848,1797508.0,368930.0,,453594,378857,74737.0,1797508.0,,,214173,0.0,42961,,0,256878,18962,0
