date,season,year,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－母公司,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,內部往來,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,土地－重估增（減）值,在建房地,在製品,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,工程存出保證金,庫存現金,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,投資性不動產－土地,投資性不動產－土地－重估增值,投資性不動產－建築物,採用權益法之投資,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,未實現售後租回利益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計減損－其他設備,累計減損－投資性不動產－土地,累計減損－投資性不動產－建築物,股本合計,股東往來,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,751727,90244,90244,19671,1142,-17.0,1159,2419,2419,4365,25074,0,,29436,526230,87935,392822,118253,422206,34839,53386,274569,144022,0,196372,196372,,40825,124339,28294,28294,67719,319621,251902,445699,11904,98695,598014,445699,152315,,591079,273289,,81338,81338,107845,107845,,,,131597,127232,1849,1849,,,22147.0,22147.0,45327.0,437939,175642,-262297.0,245771,238237,0.0,83090.0,,,0,1884108,2013年03月31日,-37164,23297,0,890021,198328,2088185,1849471,26589911,,785413,1773968,,56835,0,,591079.0,70000,387367,,64066.0,691693,0.0,,11490.0,1884108,0,41146,,,997429.0,189545,26843.0,,104037,,58665,,3085614.0,40825,67994,25113,0,0,0,238714,212016,1311646,0.0,384909,384909,0
2013-08-12,2,2013,93193.0,93193.0,709320,82899,82899,18428,1356,0.0,1356,2616,2616,3451,31074,0,,29294,595725,56025,524300,133317,431398,41175,50301,216513,50187,0,22324,22324,,50241,152272,27938,27938,58331,275314,216983,485943,10429,5502,676278,485943,190335,174470.0,579916,273289,,91782,91782,140371,140371,51984.0,51984.0,,139708,136257,257,257,34016.0,34016.0,7.0,7.0,44685.0,399061,162225,-236836.0,308034,282543,0.0,131534.0,,,0,1884108,2013年06月30日,-38407,38084,0,893186,192522,2083535,1848086,26589911,,949862,2001272,,56835,0,,579916.0,70000,390223,,94553.0,700664,0.0,11490.0,0.0,1884108,0,58708,,,1068043.0,189545,26843.0,,104037,,58665,,3151578.0,50241,67994,25113,0,0,0,235449,118181,1150306,,396206,396206,0
2013-11-12,3,2013,0.0,0.0,705385,83142,83142,19862,1448,0.0,1448,2708,2708,3028,34677,0,,27266,746795,183959,591324,129148,430784,39458,92998,287707,51421,0,22005,22005,,68385,122959,25818,25818,58333,275320,216987,513332,16516,7378,686969,513332,173637,174469.0,584070,273289,,54288,54288,122751,122751,45170.0,45170.0,,138124,135096,219,219,35170.0,35170.0,0.0,0.0,44043.0,397363,157057,-240306.0,306594,282538,0.0,131529.0,,,0,1884108,2013年09月30日,-36973,8896,0,933193,224654,2080008,1847492,26589911,,1046757,2101233,,56835,0,,584070.0,77753,391326,,95983.0,708539,0.0,11490.0,0.0,1884108,0,68839,,,1166172.0,189545,26843.0,,104037,,58665,,3246180.0,68385,67994,25113,0,0,0,232516,119415,1144947,,469838,469838,0
2014-03-21,4,2013,,,709371,83142,83142,71896,1476,0.0,1476,2736,2736,3184,27043,0,,29234,705371,124529,451223,125314,433896,39499,99916,149305,44066,0,21120,21120,,54854,138004,27758,27758,58333,275320,216987,603163,17577,1260,809571,603163,206408,176604.0,651138,273289,,125317,125317,111257,111257,0.0,0.0,,148203,145019,220,220,30363.0,30363.0,0.0,0.0,42806.0,400628,156223,-244405.0,305160,282537,0.0,131530.0,,,0,1884108,2013年12月31日,15061,10020,0,858660,228309,2147413,1901494,26589911,,1029557,2142388,,56835,0,,651138.0,87612,394397,,97417.0,630351,0.0,11490.0,0.0,1884108,0,77870,,,1141617.0,189545,26843.0,,104037,,58665,,3289030.0,54854,67994,25113,0,0,0,245919,112060,1146642,,480926,480926,0
2014-05-13,1,2014,,,706030,89652,89652,80918,1835,,1835,3095,3095,2598,26751,0,,33286,657942,102495,441751,136564,435138,38022,34221,128644,48246,0,16965,16965,,61937,130600,31451,31451,58333,275320,216987,643638,20253,7333,826947,643638,183309,176543.0,641667,273289,0.0,117842,117842,85352,85352,,,,171945,169347,220,220,,,29091.0,29091.0,40913.0,404670,155944,-248726.0,303725,315215,,,,,0,1884108,2014年03月31日,24083,10771,0,869233,225973,2218901,1914568,26589911,,980399,2170960,,56835,0,641667.0,,119263,397116,,11490.0,643260,,,,1884108,0,59207,,,1096639.0,189545,,26842.0,104037,,58666,,3315540.0,61937,67994,25113,0,0,0,304333,116240,1144580,0.0,521226,521226,0
2014-08-14,2,2014,,,690507,90895,90895,96670,1913,,1913,3173,3173,2195,21047,0,,28305,884411,69521,434191,133736,435627,37975,97019,123912,41498,0,16926,16926,99814.0,52149,160887,26392,26392,54789,258596,203807,696541,13539,1260,912609,696541,216068,176543.0,738522,273289,0.0,83539,83539,100068,100068,58054.0,58054.0,,147579,145384,0,0,34420.0,34420.0,,,40238.0,391051,150748,-240303.0,321935,333425,,,,,0,1884108,2014年06月30日,38388,22923,0,854821,220265,2221168,1868816,26589911,1447.0,1250827,2432938,,56835,0,738522.0,,124755,397652,,11490.0,634556,,,,1884108,0,62689,,,1360319.0,133022,,0.0,133022,,0,,3581487.0,52149,67994,25113,0,0,0,352352,109492,1148549,115663.0,618057,717871,0
2014-11-12,3,2014,,,773411,90895,90895,112315,1772,,1772,3033,3033,1929,23735,0,,31741,867847,67399,414727,133201,422509,36439,35062,104940,40822,0,16869,16869,100295.0,128616,163063,29969,29969,62722,296038,233316,745833,15247,1260,972656,745833,226823,176586.0,551047,273289,0.0,74562,74562,74075,74075,71927.0,71927.0,,153075,151146,0,0,43069.0,43069.0,,,39562.0,383154,156547,-226607.0,284576,284576,,,,,0,1884108,2014年09月30日,54033,56951,0,872625,227436,2263597,1895874,26589911,1447.0,1217685,2396201,,56835,0,551047.0,,129274,386070,,,645189,,,,1884108,0,72248,,,1326501.0,140999,,26844.0,112014,,2141,,3590098.0,128616,67994,25113,0,0,0,367723,108816,1193897,134940.0,665091,765386,0
2015-03-23,4,2014,,,412061,73621,73621,174937,1843,,1843,3103,3103,1977,15079,0,,5888,952667,74290,409463,125796,399797,37301,33312,105725,43013,3604,15415,15415,100295.0,127579,66370,4045,4045,63634,300341,236707,823693,3092,1260,878762,823693,55069,177942.0,555415,124693,0.0,42821,42821,0,0,47897.0,47897.0,,52383,50406,2236,2236,36397.0,36397.0,,,38149.0,226094,29748,,278738,246026,,32712.0,251526.0,251526.0,0,1732684,2014年12月31日,116655,5988,0,557313,38683,2030141,1932643,11447523,1447.0,1115385,2206352,,56835,0,555415.0,,72000,362496,196346.0,,518630,,,,1732684,0,686,,,1235788.0,143827,,26844.0,114842,,2141,,3265929.0,127579,77390,25113,0,0,0,97498,120403,1059577,146094.0,744770,845065,0
2015-05-12,1,2015,,,406168,73621,73621,197538,2689,,2689,3949,3949,2032,15090,0,,1039,948023,41125,349520,134175,398767,35256,32610,38103,41974,3278,17295,17295,100295.0,145769,61209,-1650,-1650,63634,300341,236707,900406,5240,1260,954308,900406,53902,177242.0,536183,124693,0.0,40263,40263,0,0,43153.0,43153.0,,68423,66391,6621,6621,30569.0,30569.0,,,,226434,28650,,277058,246026,,31032.0,253437.0,253437.0,0,1732684,2015年03月31日,139256,4338,0,560147,37583,2047530,1950395,11447523,1447.0,1133439,2243692,37436.0,56835,0,,536183.0,102000,363511,197784.0,,522564,,,,1732684,0,2543,3300333.0,1252803.0,,143827,,26844.0,114842,,2141,3300333.0,,145769,77390,25113,0,0,0,97135,119364,1056641,154331.0,773993,874288,0
2015-08-11,2,2015,,,404313,72576,72576,110985,2653,,2653,3913,3913,1518,14869,0,92078.0,956,956868,39087,357183,136292,399605,33387,30381,43649,40892,2950,18334,18334,100295.0,140355,63006,-1697,-1697,63634,300341,236707,973369,4934,1260,1028844,973369,55475,177242.0,574814,124693,0.0,37765,37765,0,0,55895.0,55895.0,92078.0,53748,52230,9990,9990,25819.0,25819.0,,,,226888,27653,,275379,246026,,29353.0,274476.0,274476.0,0,1732684,2015年06月30日,42472,7767,0,561417,35165,1982982,1886200,11447523,11678.0,1316406,2343566,36682.0,56835,0,,574814.0,173800,366218,199235.0,,526252,,,,1732684,0,2404,3417670.0,1434688.0,,166268,,26844.0,114842,22441.0,2141,3417670.0,,140355,77390,25113,0,0,0,96782,118282,1074104,154331.0,787105,887400,0
