date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,29291580,2289244,-266157,7549,1185426,3054305,243524,27514,-869263,-681503,8713839,,866916,1522618,731193,78397,4734451,196827,316831,,0.0,2297754,180306,,9845,4582520,2273332,1495941,3322226,9325244,2013年03月31日,687138,,47382397,45801162,3734858,1362996,16217287,27110398,4241200,239110.0,,10992117.0,47391.0,1724809,9325712,,,19743425.0,35252296,727458,1020636.0,,34548,,27091,25026,33417537,,67125822.0,189038,652783,139351,1243799,1864169,1581235,3526138,40015424,916920,468.0,17600
2013-08-07,2,2013,,28898798,2635511,-332332,7549,1181926,3774339,132607,24353,-732897,-589801,8826093,,990845,1465829,984369,189236,4639853,197622,195263,,0.0,2668677,195041,,12006,6028330,2582634,1425850,3344927,9327395,2013年06月30日,1033405,,47427853,45788985,3747208,1362996,17537556,28459968,4224675,239110.0,,10620998.0,62880.0,1817731,9330324,,,20933292.0,34753669,727458,1017802.0,0.0,32430,,27091,25662,32923226,,68361145.0,180789,954780,148618,1266482,1781289,1638868,3395736,39901177,856906,2929.0,110100
2013-10-29,3,2013,,28373678,2552089,-305660,7549,1331113,3106625,187805,28028,-688941,-524315,8678323,,1251052,1401335,965586,141034,4951220,197622,41086,,6657410.0,2297668,165795,,5761,5996236,2617293,2109314,3548007,9334000,2013年09月30日,949983,,47455657,45780146,3747208,1362996,17841335,35271156,4192892,239110.0,,16472261.0,85399.0,2273568,9334454,,,27681621.0,34780166,774170,986296.0,0.0,25925,,27091,26117,32940567,,75137278.0,1228196,557061,267261,1454846,1514280,1675511,9840286,39866122,1052251,454.0,17070
2014-03-19,4,2013,,27627752,2557328,-332483,6543,1553140,2987081,289967,35337,-529916,-429320,8866214,,1079925,1286321,1087664,231887,4902898,197622,14168,,6750446.0,2466829,166641,,8269,6394268,2554651,2679426,3638952,9357146,2013年12月31日,955222,,47602913,45963990,3747208,1362996,18453138,36249273,4291051,239110.0,,15781537.0,149825.0,2480307,9359711,,,28393120.0,34774489,759970,979203.0,0.0,17114,,27091,26756,32964355,,75996033.0,1327972,1418916,266746,1548201,1636469,1638923,9939982,39746760,1091637,2565.0,96450
2014-05-07,1,2014,,27967106,1715637,47344,0,1909252,3435397,339892,45119,22131,-352654,812217,,271537,1291034,933192,327441,5302881,197622,15273,,7344219.0,2826497,268186,,5531,6651217,2547623,3455356,3641174,9363389,2014年03月31日,113531,,47349911,45688965,3747208,1362996,11674858,28967601,4366203,239110.0,7656188.0,,178778.0,2016876,9363389,,,22037127.0,34785430,759970,,3828476.0,10966,979203.0,27091,27333,29152391,,69387038.0,2131376,1525970,200173,1602510,1526843,1660946,10362269,40419437,1156545,0.0,0
2014-08-07,2,2014,,28513928,2287144,1443,0,1812848,3940604,284486,44810,-102539,-275136,1000966,,111383,1217697,858606,171154,4896002,197622,4410,0.0,7242302.0,2870640,382168,,11316,7959974,2819219,3643903,3626817,9363389,2014年06月30日,819717,,47514454,45845811,3747208,1366831,13027887,29651775,4352114,100596.0,7116700.0,,18044.0,2435855,9363389,,,22771002.0,34495439,759970,,3828476.0,10966,923016.0,27091,38501,28907419,,70285456.0,2368294,1594621,157255,1469368,1125861,1668643,9743115,40633681,1176267,0.0,0
2014-11-12,3,2014,,28247827,4103497,-141295,0,1781636,4057368,839143,41119,-73602,-230197,908076,,571229,1471836,778112,297890,5611359,367400,153526,0.0,7421887.0,3121683,537929,,13303,7788776,3543315,3773459,3613431,9360789,2014年09月30日,2636070,,49236793,47526327,6399988,1366831,13725307,33216670,4309544,100596.0,8238073.0,,25449.0,3914665,9360789,,,23845409.0,34503043,762570,,0.0,10966,923016.0,27091,43505,32735895,,73082202.0,1146834,1431994,180671,1134982,1045708,1710466,10120102,39865532,1224677,0.0,0
2015-03-13,4,2014,,37499279,4205135,-149071,15000,2022151,4090039,772989,50676,143837,-346915,4886617,,1770923,1484435,1546236,639823,6337694,461200,188281,0.0,7769087.0,3047683,341490,,1523,7421177,3861927,4345989,3821381,11031787,2014年12月31日,2737708,,61002098,58262391,7887835,1366831,19654313,38110629,6582803,100596.0,10514997.0,,51191.0,5965135,11031787,,,30831777.0,43342832,762570,,0.0,10966,923016.0,27091,43711,41575478,,91833875.0,1270635,1195677,1013621,2251396,910321,2739707,11177464,53723246,1635299,0.0,0
2015-05-06,1,2015,,37878803,5004180,-204076,17500,1860471,4258607,609785,26720,-26277,-326080,4905724,,1499215,1453131,1258037,503879,6928484,399536,198790,0.0,7303558.0,2813845,372359,,26089,7383220,2954316,4101716,3739624,11016381,2015年03月31日,3536753,83262.0,61398244,58874166,6717732,1366831,19073169,37498373,6600513,100596.0,,10762392.0,,6051111,11016381,91130144.0,29731900.0,,43279418,767070,,3828476.0,10966,901092.0,17165,43821,37710828,91130144.0,,562172,1147369,1082009,2294323,820033,2524078,10658731,53631771,1868866,0.0,0
2015-08-06,2,2015,,36288072,3971735,-445762,14950,1701197,5050605,630376,43417,-352599,-310411,3638281,,2756643,1372521,1178115,403574,7564033,399536,300315,0.0,7243949.0,3193900,470427,,42343,7535884,2630484,3130968,3637929,11015131,2015年06月30日,2423871,45922.0,60038543,57465125,6717732,1547864,18892470,38346929,6914123,0.0,,10328155.0,,6173629,11015131,90429686.0,30391143.0,,43230394,768320,,3828476.0,10966,850962.0,17165,43677,37710828,90429686.0,,277363,1441303,1062683,2363321,1819520,2573418,11498673,52082757,1970401,0.0,0
