date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,54272.0,17546.0,71818,2263492,6226.0,2226073,21613.0,,406321,66260,-17716,83713,11895,37435,59095,205,88044,,954238,,,,1159696,315,2376061,819875,58890.0,12277,2025707,2013年03月31日,1763521,,5759033,5619910,0,360394,3092650,7698019,,118403,102158,,3313138.0,149914.0,1287961,2026007,,,4563705.0,1385546,,10322738.0,4730,17314,166108,114664,1245852,139123,1471055,2624719,113698,300.0,30000
2013-07-24,2,2013,54640.0,17636.0,72276,2305503,6226.0,2166052,18542.0,,777000,58550,6266,122300,50024,52206,60515,179,94737,,969611,,,,1490472,41501,2707417,808128,60336.0,7379,2026007,2013年06月30日,1641493,,5725077,5584578,0,422401,3807456,8259418,,115748,102158,,3561061.0,93858.0,1282146,2026007,,,5153976.0,1386253,,10879053.0,179,16710,145324,71500,1140681,140499,1346520,2619635,85735,0.0,0
2013-10-24,3,2013,55011.0,17727.0,72738,2290981,6226.0,2486113,22161.0,,463291,89101,-4187,85212,12474,49807,61928,152,95010,,1115598,,,,1793348,41280,3187246,924122,61776.0,3059,2026007,2013年09月30日,1961554,,6048022,5905792,0,422401,3901520,8664992,,112740,102158,,3201953.0,67990.0,1450232,2028762,,,5216110.0,1395104,,11264132.0,167,17875,130861,68963,1121801,142230,1314590,2599140,79290,2755.0,275500
2014-02-20,4,2013,0.0,21615.0,21615,2367002,0.0,2756079,0.0,,597776,77735,17918,26065,4450,35300,72592,0,114192,,957424,,,,1472982,345,3172520,1018352,72592.0,0,2028762,2013年12月31日,2231520,,6403752,6250099,0,422401,3281520,8916609,,119595,102158,,3529280.0,133396.0,1050712,2039254,,,5191028.0,1436848,,11594780.0,244,18454,157065,77382,1679851,153653,1909508,2678171,107544,10492.0,1049173
2014-04-24,1,2014,0.0,1616665.0,1616665,2392367,0.0,2931848,0.0,,507220,49260,21864,1620025,3360,35090,74274,0,106354,,1030574,,,,1110693,331,3118761,633290,74274.0,11242,2039254,2014年03月31日,2407289,,6585352,6432591,0,422401,4639678,9073359,,116173,102158,4038957.0,,173615.0,1226410,2039764,,,5195989.0,1439115,,11781341.0,1384,19886,169241,81846,312796,152761,556311,2707982,147541,510.0,51000
2014-07-29,2,2014,0.0,1591739.0,1591739,2378102,0.0,2655118,0.0,,1107517,40720,-3688,1612606,20867,35344,75979,0,102066,,1021221,,,0.0,1542174,29389,3788385,862578,75979.0,8626,2039764,2014年06月30日,2030025,,6287650,6134069,0,522935,5506171,9640571,,113882,102158,3748849.0,,132521.0,1081816,2040594,,,6042152.0,1442045,,12329802.0,148,25812,156389,86555,303613,153581,535981,2689231,117662,830.0,83000
2014-10-23,3,2014,0.0,21914.0,21914,2406858,0.0,2945046,0.0,0.0,575756,50745,31859,25947,4033,36642,78962,1282,141979,,1143412,0.0,,0.0,1839258,154841,3922960,1005977,77680.0,6075,2040593,2014年09月30日,2319953,,6619865,6466315,0,522935,4273943,9608339,,113532,102158,3289447.0,,99380.0,1576967,2042608,,,5747439.0,1446802,,12367304.0,1794,22432,173933,90521,1220601,153550,1473496,2758965,136724,2015.0,201500
2015-02-26,4,2014,,22027.0,22027,2422737,,3126822,,,583839,173929,80544,38008,15981,67567,81539,66,124510,,926417,98744.0,,0.0,1640159,205739,3794721,889499,81473.0,5655,2042608,2014年12月31日,2501729,,6755686,6598919,2318000,522935,3837299,9392639,,117086,102158,3406445.0,,144980.0,1218972,2042678,,,5427098.0,1447619,,12182784.0,5602,21643,205979,120157,1302281,156767,1589799,2790145,112418,70.0,7000
2015-04-28,1,2015,,125401.0,125401,2441027,0.0,3262891,,,451531,423302,65543,128576,3175,39299,83367,98,103915,,1211009,98744.0,,,1668297,83623,2992626,906568,,3761,2042678,2015年03月31日,2637798,180463.0,6869428,6719987,2318000,522935,3643127,9675641,83269.0,115692,102158,,3922934.0,,1130637,2042678,12471781.0,5602353.0,,1447619,12471781.0,,0,29088,196303,131745,1679556,149441,1959226,2796140,150815,0.0,0
2015-07-28,2,2015,,22255.0,22255,2440767,0.0,2819660,,,1113030,179845,43593,25629,3374,35415,85169,97,95483,,1279394,98744.0,,,1817806,26680,3047441,1199682,,1206,2042678,2015年06月30日,2106325,118287.0,6395833,6255240,2318000,611177,4037819,9638550,85072.0,114065,102158,,3800020.0,,934707,2042778,12427344.0,6031511.0,,1447953,12427344.0,,1680,27499,177550,137273,1730973,140593,1993692,2788794,69254,100.0,10000
2015-10-27,3,2015,,301765.0,301765,2652489,0.0,3120893,,,563929,212198,108176,306518,4753,132746,86749,47,100388,100388.0,1229167,98744.0,,,1887322,366,4055664,655067,,0,2042778,2015年09月30日,2407558,60358.0,6765139,6621135,2318000,611177,3827538,8687586,86702.0,110697,102158,,2269708.0,,1009045,2042858,11682228.0,4917089.0,,1447952,11682228.0,,0,25837,213545,131068,789257,144004,1089551,2994642,107199,80.0,8000
2016-02-24,4,2015,,,303561,2694435,0.0,3231743,,,624655,242562,61375,309878,6317,168108,111056,47,82874,,1116052,98744.0,,,1901621,51896,3647625,858370,,0,2042858,2015年12月31日,2518408,96804.0,6819277,6685184,2318000,611177,3866032,8856609,111009.0,119480,102158,,2729235.0,,881178,2042858,11878707.0,5059430.0,,1447952,11878707.0,,0,19300,194169,125309,888173,134093,1193398,3022098,75357,0.0,0
2016-04-28,1,2016,,732851.0,732851,2753858,,3353142,,,520399,163464,46805,760255,27404,162475,112820,47,82713,,1277839,98744.0,,,1916680,113396,3183369,966232,,0,2042858,2016年03月31日,2639807,128462.0,6915810,6792013,2318000,611177,5096333,9558638,112773.0,119637,102158,,3678669.0,,1640719,2042858,12644740.0,5728930.0,,1447952,12644740.0,,16422,18333,195192,129894,324585,123797,632597,3086102,108257,,0
