date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,0.0,0.0,2543916,79.0,1540322,196292,0,23878,375.0,2479,45674,45674.0,642,333989,21291,426807,1214149,0.0,,,145671,1659,209990,235446,974295,23756,9682,4541,312698.0,2199569,2013年03月31日,679786,,4369428,4220053,0,463084,1463041,3109792,,210663,,0.0,1111.0,,397452,,823175.0,59171.0,,568391,2199569,,,1994175.0,477683,,6363603.0,747,13773,197145,71235,0.0,0.0,149375,531134,3253811,21526,0
2013-08-07,2,2013,0.0,0.0,2935813,79.0,1212316,657749,0,29860,0.0,-636,50961,50961.0,914,333236,22895,19138,1286643,0.0,131974.0,,131788,11071,209850,274622,1240613,25337,11093,2271,310341.0,2199569,2013年06月30日,439408,,4169802,4020906,0,513129,2003023,3471201,,207691,,0.0,1111.0,,259779,,840244.0,80001.0,,580155,2331543,,,2536398.0,477683,,6706200.0,6826,13924,200139,71167,,0.0,148896,533375,3234999,20302,0
2013-11-07,3,2013,0.0,0.0,2934064,79.0,1455579,256975,0,31346,0.0,-6529,34012,34012.0,821,331638,23623,19710,1359385,0.0,,,188046,2854,209957,199488,1274257,26666,15657,7635,308015.0,2331543,2013年09月30日,682671,,4411497,4258271,0,513129,1638261,3349975,,204860,,0.0,1111.0,,259779,,600549.0,79907.0,0.0,658319,2331543,,,2170925.0,477678,,6582422.0,8703,13924,201026,72623,,0.0,153226,532664,3232447,19735,0
2014-03-20,4,2013,0.0,0.0,2954489,79.0,1681409,349212,2538,35332,168.0,-5811,39278,39278.0,676,324219,25704,23664,1458050,0.0,,,126025,3639,209988,204443,1211015,20084,11519,0,298515.0,2331543,2013年12月31日,908501,,4643005,4485138,0,513129,1756913,3672624,,202250,,0.0,2306.0,,259779,,902921.0,122997.0,,682622,2331543,,,2284472.0,477997,,6927477.0,16171,10000,203340,72065,,0.0,157867,527559,3254853,22859,0
2014-05-07,1,2014,,,3020347,79.0,1968038,251588,0,39797,0.0,-2911,45570,45570.0,295,319733,27141,11446,1428333,0.0,,,217162,2890,149925,236982,1296116,19136,13916,5540,292592.0,2331543,2014年03月31日,1195130,,4932209,4774667,0,513129,1665049,3814772,,201863,,,2332.0,,259779,979613.0,,178819.0,,576324,2331543,,,2188605.0,477997,,7120814.0,5789,10603,203823,69975,,,157542,523556,3306042,21423,0
2014-08-13,2,2014,,,3079767,0.0,1422628,755576,0,40553,0.0,-3161,44296,44296.0,152,319767,26886,28284,1473795,0.0,349731.0,0.0,159863,3750,149956,258453,1240170,10819,13899,10879,292881.0,2331543,2014年06月30日,559340,,4739412,4578738,0,603979,2002187,3882776,,199532,,,2329.0,,259309,1059402.0,,114047.0,,516246,2681274,,,2524231.0,477997,,7263643.0,0,10844,202277,70955,,,160674,522044,3380867,22263,0
2014-10-29,3,2014,,,3164216,0.0,1672433,320918,171,34821,246.0,-3396,49849,49849.0,190,318967,28205,25918,1515743,0.0,,0.0,134658,2567,149996,253956,1208732,19815,17003,6237,290762.0,2681274,2014年09月30日,809145,,4991109,4828308,0,603979,1522032,3573898,,197052,,55837.0,2327.0,,259309,681041.0,,85337.0,,524217,2681274,,,2043130.0,477997,,7034239.0,363,9599,202131,70828,,,162801,521098,3460341,24634,0
2015-02-25,4,2014,,,3309558,0.0,1907325,405851,0,32829,0.0,-6920,38742,,29,315793,30211,33335,1493936,0.0,,0.0,133758,2634,74984,281415,1277606,21159,16028,6685,285582.0,2681274,2014年12月31日,1044037,,5219721,5059862,0,603979,1596288,3724674,,194870,,54428.0,2345.0,,259309,797390.0,,123098.0,,525872,2681274,,,2116132.0,478183,,7335853.0,9934,0,204051,71071,,,159859,519844,3611179,24584,0
2015-04-21,1,2015,,,3404587,0.0,2132563,252081,90,31886,44.0,-15986,40846,40846.0,837,314132,31264,41637,1506852,0.0,,0.0,156770,5746,80000,199381,1291108,41944,11758,6947,,2681274,2015年03月31日,1269275,167204.0,5430610,5276033,0,603979,1390293,3626390,282868.0,192620,37291.0,,,2266.0,259309,,643558.0,,,488001,2681274,7342170.0,1911560.0,,478182,7342170.0,,174,30970,207135,74670,,,154577,521267,3715780,23195,0
2015-07-28,2,2015,,,3503642,,1398925,966145,3398,37416,,-20094,38906,38906.0,187,316649,33887,74658,1488244,,268127.0,0.0,151671,4947,79948,264108,1209519,15280,15559,5105,,2681274,2015年06月30日,431441,76516.0,4963368,4806414,0,708175,2089662,3739980,282762.0,189467,36219.0,,,2234.0,259309,,905378.0,,,497853,2949401,7582354.0,2618986.0,,478182,7582354.0,,6170,0,212675,72373,,,156954,529324,3842374,27073,0
2015-10-28,3,2015,,,3561962,,1629849,308865,185,30603,0.0,-33146,42026,42026.0,290,307461,35479,52484,1491695,,,0.0,150826,3296,159943,247934,1249840,17974,15848,6863,,2949401,2015年09月30日,662365,16898.0,5184487,5024286,0,708175,1676819,3501871,271982.0,186766,33068.0,,,2138.0,259309,,625997.0,,,713575,2949401,7386962.0,2202475.0,,478182,7386962.0,,33271,0,218195,81741,,,160201,525656,3885091,29693,0
2016-02-25,4,2015,,,3627122,0.0,1849641,378628,1613,23166,0.0,-29069,37196,,0,311671,39005,20213,1478089,0.0,,0.0,137856,2933,159971,204412,1199227,7711,17147,8057,,2949401,2015年12月31日,882157,60076.0,5412841,5248270,0,708175,1631885,3659418,272666.0,184062,33890.0,,,7201.0,259309,,861284.0,,,641685,2949401,7569488.0,2156647.0,,478297,7569488.0,,7515,1430,213091,71472,,,164571,524762,3910070,29417,0
