date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,長期應收票據及款項淨額,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-14,1,2013,28462379,57591168,1222800,47173926,5927869,13434731,251872,,647610,6469871,29196772,200274,2272982,876112,18197692,2220340,7667257,,,12408383,,,4477500,6969435.0,243611.0,251872,8783777,560621,6429431,23546,214628.0,6921262,1386568.0,46570790,32309181,2013年03月31日,21205989,,,104251999,86987424,0,11954738,54557931,57789464,,2193825,,6895778.0,31260.0,,14013199,,14912589.0,654874.0,18924.0,12195793,32309181,,8743,259020,,101404838.0,1034446,,205656837.0,559331,4484947,4476186,317277,,44448.0,27385888,12516435,1182242,3460917,17264575,46846907,147867373,1236841,734393,0,734393
2013-08-14,2,2013,38927333,60376016,1330090,43535464,6011818,12499554,5955033,,6599231,5663318,39546673,171829,2128488,750454,17709773,1786893,7433744,646184.0,,13941678,,,4048305,8207399.0,289457.0,5955033,9856002,591549,6000544,23336,212813.0,6916108,1417478.0,44022630,32309181,2013年06月30日,16951133,,,100693206,83173955,0,12571132,69315658,71535086,,2207072,,12385322.0,495827.0,,14013199,,19077321.0,497967.0,29590.0,9934680,32955365,,8963,250214,,118182473.0,1019808,,218875679.0,827181,1951495,4420823,366045,,37246.0,28088366,12448726,1165221,3474154,17519251,48866815,147340593,1403305,619340,0,619340
2013-11-04,3,2013,36571045,61712474,1328987,44573588,5854126,13080253,211553,,3200328,5888881,37369798,451971,1779199,418772,17581809,1828354,6620229,,,8530723,,,5174182,7068255.0,243183.0,211553,9335871,500830,5498446,23546,212227.0,6908883,1568480.0,44684030,32955365,2013年09月30日,17989256,,,102152309,84437079,0,12571132,65784356,57543204,,2170520,,6525884.0,491445.0,,14013200,,13255032.0,487020.0,54266.0,14030950,32955365,,8963,666635,,105302120.0,1019245,,207454429.0,1190452,4431743,4458164,384344,,34544.0,24048499,12299163,1148200,3454292,17715230,39517764,149911225,1790932,798753,0,798753
2014-03-24,4,2013,32681712,62406097,1485416,46676663,9074555,13664054,212566,,2470991,8299190,33307874,533880,1959434,646277,17496010,1991186,7863420,,,8606676,,,4508007,7649148.0,414977.0,212566,9861131,532567,7049301,24029,181978.0,6901659,0.0,45986267,32955365,2013年12月31日,20092331,,,107339040,88949297,0,12571132,61955511,65337233,,2176436,,6731406.0,155668.0,,14013200,,19184742.0,870572.0,11774.0,13768355,32955365,,8963,275528,,108668390.0,1018079,,216007430.0,1215049,760570,4747908,398590,,30747.0,31092586,12109603,1131179,3395221,18389743,46712879,150670197,1238867,626162,0,626162
2014-05-13,1,2014,27184290,62784825,1484314,93608899,8841899,12513779,213191,,2838051,7739248,27946695,330788,1990336,694373,17339044,1986664,8482463,,0.0,7522508,,,5749841,7579802.0,289144.0,213191,9751962,743951,8006283,23611,181806.0,31820375,0.0,68465508,32955365,2014年03月31日,21532144,,,153439183,135406302,0,12571132,58466591,59219582,,2174925,,7299646.0,160899.0,,59505623,7387787.0,,703875.0,13352.0,14970671,32955365,,8963,279351,,102918405.0,1102790,,256357588.0,1004409,4056919,5680307,394337,,27225.0,28952087,11946063,1114157,3406317,18032881,44451814,197138006,1442870,762405,0,762405
2014-08-08,2,2014,11898188,67356408,1483211,90752642,8732423,12979110,8947152,2385200.0,6631883,5251957,12633385,713656,1711031,432259,17773972,2011719,8508625,659107.0,0.0,20052060,,,8206423,11572505.0,409067.0,6561952,10877087,705607,7595168,24029,181636.0,32377796,0.0,65746947,32955365,2014年06月30日,17995304,,,148259570,130722218,0,13251715,62611733,62134910,,5247928,,7381404.0,205484.0,,59505623,7918436.0,,633308.0,1202.0,19131996,33614472,,9188,640168,,117410784.0,1103147,,265670354.0,1068709,670597,5760739,364588,,22614.0,26612439,11914417,1097136,3847836,17537352,54799051,203535444,2374793,735197,0,735197
2014-11-11,3,2014,12415799,67653241,1485416,92772367,9236989,13025649,1627011,1414094.0,2926987,6354884,13274046,663625,1846732,586741,17683194,2011754,8843802,0.0,0.0,20358329,,,12062586,9991229.0,267603.0,212917,11551381,692928,6729402,24029,179876.0,32611493,0.0,67727011,33614472,2014年09月30日,20015029,,,152157576,133814836,0,13251715,60537507,57967112,,5311323,,6676573.0,144279.0,,59505623,8000913.0,,471541.0,2918.0,21847589,33614472,,9188,274596,,111826893.0,1073113,,263984469.0,986714,857516,5873208,375751,,18372.0,22918149,11791498,1080115,3879942,18342740,51289386,206017357,1760049,858247,0,858247
2015-03-20,4,2014,16162537,70586382,1432927,94863921,16949278,13363777,919929,707454.0,2633755,12281251,16836926,792541,1816331,562720,17666845,2129699,9416977,0.0,0.0,20954895,,,13241862,9753342.0,256664.0,212475,11889276,625319,7616264,24029,190518.0,33351639,0.0,69755589,33614472,2014年12月31日,22106583,,,161727226,141833564,0,13251715,64989203,70558875,,5485677,,5834881.0,152468.0,,59505623,12739834.0,,593984.0,1251.0,22816222,33614472,,9188,306021,,121091829.0,1073920,,282819055.0,561086,743682,6827330,464876,,14854.0,26183195,11590904,1063093,3946242,19893662,56102626,212260180,1291788,674389,0,674389
2015-05-13,1,2015,16137001,69163983,1431824,96348507,21555216,13698569,908636,696976.0,2822819,16468033,16859536,668456,1745467,508323,17501567,2210204,9759575,,0.0,19571451,8099432.0,293921.0,17035965,,,211660,11396358,645563,6420380,8358,,33512898,,70783859,33614472,2015年03月31日,23591169,555143.0,4592.0,167234786,147504932,0,13251715,67410775,75530943,191072.0,5404921,8471607.0,,,150510.0,59505623,,10953430.0,,,23091087,33614472,287627090.0,9188,312759,120392304.0,,1073920,287627090.0,,547028,697518,6911988,448016,10839.0,0.0,24439864,11449408,1046072,3841955,19729854,52981529,212096147,2127071,722535,0,722535
2015-08-11,2,2015,18864392,67967681,16725166,91841489,5899873,10853869,8591027,690379.0,6587117,13366914,19501256,578613,1717477,497867,17194977,2105996,9422919,0.0,,8000000,8566822.0,258286.0,13893471,,,7900648,11429132,508709,5910616,14627,,33764403,,68088430,33614472,2015年06月30日,16534862,367338.0,4347.0,158949052,139896795,0,14187878,74595444,63739987,190559.0,5309534,8986644.0,,,159862.0,61118749,,11887636.0,,,23188400,33614472,284232097.0,9419,311015,125283045.0,,1073920,284232097.0,,212549,618251,6905976,428188,6876.0,0.0,33753133,11305605,1029051,3783376,19052257,50687601,220492110,1891503,636864,0,636864
