date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,54932,2779677,62065.0,0.0,516924,,-274290,151769,,72245,26710,,9753,,,,3210674,,,1632599,,2851.0,,872273,,26710.0,,,1150416,2013年03月31日,1496647,,6454469,6454469,0,1031744,2371131,8585545,,2872,,1209009.0,172908.0,,251286,,3159279.0,66988.0,0.0,1150416,,,2398022.0,2798666,,8852491.0,181,26481,,0,26891,266946,0
2013-07-23,2,2013,56895,2147196,21972.0,0.0,1480747,560414.0,-268503,149041,,118966,26263,,9901,,,,3106379,,,1588628,,1951.0,920333.0,938922,,26263.0,,,1150416,2013年06月30日,664318,,5886156,5828032,0,1135293,3298001,8932572,,2638,,2304711.0,175968.0,,347585,,2441622.0,77634.0,0.0,1150416,,,3324446.0,2798923,,9210602.0,182,32628,,58124,26445,278030,0
2013-11-06,3,2013,57826,2418316,11670.0,0.0,549247,549247.0,-322017,94223,,112197,25934,,9841,,0.0,,2954212,,,1433110,,1091.0,,1087960,,25934.0,,,1150416,2013年09月30日,935438,,6102361,6045638,0,1135293,2113934,7961398,,1237,,1981647.0,182838.0,,347585,,1813712.0,36263.0,0.0,1150416,,,2141705.0,2798923,,8244066.0,1837,30926,,56723,27771,282668,0
2014-03-19,4,2013,74182,2637203,11415.0,0.0,557498,,-294017,90935,,163767,20395,,9191,,,9191.0,3487853,,,1915124,,420.0,,905364,,20395.0,,,1150416,2013年12月31日,1154325,,6347640,6292525,0,1135293,2635505,8569551,,170,,1874916.0,324140.0,,347585,,2126236.0,71528.0,0.0,1150416,,,2656065.0,2798923,,9003705.0,165,26471,,55115,20560,434154,0
2014-05-05,1,2014,77396,2890989,16050.0,,528159,,-210141,88420,,148856,20853,,8213,,,8213.0,3272419,0.0,,1427912,,0.0,,915997,,20853.0,,,1150416,2014年03月31日,1408111,,6683064,6630187,0,1135293,2155310,8233331,,725,,2293832.0,513575.0,,347585,1586177.0,,110819.0,,1150416,,,2176331.0,2798923,,8859395.0,168,26155,,52877,21021,626064,0
2014-08-04,2,2014,203333,1776163,0.0,,1586876,485237.0,-284468,53321,,244514,21309,,8204,,,8204.0,3587857,,0.0,1284403,,1260.0,1101639.0,701602,,21309.0,26899.0,26899.0,1150416,2014年06月30日,240711,,5487782,5441034,0,1241435,2978182,7885837,,447,,2421792.0,334423.0,,294017,930072.0,,52322.0,,1150416,,,2999491.0,2798923,,8487273.0,0,28130,,46748,21309,601436,0
2014-11-04,3,2014,209246,1926188,0.0,,504328,504328.0,-218837,50373,,234945,21766,,8694,,,8694.0,3625246,,0.0,1252090,,840.0,,1001302,,21766.0,22605.0,22605.0,1150416,2014年09月30日,390736,,5698910,5656690,0,1241435,1807631,6310952,,1279,,935219.0,947069.0,,294017,514240.0,,0.0,,1150416,,,1829557.0,2798923,,7528467.0,160,28622,,42220,21926,1217515,0
2015-03-11,4,2014,217132,2044970,0.0,,445867,,-68672,76210,,156684,18243,,7302,,,7302.0,3771467,,0.0,1147888,,0.0,,917892,,18243.0,17247.0,17247.0,1150416,2014年12月31日,509518,,5962856,5925637,0,1241435,1696510,7068735,,1073,,1612659.0,337953.0,,294017,610033.0,,26545.0,,1150416,,,1721946.0,2798923,,7684802.0,7193,35360,,37219,25436,616067,0
2015-04-29,1,2015,214035,2133767,0.0,,380292,,-111651,102280,,160052,19020,,6315,,,6315.0,3144383,,,834532,,,,800068,,,,12983.0,1150416,2015年03月31日,598315,46932.0,6001237,5972312,0,1241435,1364036,6767338,,1121,1327078.0,,,343199.0,294017,,1335757.0,,,1150416,7384881.0,1383644.0,,2799780,7384881.0,,588,39890,,28925,19608,617543,0
2015-08-05,2,2015,212820,1705318,,,856964,396797.0,-165912,65505,,126075,44447,,7736,,,7736.0,2630535,,0.0,761295,,1260.0,460167.0,829985,,,8386.0,8386.0,1150416,2015年06月30日,344601,80554.0,5511176,5489602,0,1292045,2165578,7450970,,978,2606070.0,,,391.0,68672,,1258305.0,,400000.0,1150416,7721787.0,2210611.0,,2799780,7721787.0,,586,40506,400000.0,21574,45033,270817,0
2015-11-06,3,2015,231905,1768129,,,503333,503333.0,82990,127436,,103770,19560,,10176,,,10176.0,3280064,,0.0,1578645,,840.0,,1078462,,,4395.0,4395.0,1150416,2015年09月30日,407412,56282.0,5809745,5801315,0,1292045,2606536,8152557,19560.0,10307,0.0,,,416.0,68672,,3690261.0,,340000.0,1150416,8436503.0,2626758.0,,2799780,8436503.0,,662,26747,340000.0,8430,20222,283946,0
2016-03-07,4,2015,236838,1824545,,,500859,,76539,76794,76794.0,117984,22141,922.0,10393,1205.0,,9188.0,3128079,,0.0,1366622,196736.0,,,941032,51399.0,,748.0,748.0,1150416,2015年12月31日,463828,103399.0,5856539,5851280,0,1292045,2244410,7812156,21219.0,12924,0.0,,,415.0,68672,,3573662.0,,,1150416,8131233.0,2274694.0,,2799780,8131233.0,,8143,57759,,5259,30284,319077,0
2016-05-06,1,2016,233553,1901144,,,341318,,-3284,81219,,74832,21679,0.0,10349,1181.0,,9168.0,3122804,,,1236844,217332.0,,,799739,24568.0,,,0.0,1150416,2016年03月31日,540427,133486.0,5842733,5848056,0,1292045,2010199,7558893,21679.0,11306,0.0,,,408.0,68672,,3536950.0,,,1150416,7875027.0,2032294.0,,2799780,7875027.0,,416,60518,,-5323,22095,316134,0
2016-08-09,2,2016,231699,1628945,,,641031,353427.0,8226,74178,,82477,22139,0.0,10237,1045.0,,9192.0,2822416,,0.0,959815,213311.0,0.0,287604.0,770634,36793.0,,0.0,0.0,1150416,2016年06月30日,312825,54375.0,5576121,5587367,0,1316120,1942710,7238450,22139.0,12727,0.0,,,409.0,0,,3526130.0,,0.0,1150416,7553023.0,1976902.0,,2799780,7553023.0,,12053,59501,0.0,-11246,34192,314573,0
2016-11-03,3,2016,223121,1687564,,,417483,,-106990,66714,,103557,22599,0.0,9599,1151.0,,8448.0,2838219,,0.0,1273512,352019.0,0.0,,780895,76575.0,,0.0,0.0,1150416,2016年09月30日,371444,53921.0,5510427,5530770,0,1316120,2163649,7386179,22599.0,13808,,,,397.0,0,,3586933.0,,0.0,1150416,7697081.0,2186654.0,,2799780,7697081.0,,406,63977,,-20343,23005,310902,0
