date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,1780299,463.0,976095,1497395,1242494,,74171,74171.0,185233,1435873,28415,25532,,3326,,139191,3720.0,246111,7930.0,238979,,,148877,,39004,178673,599837,218884.0,218884,88777,78234,33968,135471.0,243935,1444960,2013年03月31日,592993,,3893100,3893100,0,383102,1988364,2381447,,242305,,104547.0,45604.0,0.0,1022660,1444960,,,2278475.0,36172,,6171575.0,920.0,34521,150000,238181,238181,,290111,3790128,,0
2013-08-06,2,2013,1883797,463.0,994574,1019599,1247389,,447099,447099.0,5267,1247367,38379,40635,,2957,,139933,3707.0,248953,7986.0,238979,,,148908,,42105,124328,299854,221762.0,221762,99772,83497,13965,136226.0,243546,1444960,2013年06月30日,566338,,3723073,3723073,0,428236,1600206,1744031,,241936,,110626.0,39960.0,0.0,608481,1444960,,,1921414.0,36172,,5644487.0,1275.0,34372,180000,240967,240967,,321208,3900456,,0
2013-11-11,3,2013,1998113,463.0,1181489,1104265,1350972,,87442,87442.0,5931,1430440,27925,57138,,2525,,139750,3748.0,256822,8683.0,238979,,,143297,,42372,113267,449856,214609.0,214609,111338,63339,33398,136002.0,243158,1444960,2013年09月30日,753253,,4093061,4093061,0,428236,1670334,1978921,,241504,,245606.0,31920.0,0.0,917552,1444960,,,2011266.0,36172,,6104327.0,1182.0,34374,200000,240597,240597,,340932,4125406,7542.0,0
2014-03-14,4,2013,2153204,463.0,1229021,1440903,1122476,,112223,112223.0,17403,1549062,36742,72124,,2342,,159153,94.0,263909,6962.0,238979,,,131161,,55648,143103,459755,195972.0,195972,110274,61104,38325,159059.0,242770,1444960,2013年12月31日,800785,,4259215,4259215,0,428236,1839406,2195916,,241321,,128650.0,48110.0,0.0,983825,1444960,,,1998559.0,36172,,6257774.0,0.0,37715,0,238418,238418,,159153,4061858,18529.0,0
2014-05-06,1,2014,2224512,463.0,1295914,1249533,1008806,,91469,91469.0,11534,1204019,40886,86459,,2131,,163624,4596.0,405203,7529.0,238979,,,97303,0.0,40954,105264,709787,213762.0,213762,132039,61933,31068,159028.0,242383,1444960,2014年03月31日,867678,,4130985,3981065,0,428236,1805196,2089321,,241110,205690.0,,63005.0,,753831,1444960,,,2118820.0,36172,,6249805.0,0.0,38007,150000,229667,229667,149920.0,313624,4160484,168007.0,0
2014-08-05,2,2014,2326670,0.0,846298,1136648,1195791,,669345,669345.0,20326,1121573,36932,105307,,1924,,164783,5389.0,268355,7184.0,238979,,,124141,0.0,49504,118084,359924,251064.0,251064,141969,66610,33505,159394.0,262526,1444960,2014年06月30日,337984,,3597227,3449003,0,508314,2212636,2043859,,240903,164289.0,,42357.0,,936490,1444960,,,2777419.0,36172,,6374646.0,0.0,36542,400000,232126,232126,148224.0,564783,4330787,29045.0,0
2014-11-12,3,2014,2491014,0.0,1060942,1066412,1161998,,92770,92770.0,5476,953594,41507,125842,,1772,,165152,5580.0,236727,7873.0,238979,,,118992,0.0,55783,195566,409908,263929.0,263929,106610,64750,31134,159572.0,261801,1444960,2014年09月30日,552628,,3649364,3495668,0,508314,1888138,1873086,,240751,89941.0,,29978.0,,1062626,1444960,,,2653290.0,36172,,6302654.0,0.0,37277,600000,228854,228854,153696.0,765152,4429568,0.0,0
2015-03-16,4,2014,2636980,0.0,1133345,1868592,636980,,106594,106594.0,8136,1132255,36191,143883,,1670,,173266,3722.0,370691,10325.0,238979,,,159070,0.0,57322,153981,659753,232287.0,232287,119024,62887,22234,169544.0,260993,1444960,2014年12月31日,625031,,3907924,3746732,0,508314,2570490,2716064,,240649,99951.0,,48593.0,,1508056,1444960,,,2993756.0,36172,,6901680.0,,39323,250000,229672,229672,161192.0,423266,4185616,130694.0,0
2015-05-05,1,2015,2644637,0.0,1223579,1841163,627630,,76042,76042.0,10746,1082169,36002,154853,,1702,,153096,6086.0,232243,12838.0,238979,,,148848,,43079,139824,1009681,274060.0,274060,133306,59109,22662,,260067,1444960,2015年03月31日,715265,53987.0,4264200,3786880,0,508314,2710422,3088222,147010.0,240681,,443475.0,,,1351807,1444960,7127718.0,2863518.0,,36172,7127718.0,,,34238,0,219405,219405,477320.0,153096,4039496,0.0,0
2015-07-28,2,2015,2733237,,893559,1662734,601917,,559376,559376.0,8180,926475,46771,173045,,1513,,159287,11832.0,237613,14227.0,238979,,,136916,0.0,54426,139930,909753,297695.0,297695,130910,64711,10908,,259142,1444960,2015年06月30日,336088,28347.0,3778157,3301166,0,557471,2754904,3087606,147455.0,240492,,602507.0,,,1016301,1444960,7192348.0,3414191.0,,36172,7192348.0,,,32341,500000,223386,223386,476991.0,659287,4104742,0.0,0
