date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－關係人,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保固之短期負債準備,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融負債－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預收款,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃資產成本,租賃資產淨額,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－其他設備,累計減損－房屋及建築,累計減損－機器設備,累計減損－租賃資產,累計減損－辦公設備,累計減損－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,長期應付票據及款項合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收房地款,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-30,1,2013,0.0,0.0,0.0,0.0,0,2113262,,1041516,,715373,14236,715373,0.0,51285,51285.0,215060,8720,377897,377897,39944,39944,1912075,623044,21968.0,134389,8233,90423,90423,90423,0.0,,,,0,0.0,84132,0.0,2459635,2459635,0.0,,,,1497091,1497091,0.0,0,0.0,0.0,856063,856063,0.0,0.0,8877.0,0.0,1046690,1046690,38795,38795,680408,680408,42024.0,961258,636821,30391,30391,1224942,2013年03月31日,1041516,223701,,1113607,516261,3269547,3269547,0,4151279,5265412,,39944,,295258.0,54108.0,755565,59073,40172,1041516,1289031,324437,597346,18901,145640,27329,0.0,0.0,0.0,0.0,0.0,0.0,1224942,,,,,4296599.0,951804,951804,951804,,,7566146.0,201118,55478,43783,,366729,,45114,17785,10931,10931,26714,755565,0.0,,0,0,,0.0,145320,2300734,0.0,0.0,0.0,0.0,175495,0.0,0,175495
2013-08-09,2,2013,0.0,0.0,0.0,0.0,0,2200107,14095.0,988242,0.0,1095631,10290,1095631,,110384,110384.0,83746,119,318866,318866,47514,47514,2105124,736819,0.0,153368,8082,139881,139881,139881,0.0,,,,0,0.0,102675,0.0,1772419,1772419,0.0,,,,1792071,1792071,0.0,0,0.0,0.0,1006561,1006561,0.0,0.0,5699.0,0.0,1694467,1694467,49882,49882,953231,953231,42611.0,988526,648010,27170,27170,1224942,2013年06月30日,988242,167006,,1164875,531030,3275372,3275372,0,4736377,5734232,,47514,,738786.0,60153.0,574590,60879,39896,988242,1368305,340516,633845,20983,145362,28360,0.0,0.0,0.0,0.0,0.0,0.0,1224942,,43515.0,,,4900975.0,951804,951804,951804,,,8176347.0,202571,57209,69820,,206581,,48497,20137,11230,11230,27443,574590,0.0,29420.0,0,0,,0.0,164598,2442115,0.0,0.0,0.0,0.0,77928,0.0,0,77928
2013-11-09,3,2013,0.0,0.0,0.0,0.0,0,2212486,12523.0,1029982,0.0,670264,16163,670264,,80241,80241.0,175867,178,303096,303096,50955,50955,2211281,804954,0.0,132332,7662,123639,123639,123639,0.0,,,,0,0.0,82486,0.0,2025119,2025119,0.0,,,,1368844,1368844,0.0,0,0.0,0.0,809517,809517,0.0,0.0,2256.0,0.0,941176,941176,30536,30536,1308140,1308140,42184.0,978615,634480,27028,27028,1224942,2013年09月30日,1029982,85738,,1217273,564952,3286969,3286969,0,4018858,5008009,,50955,,321258.0,68012.0,837841,60295,37978,1029982,1406327,344135,652321,22317,148640,29308,0.0,0.0,0.0,0.0,0.0,0.0,1224942,,42485.0,,,4162300.0,951804,951804,951804,,,7449269.0,207075,58435,29865,,78684,,55257,25949,11110,11110,27152,837841,0.0,29962.0,0,0,,0.0,143442,2441260,0.0,0.0,0.0,0.0,173433,0.0,0,173433
2014-03-28,4,2013,0.0,0.0,0.0,0.0,0,2262089,14021.0,1084170,0.0,648779,10793,648779,,90604,90604.0,384583,154,295888,295888,57205,57205,2249095,800956,0.0,148795,7350,116767,116767,116767,0.0,,21484.0,,0,0.0,97972,0.0,2492774,2492774,0.0,,,,1434307,1434307,0.0,0,0.0,0.0,743266,743266,0.0,0.0,0.0,0.0,970502,970502,64269,64269,1284663,1284663,43473.0,988525,636083,22769,22769,1224942,2013年12月31日,1084170,144309,,1285892,595550,3351520,3351520,0,4535582,5527463,,57205,,343096.0,89437.0,1159668,0,0,1084170,1448139,352442,690342,0,150748,30783,0.0,0.0,0.0,0.0,0.0,0.0,1224942,,58304.0,,,4685914.0,951804,951804,951804,,,8037434.0,211166,60418,6445,,76271,21484.0,55556,24773,1537,1537,29657,1159668,0.0,44283.0,0,0,,0.0,150332,2509971,0.0,0.0,0.0,0.0,384429,0.0,0,384429
2014-05-13,1,2014,,,,,0,2330989,86676.0,847620,,797504,8068,797504,,124143,124143.0,201379,200,498945,498945,57400,57400,2401104,877058,,145616,7101,118668,118668,118668,,,,,0,,94088,,2799806,2799806,,0.0,,,1589198,1589198,,0,,,989681,989681,,,0.0,,1557220,1557220,87020,87020,1028631,1028631,44427.0,1001033,636846,24475,24475,1224942,2014年03月31日,847620,120494,,1339693,612384,3148509,3148509,0,5642991,6350147,,57400,367291.0,,66000.0,1775527,0,0,847620,1524046,364187,727309,0,157199,31875,,,,,,,1224942,,86676.0,,,5790162.0,951804,951804,951804,,,8938671.0,217678,60479,128958,0.0,11234,4400.0,55603,23728,1555,1555,52592,1775527,,,0,0,,,147171,2588524,,,,,201179,,0,201179
2014-08-14,2,2014,,,,,0,2306762,70137.0,569121,,1122541,8596,1122541,,73973,73973.0,140369,309,343725,343725,59462,59462,2438115,881318,,188264,54808,188489,188489,188489,,,,,0,,88848,,2484282,2484282,,0.0,,,1894733,1894733,,0,,,1528429,1528429,,,0.0,,2144277,2144277,66199,66199,1201693,1201693,44608.0,982834,618007,29090,29090,1224942,2014年06月30日,569121,117698,,1353320,609496,2819840,2819840,0,6464705,6858557,,59462,618381.0,,144.0,1593617,0,0,569121,1556797,364827,743824,0,158985,32761,,,,,,,1224942,,70137.0,,,6654496.0,951804,951804,951804,,,9474336.0,216234,57249,106139,0.0,0,0.0,55755,22994,1527,1527,31976,1593617,,,0,0,,,189791,2615779,,,,,140060,,0,140060
2014-11-12,3,2014,,,,,0,2372186,76344.0,535835,,735459,6838,735459,,158999,,142076,403,361942,361942,57563,57563,2582444,915453,,205084,56082,364609,364609,364609,,,,158999.0,158999,,102987,,2610247,2610247,,0.0,1148718.0,1148718.0,1396295,1396295,,0,,,832720,832720,,,0.0,,948392,948392,26373,26373,996035,996035,46015.0,1018787,635709,30427,30427,1228846,2014年09月30日,535835,122490,,1380647,603851,2984696,2984696,0,3848764,5354364,,57563,411375.0,,5387.0,626018,0,0,535835,1666991,383078,776796,0,168689,35184,,,,,,,1228846,,76344.0,,,5227372.0,1061016,967241,967241,93775.0,,8212068.0,239455,70766,27627,23234.0,0,0.0,59101,23917,1572,1572,32919,626018,,,0,0,,,1378608,2857704,,,,,141673,,0,141673
2015-03-27,4,2014,,,,,0,2928315,114928.0,439528,,701627,14057,701627,,245603,,363200,142,457088,457088,61179,61179,2784732,1013206,,215663,57010,168410,168410,168410,,,,245603.0,245603,,110379,,3036936,3036936,,0.0,1117431.0,1117431.0,1286318,1286318,,0,,,1046379,1046379,,,,,1175121,1175121,19630,19630,1004768,1004768,48274.0,1177995,775255,32350,32350,1228846,2014年12月31日,439528,279051,,1565637,756413,2971893,2971893,0,5108242,6236439,,61179,523194.0,,0.0,1574798,0,0,439528,1771526,402740,809224,0,173712,37265,,,,,,,1228846,,114928.0,,,6488661.0,1057916,967241,967241,90675.0,,9460554.0,252824,79112,6935,45708.0,19702,0.0,62543,25278,1617,1617,33861,1574798,,,0,0,,,1380419,3224115,,,,,363058,,0,363058
2015-05-05,1,2015,,,,,0,3201513,24504.0,438708,,771789,14525,771789,,214625,,204988,126,440203,440203,55697,55697,2845435,1040082,,252112,55803,186816,186816,186816,,,,214625.0,214625,,139576,,2792868,2792868,,0.0,1123180.0,1123180.0,1181577,1181577,,0,,,1014229,1014229,,,0.0,,1789106,1789106,21304,21304,657108,657108,,1265105,857270,30493,30493,1228846,2015年03月31日,438708,272403,5025.0,1711904,912839,2940095,2940095,0,5439434,6302677,56733.0,55697,,587326.0,,2114389,0,0,438708,1805353,407835,799065,0,175901,37894,,,,,,,1228846,9810731.0,132912.0,0.0,6870636.0,,1057916,967241,967241,90675.0,9810731.0,,261657,85756,0,54309.0,14762,0.0,71057,33163,1601,1601,33535,2114389,,108408.0,0,0,,,1431202,3508054,,,,,204862,,0,204862
2015-08-09,2,2015,,,,,0,3050524,21315.0,576477,,877655,13339,877655,,165738,,161325,113,457158,457158,51244,51244,2835459,984201,,297564,54330,184761,184761,184761,,,,165738.0,165738,,186655,,2236512,2236512,,0.0,1128958.0,1128958.0,1486236,1486236,,0,,,772933,772933,,,0.0,,2178387,2178387,64263,64263,514833,514833,,1249242,839437,33792,33792,1228846,2015年06月30日,576477,229521,324.0,1697494,879580,3028977,3028977,0,4709244,5857441,56579.0,51244,,396086.0,,1275895,0,0,576477,1851258,409805,817914,0,179410,39132,,,,,,,1228846,9210800.0,121537.0,0.0,6181823.0,,1057916,967241,967241,90675.0,9210800.0,,266288,86878,0,44479.0,10202,0.0,70039,30907,1578,1578,33038,1275895,,100222.0,0,0,,,1472579,3353359,,,,,161212,,0,161212
