date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,0.0,713371,9925,281951,,,2768.0,74041,28915,,-7887,21019,21019.0,230778,25194,49413,,370,487977,47416,,,,139114,,14391,111581.0,111581,816.0,816,24824.0,8867,,0,947939,2013年03月31日,80987,,,1445640,1442608,3846000,191662,490258,1211712,,1368,9302,,287986.0,1846.0,239752,947939,,,560760.0,268021,,2006400.0,95.0,60891,45308,11744,,,3032,70502,794688,0
2013-08-13,2,2013,,0.0,708157,14573,263727,,,1345.0,84412,544102,,1986,15441,15441.0,181729,25400,49788,,373,222096,47416,,,,153043,,19387,95110.0,95110,3294.0,3294,25027.0,8837,,0,947939,2013年06月30日,40537,,,1437391,1434257,3846000,195115,744487,1455554,,1281,28075,,363577.0,166.0,470199,947939,,,814917.0,268021,,2252308.0,1839.0,44301,45030,14118,,,3134,70430,796754,0
2013-11-08,3,2013,,0.0,615709,14372,305448,,0.0,0.0,53055,606732,606732.0,-4962,20953,20953.0,87458,25586,48918,,371,220807,47346,,,184862.0,184862,31990.0,31990,136831.0,136831,1042.0,1042,25215.0,36221,0.0,0,947939,2013年09月30日,82258,,,1472269,1469113,3839000,195115,690556,1506838,,1166,28075,,405910.0,3187.0,396345,947939,,,760704.0,268034,,2232973.0,164.0,48058,44562,9749,,,3156,70148,726135,0
2014-03-28,4,2013,0.0,0.0,622837,10034,304998,0.0,,0.0,59536,492760,,4847,28237,28237.0,21124,17324,49033,4847.0,988,222955,22705,,,,189796,,25486,,171893,,158,16336.0,144256,,6171,947939,2013年12月31日,81808,,,1516854,1513638,1541000,195115,713012,1457339,,1090,28075,,499765.0,5978.0,403867,947939,,,778018.0,278559,,2294872.0,112.0,48684,47682,4112,,,3216,65006,837533,0
2014-05-09,1,2014,,,566051,7706,313458,0.0,,0.0,44947,425133,,27354,23695,23695.0,19955,17473,48424,27354.0,987,228161,21134,,0.0,,135363,,26827,137121.0,137121,633.0,633,16486.0,192020,,8546,947939,2014年03月31日,90268,,,1550829,1547333,1422000,195115,632191,1424248,,991,28075,561709.0,,7634.0,393706,947939,,,701786.0,279716,,2252615.0,19.0,51536,52122,4629,,,3496,69595,828367,0
2014-08-13,2,2014,,,540354,10011,273410,0.0,,0.0,68100,531092,,14189,17782,17782.0,12333,17735,47142,14189.0,1095,230519,0,32684.0,0.0,,141503,,31174,161673.0,161673,348.0,348,16640.0,204012,,6264,933993,2014年06月30日,65509,,,1531059,1527416,0,198599,696861,1480819,,836,9302,485034.0,,11700.0,426602,966677,,,763907.0,273140,,2294966.0,0.0,59820,49311,5528,,,3643,67046,814147,0
2014-11-11,3,2014,,,546602,10050,301076,,,,55346,390164,390164.0,32279,30038,30038.0,23174,17895,48230,32279.0,1102,230405,0,,0.0,148273.0,148273,20197.0,20197,171410.0,171410,1154.0,1154,16793.0,203713,6316.0,6316,966677,2014年09月30日,93175,,,1577270,1573172,0,198599,628945,1459089,,445,9302,588381.0,,9150.0,365941,966677,,,701656.0,273140,,2278926.0,0.0,54401,54816,4481,,,4098,72711,819837,0
2015-03-13,4,2014,,,546100,9642,291356,,,,71531,498458,,51261,27842,27842.0,25194,20115,49139,51261.0,1108,228105,0,,0.0,,126349,,21860,,154454,,933,19007.0,203414,,6207,966677,2014年12月31日,83455,,,1586607,1582434,0,198599,730022,1575229,,385,9302,598222.0,,9493.0,472947,966677,,,809071.0,273140,,2395678.0,0.0,69863,58934,5562,,,4173,79049,820449,0
2015-05-08,1,2015,,,537425,9620,292551,,,,58403,645197,,44797,13948,13948.0,84435,20132,48317,44797.0,971,193324,0,,0.0,,115648,,11060,143066.0,143066,166.0,166,,203115,,6207,966677,2015年03月31日,84650,11630.0,,1581615,1577165,0,198599,842967,1692022,19161.0,313,9302,,554151.0,,632278,966677,2502577.0,920962.0,,273140,2502577.0,,0.0,71683,57863,5558,,,4450,77995,810555,0
2015-08-13,2,2015,,,526208,8738,269510,,,,97288,530120,,33812,11683,11683.0,20233,20357,47269,33812.0,1024,238664,0,9667.0,0.0,,172374,,15034,201467.0,201467,50.0,50,,202816,,6177,966677,2015年06月30日,58134,5336.0,,1557719,1552806,0,202074,890652,1730083,19333.0,270,9302,,672997.0,,588937,976344,2528683.0,970964.0,,273140,2528683.0,,,66552,59955,7122,,,4913,80312,798600,0
