date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1490126,3002061,3742,,-420206,0.0,180267,142712,4652,341.0,-17,1735961,238419,26796,,,320,445867,,76595,2828,,72387,593958,415969,177989,0.0,,93586,49.0,1977.0,30775,145796,21.0,,52112,31302.0,,,7459.0,630000,2013年03月31日,-421944,,,1039579,210238,0,1733,2311128,985485,,1853,,5,,55783.0,,121.0,96000.0,630000,,29801.0,,3068256.0,461,,4107835.0,,,0.0,34382.0,311261.0,1060,829341,757128,3122350,70861,7416,0
2013-08-13,2,2013,1489141,2859846,4330,7459.0,-539727,0.0,161360,132700,6417,3658.0,-10,1745267,240767,23996,,,525,441568,418262.0,81370,2755,23250.0,77030,602864,415969,186895,,,123583,9320.0,1483.0,30414,182895,10905.0,0.0,46289,14744.0,56.0,,,630000,2013年06月30日,-541465,,,919241,112973,0,1733,2329928,1005008,,1541,,5,,57123.0,,43.0,96000.0,630000,,29801.0,,3070306.0,22710,,3989547.0,,,0.0,34323.0,298810.0,1060,806268,740378,2984539,51744,15359,0
2013-11-12,3,2013,1460676,1801238,3725,6384.0,-543559,0.0,126947,128700,2173,0.0,0,1702510,236934,516,,,315,384284,,72002,2280,,68347,535378,415969,119409,,,82455,0.0,0.0,24397,130663,0.0,0.0,39559,0.0,,,,630000,2013年09月30日,-545297,,,407769,115782,0,1733,2065009,985643,,1053,,5,,32456.0,,37.0,0.0,630000,,0.0,,2458551.0,29341,,2866320.0,,207449.0,0.0,0.0,9258.0,1060,291987,393542,1880677,33687,4900,0
2014-03-25,4,2013,1521195,1781756,4032,5948.0,-489386,0.0,112948,128700,374,1075.0,0,1766556,237011,3373,,,451,259171,258851.0,70739,1331,320.0,67897,541804,415969,125835,,,128831,0.0,0.0,18134,155066,0.0,,41038,0.0,0.0,,,630000,2013年12月31日,-491124,,,444646,169955,0,1733,2155270,1003414,,953,,5,,29298.0,101.0,3.0,0.0,630000,,0.0,,2418164.0,29341,,2862810.0,,204201.0,0.0,0.0,3723.0,1060,274691,262894,1859396,23150,8350,0
2014-05-12,1,2014,1380918,1763136,4032,5948.0,-437812,,114563,29440,317,0.0,0,1636017,236888,32003,,,497,243691,243371.0,70417,1133,320.0,67727,525878,415969,109909,,0.0,117490,0.0,0.0,21955,129235,0.0,,61979,0.0,0.0,,,630000,2014年03月31日,-439550,,,553696,221529,0,1733,1920261,877287,,860,,5,44901.0,,796.0,3.0,0.0,630000,,0.0,,2163952.0,29341,,2717648.0,52208.0,,,0.0,0.0,1060,332167,243691,1840361,26731,18211,0
2014-08-08,2,2014,1308137,1631842,2786,5948.0,-219407,,99341,33540,1837,0.0,0,1325902,5025,1068,,,311,221881,221561.0,68665,937,320.0,66357,526244,415969,110275,,0.0,100373,0.0,0.0,18626,133450,0.0,,37939,0.0,0.0,,,630000,2014年06月30日,-221145,,,698099,439934,0,1733,1578415,791171,,769,,5,26828.0,,633.0,5.0,0.0,630000,,0.0,,1800296.0,29341,,2498395.0,33437.0,,,0.0,0.0,1060,258165,221881,1707224,27577,12740,0
2014-11-12,3,2014,1296747,1619746,1917,4263.0,-223672,,97537,1200,102,0.0,0,1317600,5131,659,444.0,215.0,576,209805,208731.0,68576,753,1074.0,66187,526574,415969,110605,,0.0,95603,,,18657,113042,,,42939,,0.0,,,630000,2014年09月30日,-225410,,,712233,447874,0,1733,1531371,760145,,679,415969.0,5,26910.0,,774.0,5.0,,630000,,,,1741176.0,41546,,2453409.0,,19011.0,,,0.0,1060,264359,209805,1693264,28986,15722,0
2015-03-30,4,2014,1284926,1556558,1917,4263.0,-264567,,93113,8500,23179,0.0,0,1305013,4977,526,,,241,205455,204381.0,67908,610,1074.0,65997,502934,415969,86965,,0.0,98126,,,22358,114480,,,43590,,,,,630000,2014年12月31日,-266305,,,631683,406979,0,1733,1527861,735682,,588,,5,22842.0,,751.0,4.0,,630000,,,,1733316.0,41546,,2364999.0,,15031.0,,,0.0,1060,224704,205455,1629317,11179,15110,0
2015-05-13,1,2015,1274440,1548950,1917,4263.0,-276667,,80947,8000,37,,0,1290649,5013,1443,,,75,194445,193371.0,64100,478,1074.0,62487,492764,415969,76795,,0.0,79832,,,14537,81474,,,32395,,,,,645500,2015年03月31日,-278405,751.0,4.0,630491,415029,0,1733,1474716,681841,,498,,5,,44835.0,,,,645500,2299652.0,,1669161.0,,46196,2299652.0,,10711.0,,,,,1060,215462,194445,1617811,16261,11196,0
2015-08-12,2,2015,1257308,1542097,227,0.0,-290441,,79751,8000,5858,,0,1271108,4904,2623,,,114,188509,185921.0,64778,1117,2588.0,62487,506693,415969,90724,,0.0,105584,,,18702,87515,5.0,,32527,,,,,645500,2015年06月30日,-292179,0.0,3.0,606140,401255,0,1733,1483145,670506,0.0,413,,5,,12662.0,,,0.0,645500,2277794.0,0.0,1671654.0,,46196,2277794.0,,,2307.0,,0.0,0.0,1060,204885,188509,1607288,20086,8896,0
2015-11-12,3,2015,1242048,1537256,227,0.0,-303716,,80798,10500,2916,,0,1255583,5000,2725,1355.0,1370.0,84,190709,185921.0,63853,222,4788.0,62487,508272,415969,92303,,0.0,116310,,,10036,83381,,,29463,,,,,645500,2015年09月30日,-305454,0.0,4.0,584700,387980,0,1733,1473227,647187,,340,415969.0,5,,6174.0,,,,645500,2248636.0,,1663936.0,,46196,2248636.0,,,0.0,,,,1060,196720,190709,1601449,14025,8535,0
2016-03-25,4,2015,1209938,1528678,227,0.0,-247399,,105933,3100,3611,0.0,0,1229985,4916,3869,1489.0,2380.0,65,100775,96033.0,62814,152,4742.0,61537,497881,416540,81341,,0.0,93676,,,5901,63601,,,33082,,,,,704080,2015年12月31日,-249137,0.0,7.0,687963,498227,0,1733,1438595,635574,,267,,5,,21719.0,,,,704080,2227333.0,,1539370.0,,41546,2227333.0,,,0.0,,,0.0,1060,189736,100775,1591759,11577,15131,0
2016-05-11,1,2016,1207238,1521473,227,0.0,-260441,,90807,5000,1881,,0,1223759,4791,3601,,,0,102150,95673.0,62769,103,6477.0,61606,499306,416540,82766,,0.0,82103,,,8286,54820,,,19704,,,,,704080,2016年03月31日,-262179,0.0,7.0,669008,485185,0,1733,1409955,596677,,194,,5,,10496.0,,,,704080,2181113.0,,1512105.0,,41546,2181113.0,,0.0,,,,,1060,183823,102150,1584436,6635,11730,0
2016-08-10,2,2016,29064,1515501,227,0.0,-271842,,85294,19000,1675,,0,45631,4689,776,,,2811,107430,96430.0,65075,73,11000.0,61436,499696,416540,83156,,0.0,89799,,,6744,55671,0.0,,25855,,,,,704080,2016年06月30日,-273580,0.0,3.0,650693,473784,0,1733,246468,598032,0.0,121,,5,,9113.0,,,0.0,704080,2178729.0,0.0,1528036.0,,41546,2178729.0,,,0.0,,0.0,1174138.0,755,176909,1281568,1580697,5016,11878,0
