date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,180402,,0.0,-1085135,0.0,0.0,126716,23955,0,1841024,22622,430358,,,,16850,2302,0.0,1065,2302.0,5112765,5112765,0.0,0.0,,543371,,32601,79943.0,10568,214289,0.0,77777,72264,15785.0,66363,9950.0,9950,3023143,2013年03月31日,-1572626.0,,,2086404,1987364,0,487491.0,5266894,7134143,,0,,647642.0,22172.0,3.0,2607747,3023143,,2752,30200,,5313944.0,49356,,7400348.0,210708,0,7188,,0,99040,47050,266205,344382,1818402,0
2013-08-13,2,2013,,,181346,0.0,0.0,-828088,0.0,0.0,205265,96488,0,1989575,22961,498639,,,,16541,3099,0.0,756,3099.0,4757695,4757695,0.0,,,426670,,38270,0.0,6845,169534,0.0,35391,129512,15785.0,66233,9955.0,9955,3023143,2013年06月30日,,,,2325483,2244411,0,,4774357,6874653,,491,,678989.0,12683.0,0.0,2092297,3023143,,2752,30200,,4821098.0,49356,,7146581.0,106931,0,10804,,0,81072,46741,271928,401474,1966614,0
2013-11-08,3,2013,,,179898,0.0,0.0,-445985,,0.0,190621,99603,0,1825514,5959,458643,,,,17260,202020,,608,3595.0,4239751,4239751,0.0,,,287964,33463.0,83268,0.0,1386,35484,0.0,28792,102752,16652.0,66179,9954.0,9954,3023143,2013年09月30日,,,,2709010,2626514,0,,4229598,6516727,,486,,995660.0,68137.0,0.0,1736493,3023143,,2752,30200,,4277058.0,49356,,6986068.0,160083,0,10804,,198425,82496,47460,469341,395959,1819555,0
2014-03-10,4,2013,,,182127,0.0,0.0,94070,,0.0,177017,26266,6095,1414420,25451,436662,,,,15470,249270,,596,51841.0,4604281,4604281,0.0,,,715756,50228.0,0,0.0,2430,215828,0.0,61409,68281,14874.0,56013,639032.0,639032,3523143,2013年12月31日,,,,4510093,4425647,0,,4158159,7617042,,391,,1846935.0,82283.0,0.0,1713273,3523143,,2752,71614,,4246883.0,802339,,8756976.0,104248,1640,13101,,197429,84446,88724,1139934,253132,1388969,0
2014-05-12,1,2014,,,180897,,,1814818,,,171168,26083,-1985,83970,7221,458862,,,,15511,249290,,686,52857.0,2306497,2306497,,,0.0,477233,19412.0,17123,0.0,717,114059,,29013,44348,14825.0,1065833,,619176,3523143,2014年03月31日,,,,6234329,6138315,0,,1201986,5397050,,319,2164334.0,,114568.0,0.0,312273,3523143,,5522,72200,,1291337.0,802339,,7525666.0,146027,1640,13101,,196433,96014,89351,2128616,107827,76749,0
2014-08-08,2,2014,,,182833,,,1868271,,,221109,24751,-6577,339279,6334,489245,1543.0,487702.0,,21865,203493,,4498,8056.0,5898757,5898757,,,0.0,471120,16320.0,25855,19989.0,8687,105469,,31629,51181,17367.0,1107964,,611378,3523143,2014年06月30日,,,,7249366,6187176,0,,2483169,7687105,,292,753789.0,,32365.0,,1342923,3523143,,5522,72200,,2578874.0,802339,,9828240.0,194952,1640,35175,,195437,1062190,95705,2141135,137332,332945,0
2014-11-10,3,2014,,,182564,,,1828696,,,208739,26057,25256,408700,1949,517729,3438.0,514291.0,,20269,199027,,5445,4586.0,6106915,6106915,,,0.0,332845,9237.0,96507,,69493,108608,,27965,66250,14824.0,1102857,630401.0,630401,3523143,2014年09月30日,,,,7257005,6179434,0,,2519756,7720025,,257,550660.0,,0.0,,1388713,3523143,,5522,72200,,2613865.0,802339,,9870870.0,185018,1640,35739,,194441,1077571,94109,2150845,130823,406751,0
2015-03-12,4,2014,,,181571,,,1515606,,,375789,24985,57289,450394,1807,325761,618.0,325143.0,5382.0,6614,198827,,1200,,6460917,6460917,,,0.0,588421,8185.0,28836,19991.0,3593,122602,,142014,42950,5414.0,1097112,645137.0,645137,3523143,2014年12月31日,,,,7012374,5898377,0,,3102521,8034399,,744,542362.0,,3147.0,12723.0,1621413,3523143,,2752,85073,,3205942.0,802339,,10218316.0,220552,11734,60526,,193445,1113997,103421,2183917,139533,448587,0
2015-05-08,1,2015,,,182196,,,1472349,,,307483,204228,46905,515761,4296,170824,728.0,170096.0,6018.0,7007,198467,,1164,,6760962,6760962,,,,341234,6408.0,82178,79931.0,1474,117146,,74073,61388,,1091686,,635030,3523143,2015年03月31日,,3147.0,12522.0,6946631,5844736,0,,3218941,8098201,5843.0,649,,390132.0,,,1878573,3523143,10266327.0,2752,84141,3319696.0,,802339,10266327.0,,163975,9607,60098,,192449,1101895,100755,2168126,142951,511465,0
2015-08-07,2,2015,,,187652,,,1058111,,,691843,202635,31336,555804,5645,176817,959.0,175858.0,5894.0,8472,197347,,2629,,6938293,6938293,,,,418040,4432.0,173945,29988.0,23888,264128,,17442,93005,,1086012,620680.0,620680,3523143,2015年06月30日,,47115.0,12316.0,6477470,5414929,0,,3994730,8420005,5843.0,567,,357685.0,,,2046923,3523143,10571729.0,2752,84638,4094259.0,,802339,10571729.0,,218973,6419,59466,,191453,1062541,99529,2151724,138711,550159,0
