date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,80000.0,80000,2575439,77429,2075867,57.0,186128,,298443,,216546.0,39013,406052,154512,65752,18629,79423,96111,405995,28184.0,542484,542484.0,0.0,,1352529,623,0.0,12722,81897.0,2060156,58180,49979,79423.0,,,1420758,2013年03月31日,1464054,,4911743,4608018,0,560777,2731490,5221843,,13148,,327366.0,51036,,1862331.0,40627.0,872034,1420758,,,3077556.0,705341,5,10028,,694821,487,,7989299.0,19600,26643,5329,240000,67927.0,303725,346066,2767456,57977,8760,0
2013-08-09,2,2013,120000.0,120000,2648481,77976,1858763,69.0,71756,,726868,,279950.0,49205,471917,218720,89672,21007,79630,96893,471848,,527845,527845.0,0.0,,1917260,683,0.0,425,446918.0,2611644,48236,75375,79630.0,,,1420758,2013年06月30日,1226514,,4720023,4456779,0,602157,3702216,5883843,,15282,,192700.0,30092,,2204240.0,45004.0,793256,1420758,,,4007812.0,705341,5,10028,,694821,487,,8727835.0,19400,25966,5360,200000,,263244,305596,2843992,62435,9048,0
2013-11-11,3,2013,160000.0,160000,2588485,76903,1989352,0.0,123241,,378918,,230545.0,57586,419042,230951,65049,16900,79854,95376,419042,,552799,552799.0,0.0,,2039202,342,0.0,686,148373.0,3013077,56437,61325,79854.0,,,1420758,2013年09月30日,1357103,,4805138,4534493,0,602157,3554552,5993129,,15066,,115339.0,30092,,1921274.0,57405.0,847048,1420758,,,3971731.0,705341,5,10028,,694821,487,,8776869.0,19400,27325,7910,310000,,270645,417179,2783740,55751,5902,0
2014-03-17,4,2013,36000.0,36000,2569465,77563,2072674,0.0,334495,,384675,,249647.0,48349,489641,129801,87301,28184,72165,96589,489641,,469327,469327.0,0.0,,1548247,449,0.0,113,135028.0,2574920,51061,46051,72165.0,,,1420758,2013年12月31日,1440425,,4975494,4688414,0,602157,2845336,5598328,,14841,,70342.0,30092,,1877336.0,45701.0,736350,1420758,,,3387587.0,705341,5,10028,,694821,487,,8363081.0,19210,26086,6295,444000,,287080,542251,2764753,79053,6500,0
2014-04-28,1,2014,36000.0,36000,2515169,79113,2165856,0.0,498831,0.0,319808,,227196.0,48636,494867,131742,86766,28194,72473,95690,494867,,497500,497500.0,0.0,0.0,1077664,246,,627,92612.0,1724553,39941,29495,72473.0,,,1420758,2014年03月31日,1533607,,5078413,4786822,0,602157,1992609,4903754,,14602,,59781.0,30092,1881130.0,,50107.0,412415,1420758,,,2534186.0,705341,5,10028,,694821,487,,7612599.0,19420,25104,4271,444000,,291591,541577,2708845,76273,8976,0
2014-08-01,2,2014,84500.0,84500,2484824,77626,2081866,0.0,435177,,606445,,269933.0,39886,409423,182168,93427,32101,72783,93610,409423,,536291,536291.0,0.0,0.0,1347676,850,,217,336512.0,2130861,43676,67404,72783.0,,,1420758,2014年06月30日,1410210,,4875565,4617388,0,641564,2635143,5309368,,13382,,58692.0,30092,1872975.0,,62287.0,435500,1420758,,,3108775.0,705341,5,10028,,694821,487,,7984340.0,19490,25349,5530,375500,,258177,473632,2674972,72815,4241,0
2014-11-07,3,2014,97000.0,97000,2530957,78984,2233922,0.0,796831,,374482,,292332.0,73972,516620,160929,56412,27874,73101,95084,516620,,554205,,0.0,0.0,1419683,242,,810,82150.0,2339341,41125,85153,73101.0,,,1136606,2014年09月30日,1562266,,4873067,4592489,0,641564,2744076,5430559,,13305,,65440.0,30092,1358175.0,,60712.0,727218,1136606,,,3281828.0,705341,5,10028,,694821,487,,8154895.0,19800,26651,6006,438000,,280578,537752,2724336,68643,7517,0
2015-03-23,4,2014,36000.0,36000,2566704,82196,2332073,,727115,,293529,,293529.0,59727,665998,122811,79413,17238,69620,97099,665998,,577612,577612.0,0.0,0.0,1345314,2650,,117,0.0,2105135,39463,59020,69620.0,213857.0,,1136606,2014年12月31日,1660417,,5140526,4840018,0,641564,2422741,5412783,,12662,,61611.0,30092,1404199.0,,57586.0,600734,1136606,,,3039536.0,705341,5,10028,,694821,487,,8180062.0,30685,48175,8618,499000,,300508,616795,2767279,117121,7398,0
2015-04-28,1,2015,,12500,2505021,5818,2409340,,167972,,235811,,235811.0,56993,565940,120467,99071,11442,69951,95710,565940,,695387,695387.0,,0.0,1098696,4196,24990.0,624,0.0,1783742,30375,61093,,76672.0,,1136606,2015年03月31日,1737684,54056.0,5125076,4818159,0,641564,2050474,5125954,69951.0,13043,61035.0,,30092,,1375006.0,,511634,1136606,7748857.0,2623781.0,,706273,5,10028,932.0,694821,487,7748857.0,,713417,41856,3311,461500,,306917,573307,2622903,92820,8896,0
2015-08-03,2,2015,25000.0,25000,2428762,5736,2237600,7.0,184243,,582139,,264867.0,71137,500228,97684,59532,25239,70282,93964,500221,,661163,661163.0,47472.0,0.0,1481638,2739,49980.0,348,317272.0,2231304,30282,54926,,34811.0,,1136606,2015年06月30日,1519073,57062.0,4808507,4533235,1200000,688435,2901080,5703346,70282.0,16788,108909.0,,30092,,1306963.0,,629490,1136606,8253250.0,3444743.0,,706273,5,10028,932.0,694821,487,8253250.0,,910061,24381,4654,449000,,275272,543663,2549904,84308,13152,0
