date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,2045715,190,762907,586792,746326,12536,-110519,,252421,56750,,,,86745,,191027,,,-110519,,,1267888,0.0,,,2526518,37997,282891,1079322,7749,24815,213328,265883,2686000,2013年03月31日,182767,,,7309283,5487133,0,86959,4539425,9425569,73367,493181,,6101884.0,,17247.0,2976.0,835238,2686000,,,,5003133.0,2148745,157,40895.0,0.0,,,2107693,,,12312416.0,321,36016,376963,97337,,,,,1822150,463708,2886847,,89307,0.0,0
2013-08-06,2,2013,2030463,195,703191,694340,1007562,13687,-63663,,456371,36240,4450.0,31790.0,6050.0,53058,,188701,83492.0,,-63663,,19545.0,1209476,,,,2321357,46139,310233,1248797,80950,32973,211401,265403,2686000,2013年06月30日,123051,,,7295630,5474273,0,86959,5440889,10297585,71952,493181,,6115455.0,,1537.0,12039.0,1610866,2686000,,,,5866795.0,2148745,157,40895.0,0.0,,,2107693,,,13162425.0,46,410024,372848,96725,,,,79614.0,1821357,425906,2864840,,130382,0.0,0
2013-11-11,3,2013,1918592,193,730093,646617,178048,12592,-109518,0.0,263091,702065,694395.0,7670.0,6350.0,55467,,203200,97345.0,,-109518,,21594.0,1126440,,0.0,,2768655,60386,380790,1709916,11873,12534,217256,194016,2686000,2013年09月30日,149953,,,7331302,5455059,0,86959,5794443,10855374,70788,493181,,6067361.0,,18357.0,4841.0,1656547,2686000,0.0,,,6222128.0,2148484,157,40634.0,0.0,,,2107693,,,13553430.0,0,929555,372218,94011,,,,77911.0,1876243,427685,2698056,0.0,100149,0.0,0
2014-03-26,4,2013,1803210,196,671534,650037,293954,12955,-77294,,317790,630842,626682.0,4160.0,6350.0,30278,,222146,117820.0,,-77294,,19565.0,1130273,,,,3279758,45698,269368,1293170,21661,15673,208031,189224,2686000,2013年12月31日,91394,,,7377609,5428689,0,86959,5312890,10426899,99252,493181,,6781843.0,27202.0,24409.0,5010.0,725830,2686000,,,,5728704.0,2148449,0,39360.0,157.0,,1239.0,2107693,,,13106313.0,0,130313,385536,130153,,,,78411.0,1948920,415814,2679414,,111205,0.0,0
2014-05-07,1,2014,1845003,198,657647,611657,196032,14360,-12684,,295788,909267,904837.0,4430.0,5810.0,22132,,190109,83353.0,,-12684,,22380.0,1034107,,,0.0,2735453,29802,57351,1050036,2386,17013,200392,204130,2686000,2014年03月31日,77507,,,7490845,5479412,0,86959,6182347,11381905,100032,493181,7636170.0,,28694.0,8663.0,5273.0,2428026,2686000,,,,6583713.0,2148449,157,,,40599.0,0.0,2107693,,,14074558.0,15607,413518,379234,124095,,,,78566.0,2011433,401366,2692653,,103743,0.0,0
2014-08-13,2,2014,1308723,194,663407,544623,202736,16134,-81422,,474027,1069370,867640.0,201730.0,5270.0,32972,,180126,72632.0,,-81422,,21952.0,1130821,,,0.0,2579678,47837,51532,1000021,36333,22378,633300,199890,2686000,2014年06月30日,83267,,,7308161,5416434,0,86959,6844853,11996809,98802,493181,7946935.0,,28451.0,5121.0,2959.0,3113018,2686000,,,,7243626.0,2148449,157,,,2045.0,,2107693,38554.0,,14551787.0,29017,399931,365801,105492,,,,80272.0,1891727,398773,2554978,,169191,0.0,0
2014-11-05,3,2014,1236041,198,729325,2027308,234989,14204,-22881,,293753,1212575,974231.0,238344.0,5030.0,32081,,162146,53395.0,,-22881,,22813.0,1104815,,534577.0,0.0,2726929,49250,75111,1558023,27450,20039,181237,202912,1343000,2014年09月30日,149185,,,6190604,4197980,0,86959,7414785,12025796,98250,493181,6792821.0,,28125.0,3216.0,5068.0,2236789,1343000,,,,7840009.0,2148536,157,,,2045.0,,2107693,38641.0,,14030613.0,2429,422416,393143,95908,,,,80908.0,1992624,425224,2004817,,98819,0.0,0
2015-03-13,4,2014,1234629,207,1526749,693965,254139,14552,125749,0.0,376486,37512,1292.0,36220.0,5030.0,32032,,172595,60796.0,-1224.0,126973,,22998.0,1081684,,,0.0,2828354,55275,215148,1322851,30401,16371,1259295,192465,1343000,2014年12月31日,946609,,,7252464,5144034,0,86959,4632133,9980236,101152,493181,6994867.0,,25977.0,20401.0,5247.0,421768,1343000,,,,5826748.0,2148536,157,,0.0,2045.0,0.0,2107693,38641.0,,13079212.0,20736,34578,429482,112656,,1466.0,733101.0,83771.0,2108430,1194615,3098976,,186568,,0
2015-05-11,1,2015,1199213,204,1526940,582624,266516,16875,88446,0.0,339819,162571,126351.0,36220.0,5030.0,66165,19432.0,184460,74081.0,1028.0,87418,46733.0,25060.0,901588,,,0.0,2470294,40694,133947,1300426,9869,29445,1228185,185238,1343000,2015年03月31日,946800,7058.0,5495.0,7228880,5106922,0,86959,5074994,10469012,101527,493181,,7189733.0,23759.0,,,1496751,1343000,,13506863.0,6277983.0,,2148536,157,,,2045.0,,2107693,38641.0,13506863.0,,3807,451234,424701,115265,,3698.0,712123.0,80289.0,2121958,1202989,3037851,,131562,,0
2015-08-10,2,2015,1187547,203,934287,691773,256803,15609,61742,,417087,322309,281099.0,41210.0,5030.0,70381,19174.0,187617,71730.0,8198.0,53544,51207.0,30256.0,1113944,,,,2352785,44887,138871,1210027,34005,15837,1194958,169763,1343000,2015年06月30日,275155,30910.0,2637.0,6576459,4536674,0,172453,5287681,10075727,103361,486679,,6460616.0,23508.0,,,1607601,1343000,,13048930.0,6472471.0,,2197645,157,,,51154.0,,2107693,38641.0,13048930.0,,140,463551,432158,106246,3627.0,0.0,682251.0,80601.0,2039785,1184790,2973203,,180389,,0
