date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,1255676,12000,3100926,1101476,287782,219489,568861,14882,241684,35703,4810.0,,103137,114394,21760,45152,,30836,92634,3702777,,,3067041,35810,26846,,551294,1595935,192687,72301.0,466186,2572715,2013年03月31日,2296436,,,6031354,6031354,0,804490,5108766,9219955,,27912,0.0,,2173403.0,312944.0,,,2577554,,35099,,5212060.0,337992,,11243414.0,84,923,157,147291,,,103294,2023459,209776,164624,205981,4839.0,483900
2013-08-06,2,2013,,1262541,12000,2378455,2216109,261044,220427,621120,28380,239450,43053,0.0,,101918,108525,3027,77430,,29745,105498,3943464,,,2521720,47408,12362,18.0,446936,1492999,181208,72173.0,444958,2577554,2013年06月30日,1384631,,,5340002,5340002,0,953700,5566338,8988130,,21883,40124.0,,1808775.0,226373.0,,,2577864,,41734,,5668417.0,355303,,11008419.0,120,944,161,170382,,,102079,2020289,272257,194827,196397,310.0,31000
2013-10-22,3,2013,,1272247,12000,2689363,1187804,173489,101045,568000,17601,188602,37436,0.0,,101620,133155,19745,102078,,29599,113410,4282543,,,2773644,42354,5856,18.0,456687,1370146,148618,72021.0,493048,2577844,2013年09月30日,1695539,,,5674351,5674351,0,953700,5358931,9012059,,16642,40124.0,,1825641.0,135125.0,,800000.0,2579381,,51368,,5461138.0,388006,,11135489.0,671,363,587,196338,,,102207,2123430,259016,156938,151166,1537.0,153700
2014-02-20,4,2013,,1353519,12000,2956960,1385313,467422,92517,612539,35051,210789,25697,,,97502,131229,9945,115191,,29182,121284,3376938,,,1901578,60263,5097,333.0,490001,1446855,188116,68320.0,668235,2579001,2013年12月31日,1963136,,,6132824,6132824,0,953700,4306192,8133924,,11511,40124.0,,1350050.0,215317.0,,,2582527,,59834,,4403751.0,558286,,10536575.0,246,337,57,226157,,,97559,2402651,576571,461380,185092,3526.0,352550
2014-04-30,1,2014,,1331122,12000,3139889,1244317,200794,83842,494997,27913,221958,33820,0.0,,96803,133225,9592,97869,,29414,123633,4482689,,0.0,2808454,50471,4682,18.0,373463,1214325,174376,67389.0,711283,2582527,2014年03月31日,2146065,,,6332935,6332935,0,953700,4866337,8843269,,11100,40124.0,1549410.0,,265140.0,,,2582527,,69732,,4963755.0,582606,,11296690.0,771,58,615,254691,,,97418,2453421,470109,372240,188138,0.0,0
2014-08-05,2,2014,,1296231,36000,2211231,2319576,225726,249221,574194,10743,193009,32966,,,95560,130494,6154,112525,,29039,124340,3915112,,0.0,2363781,26729,3555,18.0,718680,1386015,216199,66521.0,663797,2582527,2014年06月30日,1114534,,,5412475,5412475,0,1096697,6121336,9202892,,7280,0.0,1659485.0,,133104.0,,800000.0,2582527,,55382,,6217725.0,607974,,11630200.0,456,0,829,293506,,,96389,2427308,483986,371461,160043,0.0,0
2014-10-28,3,2014,,1257096,36000,2215454,1302674,287078,184480,401017,35910,185348,26843,30436.0,,94175,129260,6070,107719,,28514,123190,3778200,,0.0,3198271,134788,2167,18.0,452698,1573205,183220,65661.0,719204,2582527,2014年09月30日,1118757,,,5467058,5467058,0,1096697,5968593,9055567,,19096,0.0,1919541.0,,0.0,35670.0,800000.0,2582527,,58069,,6063450.0,633167,,11530508.0,180,4010,682,314285,,,94857,2474941,493090,385371,158505,0.0,0
2015-02-12,4,2014,,1215244,36000,2470130,1013026,357585,37265,439384,68134,222757,23993,52176.0,,99352,117062,3000,83117,,29116,114062,3002371,,0.0,2309196,95470,971,18.0,571555,1410946,186610,70236.0,782129,2582527,2014年12月31日,1373433,,,5767049,5767049,0,1096697,4577435,7943537,,18482,0.0,1944359.0,,21805.0,,500000.0,2582527,,56586,,4676985.0,646258,,10444034.0,21,1163,198,331580,,,99550,2500497,297708,214591,198764,0.0,0
2015-04-29,1,2015,,1142766,36000,2605574,901340,222739,66419,391111,59330,242814,25911,31401.0,,91799,111037,4732,63244,,28345,106305,3093482,,0.0,2315073,36551,113,41.0,524419,1146064,212707,,842697,2582527,2015年03月31日,1508877,53011.0,,5905693,5905693,0,1096697,4325741,7810227,63454.0,40504,0.0,,2149911.0,,,500000.0,2582527,10323318.0,53578,4417625.0,,658262,10323318.0,,481,193,85,340087,,,91884,2513091,194520,131276,216903,0.0,0
2015-07-27,2,2015,,1090269,36000,2454698,1364289,309571,220173,479616,50034,273269,24571,31070.0,,90724,103151,4796,60847,,28067,98355,2701469,58079.0,,2202520,35633,10374,18.0,494165,1381939,188355,,750568,2582527,2015年06月30日,1303005,90125.0,,5701521,5701521,1236000,1151693,5133052,8551422,62657.0,35467,0.0,,2858710.0,,,800000.0,2582527,10925504.0,46924,5223983.0,,672341,10925504.0,,329,1216,207,358627,,,90931,2374082,194709,133862,248698,0.0,0
