date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,7024424,891045,2852387,1644877,1884264,1013609,,1249663,1646283,5598636,,2148131,,,,1797963,,1883414,,1406,,,13367434,60440,,,2000000,2424381,581211,1745879,336578,1289841,,1101439,228076,,7541902,2139122,11944765,2013年03月31日,2008737,,17293617,16904288,35014206,843650,15133587,22442598,,3302597,,2399186.0,43293.0,3390000,11944765,,78107,,30010306.0,521293,7232,,514061,,,,47303923.0,270202,76593,496143,117964,,10504506,,389329,14876719,24861325,388626,,0
2013-08-12,2,2013,2663809.0,6985618,891045,1081153,1521020,1754549,1396935,,26301,1522991,5523798,30013.0,2900118,783461.0,2116657.0,1121918.0,1797127,70781.0,1830057,144167.0,1971,159876.0,563972.0,14919438,60440,1194476.0,,2000000,2146383,775905,2095824,353874,1408479,,1116914,165868,136360.0,8342784,2176984,11944765,2013年06月30日,58910,,16583284,16204238,35014206,1022243,15830358,23158041,,2459400,,1904342.0,37639.0,3500000,13139241,,77602,,31193071.0,521293,7232,,514061,,,,47776355.0,351256,76856,496139,101021,,10991845,1430110.0,379046,15362713,24618314,365325,2829976.0,0
2013-11-11,3,2013,1818284.0,6963879,887344,907877,1962625,2196469,1503179,,260260,1962309,5578156,72407.0,3875425,942010.0,2933415.0,1076642.0,1814865,70779.0,1727304,136246.0,-316,161298.0,514416.0,17192766,60440,,,2000000,2465762,499768,2513620,136019,1161384,,935680,121161,137476.0,8320107,2120536,13139241,2013年09月30日,-114366,,16839484,16470280,38515627,1022243,17513919,25818045,,2442356,,1507302.0,34415.0,4783000,13139241,,80461,,33817889.0,521293,7232,,514061,,,,50657373.0,286425,76856,496299,104477,,11912345,1445312.0,369204,16303970,24839328,477642,3687465.0,0
2014-03-25,4,2013,301000.0,7014898,887529,2609054,2000470,2230828,1290206,,306709,1999611,3570744,99016.0,3871462,725588.0,3145874.0,480568.0,1812499,70781.0,1136939,120050.0,-859,144128.0,536321.0,15875651,60440,,,4500000,4154814,268491,2143661,75332,3736596,783403.0,813996,103519,132882.0,8313032,2129948,13139241,2013年12月31日,1586811,,18574498,18208759,38515627,1022243,15650361,28449122,,2425016,,2168730.0,62113.0,4085000,13139241,,79071,,34197997.0,521293,7232,,514061,,,,52772495.0,256001,77100,495328,108083,,11660738,1464708.0,365739,18547636,24323373,533055,3170728.0,0
2014-05-08,1,2014,1015000.0,7075524,887529,2831017,1788827,1982371,987994,,275363,1789868,4761291,71295.0,7580424,771115.0,6809309.0,1084826.0,1773890,70676.0,1801792,128532.0,1041,147792.0,588434.0,17932423,60440,,,4500000,2503782,367557,2575791,68579,1340641,289271.0,895268,142820,133216.0,8271844,2157712,16139241,2014年03月31日,1808774,,22987504,22629479,38515627,1022243,14629731,31109369,,2409339,2029536.0,,57037.0,3307700,16139241,,81338,,32892865.0,1929793,7232,0.0,514061,1408500.0,,,55880369.0,252036,77100,495328,107789,,11412578,1422206.0,358025,18263134,24771000,371587,3674996.0,0
2014-08-05,2,2014,2202170.0,7042879,887529,2313751,1725209,1921067,1329158,,274281,1725976,6336579,79796.0,4882242,783528.0,4098714.0,898376.0,1806359,71902.0,1554513,136322.0,767,139698.0,519815.0,19864768,60440,484177.0,0.0,4500000,2494547,660769,2263262,237006,799982,619745.0,1333458,120887,133543.0,7638170,2136209,16139241,2014年06月30日,1132827,,22882884,22532498,38515626,1180924,16483036,32535453,,2393918,3949395.0,,94715.0,3067000,16623418,,84401,,33412125.0,1929793,7232,0.0,514061,1408500.0,,,56295009.0,235163,77327,508620,107944,,10029709,1461216.0,350386,16929089,23759556,455532,4054613.0,0
2014-11-04,3,2014,1921670.0,7003338,887529,2632509,1445567,1642084,905921,,274559,1446608,6258300,84166.0,3745430,786786.0,2958644.0,1014163.0,1842654,71492.0,1683785,132964.0,1041,181607.0,536658.0,22915733,60440,,0.0,4500000,2490803,588081,2493646,135490,691793,460215.0,1260558,88288,129972.0,6098909,2176982,16623418,2014年09月30日,1451585,,22915723,22571888,39671094,1180924,17080351,32444591,,2378454,2345772.0,,85526.0,4122584,16623418,,82318,,31585473.0,1929793,7232,0.0,514061,1408500.0,,,54501196.0,224507,77327,498266,108197,,7581884,1459583.0,343835,14505122,22056605,437736,4252464.0,0
2015-03-20,4,2014,2111470.0,6957966,887529,4035662,1434529,1626078,1094813,194001.0,285144,1436219,5261912,113307.0,3294763,521804.0,2772959.0,911988.0,1793793,70604.0,1532842,83477.0,1690,136547.0,537377.0,20925619,60440,,0.0,4500000,4262318,350959,2602518,22027,5355359,440429.0,955890,148412,129391.0,6075555,2182242,16623418,2014年12月31日,2854738,,24310944,23964652,39671094,1180924,17219734,34239845,,2362995,2165806.0,,125602.0,3305584,16623418,,81720,,31740024.0,1929793,7232,,514061,1408500.0,,,56050968.0,238566,77547,495328,108369,,7649449,1457251.0,346292,14520290,21811123,429857,3037135.0,0
2015-05-04,1,2015,1991470.0,6894559,887529,4227309,1311646,1503021,1025706,44936.0,231214,1313336,5082358,175706.0,3146950,589469.0,2557481.0,1135797.0,1801961,70581.0,1779235,89259.0,1690,143451.0,554179.0,21523036,60440,,0.0,4500000,3173119,268437,2082682,26422,3077243,501247.0,862133,97591,,6052314,2215574,16623418,2015年03月31日,3046385,147917.0,24381908,24033416,39671094,1180924,14542161,31676240,133405.0,2347547,,1707861.0,,2690584,16623418,53541536.0,83229,29159628.0,,1929793,7232,0.0,514061,1408500.0,,53541536.0,,223999,77547,495328,107970,0.0,7736949,1454524.0,348492,14617467,21865296,304966,2915182.0,0
2015-08-03,2,2015,584870.0,6839177,887529,3416225,986219,1186318,2432388,77597.0,74611,987610,3548999,94897.0,3360134,618736.0,2741398.0,1058489.0,1696113,70556.0,1778877,98522.0,1391,136006.0,621866.0,22048625,60440,0.0,0.0,4500000,3058336,492474,2078964,230327,654386,463451.0,1320938,95385,,6027323,2195824,16623418,2015年06月30日,1995429,98980.0,23240946,22896606,39671094,1420796,15683649,32370024,134039.0,2332387,,3617548.0,,3665584,16623418,53803402.0,83472,30562456.0,,1929793,7232,0.0,514061,1408500.0,,53803402.0,,311126,77778,495468,108165,0.0,8103754,1355512.0,344340,14878807,21433378,423820,2869232.0,0
