date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,929001,434398,,35316,67916,,,47255,20545,43121,0.0,-79399,,24818,339,120902,27054,,,613209,0,,,,121834,336,3625,3668,330792,39439,220158,50652,30672,1770779,2013年03月31日,163000,,,2287894,2126315,0,,415237,1893467,360,271398,,,,403277.0,,1528.0,15.0,187996,1770779,,,3632,,699421.0,537,,2987315.0,,0.0,1122,160929,38845,,2353,161579,284184,1093848,156027,,0
2013-08-09,2,2013,915746,370448,,34603,62101,0.0,,127514,40045,71752,0.0,-85355,,40774,1219,121399,34096,,,624897,0,0.0,,,109846,237,3885,2929,375054,15511,296393,26176,30225,1770779,2013年06月30日,87253,,,2199980,2056409,0,11797.0,428872,1833877,336,271398,0.0,0.0,,128565.0,,1894.0,5.0,98922,1770779,,,2826,,712418.0,537,,2912398.0,,0.0,336,161086,36017,,1061,143571,283546,1078521,259366,0.0,0
2013-11-11,3,2013,919732,404033,,46732,67709,0.0,,53535,40045,72522,0.0,-67651,,16036,824,121871,36915,,,511469,0,0.0,,,94820,3439,3065,0,410900,23071,277049,20692,29979,1770779,2013年09月30日,120838,,,2261203,2107698,0,11797.0,324652,1790317,307,271398,0.0,0.0,,334103.0,,4072.0,9.0,106985,1770779,,,1748,,616193.0,537,,2877396.0,,907.0,156,161243,32437,,8427,153505,291541,1087079,92790,0.0,0
2014-03-24,4,2013,910998,400431,-50882.0,66291,64697,,0.0,52852,55045,96309,1.0,-50744,0.0,52375,578,116732,38786,0.0,138.0,521420,0,,,,77104,1075,4484,0,411809,23027,272924,21217,29541,1770779,2013年12月31日,117236,,,2254812,2121003,0,11797.0,540535,2011132,283,271398,,,,471418.0,0.0,2694.0,16.0,290304,1770779,0.0,,4070,,835040.0,537,,3089852.0,0.0,532.0,200,161261,34415,0.0,16512,133809,294505,1078720,125922,,0
2014-05-08,1,2014,895757,421584,,65854,66774,0.0,,37780,59509,97781,0.0,-49178,,54340,20277,112394,53904,,,543003,0,0.0,0.0,0.0,46004,530,3976,2481,279458,27290,194207,15567,29293,1770779,2014年03月31日,138389,,,2280069,2143722,0,11797.0,545974,2037435,263,271398,0.0,0.0,495389.0,,,4606.0,16.0,333320,1770779,,,3428,,835540.0,537,,3115609.0,,0.0,203063,161346,32183,,15826,136347,289566,1078174,95530,0.0,0
2014-08-08,2,2014,912558,378754,,59071,66255,,,120439,59509,51710,1.0,-56394,,47891,17029,112377,44487,,,617648,0,,,0.0,73623,1740,7166,3142,360317,30809,239589,17169,29062,1770779,2014年06月30日,89832,,,2223472,2093676,0,17524.0,495589,1921473,235,271398,,,242146.0,,,7246.0,55.0,171719,1770779,,,2721,,784757.0,537,,3008229.0,,393.0,210074,161654,34159,,15137,129796,289168,1086756,75855,,0
2014-11-12,3,2014,905067,395892,,45069,71240,,,49485,59509,54303,1.0,-65452,,48530,2549,112099,37216,,,550290,0,,,0.0,99150,2918,2737,3972,405494,16224,275621,18551,29085,1770779,2014年09月30日,106970,,,2225184,2101756,0,17524.0,527474,1962329,211,271398,,,323501.0,,,10690.0,79.0,248166,1770779,,,2224,,815927.0,537,,3041111.0,,93.0,164028,161909,35963,,14445,123428,288453,1078782,106619,,0
2015-03-20,4,2014,896445,387971,,48570,70928,0.0,,61581,60054,44055,0.0,-62686,,47838,10887,116186,42186,,,554808,0,0.0,0.0,0.0,109751,17194,2395,0,406221,20432,327398,33178,28809,1770779,2014年12月31日,99049,,,2216177,2096601,0,17524.0,758008,2190083,194,271398,0.0,0.0,411893.0,,,11039.0,84.0,444488,1770779,,,3668,,1048814.0,537,,3264991.0,,0.0,157158,160870,36346,,13750,119576,290806,1074908,175399,0.0,0
2015-05-11,1,2015,896314,386398,,43450,84948,,,50126,59509,48970,0.0,-53809,,48395,19554,116449,51602,,,603956,0,,,,83535,614,1345,3597,281430,21586,229134,15167,28565,1770779,2015年03月31日,97476,12673.0,166.0,2221193,2103905,0,17524.0,503817,1914718,167,271398,,,,417231.0,,,,238042,1770779,,3015366.0,3019,794173.0,,537,3015366.0,,,2962.0,156254,160856,39052,,13051,117288,290356,1100648,77820,,0
2015-08-11,2,2015,896543,364072,,27610,89725,0.0,,150998,59509,32871,0.0,-64699,,19382,2008,111308,35186,,,494140,0,0.0,0.0,,85932,4532,5348,0,311329,17224,225873,17271,36936,1770779,2015年06月30日,69803,8814.0,169.0,2173278,2070689,0,22871.0,562319,1921270,139,271398,0.0,0.0,,451568.0,,,,223220,1770779,,3020183.0,2558,846905.0,,537,3020183.0,,,2026.0,152165,160929,40384,,12349,102589,284586,1098913,189042,0.0,0
