date,season,year,不動產及設備－淨額,保留盈餘合計,保證責任準備,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他權益合計,其他準備合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,員工福利負債準備,國外營運機構財務報表換算之兌換差額,央行及同業融資,存放央行及拆借金融同業,庫藏股,待分配股票股利,待註銷股本股數,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-22,1,2013,2000504,2466260,1158211,404574.0,,77522530,401819,172067,558348,1705431,1292015,4208811,132604,-2755,15186283,670081,485234,,,4825786,4714423,13203999,0.0,,1419345,25529802,2013年03月31日,1645774,,,,31828858.0,27920191,50000000,585899,592577,234587,1634213,110295.0,714409.0,25529802,,1462882,,178006008.0,7544,,209834866.0,367999,105877884,18855,119131,149469122,165951,3908667,0
2013-08-26,2,2013,1988411,1502836,1174211,333966.0,,71368794,348001,178912,132499,1634321,1309818,4325982,132284,14035,14268828,510015,485234,750894.0,,4051335,7430458,16538171,0.0,,1423054,25529802,2013年06月30日,540799,,,,31546179.0,27653843,50000000,727450,568038,234587,1794701,96294.0,641674.0,26280696,,1485407,,179088583.0,7544,,210634762.0,314403,109141062,18643,30786,149980898,669753,3892336,0
2013-11-20,3,2013,1979837,1823388,1165511,113453.0,,67396539,112242,126272,321991,2153901,1362911,4248298,131730,-1211,15843119,200048,485234,,,4646517,7978094,16507267,0.0,,1378181,26280696,2013年09月30日,861351,,,,31646123.0,27738636,50000000,727450,564454,234587,1584822,155736.0,682403.0,26280696,,1423513,,187907440.0,7544,,219553563.0,739731,121318777,18643,30532,155417185,1508504,3907487,0
2014-03-26,4,2013,1977964,2311382,1165511,201545.0,,71719506,211851,130654,227269,1355902,1362844,4146544,131236,10306,15541346,1430095,485234,,,4592818,8820872,18741587,0.0,,1486552,26280696,2013年12月31日,1349345,,,,32298219.0,28326239,50000000,727450,569974,234587,1722845,73083.0,650383.0,26280696,,1427401,,186693504.0,7544,,218991723.0,375055,114875387,37894,55224,154234922,259760,3971980,0
2014-05-21,1,2014,1963501,2843185,1071911,244668.0,,77043547,252785,76448,214393,1095665,1395581,4215625,130706,8117,22330722,200004,485234,,0.0,5724639,7877210,19019429,,,1513349,26280696,2014年03月31日,1881148,,,,33015130.0,28898976,50000000,727450,567103,234587,1841951,153562.0,736354.0,26280696,,1279065,,175892965.0,7544,,208908095.0,287863,100406693,37921,54907,136592009,249967,4116154,0
2014-08-27,2,2014,1942441,2209082,1184511,283823.0,,81045172,277130,77211,248111,1110200,1328701,4249506,130144,-6693,15578706,85,485234,592956.0,0.0,8890580,9452126,20578431,,,1477687,26280696,2014年06月30日,1112111,,,,33011455.0,28882174,50000000,862384,540327,234587,2429174,137207.0,868116.0,26873652,,1391866,,198051832.0,7544,,231063287.0,240601,115964194,20312,39353,160763622,818601,4129281,0
2014-11-26,3,2014,1936726,2578362,1224656,96012.0,,78447703,115449,77970,423867,1895141,1274174,4239711,129600,19437,14822434,48,485234,,0.0,9945088,8360280,19323224,,,1488253,26873652,2014年09月30日,1481391,,,,33204919.0,29089773,50000000,862384,540258,234587,2305961,272641.0,751500.0,26873652,,1432226,,194385724.0,7544,,227590643.0,290922,116042993,20051,39146,157544041,579979,4115146,0
2015-03-25,4,2014,1938474,2851273,1204656,272590.0,,79904562,334223,78588,293839,1117993,1253045,4492762,136655,61633,13803765,20,485234,,0.0,10139173,6064201,18234771,,,1511790,26873652,2014年12月31日,1754302,,,,33648218.0,29581458,50000000,862384,463330,234587,2501497,257066.0,762729.0,26873652,,1419899,,188595784.0,7544,,222244002.0,261416,110876763,20051,59398,155083329,379913,4066760,0
2015-05-27,1,2015,1936062,3317296,1214656,,386119.0,85663797,432526,79338,263879,1611011,1417722,4643115,136383,46407,23850202,96,485234,,0.0,11741908,6407640,19933178,,196631.0,1540321,26873652,2015年03月31日,2220325,150083.0,837663.0,34231288.0,,30145784,50000000,862384,459176,234587,2484770,,,26873652,229532295.0,1430377,195301007.0,,7544,229532295.0,,393618,109808035,20051,58497,149625527,359943,4085504,0
2015-08-26,2,2015,1937221,2163477,1248366,,243865.0,87194414,268375,80085,313821,1004048,1489783,4710432,135606,24510,21077947,1310057,485234,791210.0,0.0,10705500,7129534,18579052,,394913.0,1566114,26873652,2015年06月30日,893226,56399.0,761168.0,33677487.0,,29619024,50000000,1035664,456753,234587,2795842,,,27664862,230444975.0,1464057,196767488.0,,7544,230444975.0,,387261,109469290,20051,58666,154123135,207005,4058463,0
2015-11-25,3,2015,1928278,2488265,1201144,,281551.0,96602864,375163,80822,249147,1035047,1490927,4854189,133747,93612,24652632,19,690136,,0.0,7707873,7728559,15062965,,692519.0,1545667,27664862,2015年09月30日,1218014,145755.0,834750.0,33849243.0,,29845698,75700000,1035664,454966,234587,2164260,,,27664862,224364400.0,1415713,190515157.0,,7544,224364400.0,,278173,98875233,24164,63643,146822214,250000,4003545,0
2016-03-28,4,2015,1920318,2842712,1210144,,584818.0,102316875,645859,79736,920019,1479000,1438599,4884159,157924,61041,12947067,120050,807476,0.0,0.0,7900802,7458154,15740911,,987991.0,1588668,27664862,2015年12月31日,1572461,190741.0,851436.0,34381061.0,,30353501,90000000,1035664,366123,234587,2734098,,,27664862,260180810.0,1447804,225799749.0,,7544,260180810.0,,269914,127070694,30732,110489,193195917,9998,4027560,0
2016-05-25,1,2016,1910565,3496840,1105544,,995535.0,105601401,1041232,80481,389072,979499,1444050,4954944,157392,45697,20764547,21,1195,,0.0,8080793,8223176,16308423,,988107.0,1630383,26764862,2016年03月31日,2226589,237996.0,703481.0,35500810.0,,31401807,150000,1035664,361398,234587,2739036,,,26764862,246768925.0,1343417,211268115.0,,100068,246768925.0,,408543,110168836,30643,111705,170345878,311126,4099003,0
2016-08-24,2,2016,1905639,2695919,1130864,,1175289.0,108778352,1197066,81225,473779,988030,1393716,4540579,156884,21777,24023572,30,316245,695886.0,,7127795,8343264,16409875,,988224.0,1663152,26764862,2016年06月30日,1269342,211147.0,698518.0,35261280.0,,31137556,40000000,1191990,361049,234587,2691286,,,27460748,252281908.0,1368973,217020628.0,,100068,252281908.0,,449826,112946388,30149,109677,173598407,201109,4123724,0
2016-11-23,3,2016,1892661,3281178,1140864,,1386069.0,110076414,1364270,81963,340821,1277585,1428990,4696972,156397,-21799,30212901,705955,316245,,0.0,7942693,6465464,16137976,,988343.0,1632405,27460748,2016年09月30日,1854601,180278.0,488927.0,36059022.0,,31890019,40000000,1191990,362513,234587,2251333,,,27460748,250272958.0,1379224,214213936.0,,100068,250272958.0,,273313,109498836,30367,108068,165959885,154970,4169003,0
