date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-12,2,2013,2394034,44277,2221759,1958,995300,27783,1717,54278,19384,258502,152204,1717,1328936,,203927,16972,911822,46995,348891,54926,1136887,2537362,2013年06月30日,1198459,,,5371776,5193605,0,1023295,1947479,3883477,44194,5,,1024275,91899,12526,585103,2537362,,,2421321,432767,530,432237,,7793097,28743,0,124797,83098,90543,178171,473842,3909620,132164,0
2014-03-31,4,2013,2349423,44277,2467460,1958,454900,32784,-23645,51811,23410,370924,176584,-23645,1286416,,253636,1208,937326,38429,254111,53825,1088822,2537362,2013年12月31日,1444160,,,5591553,5413944,0,1023295,1450492,3783487,38855,5,,1030896,114689,472,574248,2537362,,,2035914,432767,530,432237,,7627467,29622,0,125885,92194,88613,177609,585422,3843980,148063,0
2014-08-08,2,2014,2319449,44277,2242229,1958,1134934,13623,-18396,49438,14229,374884,238136,-18396,1207753,0,248633,5133,974158,56989,277175,51522,1121599,2537362,2014年06月30日,1155755,,,5369537,5193962,0,1086469,2010411,4069080,39528,5,1402571,,98577,37455,473696,2537362,,,2603307,432767,530,432237,,7972844,0,,130579,89253,87433,175575,592896,3903764,83169,0
2015-03-27,4,2014,2515821,44277,2613298,1958,682865,26775,17942,49044,18245,362664,279893,17942,1341739,0,269495,1858,964632,36163,245801,52434,1047564,2537362,2014年12月31日,1526824,,,5795662,5601369,0,1086469,1603425,3925655,35724,5,1215847,,115022,12850,485141,2537362,,,2204090,432767,530,432237,,7999752,0,,146797,98384,91204,194293,600665,4074097,61645,0
2015-08-07,2,2015,1559812,44277,1899532,1958,1169479,10279,0,41059,55,343803,88855,0,969830,0,272541,293,717500,86964,259922,11051,269689,1537362,2015年06月30日,740347,114288,0,3441014,3437424,0,1159180,1597660,3300477,30822,5,,1200565,,,0,1537362,5386997,1945983,,530,530,0,5386997,,0,,4520,82014,0,3590,348323,2086520,53404,0
2016-03-25,4,2015,1547688,44599,2311406,1958,497484,17206,0,47272,2,187962,116897,0,1062120,0,265168,1552,676373,84116,252151,10903,284757,1537362,2015年12月31日,1152221,80822,0,3853428,3849298,0,1159180,892298,2854968,30623,5,,718615,,,0,1537362,4938208,1084780,,530,530,0,4938208,,,,4520,47773,0,4130,192482,2083240,42427,0
2016-08-04,2,2016,2450138,44599,2158176,1958,1194766,,0,53762,72127,229362,99084,0,1285374,0,330471,1812,788659,83141,258625,10755,262951,1537362,2016年06月30日,752503,109234,0,3700296,3696068,0,1244601,1990045,3069418,27292,161072,,579534,,,300000,1537362,6017977,2317681,,530,530,0,6017977,,,,98274,53740,0,4228,327636,2948559,,0
