date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,催收款項,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,8921,8921,488846,34357,229065,32153,1549166,2156,44707,6756,31386,13821,225702,225702,43201,30387,-767,1554,28213,323489,323489,10084,,707617,319,204872,30954,2102,983440,249051,41647.0,112740,1825010,2013年03月31日,-149006,,,2078927,2078927,671000,212570,2169263,3640301,,2483,,,26817.0,26817.0,165501.0,,242514.0,6504.0,3211.0,1158367,1825010,,,2252165.0,3550,2026,1524,,4331092.0,11451,21978,28250,2156,0,82902,690791,30155,18.0,4900,0
2013-08-06,2,2013,8921,8921,488381,33424,254337,19452,1511494,2156,37522,16245,24911,10060,205039,205039,43537,95142,5459,1554,21024,341445,341445,10084,,832475,0,171020,170867,2866,1184181,268693,41983.0,112536,1825010,2013年06月30日,-1590,,,2097724,2097724,671000,212570,2589400,4015967,,2329,,,27792.0,27792.0,43357.0,,437455.0,10938.0,2776.0,1353652,1825010,,,2671374.0,3550,2026,1524,,4769098.0,12418,21319,26019,2156,0,81974,753131,20847,71962.0,1139,0
2013-10-25,3,2013,8921,8921,577461,13649,301431,103139,1591004,2156,40469,15145,105352,18118,221401,221401,43880,23137,2213,1554,20981,243253,243253,10084,,828293,454,183492,39067,1555,1145474,204490,42326.0,112332,1825010,2013年09月30日,45504,,,2225259,2225259,671000,212570,2399153,3952226,,2236,,,27530.0,27530.0,43357.0,,478870.0,16419.0,2776.0,1271286,1825010,,,2479178.0,3550,2026,1524,,4704437.0,12356,23396,23789,2156,0,80025,752211,22283,0.0,9197,0
2014-03-18,4,2013,8921,8921,579013,9574,333229,174073,1601891,2156,40850,10547,182433,12173,218031,218031,46178,22562,8360,1554,20406,252391,252391,10084,,868518,1054,117900,85110,1952,1091569,312886,44624.0,112127,1825010,2013年12月31日,77302,,,2334138,2334138,671000,212570,2475843,4160452,,2078,,,28422.0,28422.0,43357.0,,609666.0,3485.0,6171.0,1344801,1825010,,,2558353.0,3550,2026,1524,,4892491.0,14773,6685,21559,2156,0,82510,732039,28878,0.0,3252,0
2014-04-29,1,2014,8921,8921,586298,9574,364643,132950,1575533,2156,30726,8386,146373,10382,212990,212990,46587,22067,13423,1554,19911,188062,188062,10084,0.0,854698,0,193685,69270,2012,1044024,203438,45033.0,111914,1825010,2014年03月31日,108716,,,2329492,2329492,671000,212570,2299623,3972327,,1921,,,28796.0,28796.0,43357.0,683214.0,,8344.0,6962.0,1130506,1825010,,,2381641.0,3550,2026,1524,,4711133.0,16102,7032,19329,2156,0,82018,738806,20922,0.0,1461,0
2014-08-05,2,2014,8921,8921,581868,9574,320803,252003,1706549,2156,96367,9920,257644,40817,206382,206382,46977,21701,5641,1554,19545,206810,206810,10084,0.0,822035,1907,216475,56547,2497,1060096,251318,45423.0,111701,1825010,2014年06月30日,100503,,,2396923,2396923,671000,220300,2463998,4205880,,1764,,,28658.0,28658.0,0.0,705663.0,,13626.0,4601.0,1213727,1825010,,,2542977.0,3550,2026,1524,,4939900.0,14904,7412,17098,2156,0,78979,734020,25883,0.0,31896,0
2014-10-29,3,2014,8921,8921,581180,6506,406119,268624,1684444,2156,39136,18263,281482,31805,211057,211057,47360,21699,12858,1554,19543,216990,216990,10084,0.0,890603,0,244596,64352,3630,1237463,238541,45806.0,111515,1825010,2014年09月30日,185819,,,2506077,2506077,671000,220300,2360828,4218632,,1606,,,29192.0,29192.0,0.0,547006.0,,20674.0,4601.0,1066032,1825010,,,2441372.0,3550,2026,1524,,4947449.0,18316,6311,14868,2156,0,80544,728817,31075,,22884,0
2015-03-13,4,2014,8921,8921,585776,6506,441474,248216,1648960,2156,42487,8033,279271,13524,220763,220763,47573,21719,31055,1554,19563,150655,150655,10084,0.0,714773,36,223337,90673,1117,1101186,251346,46019.0,111315,1825010,2014年12月31日,221174,,,2539221,2539221,671000,220300,2256528,4146140,,1449,,,31019.0,31019.0,0.0,700934.0,,27041.0,5041.0,1143540,1825010,,,2340283.0,3550,2026,1524,,4879504.0,23544,6599,12638,2156,0,83755,733364,28203,,4603,0
2015-04-21,1,2015,8921,8921,579646,6506,475400,265352,1679007,2156,32316,15176,290307,16364,203576,203576,47935,21733,24955,1554,19577,270800,270800,10084,0.0,899280,1392,234005,44524,36,1042836,192112,,111113,1825010,2015年03月31日,255100,35869.0,5035.0,2584183,2584183,671000,220300,2271399,4205663,46381.0,1291,30560.0,30560.0,,,0.0,,740145.0,,,1007613,1825010,4932829.0,2348646.0,,3550,2026,1524,4932829.0,,18904,6877,10408,2156,0,77247,727166,26416,,7443,0
2015-08-11,2,2015,8921,8921,574306,6506,391769,263347,1651071,2156,152827,8326,284454,10953,180445,180445,48299,20272,21107,1554,16515,199058,199058,10084,0.0,657505,433,217680,49602,1856,878854,206847,,110911,1825010,2015年06月30日,154299,18915.0,5031.0,2494699,2494699,671000,237470,2100802,3949095,46745.0,1493,30699.0,30699.0,,,,,758385.0,,,991031,1825010,4669592.0,2174893.0,,3550,2026,1524,4669592.0,,17615,7009,8177,2156,0,74091,720497,30379,1601.0,2032,0
2015-11-10,3,2015,8921,8921,574736,6506,495815,81138,1493250,0,48828,6976,111756,11182,175877,175877,48669,23479,30618,1554,19281,162332,162332,16054,0.0,747072,1766,247475,29945,433,956700,156957,,110710,1825010,2015年09月30日,258345,17115.0,4601.0,2420077,2420077,1115000,237470,2006530,3778034,47115.0,1600,31425.0,31425.0,,,,,753747.0,,,902714,1825010,4502098.0,2082021.0,,3550,2026,1524,4502098.0,,20875,7033,5947,0,0,75491,724064,36169,4198.0,2261,0
2016-03-11,4,2015,8921,8921,571628,6506,527603,71932,1528785,8322,52961,3357,93869,35897,188067,188067,47346,24053,21937,1554,15731,131126,131126,10456,0.0,608622,2693,248349,24807,0,884770,146687,,110508,1818300,2015年12月31日,290133,25423.0,4601.0,2430840,2430840,748000,237470,1960674,3739762,45792.0,1410,31137.0,31137.0,,,,,803400.0,,,961922,1818300,4460357.0,2029517.0,,1524,0,1524,4460357.0,,17780,6490,3717,8322,0,68843,720595,17832,,26976,0
2016-05-10,1,2016,8921,8921,566152,28052,546659,104953,1567653,0,32974,7045,120936,22333,205103,205103,47632,15747,15983,1554,15714,176800,176800,10456,0.0,791892,3678,259184,14316,0,863838,136655,,110306,1818300,2016年03月31日,309189,31065.0,4668.0,2476963,2476963,748000,237470,2075562,3888225,46078.0,1220,30683.0,30683.0,,,,,877049.0,,,920120,1818300,4618530.0,2141567.0,,1524,0,1524,4618530.0,,16886,8828,1487,0,0,66005,730305,18731,33.0,13412,0
