date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付款－關係人,長期應付票據及款項－關係人合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,24451.0,24451,2025673,3925,278942,289990,,152518,16983,108807,14816,108009,4953,294629,103056,83128,101745,1184,113782,,69540.0,,,1441032,1441032,0.0,0.0,,,721268,289614,78129,865290,41024,100561.0,8118,2200,1682098,2013年03月31日,,,2591925,2038672,0,2406156,3949185,,317696,,1150682.0,,36301.0,918348,1682098,,,3904715.0,60649,,6496640.0,2262,68902,68902,76061,1327912.0,1327912,0.0,0.0,30654,23067.0,553253,1498559,2547455,,152067,69540,0
2013-08-12,2,2013,0.0,0,2014019,5425,248176,398861,,246678,-151485,63520,18678,107099,6118,298245,100981,77484,132851,766,107606,,44842.0,,,1519576,1519576,,0.0,0.0,,729232,229687,93517,773457,73198,101315.0,8097,1456,1682098,2013年06月30日,,,2382718,1839438,0,2529945,3929716,,298245,,1037262.0,,34361.0,1015128,1682098,,,4054670.0,60649,,6437388.0,2690,68902,68902,72824,1322972.0,1322972,30770.0,30770.0,30122,,543280,1524725,2507672,,135395,44842,0
2013-11-11,3,2013,0.0,0,2034468,5425,317633,394227,29573.0,181231,-195462,64534,23758,105310,7104,257934,98206,83243,102006,586,112897,,40776.0,,,1457007,1457007,,0.0,,,891277,219785,91430,1259770,54461,101420.0,8076,2302,1682098,2013年09月30日,,,2395004,1864918,0,2906822,4400820,,257934,,1173432.0,,30598.0,1215996,1682098,,,4496670.0,60649,,6891674.0,2590,68902,68902,69752,1418940.0,1418940,,,29654,,530086,1589848,2490854,,136421,40776,0
2014-03-25,4,2013,49149.0,49149,2072734,5925,333695,391284,268.0,198845,-202734,96044,7005,96046,5209,274695,90837,86910,80232,607,116848,,39890.0,-202734.0,-202734.0,1312215,1312215,,0.0,,,560376,279646,85811,802046,50642,79625.0,8055,1666,1682098,2013年12月31日,,,2372470,1874243,0,2421584,3756258,,274695,,1104688.0,,34488.0,1008155,1682098,,,3920867.0,61184,,6293337.0,2651,70753,70753,57156,1348298.0,1348298,,,29938,,498227,1499283,2537079,,154637,39890,0
2014-05-12,1,2014,0.0,0,2124413,5925,352267,334066,,138251,-177403,66817,24726,67863,5262,276787,62601,90880,78076,608,168192,,42091.0,-177403.0,-177403.0,1529590,1529590,,,,0.0,726863,329741,90095,781980,32489,77468.0,8034,1476,1682098,2014年03月31日,,,2401095,1918146,0,2571173,4048175,,276787,1234365.0,,,15492.0,1023591,1682098,,,4289163.0,61184,,6690258.0,2628,70723,70723,57256,1569191.0,1569191,,,77312,,482949,1717990,2642083,,245517,42091,0
2014-08-12,2,2014,0.0,0,2102549,5925,356797,418221,,228488,-229165,86141,25202,67465,8132,270554,59333,111068,75679,584,186378,,60939.0,-229165.0,-229165.0,1624478,1624478,,,,0.0,604487,379425,100538,791994,49395,75095.0,8013,827,2102622,2014年06月30日,,,2953220,2367133,0,2300743,4198667,,270554,1176408.0,,,14441.0,711931,2102622,,,3876806.0,136879,,6830026.0,2579,70753,70753,57113,1429631.0,1429631,0.0,0.0,75310,,586087,1576063,2631359,,243419,60939,0
2014-11-10,3,2014,0.0,0,2103450,6775,429857,447228,,157679,-237120,60350,18983,43776,14362,274363,29414,124993,73292,584,201184,,41367.0,-237120.0,-237120.0,1572314,1572314,,,,0.0,707784,379514,92726,1116372,48629,72708.0,7992,825,2102622,2014年09月30日,,,3021771,2431967,0,2323851,4412666,,274363,1187603.0,,,19544.0,636249,2102622,,,4042836.0,136608,,7064607.0,2252,70723,70723,57352,1574970.0,1574970,0.0,0.0,76191,,589804,1718985,2651941,,264497,41367,0
2015-03-27,4,2014,51773.0,51773,2158810,25213,453267,416261,,85056,-161333,105106,6262,14861,8939,278221,5922,174486,65450,1784,290903,,47071.0,-161333.0,-161333.0,1438823,1438823,,,,0.0,601409,189706,79998,1081996,59443,63666.0,7971,8841,2102622,2014年12月31日,,,3131495,2531998,0,2272098,4425509,,278221,1583517.0,,31536.0,10094.0,848082,2102622,,,4109523.0,137442,,7241018.0,2369,71388,71388,45550,1700587.0,1700587,,,116417,,599497,1837425,2815509,,149350,47071,0
2015-05-11,1,2015,,50894,2192997,23813,461509,371891,,140584,-256632,122913,21362,27722,14713,274730,13009,189126,63563,1784,304182,,,-256632.0,-256632.0,1411591,1411591,,,,0.0,594588,99901,61661,783470,62425,,7950,7298,2102622,2015年03月31日,29423.0,6713.0,3016202,2444941,0,2096976,4064713,61779.0,274730,,1395411.0,,,816599,2102622,6916417.0,3900215.0,,137442,6916417.0,,2351,71388,71388,40734,,1668288,,,115056,,571261,1803239,2851704,,234446,50657,0
2015-08-11,2,2015,,157724,2149026,24303,359533,493414,,67364,-291002,189636,12957,25144,7261,270390,17883,49025,59550,1784,168957,,,-291002.0,-291002.0,1617289,1617289,,,,0.0,683266,139867,60261,1051650,54259,,7929,1886,2102622,2015年06月30日,28254.0,12554.0,2869813,2308774,0,2416971,4293466,57766.0,270390,,1176368.0,,,822273,2102622,6953609.0,4083796.0,,137621,6953609.0,,2271,71388,71388,37652,,1535887,,,119932,,561039,1666825,2660143,,286567,18955,0
2015-11-10,3,2015,,286768,2157152,33292,388383,336330,,146676,-271073,376149,18140,18055,10490,281086,7565,47238,57312,1784,203944,41501.0,,-271073.0,-271073.0,1581164,1581164,,,,0.0,754208,169817,68596,1223173,66101,,7907,597,2102622,2015年09月30日,30029.0,7002.0,2913623,2357553,0,2675370,4393240,55528.0,281086,,1176929.0,,,940241,2102622,7106358.0,4192735.0,,137621,7106358.0,,1771,71388,71388,29140,,1388665,,,115205,,556070,1517365,2713118,,172369,71241,0
2016-03-24,4,2015,283972.0,283972,2091539,35792,353283,336838,,147497,-385132,334589,10816,25918,6674,285300,19244,49256,53207,1784,313091,151836.0,39801.0,-385132.0,-385132.0,1476297,1476297,,,,0.0,470325,299754,68360,984012,52371,,7886,0,2102622,2015年12月31日,49775.0,8684.0,2743823,2210123,0,2645057,4146523,51423.0,285300,,1294527.0,,,1085416,2102622,6941863.0,4198040.0,,139350,6941863.0,,19767,70029,70029,61732,1429747.0,1429747,,,111999,,533700,1552983,2795340,,137450,39801,0
2016-05-11,1,2016,321137.0,321137,2094191,35792,359584,363968,,116293,-401473,373596,14333,23351,4090,280246,19261,52306,53331,1784,323414,155129.0,,-401473.0,-401473.0,1524876,1524876,,,,0.0,575066,199858,68622,730547,33923,,7865,0,2102622,2016年03月31日,37468.0,11269.0,2670666,2200083,0,2682518,4041875,51547.0,280246,,1427284.0,,,1063940,2102622,6845795.0,4175129.0,,139350,6845795.0,,22169,70029,70029,62412,1369251.0,1369251,,,109979,,470583,1492611,2803920,6000.0,152163,38126,0
2016-08-12,2,2016,278512.0,278512,2209558,35792,373002,312948,,78695,-434594,330154,13258,15033,4843,278118,10190,46610,48364,1784,196456,6241.0,,-434594.0,-434594.0,1608024,1608024,,,,0.0,663748,299738,78263,917441,44571,,7844,6000,2102622,2016年06月30日,44648.0,411.0,2615635,2180380,0,2873269,4050498,46580.0,278118,,1198848.0,,,1143770,2102622,6846826.0,4231191.0,,139350,6846826.0,,11873,70029,70029,62560,1239529.0,1239529,,,143605,,435255,1357922,2796328,,175602,38384,0
