date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－非流動,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付票據,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他設備－重估增（減）值,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,副產品,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地淨額,土地－重估增（減）值,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付利息,應付土地房屋款,應付帳款,應付帳款合計,應付營業稅,應付票據,應付票據合計,應付薪資,應付設備款,應付退休金費用,應收帳款,應收帳款淨額,應收所得稅退稅款,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,投資性不動產－土地,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,持有供交易金融負債評價調整－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫付款,暫估應付帳款,暫收款,會計項目,有待法律程序決定之短期負債準備,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,本期損益,機器設備成本,機器設備淨額,機器設備－重估增（減）值,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計減損－以成本衡量之金融資產－非流動,累計減損－其他設備,累計減損－房屋及建築,累計減損－機器設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,銷項稅額,長期借款合計,長期預付租金,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付保險費,預付所得稅,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-14,1,2013,40000.0,40000,5699373,,126,366793,297800,2839706,-39583.0,,-16054.0,-23529.0,-39583,125573,85990,13403,0.0,112101,,154574,4662,96195.0,7436.0,14662.0,23510,2516,-41359,67867,,235,,1281843,1281843,,0.0,526833,61834,,,747.0,25476.0,672,0.0,327701,8605,-1776.0,-1776.0,259042,259042,,57166,20410,1561,269,788600,788600,50,36189,,217.0,,502317,502317,1.0,1022.0,8458,41801.0,,1698.0,456840,443437,97,57794,57794,20994,525272.0,813291,813291,,782642,782642.0,833,19580,3736.0,365923,365923,2272283,235.0,,2037,2013年03月31日,,-144055,117445,,,1384.0,3022280,3227752,4186816.0,5042233,5042233,6542716,5515.0,1303085,1606283,,31082,2978246.0,,211575.0,0.0,,97.0,561471,-145439.0,,,3901659,68993,,,79685,2272283,463670,,,8605,,3899119.0,7792,680,7112,,,,8941352.0,3736.0,20413,0.0,1350596,0.0,1350596.0,41507,561471,207088,710000,0.0,710000,60510,4437,0.0,2596034,7335069,1291.0,,60622,4275.0,1055,28833.0,25704,0,25704
2013-08-09,2,2013,,40000,5677159,,270,366793,297800,2847136,-14460.0,-13511.0,0.0,-949.0,-14459,116419,101960,11821,0.0,117493,,168602,6340,116702.0,0.0,0.0,20546,3247,-5941,58933,0.0,896,,1276551,243066,3349.0,0.0,522481,58753,,,6597.0,21750.0,6898,,310793,8829,8519.0,,259042,4445858,4186816.0,62549,4935,1561,2235,670500,670500,4294,36189,,0.0,,571261,582820,225.0,7591.0,7591,41370.0,8648.0,1657.0,602603,590782,52,70834,70834,17299,520920.0,775361,387600,42198.0,782642,782642.0,426,19581,4866.0,326659,326659,2272283,896.0,11559.0,3323,2013年06月30日,,-131109,125452,,,8816.0,2973353,475183,50824.0,5085081,5085081,6542716,0.0,1339152,1729660,,32582,2978245.0,,315763.0,0.0,0.0,59.0,510000,-139925.0,1005736.0,407299.0,2523266,68993,31098.0,22660.0,25728,2272283,370236,,,8829,,3931058.0,7792,680,7112,0.0,0.0,,9016139.0,4866.0,20007,0.0,1350596,,1350596.0,41506,510000,311019,710000,0.0,710000,54698,450,,2591906,7286479,1114.0,7.0,40273,1000.0,1820,9812.0,15340,0,15340
2013-11-11,3,2013,40000.0,40000,5647847,,257,366793,297800,2879091,-22407.0,,-15920.0,-6487.0,-22406,120720,98314,10904,0.0,107834,,152458,1983,75306.0,1777.0,20574.0,28338,2146,-24030,61526,0.0,336,,1269329,1269329,0.0,0.0,520308,56979,,,2624.0,21560.0,6794,0.0,254584,9053,-1623.0,-1623.0,259042,4445858,4186816.0,60186,71953,1561,2213,698864,698864,4551,36189,,187.0,,424164,424164,3266.0,4024.0,5801,48954.0,2517.0,1654.0,549967,539063,59,62141,62141,26192,518747.0,791907,791907,0.0,782642,782642.0,363,19581,1883.0,333912,333912,2272283,336.0,,3814,2013年09月30日,,-99154,136008,,,40771.0,2965160,-995255,0.0,5098947,5098947,6542716,0.0,1156955,1570649,,30412,2978245.0,,175763.0,0.0,0.0,59.0,509140,-139925.0,,,3881209,68993,,,79206,2272283,382769,,,9053,,3726912.0,7792,680,7112,,,,8825859.0,1883.0,19944,0.0,1350596,0.0,1350596.0,37716,509140,170762,690000,0.0,690000,53815,450,0.0,2569957,7255210,528.0,,46141,2350.0,951,19079.0,17455,0,17455
2014-03-21,4,2013,,40000,6281365,,257,379426,289797,2860086,-20684.0,-14534.0,0.0,-6150.0,-20684,118648,97964,6912,0.0,102582,,177820,1864,93054.0,,13588.0,21012,3751,-13672,52318,,0,,1275796,224837,,,505314,56633,,,0.0,22095.0,6451,,223883,7980,7012.0,,4944447,4944447,,60914,1143,1561,2247,607171,607171,4424,36189,,0.0,,528404,539867,5233.0,,7953,64278.0,,1692.0,616392,609480,64,59931,59931,17261,503753.0,789693,386735,,284053,,590,19573,,336456,336456,2272283,,11463.0,329,2013年12月31日,,2860086,268750,,,,2983933,456596,,5090300,5090300,6542716,,1189457,1678154,,30002,,,321053.0,0.0,55.0,64.0,409580,,1019833.0,380298.0,2501449,89629,31126.0,22660.0,25888,2272283,387360,,,7980,,3944725.0,7792,680,7112,,,,9035025.0,0.0,20163,116.0,1351974,,,10603,409580,316179,890000,-25.0,890000,54386,450,,2755268,7356871,1782.0,,39280,,0,15287.0,11732,0,11732
2014-05-12,1,2014,,40000,6573895,,592,411548,289797,2861532,-21398.0,-14864.0,,-6534.0,-21399,112074,90675,7441,,100751,,226636,1698,55601.0,,14178.0,36352,6910,-16518,57803,,654,,1285979,1285979,,,491490,57094,,,3834.0,20496.0,6167,,276387,8197,4880.0,,951104,5137920,4186816.0,50068,3943,1561,2263,739729,739729,2268,36189,0.0,443.0,,390757,416849,0.0,9153.0,9153,47075.0,107637.0,1667.0,441639,434198,44,62064,62064,29442,489929.0,791405,791405,,284053,284053.0,1183,19573,,351852,351852,2272283,654.0,26092.0,2904,2014年03月31日,,-116713,373105,,,1446.0,3001488,-1014514,,5088900,5088900,6542716,0.0,1371538,1524130,,31651,2978245.0,189203.0,,8923.0,55.0,44.0,659344,-118159.0,,,3936439,121751,,,79563,2272283,472264,,,8197,,4093199.0,7792,680,7112,,,,9182099.0,0.0,20756,34.0,1351974,1351974.0,,10603,659344,186485,870000,35.0,870000,53831,450,,2721661,7657969,1322.0,,41130,2350.0,1000,4171.0,14307,0,14307
2014-08-12,2,2014,,0,6721658,,249,411548,289797,2833784,-19077.0,-12543.0,0.0,-6534.0,-19077,125068,105991,6733,0.0,101294,,255130,3541,63793.0,16.0,18245.0,33884,5533,-25013,22791,0.0,3205,,1256973,1256973,,,488513,57613,,,83.0,24552.0,6093,,265585,8415,-5936.0,,951104,5137920,4186816.0,52282,83170,1761,2233,737279,737279,1511,36189,0.0,656.0,,678188,678188,1125.0,17003.0,17019,50208.0,119396.0,1635.0,626878,620145,12,70395,70395,28351,486752.0,786215,786215,,284053,284053.0,1092,19573,0.0,363288,363288,2272283,3205.0,0.0,2457,2014年06月30日,,-144461,560744,,,-26302.0,2932894,-1020194,0.0,5052657,5052657,6542716,0.0,1484945,1753501,,29136,2978245.0,233829.0,,0.0,22.0,21.0,508254,-118159.0,,,3875834,121751,,,77254,2272283,402307,,,8415,,4533847.0,7792,680,7112,0.0,0.0,,9586504.0,0.0,20665,189.0,1351974,,1351974.0,10603,508254,231868,1200000,72.0,1200000,52509,450,,3048902,7833003,1052.0,9.0,34078,1000.0,2871,7202.0,20085,0,20085
2014-11-11,3,2014,,0,6861722,,243,380038,262851,2769004,-21244.0,-14460.0,,-6784.0,-21244,125427,104183,6900,,106064,,244562,3025,11613.0,,74127.0,40094,4126,-12938,28669,,4128,,1263787,206252,,,471951,56922,,,,26481.0,7002,,344679,8632,8306.0,,951104,5137920,4186816.0,56091,77129,1761,2277,835955,835955,1097,36189,0.0,856.0,,501110,536639,0.0,7798.0,7798,59928.0,96412.0,1605.0,499424,492524,12,55363,55363,35968,470190.0,791901,373477,,284053,,977,19573,0.0,328873,328873,2272283,4128.0,35529.0,1834,2014年09月30日,,-209241,722139,,,-91082.0,2938559,421934,,4999952,4999952,6542716,,1560471,1683773,,30477,2978245.0,186176.0,,,22.0,21.0,739756,-118159.0,1027007.0,395765.0,2491850,117187,30528.0,22659.0,24775,2272283,426641,,,8632,,4593028.0,7792,680,7112,,,,9592980.0,0.0,20550,21.0,1351974,,,10603,739756,184629,1200000,21.0,1200000,53521,450,,3032557,7909207,491.0,9.0,48962,2350.0,1124,19619.0,26592,0,26592
2015-03-19,4,2014,,0,7196116,,540,379426,262851,2705680,,,,,-15805,120451,104646,6549,,112699,0.0,272196,1977,,,,27122,9981,6993,19223,,4475,,1271539,204364,,4475.0,462451,78153,,,,,7663,,260839,7625,,,951104,5137920,4186816.0,46004,8855,1801,22233,714141,714141,345,36189,0.0,,,379895,379895,,97119.0,97119,,,,366066,359517,26,57742,57742,17141,460650.0,801213,373573,,284053,,1253,19573,,332389,332389,2272283,,,14210,2014年12月31日,,2705680,1067239,,,,2945080,413020,,4956559,4956559,6542716,,1104092,1467357,,29434,,262191.0,,,30.0,26.0,333260,,1036510.0,404980.0,2506502,116575,30665.0,22660.0,25558,2272283,474045,,392.0,7625,,4780283.0,7792,680,7112,,,,9736842.0,,20826,,1356115,,,11277,333260,261396,1850000,,1850000,54920,450,0.0,3676191,8269485,,,21317,,1000,,4473,0,4473
2015-04-30,1,2015,,0,7438602,4633.0,176,380038,262851,2709905,-9906.0,-9906.0,,0.0,-9907,93238,83331,6732,,95309,,239950,2827,54917.0,,14511.0,24244,4437,7365,25789,,5981,,1272987,194743,,,454082,79580,,,9104.0,8796.0,6547,,245886,7835,17271.0,,951104,5137920,4186816.0,49477,72234,1801,22178,577709,577709,847,36189,0.0,916.0,,428952,450277,0.0,79584.0,79584,44816.0,123155.0,1604.0,525632,518900,24,42321,42321,19807,,798244,366233,,304489,304489.0,819,21505,,335295,335295,2272283,1348.0,21325.0,13229,2015年03月31日,388.0,-268340,1345512,30.0,25.0,4225.0,2940584,394194,,4961156,4961156,6542716,0.0,1162431,1576194,452281.0,30679,2978245.0,,346981.0,9943.0,,,363586,-272565.0,1047623.0,409351.0,2521082,117187,30621.0,22660.0,25308,2272283,268195,10091619.0,388.0,7835,5130463.0,,7792,680,7112,,,10091619.0,,0.0,22324,49.0,1356115,1356115.0,,11277,363586,345684,2150000,31.0,2150000,54016,450,,3968032,8515425,1130.0,1.0,37709,2350.0,3386,6337.0,12384,0,12384
2015-08-07,2,2015,,20000,7722246,39430.0,264,380038,262851,2733287,-13516.0,-13516.0,0.0,0.0,-13516,97195,83679,6457,0.0,97733,,162898,2828,53708.0,9.0,14276.0,3919,3112,-6510,35378,0.0,40758,,1272855,1272855,,,441747,113173,31811.0,31811.0,2542.0,6101.0,9441,,270144,8046,7006.0,,1168589,5355405,4186816.0,48313,55795,1801,22263,636137,636137,1150,36189,0.0,814.0,,440597,467599,1660.0,33661.0,33670,47184.0,43641.0,1582.0,456800,450343,24,51785,51785,807,,793977,793977,,304489,304489.0,277,21505,0.0,339218,339218,2272283,1328.0,27002.0,14189,2015年06月30日,383.0,-244958,1448482,4.0,34.0,27607.0,2933959,-1148473,0.0,4970663,4970663,6542716,0.0,1137951,1527805,439946.0,29976,2978245.0,,285065.0,15415.0,,,435191,-272565.0,,,4004358,117187,,,78074,2272283,320201,10364738.0,383.0,8046,5394075.0,,7792,680,7112,0.0,0.0,10364738.0,,0.0,21782,612.0,1356115,,1356115.0,11277,435191,283465,2450216,33.0,2450216,52879,450,,4256124,8836933,938.0,10.0,37982,0.0,6220,12374.0,925,0,925
