date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,代收款,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵存貨跌價,備抵銷售退回及折讓,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他預付款,其他預付費用,半成品,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原料,商品存貨,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,在製品,在途原物料,存入保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付股利,應付董監事酬勞,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收收益,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫付款,暫估應付帳款,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,進項稅額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,銷項稅額,長期借款合計,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,7071,7071,453252,-614.0,1946.0,1121714,2889.0,2889.0,92869.0,92869.0,24915.0,7433.0,,251319,13743.0,121087.0,24663,968.0,,,3725,39828,,29694,4177,22061,4665,,4697,,33225.0,84323.0,,319817.0,32261.0,836.0,836.0,90578.0,21425.0,298.0,765859,733598.0,32261.0,669.0,60186,,,102521.0,238351.0,355765,,13785.0,605581.0,598148,,,253.0,0.0,0.0,23442.0,4367.0,3673,3673,691161,4070.0,117414.0,30811.0,2013年03月31日,969170.0,,,193924.0,2108238,2115840,1000000,151683.0,751162,2276003,86058,47.0,861.0,,725467.0,4307.0,95950.0,,8300,26500.0,775246.0,691161,242323.0,,,832591.0,359426,278.0,22721.0,336427.0,336427.0,,2940829.0,,62.0,482,482,117146,8300,698068.0,76282,183.0,76282,230.0,-7602,81429,664826,39303.0,1709.0,0
2013-08-12,2,2013,6949,6949,448394,-553.0,2839.0,922134,0.0,0.0,0.0,0.0,26898.0,9267.0,,733658,14778.0,166941.0,14874,1204.0,,,2357,37553,0.0,71473,8773,60470,4666,,5281,365.0,35143.0,71061.0,,281961.0,24199.0,2357.0,2357.0,46481.0,17326.0,302.0,639142,614943.0,24199.0,217.0,60186,23841.0,,135351.0,193812.0,270300,408696.0,7892.0,531513.0,522246,,,324.0,0.0,0.0,13346.0,4364.0,3250,3250,691161,2783.0,76488.0,27765.0,2013年06月30日,711024.0,,,409852.0,1915857,1921704,1000000,209256.0,1098099,2429288,109911,23.0,1854.0,,1136570.0,5162.0,48288.0,,8300,159008.0,301172.0,715002,224989.0,,,1187223.0,342397,278.0,22721.0,319398.0,319398.0,,3103080.0,,0.0,9464,9464,106956,8300,977115.0,74994,0.0,74994,230.0,-5847,89124,673792,44983.0,4313.0,0
2013-11-07,3,2013,6918,6918,445171,-455.0,2221.0,1105016,6.0,6.0,30006.0,30006.0,27824.0,765.0,,300037,10981.0,180557.0,20512,1187.0,,,-785,46024,0.0,74681,11055,60552,4666,,5430,585.0,30588.0,66987.0,,255972.0,215896.0,-791.0,-791.0,50052.0,26603.0,294.0,670594,454698.0,215896.0,334.0,60186,0.0,,91440.0,284027.0,382095,0.0,12198.0,494342.0,493577,,,247.0,487.0,487.0,19078.0,4372.0,4546,4546,715002,3529.0,98068.0,36885.0,2013年09月30日,893906.0,,,592734.0,2092203,2101444,1000000,209256.0,787777,2296741,106890,16.0,1854.0,,956354.0,4685.0,54618.0,,5000,21500.0,301172.0,715002,82892.0,,,874439.0,342397,278.0,22721.0,319398.0,319398.0,,2966642.0,3.0,9688.0,9464,9464,107864,5000,934290.0,72532,4861.0,72532,230.0,-9241,86662,669901,50530.0,4984.0,0
2014-03-27,4,2013,6967,6967,448867,,,1235549,,,106049.0,106049.0,,,0.0,397111,,,18186,,,,1476,26649,19682.0,88104,38397,49707,4592,4592.0,9007,,,,,,,,,,,,604340,604340.0,,,60186,,,,284808.0,284808,,,,475094,,,,,,,,3794,3794,715002,,,,2013年12月31日,,,,,2276194,2233960,1000000,,830539,2470711,128526,,,,1163899.0,,98971.0,15039.0,23000,,,715002,,,,907342.0,342119,,,,,,3183536.0,,,1045,1045,122631,23000,,71166,,71166,,42234,76803,712825,,,0
2014-04-24,1,2014,7009,7009,444323,,,1359007,,,50489.0,50489.0,,,,289239,,,26707,,,,7723,40236,33227.0,113579,54893,58686,5126,,20585,,,,,,,,,,,,813865,,,,60186,,,,,445636,,,,515207,,,,,,,,3206,3206,715002,,,,2014年03月31日,,,,,2413239,2363665,1000000,,918383,2655968,154001,,,1136121.0,,,120144.0,,23000,,,715002,,,,995103.0,342119,,,,,,3408342.0,128.0,,1045,1045,130259,23000,,70549,,70549,,49574,76720,752374,,,0
2014-08-12,2,2014,1344,1344,454577,,,902639,,,50551.0,50551.0,,,,846889,353388.0,,24990,,,,2408,41881,40537.0,105427,43889,61538,5156,,16718,,,,,,,,,,,,805512,,,,0,24675.0,0.0,,,410722,493501.0,,,630051,,,,,,,,2609,2609,715002,,,,2014年06月30日,,,,,2287092,2137603,0,,1355934,2941505,161965,,,1324974.0,,,38340.0,,18000,,,739677,,,,1412965.0,492879,,,,,,3700057.0,102.0,,1045,1045,122683,18000,,50830,,50830,,149489,57031,758552,,,0
2014-11-03,3,2014,1382,1382,455043,,,1045067,,,50313.0,50313.0,,,,293980,293980.0,,26141,,,,6630,22575,21193.0,123438,50394,73044,5135,,13039,,,,573.0,,,,,,,,671965,,,,0,0.0,0.0,,,274389,0.0,,,480392,,,,,,,,2266,2266,739677,,,,2014年09月30日,,,,,2428745,2284253,0,,638011,2356586,174264,,,1004337.0,,,46494.0,,0,,,739677,,,,695619.0,492879,,,,,,3124364.0,573.0,,1045,1045,123166,0,,51428,,51428,,144492,57608,767778,,,0
2015-03-27,4,2014,1438,1438,464091,,,1103304,,,49959,49959,,,0,327482,,,1933,,,,17184,35597,34159,128840,55773,73067,3571,3571,12433,,,,,,,,,,,,615549,615549,,,0,,0,,269050,269050,,,,409904,,,,,,,,0,0,739677,,,,2014年12月31日,,,,,2484283,2357650,0,,708911,2390647,253348,,,1175341,,,76782,9121,0,,,739677,,,,765757,497485,,,,,,3250040,,,123,123,129521,0,,53152,,53152,,126633,56846,859393,,,0
2015-05-06,1,2015,1422,1422,458096,,,1181928,,,50454.0,50454.0,,,0.0,250944,,,1810,,,,13648,41115,39693.0,126602,83029,43573,4961,4961.0,11829,,,,2.0,,,,,,,,820955,820955.0,,,0,,0.0,,464035.0,464035,,,,530492,,,,,,,,0,0,739677,,,,2015年03月31日,,88611.0,6304.0,,2567945,2432843,0,,844707,2609464,261007,,,,1072847.0,,,,0,,,739677,,3469917.0,901972.0,,497590,,,,,3469917.0,,2.0,,101,101,129521,0,,52203,,52203,,135102,57265,860453,,,0
2015-11-05,3,2015,1532,1532,455258,,,1201907,,,0.0,0.0,,,,328290,328290.0,,1604,,,,27450,27780,26248.0,149150,81067,68083,5054,,24114,,,,5507.0,,,,,,,,898740,,,,0,0.0,0.0,,,379739,0.0,,,726860,,,,,,,,0,0,765565,,,,2015年09月30日,,88250.0,14163.0,,2607495,2467681,0,,829566,2594714,292640,,,,804197.0,,,,0,,,765565,,3496247.0,888752.0,,472759,,,,,3496247.0,,5507.0,,100,100,129521,0,,54032,,54032,,139814,59186,901533,,,0
