date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,土地成本,土地淨額,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,160000.0,467262,104015,566121,,,,183198,,-11119,165267,5267.0,185150,2146.0,32854,12029,,,184514.0,184514.0,20162.0,3983735,56093,,,,2904845,29992.0,1978974,3064.0,164037,12692.0,265313.0,232335.0,100933,1611000,2013年03月31日,-6546,,6639.0,1042.0,2142647,2136012,4000000,385464,4779551,6844160,,2146,,13000.0,,187203.0,,516200.0,45173.0,1220109,5906.0,3445.0,32978.0,5597.0,2461.0,76245.0,19987.0,1611000,,230967,,5453746.0,26103,,,,7596393.0,107396.0,31151.0,0.0,19760,34762.0,14775.0,1341,,46088,640000,6635,674195,752233,0
2013-08-09,2,2013,,,320000.0,467105,102218,522176,,,,324724,,3492,331351,11351.0,146708,1925.0,33103,11661,,,184514.0,184514.0,20633.0,4956710,56093,,,,3120667,0.0,1031574,2258.0,177859,12470.0,267721.0,233163.0,115773,1611000,2013年06月30日,-117500,,6639.0,939.0,2126963,2119909,4000000,401200,4992223,6867176,,1925,,3000.0,,238476.0,,544179.0,18172.0,853509,5998.0,3071.0,34558.0,5700.0,2927.0,80303.0,21153.0,1611000,,343800,,5506390.0,39334,26103.0,13231.0,,7633353.0,109924.0,29621.0,4888.0,19760,36950.0,15797.0,1064,1064.0,47735,480000,7054,514167,766177,0
2013-11-08,3,2013,,,,461547,97736,580153,,,0.0,281749,,-21063,332743,,177751,1644.0,32637,23804,,,184514.0,184514.0,,5239273,56093,,,,3670911,0.0,1876433,3065.0,186783,,266106.0,230395.0,118494,1611000,2013年09月30日,-59523,,6639.0,836.0,2160671,2153331,4000000,401200,6158208,8059174,,1644,,3000.0,,238476.0,,565619.0,12073.0,1546293,5936.0,2615.0,35711.0,5803.0,3321.0,83267.0,22101.0,1611000,,314439,,6671525.0,39334,26103.0,13231.0,,8832196.0,111763.0,28496.0,7250.0,19760,36792.0,14691.0,680,,50037,480000,7340,513317,773022,0
2014-03-14,4,2013,,,320000.0,465901,83580,652813,,32229.0,0.0,306242,,28056,327392,7392.0,172740,1801.0,32255,16997,,,184514.0,184514.0,20747.0,4937014,56093,,,,2719444,0.0,851449,2991.0,211734,11508.0,,232218.0,124300,1611000,2013年12月31日,13137,,,750.0,2282296,2275110,4000000,401200,4848544,6847370,,1801,,0.0,,238476.0,,671442.0,28261.0,1260537,,3723.0,,,,,,1611000,,206668,,5361606.0,39334,,,,7643902.0,,30965.0,,21068,,13731.0,807,,50656,480000,7186,513062,796532,0
2014-05-08,1,2014,,,320000.0,487553,78103,705588,,27615.0,,253955,,48109,326815,6815.0,177188,1970.0,32233,18357,,,,184514.0,20911.0,6287922,56093,,0.0,,3820676,0.0,1323473,4148.0,169919,11322.0,,230454.0,127288,1611000,2014年03月31日,65912,,,695.0,2355126,2347938,4000000,401200,6526154,8583540,,1970,,0.0,,238476.0,620890.0,,42016.0,1776220,,9974.0,,,,,,1611000,,306472,,7043768.0,39334,,,,9398894.0,,47294.0,,21068,,14622.0,5381,,53400,480000,7188,517614,815354,0
2014-08-06,2,2014,,,320000.0,481981,71037,581955,,20876.0,,429834,,14618,327861,7861.0,199522,1655.0,31676,18148,,,,,20511.0,6139093,0,157100.0,0.0,,4696593,,1648128,0.0,242594,11165.0,,,18990,1571000,2014年06月30日,179441,,,,2342199,2334683,0,402514,6498885,8662108,,1655,,0.0,,0.0,432771.0,,41066.0,857256,,,,,,,,1728100,,146275,,7011473.0,10010,,,,9353672.0,,,,21068,,,912,,57809,480000,7516,512588,691564,0
2014-11-07,3,2014,,,320000.0,480022,54326,728040,,16554.0,0.0,438954,,48621,330285,10285.0,230605,1375.0,31873,18272,,,,,20870.0,8837664,0,,0.0,236796.0,7659225,,3745698,0.0,174385,11003.0,,,17913,1749625,2014年09月30日,325526,,,,2581562,2574163,0,402514,10972703,13639495,,1375,,0.0,,0.0,651143.0,,53045.0,2133710,,,,,,,,1749625,,357484,,11729527.0,47877,,,,14311089.0,,,,21517,,,8155,,61615,480000,7399,756824,671594,0
2015-03-16,4,2014,,,0.0,478557,40341,868140,5000.0,18585.0,,501332,,136639,9810,9810.0,246765,1173.0,32738,28265,,,,,19354.0,9441209,0,,0.0,209834.0,7259587,,3269814,0.0,343750,13384.0,,,17359,1762083,2014年12月31日,465626,,,,2837956,2830244,0,402514,10793179,14065225,,1173,,,,0.0,758687.0,,83395.0,2439402,,,,,,,,1762083,,499653,,11870074.0,63382,,,,14708030.0,,,,461,,,34323,,58064,800000,7712,1076895,642805,0
2015-05-13,1,2015,,,0.0,494240,37201,973051,0.0,21854.0,,382765,382765.0,122229,8584,8584.0,252328,,32150,15071,15071.0,,,,19198.0,9064496,0,,0.0,110859.0,5555780,,3470989,0.0,171920,,,,21296,1806235,2015年03月31日,570537,112956.0,,,3027651,3020368,0,402514,10298542,13638898,12952.0,908,30457.0,,,0.0,,648708.0,,3806924,,,,,,,,1806235,14289730.0,431533,11262079.0,,118853,,,14289730.0,,,,,219,,,20528,,60043,800000,7283,963537,650832,0
2015-07-31,2,2015,,,0.0,488235,33957,681839,0.0,27009.0,,607591,,100565,9785,9785.0,213473,1136.0,37523,19128,,,,,31325.0,7365033,0,215330.0,,107224.0,5211598,,1843114,,370877,,,,21513,1808057,2015年06月30日,234017,59194.0,,,2934050,2926953,0,447822,7179953,10424091,6198.0,1136,61828.0,,,,,569766.0,,937789,,,,,,,,2023387,11075502.0,353996,8141452.0,,121162,,,11075502.0,,,,,55,,,16752,,60378,800000,7097,961499,651411,0
