date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－流動,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地改良物淨額,土地淨額,存入保證金,存出保證金,存貨合計,專利權淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,模具設備淨額,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃資產淨額,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,402078,7136151,157757,499943,11329,76375,816534,45609,659447,257369,847695,672502,13114,159238,0.0,175193,0.0,589362,,1414552,329419,329419,26082.0,5633,,34280,596,467833,1497.0,37375,1919964,7818,20412,,,3113426,265515,574744,578160,,2890313,1656571,103207,,407845.0,1595207,485599,,3142619,2013年03月31日,119127,509350,,2985170,1335203,5763745,4968156,930368,38791,357680,8856860,8949820,,59089,,,23136,,1438416.0,14450.0,2806835,1743,3142619,,26082.0,,12843854.0,1300397,,18607599.0,1667,93654,43020,56102,328256,3341530,,,171225.0,398983,32524,795589,3986994,9657779,,648775,0
2013-08-09,2,2013,171860,7110376,157757,581110,6031,71077,634911,20044,615376,443516,965542,710315,10708,165347,18722.0,255227,18722.0,696682,116843.0,1463050,278146,278146,,5906,,14013,551,463605,1469.0,33781,2074368,7611,5996,0.0,,3374233,275645,649244,257738,176081.0,2940450,1599166,200896,19222.0,407975.0,1590729,507442,,3128979,2013年06月30日,111931,532269,,2971374,1304353,5859534,5023758,939707,36372,357680,8672037,9071150,,64302,,,111499,,1258409.0,6720.0,2678961,1635,3128979,,,,12905129.0,1299621,,18764663.0,3128,13097,44141,50252,319509,3486158,,,170395.0,382085,40077,835776,4233092,9693513,,750316,0
2013-11-08,3,2013,125292,7244448,157757,577940,9582,74628,742163,-25559,691391,566099,1038709,780724,8303,159087,24125.0,257985,24125.0,578836,0.0,1352712,191146,191146,,5833,,-35141,505,462558,1594.0,30502,2250996,7572,5996,0.0,,3171039,444091,709059,436933,0.0,2838352,1647874,97148,20844.0,408135.0,1562517,379403,,3128979,2013年09月30日,108761,622158,,3110693,1247230,5788327,4974985,939707,33855,357680,9015727,9441683,,61242,,,111499,,1529706.0,10460.0,2809611,1526,3128979,,,,13251511.0,1299621,,19039838.0,980,18054,44319,47030,327965,3609918,,,169107.0,376039,39534,813342,4235784,9598155,,730900,0
2014-03-28,4,2013,107625,7348073,157757,489407,17797,82843,780730,28257,621389,513764,973621,711872,10892,171598,24261.0,261749,24261.0,612157,0.0,1810255,249544,249544,,6182,,10460,460,461002,1619.0,30546,2069133,7200,5996,0.0,,3208383,465068,723985,328741,0.0,2986480,1674606,75741,19537.0,396248.0,1707665,373229,49299.0,3128979,2013年12月31日,20228,551106,,3159234,1212216,5809701,4940268,939707,29179,357680,8902319,8959055,,62218,,,111499,,1148746.0,47835.0,2723986,2285,3128979,,,,13282582.0,1299621,,19092283.0,2202,11191,53328,46797,298853,3721309,,,164991.0,391436,37944,869433,4380263,10133228,341136.0,773332,0
2014-05-13,1,2014,142084,7642003,157757,644315,50179,86134,1024569,80752,704489,562405,1362016,970967,47679,164518,24139.0,391049,24139.0,755648,53105.0,1545186,242164,242164,,5976,10174.0,30573,415,530559,1667.0,39912,4026075,7123,5996,,0.0,3136049,480393,549393,402643,0.0,3658188,111113,123894,21102.0,396890.0,1817558,390218,17.0,3128979,2014年03月31日,175136,625019,,3169516,1240644,6347853,5147671,939707,36315,357680,9985124,10543795,,106444,,,111499,1229719.0,,65847.0,3617407,4154,3128979,,,,14726576.0,1299621,,21074429.0,4334,11688,53305,93665,602892,3892139,140094.0,140094.0,163875.0,390617,35492,1200182,4741452,10530634,36596.0,811758,0
2014-08-11,2,2014,139697,7744282,157757,683244,26553,43247,1104218,14015,721851,582154,1187047,922401,43280,170097,24149.0,264646,24149.0,749202,51844.0,1487256,251048,251048,,6335,10174.0,-12538,369,506100,1319.0,40522,4036234,7007,5996,,0.0,3266415,536215,589171,455099,0.0,3508812,96676,231051,19461.0,398182.0,1826162,435890,11.0,3128979,2014年06月30日,212042,620025,,3312152,1217125,6383363,5119863,939707,33971,359703,9788396,10158888,,111510,,,111499,1065954.0,,148344.0,2967083,4383,3128979,,,,14381453.0,1299621,,20764816.0,0,13653,53898,79544,625986,3764311,137452.0,137452.0,160394.0,380665,44714,1263500,4593057,10605928,0.0,790872,0
2014-11-07,3,2014,62141,7945832,156076,813011,19178,35055,1120391,29677,705326,643185,1197431,945842,40587,167944,18153.0,251589,18153.0,753327,52353.0,1507110,264714,264714,,12814,10174.0,10499,324,507994,1739.0,62699,4399887,6796,5996,,0.0,3118164,489482,699405,429692,1900.0,3425582,124233,203960,17279.0,399003.0,1811787,399085,5.0,3128979,2014年09月30日,341809,715038,,3373176,1280841,6623190,5282414,939707,29393,359703,9967668,10580660,,112023,,,111499,1199970.0,,180147.0,3216299,4094,3128979,,,,14739110.0,1316743,,21362300.0,6862,12318,55241,83598,626459,3934517,140165.0,140165.0,160062.0,385144,41652,1340776,4771442,10781640,0.0,776400,0
2015-03-25,4,2014,65171,8373820,156076,1005474,16466,32343,1444872,122998,608858,543687,1068281,821747,44000,173655,10124.0,246534,10124.0,605131,54018.0,1501350,272446,272446,,12544,10174.0,106532,279,511199,1600.0,63977,4797699,6558,5996,,0.0,3624317,467662,269735,375087,0.0,3830338,121291,170515,16636.0,387530.0,1816647,406895,0.0,3128979,2014年12月31日,534272,943941,,3398010,1449403,7016311,5568198,939707,25539,359703,10323527,11193918,,110374,,,111499,1173693.0,,62423.0,3459703,3835,3128979,,,,15237099.0,1316743,,22253410.0,10870,15465,51312,85025,478634,4223416,0.0,0.0,161983.0,399143,37098,1448113,4913572,11059492,0.0,755660,0
2015-05-13,1,2015,177181,6900245,156076,1135205,18312,34189,727894,51901,577566,400385,614332,436611,39828,133708,,177721,,489037,62826.0,1026673,104713,104713,,12055,26044.0,33589,234,508774,,63308,4026276,6503,5996,,0.0,2073181,450126,494804,361726,,2178279,164465,31660,16718.0,,1294061,1307920,37438.0,3128979,2015年03月31日,664003,859339,134372.0,3463108,573928,6253463,5626832,939707,23042,359703,7057278,7773998,388773.0,94604,26854.0,10119.0,111499,,698828.0,,2237609,3497,3128979,17734329.0,,11480866.0,,1316743,17734329.0,,0,16586,40554,55030,430505,3879521,0.0,0.0,,149148,10174,626631,4423588,9960331,0.0,709504,0
2015-08-10,2,2015,209009,7010261,156076,935179,18815,34692,1081252,30220,680646,471637,614460,356216,37202,128564,,258244,,493169,64790.0,1089409,104231,104231,,11712,10174.0,11405,188,506322,,63181,4141961,6178,5996,,0.0,2211127,465272,612409,334593,,2264574,164876,38178,15645.0,,1273927,1352276,39646.0,3128979,2015年06月30日,412775,985216,145431.0,3471784,579815,6056877,5405125,939707,20042,410905,7472404,7907350,388733.0,91707,0.0,10123.0,111499,,654538.0,,1941632,3178,3128979,18078236.0,,12021359.0,,1316743,18078236.0,,42,13118,41225,49836,426342,4005950,0.0,0.0,,147600,26441,651752,4548955,10170886,0.0,774397,0
