date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,51000.0,51000.0,800619,222807,899426,249845,,343029,343029.0,52910,-98353,-98353.0,193607,18059,162811,29949.0,21834.0,132862.0,4630,61318,3629.0,102797,59836,133582.0,959722,,0.0,,514594,600,0,23737,1392248,0.0,135591,57689.0,37586,1587445,2013年03月31日,559723,,,2845495,2744046,0,278675,1619159,3605602,,155416,61028,,505331.0,29246.0,,513647,1587445,,,2101323.0,355528,,,,,,,,4946818.0,699,47576.0,0.0,148406,21991,272440.0,101449,482164,1341216,38331.0,99568,124548,0.0,0
2013-08-09,2,2013,0.0,54440.0,54440.0,827129,224205,786652,320998,,647997,647997.0,111515,-33247,-33247.0,212849,16389,150799,25317.0,19546.0,125482.0,4652,59605,3600.0,54273,43592,132444.0,1106779,,0.0,,711212,2294,50000,52318,1747458,0.0,125425,56005.0,36371,1587445,2013年06月30日,380295,,,2748244,2648755,0,305091,2297061,4202765,,151990,101266,,586205.0,14348.0,,605041,1587445,,,2828052.0,307905,,,,,,,,5576296.0,1002,0.0,0.0,228740,79563,242646.0,99489,530991,1373531,6029.0,53586,142020,,0
2013-11-01,3,2013,0.0,62128.0,62128.0,819534,236112,809029,323549,,479877,479877.0,88298,-42292,-42292.0,191717,29435,72817,15086.0,15434.0,57731.0,4952,57921,3600.0,82065,71140,129012.0,1027209,,0.0,,468945,2446,50000,42395,1736748,0.0,105929,54321.0,37958,1587445,2013年09月30日,402672,,,2719299,2662087,0,305091,2150817,3997252,,144446,101266,,585624.0,12253.0,,903184,1587445,,,2675922.0,307905,142218.0,7.0,,165680.0,,,,5395221.0,0,878.0,0.0,233583,77854,233601.0,57212,525105,1397969,5973.0,56200,100154,,0
2014-03-13,4,2013,,,,807737,273590,848822,418564,,403038,,54617,53778,53778.0,150950,78729,9231,,,,4952,266698,,86200,81248,,964788,,0.0,,429345,2521,100000,46817,1701318,0.0,54537,,40712,1587445,2013年12月31日,442465,,,2850076,2797932,0,305091,2118741,4046650,,139552,101266,,786826.0,1105.0,,983810,1587445,,,2627496.0,307887,142218.0,7.0,,165662.0,,,,5477572.0,1155,0.0,0.0,242057,83131,,52144,508755,1430922,,56769,72221,,0
2014-04-29,1,2014,,61000.0,61000.0,795238,303436,900720,126925,332175.0,399586,399586.0,53864,109922,109922.0,223183,16454,6677,2114.0,11913.0,4563.0,4952,59999,3630.0,107779,102827,120954.0,1089049,,,0.0,590383,3408,100000,67192,1841260,,25081,56369.0,42973,1587445,2014年03月31日,494363,,,2993745,2917735,0,305091,2343136,4050689,,132867,101266,774204.0,,11127.0,2756.0,947922,1587445,,,2855459.0,319648,,,,,,,,5849204.0,335,0.0,,249824,84047,202500.0,76010,512323,1798515,0.0,130873,145729,,0
2014-07-31,2,2014,,51000.0,51000.0,780048,292799,741948,133923,297682.0,669464,669464.0,64553,36611,36611.0,202990,19890,56750,52383.0,10742.0,4367.0,4674,58297,3629.0,247486,130158,117397.0,1212320,,,0.0,739335,587,0,70492,1761193,,21745,54668.0,42429,1587445,2014年06月30日,356377,,,2803724,2694046,0,333670,2676667,4102285,,128139,51901,739972.0,,24383.0,2519.0,969416,1587445,,,3172359.0,328042,142218.0,7.0,11761.0,165662.0,8394.0,,,5976083.0,0,86.0,,252895,85215,184500.0,109678,495692,1873798,112654.0,109224,132100,,0
2014-10-30,3,2014,,60500.0,60500.0,815653,293999,794370,141113,271148.0,442375,442375.0,43535,45625,45625.0,188463,16656,39645,31353.0,12504.0,8292.0,4674,56582,3615.0,336848,332174,145466.0,1214743,,,0.0,636378,2656,0,38976,1711290,,50937,52967.0,44992,1587445,2014年09月30日,408799,,,2864851,2755482,0,333670,2582485,3959717,,157970,51901,648257.0,,33546.0,2519.0,1239523,1587445,,,3104032.0,328042,142218.0,7.0,11761.0,165662.0,8394.0,,,5968883.0,568,0.0,,256465,88556,208500.0,109369,521547,2009166,0.0,107678,111307,,0
2015-03-26,4,2014,,57635.0,57635.0,843790,295939,851489,181071,270892.0,435080,435080.0,27369,114531,114531.0,188593,27884,64844,11402.0,10638.0,53442.0,4974,57166,3495.0,250586,245612,144822.0,1237065,,,0.0,581202,1545,80000,76826,1933079,,49539,53671.0,48830,1587445,2014年12月31日,465918,,,2992090,2881507,0,333670,2424558,4143960,,155460,51901,555714.0,,35164.0,2760.0,1025082,1587445,,,3118247.0,328042,142218.0,7.0,11761.0,165662.0,8394.0,,,6110337.0,1066,,,280006,100880,356517.0,110583,693689,1966377,,92519,103074,,0
2015-04-29,1,2015,,51000.0,51000.0,939571,304604,820992,272812,231042.0,383423,383423.0,34104,115806,115806.0,240365,15986,40854,3324.0,8719.0,37530.0,4674,55352,3494.0,190500,185826,144150.0,1294978,,,,495391,1759,80000,98693,1778650,,29564,,49448,1587445,2015年03月31日,435421,33736.0,2571.0,2952001,2852285,0,333670,2671742,4218335,51858.0,152869,51901,,636489.0,,,1338375,1587445,6188279.0,3236278.0,,328042,142218.0,7.0,11761.0,165662.0,8394.0,,6188279.0,,0,107.0,,276063,101910,233121.0,99716,564536,1969944,,128206,173379,,0
2015-07-30,2,2015,,51000.0,51000.0,927686,303653,666033,201933,220735.0,617808,617808.0,28948,92699,92699.0,217804,15101,64818,2916.0,7722.0,61902.0,4695,53551,3494.0,188033,183338,140206.0,1266779,,,,572318,1901,90000,105317,1882148,,23799,,51617,1587445,2015年06月30日,256143,17845.0,2633.0,2761882,2667725,0,357989,2847932,4382610,50057.0,147928,51901,,786844.0,,,1224732,1587445,6330251.0,3568369.0,,321548,142218.0,7.0,11761.0,165662.0,1900.0,,6330251.0,,207,0.0,,279296,107989,387590.0,94157,720437,1947641,0.0,124708,151703,,0
