date,season,year,不動產及設備－淨額,以成本衡量之金融資產－淨額,保留盈餘合計,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,共同控制下前手權益,其他什項金融負債,其他什項金融資產－淨額,其他借款合計,其他權益合計,其他權益－其他,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,受限制資產－淨額,國外營運機構財務報表換算之兌換差額,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,期貨交易人權益,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,現金流量避險中屬有效避險部分之避險工具利益（損失）,當期所得稅負債,當期所得稅資產合計,短期借款,結構型商品所收本金,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,長期借款,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股本,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-27,1,2013,9604555,33594429,10547398,1609175.0,,130940555,,360771,22417667,15541769,-390095,,8984410,14417566,66616676,56012096,3149527,-1940308,4077672,39942069,130638928,3294868,,36914290,12192186,49360527,104573539,2139976,,7936523,151729966,2013年03月31日,14866116,6314947,,,,165204807.0,158851075,448759000,1744955,6643207,2487496,27259086,-58962.0,2154060.0,752011.0,,51389789,151729966,,1028045,,427261428.0,86434528,258674,,592466235.0,16966670,74604206,902402,852053,101205.0,42243.0,,81782588,27162495,6353732,,0
2013-08-26,2,2013,9520492,33164068,9918695,-1360547.0,,106743060,,360772,24989232,15523071,-3147644,,10776087,18049344,74215991,58153300,450662,-1742300,4420013,47738761,128206447,2170286,,37032207,10742970,49101074,116690030,1707496,,7315972,150268236,2013年06月30日,14977198,4061427,,,,161766628.0,155411599,302586000,2247453,6593302,3609815,24236363,-44797.0,2166177.0,771030.0,,58878021,150268236,,1046313,,430970969.0,86847940,542598,,592737597.0,15745591,70592775,987773,798435,84863.0,40066.0,,80922392,36488569,6355029,,0
2013-11-25,3,2013,9308884,36172659,12685763,-856158.0,,112112562,,355382,31182836,27584486,-3249290,-29502.0,12155017,13480019,76367207,67355495,1081678,-2323876,25578158,40563219,126876331,2170286,,37050322,15454966,48364524,140070608,1833690,,7153389,150308833,2013年09月30日,14331851,6828495,,,,164523925.0,158110107,302586000,2247453,6419700,3609815,44952957,-39754.0,2195904.0,752526.0,,61679974,150308833,,1027250,,487136226.0,100417133,535087,,651660151.0,18778579,75277426,1020936,789678,72790.0,33036.0,,94609756,30058151,6413818,,0
2014-03-24,4,2013,9087419,32529080,14656447,1343715.0,,116258949,0.0,358736,28850382,18687012,-670876,-24126.0,11714770,10904908,82559726,61379462,21726120,-1945718,6711620,39581124,114808892,2170286,,37068437,10116225,57673578,125689985,1830198,,7286276,150308833,2013年12月31日,13876816,8799179,,,,169102654.0,162659205,302586000,2247453,6277179,3609815,20195997,-44747.0,2388951.0,755965.0,,68324174,150308833,,1140616,,478840368.0,106857949,535087,,647943022.0,22577982,98297280,1353240,869150,64315.0,19568.0,,111975004,20925493,6443449,,0
2014-05-26,1,2014,9080317,32084157,17345037,1414208.0,,112659345,,365443,50227665,19817004,3086,-63787.0,8107113,10665909,88303593,82311822,22323760,-1295463,9527458,45683335,151009930,2170286,0.0,34586157,17898220,57120347,132363271,1822118,,7729543,150369666,2014年03月31日,14990290,11487769,,,,172565540.0,166075533,302586000,2247453,6135352,3609815,34211246,-51872.0,2349103.0,745383.0,,72947860,150369666,,1138470,,543348860.0,113618525,528030,,715914400.0,24693405,115438561,1201151,814721,53297.0,1425.0,,127543612,20309767,6490007,,0
2014-08-25,2,2014,9095442,29473731,13462802,1319187.0,,106820537,,358317,35402660,37908386,-766503,-49672.0,10180282,7873040,98535471,64876391,20520157,-1992979,4915702,56122192,162080804,2170286,0.0,33604075,15409615,61309262,135356284,1770408,,9055451,150369666,2014年06月30日,21971046,9261091,,,,167701798.0,161414687,302586000,3077853,6598982,1123858,39518557,-43039.0,2312919.0,632097.0,,76206108,150369666,,1136041,,573705592.0,125043317,519008,,741407390.0,23491753,118813658,1210140,671046,43039.0,0.0,,121568103,38639831,6287111,,0
2014-11-24,3,2014,15197645,28486013,16646130,-535575.0,,132700853,,378740,42605161,32245282,-1949155,-37762.0,16216448,13369784,103221139,71091174,27364803,-1344238,7609584,77995504,311800387,2376747,0.0,33622190,22938918,66524508,138876461,1759915,20090014.0,9592749,153431133,2014年09月30日,23820817,12444419,,,,169919976.0,166345190,323231938,3077853,9807643,1123858,16877444,-31580.0,2505916.0,842151.0,,79021582,153436592,,1280648,,752075071.0,230493422,588370,,921995047.0,29415120,120118280,1281319,6027489,31580.0,0.0,,123382032,29789716,3574786,5459.0,545910
2015-03-23,4,2014,14393809,27778085,19579851,-177929.0,,139610600,,392027,41792876,35204646,-20368,-26956.0,13544034,14180410,98296995,69570961,24425207,205176,12680778,41616681,304557970,3298709,0.0,34660984,13925045,58230976,131858663,2070706,18790000.0,10637078,153438493,2014年12月31日,23754390,15378140,,,,173913913.0,170296159,416636938,3077853,8896357,1123858,25130691,-20659.0,1994883.0,720044.0,29328655.0,74150578,153444462,,1199267,,743648935.0,225777475,590923,,917562848.0,35082307,151177813,1423785,5834810,20659.0,0.0,5875991.0,132826606,32871543,3617754,5969.0,596872
2015-05-25,1,2015,14404898,27499612,22219947,,-63750.0,142862046,,385897,45041476,60941695,-378375,-76415.0,14180077,15194757,85631996,72541088,21407105,-228519,7867696,63042000,334679948,4271618,,23570225,29433669,50453788,162414751,2068778,190000.0,10613385,153533183,2015年03月31日,31994567,18018236,1284707.0,708163.0,175358929.0,,171704386,512119938,3077853,9030129,1123858,25287050,-9691.0,,,,53251532,153533433,939738325.0,1180745,764379396.0,,227403051,600999,939738325.0,,29334851,137254115,1454321,5712506,9691.0,0.0,,124355987,29604503,3654543,250.0,25000
2015-08-24,2,2015,14357752,23043629,15467270,,-1216531.0,122366363,,380349,37649594,41363779,-1985749,-60983.0,12266259,13077976,83642336,60693223,33933981,-708235,3141056,75433971,329569141,2376748,,26577343,22035374,74675211,134725187,2064638,142564.0,10330090,151644303,2015年06月30日,30243317,10540754,930048.0,853690.0,166927299.0,,163348668,323231938,4161475,8865512,765041,29154651,0.0,,,,53018670,151644553,910011530.0,987898,743084231.0,,221182539,599342,910011530.0,,29468553,128137287,1477654,5579665,0.0,,,116949579,49112441,3578631,250.0,25000
