date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,57841095,0.0,15979319,-374321.0,1626133,11043791,115475,346086,282683,-1073787,13838094,2209621,18077327,17923302,-708656.0,5217122,,,3551775,4369545,389861,12469283,224315,159960,2034715,0.0,370000,23921746,34749465,2013年03月31日,3283254,,,60005916,56926915,0,9102785,31128473,53992074,6610,3593280.0,,29403685.0,9190.0,176747.0,22862.0,1194960.0,34749465,,,98457168.0,7271918,6713.0,446.0,1388549.0,5817949.0,58261.0,,158463084.0,0.0,2793068.0,90486.0,1304905,656923,,,44394688,3079001,67328695,104471010,863389,0
2013-08-13,2,2013,72365243,0.0,15578549,,1526223,11044214,99312,865307,461313,-1112236,17413590,2454693,19879290,13216778,,5568730,,,3554776,5587979,278299,13157430,313144,110307,2028130,0.0,370000,24274915,34749523,2013年06月30日,647918,,,59776095,56487793,0,9115638,35187361,54093961,4461,5814993.0,,29024961.0,,163837.0,22280.0,600130.0,34749523,,,108817446.0,7271957,,,,,,,168593541.0,0.0,1283910.0,90272.0,1282924,623558,,,48913095,3288302,73630085,114499580,831886,0
2013-11-13,3,2013,70989693,0.0,15627099,,1697852,1829289,93255,385555,356847,-1525965,19219136,2298858,19762163,15318216,,5027761,,,3000000,11871824,261276,13546381,364157,86485,2020191,0.0,370000,24161885,34749523,2013年09月30日,696468,,,59353043,56122614,0,9115638,34337902,53254551,5132,5814993.0,,30392712.0,,176172.0,21515.0,886950.0,34749523,,,109182818.0,7271957,,,,,,,168535861.0,0.0,6810.0,119475.0,1250060,598866,,,50832693,3230429,74844916,115281310,767470,0
2014-03-31,4,2013,76169083,0.0,16049508,,1933369,1870280,81125,366713,344493,-828940,17885707,2421816,19384485,13385937,,5181840,,,3000000,12246167,747356,12873750,351973,102378,2012006,0.0,370000,23900852,34749523,2013年12月31日,1118877,,,60169589,57242048,0,9115638,33619548,56084254,9658,5814993.0,,33502442.0,,192053.0,9225.0,596860.0,34749523,,,114182864.0,7271957,,,,,,,174352453.0,0.0,5172.0,0.0,1248772,487294,,,56930059,2927541,80563316,118268199,924452,0
2014-05-14,1,2014,87291686,,14355416,,1948067,2444852,82792,226272,394508,98129,20937640,3151735,18999695,9708594,,5399927,,0.0,3000000,13399651,250949,13575289,369866,88054,2002394,,370000,24424736,34749523,2014年03月31日,-575215,,,59045405,56475025,0,9115638,38582930,58067916,10419,5814993.0,33473684.0,,,248626.0,10399.0,1218420.0,34749523,,,125276858.0,7271957,,,,,,,184322263.0,,352397.0,0.0,1191514,498451,,,63502719,2570380,86693928,126254347,1025785,0
2014-08-14,2,2014,91603828,,14505591,,2003520,1858923,81194,693653,515801,-634399,22300666,2744995,18238205,6341193,,5151855,,0.0,3000000,11672669,258001,12613639,308364,77478,1996658,,370000,23834038,34749523,2014年06月30日,4561013,,,58973925,55892672,0,9115638,37661882,53521281,8973,828940.0,30642903.0,,,295889.0,13944.0,1194540.0,34749523,,,121190063.0,7271957,,,,,,,180163988.0,,57.0,0.0,1173920,484497,,,61116056,3081253,83528181,126642707,758592,0
2014-11-14,3,2014,97715900,,16368873,,1962265,1975712,82373,271598,374634,98206,23839677,4272189,17840866,3207025,,5130494,,0.0,3000000,12622903,525802,14781532,394690,76621,1991245,,370000,23838747,34775802,2014年09月30日,6424295,,,62262091,58533761,0,9115638,40434996,56923662,17408,828940.0,30792166.0,,,462475.0,8556.0,913725.0,34775802,,,124184645.0,7290880,,,,,,,186446736.0,,70082.0,0.0,1203753,420484,12329.0,,61705030,3728330,83749649,129523074,751100,0
2015-03-31,4,2014,99524289,,17214584,,2211369,2399967,118835,441545,318063,1626451,22180734,3495230,18188306,3614489,,4492807,,0.0,3000000,14385006,667569,14167175,451085,68095,1987214,,370000,23550100,34775802,2014年12月31日,7270006,,,64864843,60909295,0,9115638,40653084,57268959,22578,828940.0,32826541.0,,,900973.0,2788.0,0.0,34775802,,,124061516.0,7292458,,,,,,,188926359.0,,0.0,,1197778,377361,,,61022348,3955548,83408432,131657400,1005630,0
2015-05-15,1,2015,101882577,,18711037,,2741913,2062430,96090,365174,468578,1438188,21914063,4003434,17317359,2767594,,3763012,,,3000000,16360030,656484,11888984,862962,72274,1981152,,370000,24240434,34775802,2015年03月31日,8766459,1061094.0,5652.0,67006487,62910268,0,9115638,42156326,56606808,20945,828940.0,,33662237.0,,,,0.0,34775802,191008513.0,124002026.0,,7985241,,,,,,191008513.0,,,531065.0,,1231155,397090,6135.0,,60297186,4096219,81845700,134401705,983436,0
2015-08-14,2,2015,102635624,,17862572,,2953577,1941303,109494,372146,665666,1144404,22104918,2529316,16773073,1506631,,4040629,347758.0,,3000000,15197507,601377,11577879,941671,46463,1975365,200000.0,170000,23964518,34775802,2015年06月30日,8629330,432862.0,28023.0,66144544,62116249,0,9233242,40405822,54521949,22218,0.0,,33333852.0,,,,0.0,35123560,188142261.0,121997717.0,,7985713,,,,,,188142261.0,,,0.0,,1201223,392379,18361.0,314.0,60617599,4028295,81591895,133620312,785990,0
