date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,工程存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1414230,4260938,133948,209877,,342282,12865,32647,32201,743839,26746,717093,,151021,,90988,,640,384184,,167552,,,25421,306913,0.0,689214,162848,17489,151021.0,541020,25000.0,96991,1279513,2369044,2013年03月31日,2488572,,,7024600,6871043,6770537,1530230,1044750,4366407,,,171212.0,,242136,,512824.0,236738.0,50.0,101195,2369044,,,1196196.0,375966,,8220796.0,0.0,1684146,425,50558,,153557,151446,3854389,90348,0
2013-08-05,2,2013,1405454,3077360,131139,210318,,1963609,104530,-3712,29788,802800,26421,776379,,150311,,81477,,1281,387973,,167552,,,148186,310160,0.0,771791,105344,21474,150311.0,541020,25000.0,103185,1194682,2369044,2013年06月30日,1107632,,,5803311,5651106,6770537,1727592,2712313,4916917,,9320.0,162689.0,,242136,,528601.0,198722.0,254.0,61848,2369044,,,2863040.0,375966,,8666351.0,0.0,2028691,416,50609,,152205,150727,3749434,80196,0
2013-11-08,3,2013,1385963,3698861,167947,291552,,262388,329549,82505,23087,631339,33991,597348,,148551,,75927,,1281,365096,,167552,,,27745,254369,0.0,593109,174320,10368,148551.0,541020,25000.0,101706,1278766,2369044,2013年09月30日,1729133,,,6569414,6410287,6770537,1727592,1030770,3861436,,9186.0,163031.0,,242136,,580217.0,140775.0,294.0,322406,2369044,,,1179355.0,427429,,7748769.0,0.0,975011,34,49368,,159127,148585,3887333,74646,0
2014-03-20,4,2013,1469202,4193616,171214,317062,,322157,310845,158815,29693,467091,48027,419064,,128185,,10245,,1281,375618,,167082,,,25299,327281,0.0,530309,177695,18825,128185.0,541020,0.0,102514,1341972,2369044,2013年12月31日,2223888,,,7147363,6986104,6751537,1727592,994054,4310987,,9259.0,134651.0,,242136,,509436.0,217376.0,0.0,72157,2369044,,,1122919.0,431711,,8270282.0,91.0,1740695,680,42629,,161259,128865,3959295,8964,0
2014-05-08,1,2014,1459788,4825183,160025,368915,,315107,343347,105118,34880,462505,72905,389600,,127046,,44440,,1527,379534,,167082,,0.0,29463,317296,,748211,158660,12478,127046.0,541020,0.0,104802,1317400,2369044,2014年03月31日,2855455,,,7725803,7565524,6751537,1727592,1094592,4923882,,0.0,144777.0,,242136,455212.0,,328645.0,79.0,69201,2369044,,,1222492.0,433261,,8948295.0,0.0,2203831,854,43271,33981.0,160279,127900,4024413,8932,0
2014-08-11,2,2014,1437179,3449263,205736,428249,,2224454,93503,167372,29903,336896,47296,289600,,125923,,70929,25000.0,1527,424570,,167082,,0.0,43140,299878,35000.0,675700,190795,9113,125923.0,541020,0.0,102721,1275620,2369044,2014年06月30日,1258544,,,6400264,6250942,6751537,1948583,2866034,5343166,,0.0,150299.0,,242136,557910.0,,221925.0,37.0,11734,2369044,,,2991957.0,432345,,9392221.0,0.0,2848906,0,43038,35438.0,149322,125923,4049055,8964,0
2014-11-10,3,2014,1395859,4056959,220673,496758,,281609,346938,260625,25582,352839,81239,271600,,124562,,83193,25000.0,1527,461850,,167082,,0.0,31631,324349,,565454,160464,7502,124562.0,585046,0.0,104630,1344129,2369044,2014年09月30日,1866240,,,7159726,7007959,6751537,1948583,846223,3923784,,0.0,155038.0,,242136,274604.0,,136381.0,88.0,46671,2369044,,,971109.0,488413,,8130835.0,0.0,1533372,324,42398,35280.0,151767,124886,4207051,21386,0
2015-03-20,4,2014,1431399,4406214,220684,525241,,356036,386196,317045,30011,302662,69362,233300,,133056,,97106,36776.0,2467,446627,,162034,32058.0,0.0,24524,256098,,409411,137006,7054,133056.0,552988,,108860,1380634,2369044,2014年12月31日,2215495,,,7596132,7445292,6547537,1948583,954848,4386230,,0.0,160597.0,,242136,1097928.0,,187738.0,,100441,2369044,,,1089567.0,515023,,8685699.0,0.0,1346604,1663,42644,33454.0,150840,134719,4299469,24409,0
2015-05-07,1,2015,1408006,4798332,196802,505038,,312779,176583,263536,38004,248917,65617,183300,,131761,,96133,37179.0,1587,423495,,158322,0.0,,56954,206160,35000.0,469146,127802,12169,,552988,,107656,1378400,2369044,2015年03月31日,2607613,243081.0,0.0,7957933,7806827,6397537,1948583,1009237,4805132,131761.0,,,205644.0,242136,,1320420.0,,,117259,2369044,9099312.0,1141379.0,,534237,9099312.0,,,1829798,381,40315,32679.0,151106,132142,4294180,24688,0
2015-08-11,2,2015,1387736,3184738,177379,479282,,2193191,161282,165340,33378,243523,68923,174600,,130317,,99882,35505.0,1587,396545,,144216,0.0,,23011,188215,45000.0,489595,114512,9422,,563513,,106143,1268631,2369044,2015年06月30日,775300,122045.0,0.0,6179113,6179113,5827537,2167302,2651294,4810187,130317.0,,,205053.0,242136,,906600.0,,,46454,2369044,8960724.0,2781611.0,,604207,8960724.0,,,2311329,0,40297,31765.0,0,130317,4150537,31025,0
