date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,126091,,52347,44623,222850,92121,72609,20821,,44623,4502,1989,4964,10794,,,482455,,,,79027.0,54769,101569,2132,202803,108858,0.0,167339,0.0,963561,2013年03月31日,3831,,,1071469,1071469,0,17132,426102,1175407,2994,31384.0,,85174.0,10.0,231.0,190000,963561,,511,20743,,530836.0,10938,8777,,2161,,1602305.0,0.0,216.0,,27559,104734,426898,50010,0
2013-08-08,2,2013,119083,,121809,117355,289909,92121,66827,16265,,117436,8621,1483,4915,9938,,81.0,559268,,,,0.0,56627,295165,915,208009,106368,0.0,166918,0.0,1056485,2013年06月30日,75569,,,1306467,1306467,0,17132,584178,1513338,3229,29108.0,,291743.0,0.0,25.0,155000,1056485,,1023,22875,,611968.0,10737,7489,3165.0,83,,1918435.0,0.0,10.0,,13808,27790,405097,40258,0
2013-10-31,3,2013,110497,,232269,75654,145980,92121,86226,44245,,75662,4978,2248,4863,12040,,8.0,710930,,,,0.0,46892,280235,2555,193298,90441,0.0,166496,0.0,1062201,2013年09月30日,186029,,,1381636,1381636,0,17132,604666,1613626,3553,29108.0,,376327.0,7531.0,24.0,175000,1062201,,1249,20496,,630025.0,11504,6670,4834.0,0,,2011661.0,0.0,,,13328,25359,398035,50133,0
2014-03-13,4,2013,101830,,247647,53834,126360,63231,97492,1218,,53876,4941,1464,354053,13210,,42.0,588382,,,,0.0,48611,25746,1403,194410,85464,0.0,166075,0.0,1064251,2013年12月31日,201407,,,1378473,1378473,0,17132,409086,1784506,3283,29108.0,,737784.0,7505.0,16.0,205000,1064251,,18388,619,,763758.0,12699,5805,6894.0,0,,2142231.0,0.0,,,10096,354672,357725,49408,0
2014-05-08,1,2014,421510,,276715,65437,136567,63231,82047,24694,,65570,5029,1352,4000,9669,,133.0,221575,,,,333336.0,33512,1652,1403,209435,84350,,165653,0.0,1067371,2014年03月31日,230475,,,1436822,1436822,0,17132,148794,1249935,2813,29108.0,549867.0,,7513.0,51.0,0,1067371,,16973,619,,486749.0,27166,4406,10029.0,12731,,1923571.0,665.0,0.0,,10760,337955,673636,22044,0
2014-08-06,2,2014,412472,,123318,70921,142051,63231,238376,8519,73.0,70978,3375,71,2864,10384,,57.0,366528,,,0.0,334851.0,44594,175468,678,87051,87999,,165232,0.0,1069481,2014年06月30日,86045,,,1291983,1291983,0,37273,486243,1448716,2510,0.0,743088.0,,4993.0,33.0,0,1069481,,17289,317,,824275.0,28206,3327,12148.0,12731,,2116258.0,1470.0,0.0,,13713,338032,667542,13303,0
2014-11-06,3,2014,403653,,117364,34462,241880,63231,90201,6567,,34583,3444,292,2810,15728,,121.0,332205,,,0.0,336366.0,30580,22023,466,80184,84951,,164810,0.0,1069521,2014年09月30日,80091,,,1249654,1249654,0,37273,327886,1253034,2306,0.0,483544.0,,4984.0,63.0,156050,1069521,,16148,317,,667379.0,28186,3272,12183.0,12731,,1917033.0,3990.0,,,14271,339493,663999,23348,0
2015-03-12,4,2014,400543,,104633,35782,271655,64430,67114,3159,,36061,3166,104,2179,39005,,279.0,206135,,,0.0,337881.0,32077,58981,1341,101444,89511,9.0,164389,,1069521,2014年12月31日,67360,,,1238104,1238104,0,37273,336542,1230252,2106,0.0,488060.0,,4933.0,39.0,150000,1069521,,15570,317,,677920.0,27889,2975,12183.0,12731,,1916024.0,3360.0,,1001.0,15299,341378,685772,70136,0
2015-05-06,1,2015,411457,12000.0,87742,50273,286552,72955,70632,2997,,50511,335538,28,1944,40841,0.0,238.0,138812,,,0.0,0.0,25935,156,1192,73309,75922,0.0,163967,,1077806,2015年03月31日,50469,4928.0,105.0,1249860,1249860,0,37273,601117,1137254,1894,0.0,,459178.0,,,150000,1077806,1853727.0,12736,386,603867.0,,33801,860,20512.0,12429,1853727.0,,0.0,,420.0,13359,2750,716473,100351,0
2015-08-04,2,2015,428250,12000.0,56223,-2204,224972,87664,74567,378,0.0,-2017,330612,1846,1944,21693,,187.0,155091,,,0.0,0.0,23995,161,72,66288,76756,0.0,163545,,1080882,2015年06月30日,17420,138.0,90.0,1171945,1171945,0,38803,530846,977408,1723,0.0,,401664.0,,,90000,1080882,1705674.0,10831,386,533729.0,,36857,700,23939.0,12218,1705674.0,,470.0,,553.0,13391,2883,728266,50323,0
