date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商標權,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地淨額,存入保證金,存貨合計,專利權,專利權淨額,專門技術,專門技術淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付薪資,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,著作權,著作權淨額,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,,3805674,2692928,-291,54831,2224680,1783838,441360,-31810,,,283022,,,,,-5440,110916,44495,320764,320764.0,,16630,,-31519,22879,,4122403,,12573,,,,,,,8188493,440842,6582508,,66421.0,1619826,268499,,,4289658,2013年03月31日,2330638,174861,1792491,7595041,7594250,0,264990,11396478,14498060,,52841,97300,,2976768.0,657250,4316836,,,23638,,,11507394.0,616296,,19102435.0,201057,43033,40652,101766,,,,,791,110916,4604375,334369.0,27178,2379894
2013-08-13,2,2013,,,3759693,2301216,-119,55002,3051925,2438690,326224,57676,,,356541,,309815.0,,,-5200,176081,109660,313263,,15990.0,15990,,57795,22879,,4328274,11606.0,11606,,,,,,8802416.0,8802416,613235,7546979,,66421.0,1625401,267609,128071.0,139538.0,4313457,2013年06月30日,1773026,133112,1790819,7298334,7297537,0,389998,14019860,16927480,,50720,138192,,4345669.0,1746960,4313457,,23124.0,23124,,,14195941.0,625188,,21494275.0,192682,62018,70519,120508,,,,,797,176081,4566795,,0,0
2013-11-12,3,2013,,,3512348,2503221,-434,54687,2523526,1773862,388271,14598,,,134439,,293981.0,,,-9274,191895,129305,303387,,15350.0,15350,,15032,22879,,4439037,10639.0,10639,,,,,,8862637.0,8862637,749664,7434414,,62590.0,1546441,266719,128071.0,138648.0,4313457,2013年09月30日,1975031,159044,1616482,7461317,7461317,0,389998,14167806,17531690,,48599,138192,,4926690.0,2610960,4320213,,22610.0,22610,,,14359701.0,623285,,21821018.0,176776,36244,49297,103588,,,,,0,191895,4289328,,6756,591624
2014-03-27,4,2013,,,3389048,2485712,-238,54883,2591269,1931680,349163,67579,-32320.0,-32320.0,93998,,228576.0,,,-8730,220580,159434,296331,,14711.0,14711,,100137,22879,,4161107,9672.0,9672,,,,,,10446627.0,10446627,659589,7824854,,61146.0,1522901,265829,128071.0,137758.0,4335733,2013年12月31日,1957522,151353,1535730,7541567,7541567,0,389998,13828775,17385420,,46479,138192,,4786865.0,658900,4339529,,22096.0,22096,,,14049355.0,648747,,21590922.0,164915,37981,34855,152932,,,,,0,220580,4205502,,3796,273000
2014-05-13,1,2014,600000.0,600000.0,3479179,2808503,108,50699,2564948,2097754,326505,127179,-27060.0,-27060.0,702647,102647.0,547970.0,,1112401.0,-8096,323395,262397,287782,287782.0,,14125,1850383.0,154131,22879,,4412923,,9757,,,0.0,,150000.0,,9687112,467194,7705628,,60998.0,1507500,264939,,,4339813,2014年03月31日,2280313,159964,1577930,9031825,7928021,0,389998,15990341,19272066,,3008248,138192,6264198.0,,2925909,4340384,,,21582,,,17513736.0,651955,,26545561.0,219002,109725,14842,182648,1200000.0,1200000.0,,,1103804,1523395,7273495,,571,50000
2014-08-13,2,2014,600000.0,600000.0,3310888,2873879,3914,46389,3177380,2438108,380077,27577,-19869.0,-19869.0,799449,199449.0,537257.0,,1083948.0,-7233,301762,240764,272305,,13482.0,13482,1850383.0,43532,22879,,4691883,8753.0,8753,,,,,0.0,10648639.0,10648639,739272,9176653,,60998.0,1417450,264049,128071.0,135978.0,4338313,2014年06月30日,2319726,153578,1524501,9008070,7895189,0,456853,17788862,21254926,,2977635,97300,6458486.0,,3159024,4338313,,21069.0,21069,,,19290624.0,655420,,28298694.0,199713,4370,10570,172502,1200000.0,1200000.0,,,1112881,1501762,7043768,,0,0
2014-11-12,3,2014,600000.0,600000.0,3337993,3351425,4201,46676,3137545,2332876,286419,129976,-23820.0,-23820.0,830630,230630.0,547520.0,666629.0,666629.0,-6643,413773,352775,265946,,12842.0,12842,1850383.0,149595,22879,,4666739,7769.0,7769,388867.0,388867.0,,,0.0,11503295.0,11503295,804669,10245303,36373.0,60998.0,1404742,263159,128071.0,135088.0,4340513,2014年09月30日,2797272,237712,1484531,9633310,8495870,0,456853,18722057,22648225,,2947045,97300,6779377.0,,3207954,4349172,,20555.0,20555,,,20035830.0,665297,,29669140.0,194772,42633,86494,160096,900000.0,900000.0,,,1137440,1313773,7020915,,8659,758273
2015-03-24,4,2014,600000.0,600000.0,3935145,3686641,707,292916,3683741,2628533,370254,404848,-18241.0,-18241.0,728415,128415.0,473067.0,648659.0,648659.0,-6187,560269,340696,383772,,12332.0,12332,1850383.0,422382,22879,161894.0,4810978,6845.0,6845,378384.0,378384.0,,,0.0,12613211.0,12613211,1055208,10453148,60581.0,57679.0,1418282,262269,128071.0,134198.0,4346578,2014年12月31日,3132488,779029,1526873,10308747,9150513,0,456853,19254757,23078336,,2916644,97300,6814023.0,,2148800,4385481,,20041.0,20041,,,20715026.0,673543,,31023773.0,194269,80590,96285,154691,900000.0,900000.0,,,1158234,1460269,7945437,,38903,2765853
2015-05-13,1,2015,603943.0,603943.0,5016110,4054864,23598,315807,3248565,2592514,532408,308605,-67376.0,-67376.0,763287,159344.0,510127.0,862137.0,862137.0,-5384,723294,464909,427088,427088.0,11685.0,11685,2281384.0,352383,127382,200706.0,5534217,5812.0,5812,367902.0,367902.0,0.0,,0.0,11706582.0,11706582,656051,10298766,20786.0,,1682687,261379,128071.0,133308.0,4386487,2015年03月31日,3500711,1184233,1781579,11934873,9491214,0,456853,19933214,24200723,57679.0,3548487,97300,,6863699.0,4208913,4400580,,19567.0,19567,33918953.0,21984080.0,,727165,33918953.0,,245613,5867,440720,149359,1327572.0,1327572.0,,,2443659,2050866,9718230,,14093,880030
2015-08-13,2,2015,625544.0,625544.0,5583112,3662674,23916,315185,4128309,3368746,452896,282369,-49368.0,-49368.0,860381,234837.0,507467.0,,877611.0,-4618,1519765,356283,529405,199020.0,11040.0,11040,2101996.0,307821,197155,140574.0,5755602,4802.0,4802,498434.0,498434.0,,,0.0,12106191.0,12106191,759563,11450469,68914.0,,1570590,260489,128071.0,132418.0,4395287,2015年06月30日,2954052,1513723,2084664,11496720,9069175,0,611322,21493467,25479413,59003.0,3512934,97300,,6871180.0,4369069,4395287,,19051.0,19051,35827514.0,24330794.0,,728845,35827514.0,,221598,29517,372885,146976,1317562.0,1317562.0,963905.0,330385.0,2427545,2837327,10348101,,0,0
