date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付所得稅,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,27400.0,254503.0,281903,1631254,25162,-43307,114883,,21414.0,93469.0,22325,-29838,295459,13556,8434,107923,,145787,-29838,0.0,585945,0.0,89105.0,,216698,,28611,,563191,,8396,107923.0,121749,62350,1574760,2013年03月31日,-43307,,,2513649,2517178,0,0.0,710961,1725689,,7358,,,,,426918.0,22959.0,,25408,1574760,6931.0,,,1327170.0,1015563,,3840819.0,12,0.0,16797,121470,491489,,-3529,616209,2115130,,21375,,0
2013-08-09,2,2013,0.0,363275.0,363275,1641077,48580,152288,129017,,21915.0,107102.0,27841,-37807,377997,14722,8813,107681,,179937,-37807,0.0,555674,0.0,80506.0,,203388,,30866,0.0,620085,,11694,107681.0,116030,59041,1574760,2013年06月30日,152288,,,2548078,2554191,0,0.0,778138,1717288,,6895,,,,,388515.0,6361.0,,24384,1574760,6000.0,,,1322180.0,864950,,3870258.0,125,0.0,15723,101410,420638,0.0,-6113,544042,2152970,,24160,,0
2013-11-08,3,2013,0.0,357915.0,357915,1650192,48575,195241,141331,0.0,32787.0,108544.0,26601,-33180,374703,16788,3225,107506,76.0,209629,-33180,,557249,,21318.0,,193516,,83714,,639793,,11393,107430.0,114584,59592,1574760,2013年09月30日,195241,,,2586081,2590244,0,0.0,830232,1767399,,6874,,,,,495672.0,15958.0,,20002,1574760,1008.0,,,1367050.0,853423,,3953131.0,0,359.0,13962,96286,415350,,-4163,536818,2185732,,11789,,0
2014-03-14,4,2013,0.0,360893.0,360893,1638135,48522,194942,148376,,36446.0,111930.0,57982,-47665,370078,9185,4090,126593,71.0,101242,-47665,,506101,,,,263750,,91327,,656928,,11333,126522.0,107140,59803,1574760,2013年12月31日,194942,,,2591986,2586987,0,0.0,908254,1868917,,923,,,,,621894.0,20209.0,,14265,1574760,,,,1333074.0,864950,,3925060.0,249,0.0,13320,100378,284907,,4999,424820,2056143,,10589,,0
2014-05-08,1,2014,0.0,95379.0,95379,1592045,28698,235067,130344,,130344.0,,57521,-38592,114553,19174,4109,126742,74.0,104898,-38592,,525289,,0.0,0.0,214388,,66496,,598785,,9514,126668.0,110583,138446,1574760,2014年03月31日,235067,,,2638619,2636751,0,,554425,1702776,,717,,,,494206.0,,28350.0,,0,1575326,0.0,,,1135167.0,864950,,3773786.0,294,,15564,95623,438436,,1868,580742,2071010,,13352,566.0,30000
2014-08-06,2,2014,,,90337,1554943,28694,222858,222215,,,,58792,-38648,102860,12523,9902,126758,74.0,100227,-38648,,528311,,0.0,0.0,230984,,24971,,659451,,13805,126684.0,109451,142223,1575060,2014年06月30日,161352,,,2624394,2625241,0,13841.0,582690,1749533,,511,,30000.0,47665.0,437520.0,,1660.0,,0,1575815,0.0,,,1176028.0,865216,,3800422.0,0,327.0,12777,114840,453803,,-847,593338,2050889,,11425,755.0,40000
2014-11-07,3,2014,,92718.0,92718,1526577,21686,299013,126781,,,,61437,-53915,105964,13246,6650,126560,70.0,87239,-53915,,498852,,0.0,0.0,243354,,90234,,823367,,11297,126490.0,102540,147432,1575460,2014年09月30日,237507,,,2693116,2696596,0,13841.0,567058,1886178,,632,,30000.0,47665.0,434444.0,,0.0,8120.0,0,1585927,0.0,,,1178116.0,865571,,3871232.0,725,0.0,12400,98948,472098,,-3480,611058,1985054,8120.0,12011,10467.0,555000
2015-03-11,4,2014,,96923.0,96923,1484244,21647,384846,143304,0.0,,,25376,-59855,105274,8351,5639,131718,66.0,101418,-59855,,484960,0.0,,0.0,272312,,98362,,835370,,12303,131652.0,97135,231105,1594210,2014年12月31日,323340,,,2810743,2801384,0,13841.0,625849,2034892,,2948,,,47665.0,662850.0,,,4278.0,6135,1594210,,,,1243229.0,882183,,4053972.0,462,,15014,80583,470648,,9359,617380,2019080,,4116,,0
2015-05-08,1,2015,,97346.0,97346,1456517,21635,435896,122032,,,,25858,-64189,105828,8482,3605,135086,66.0,107127,-64189,,509393,,,,216784,,91777,,866552,,11500,,95143,240541,1594210,2015年03月31日,374390,17064.0,7011.0,2856260,2848100,0,13841.0,559726,2016003,135020.0,3228,,,47665.0,,576006.0,,,6241,1594210,,4018639.0,1162379.0,,882183,4018639.0,,0,166.0,8704,78445,458863,,8160,602653,2002636,,15912,0.0,0
2015-08-07,2,2015,,93593.0,93593,1458912,21614,334279,281451,,,,26400,-71774,100958,7365,3917,134795,64.0,77901,-71774,,498847,,,,215938,,33061,,848332,,9141,,92113,244012,1594210,2015年06月30日,231688,23677.0,5178.0,2747159,2738898,0,42736.0,661098,2036840,134731.0,2998,0.0,,59855.0,,630160.0,,,6013,1594210,,4011124.0,1263965.0,,882183,4011124.0,,0,44.0,7668,76734,460404,,8261,602867,1974284,,14821,0.0,0
