date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原料,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,在製品,在途原物料,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,與待出售非流動資產直接相關之負債,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,101067,2198128,1493951,,,369670,1833869,,9866,183677,69552,96455,6197,90258,,258485,58,21250,,,,,,,3867905,,,0.0,,,,,,153868,,189769,,386818,13058.0,224839.0,1497287,,1374079,33588.0,,124751,2768023,2013年03月31日,964587,,,,5310827,5253945,0,523349,7070575,8932951,,75.0,6015.0,,499983.0,367.0,0.0,6155889,,2768023,,,,,7867955.0,982105,,,,,,,,13178782.0,187,1112990,0.0,67758,,,,538895,224839.0,56882,797380,4245831,114582,0
2013-08-06,2,2013,,101127,2226801,1389882,,,319415,1751022,,-84647,320766,206488,96939,6680,90259,,255234,58,19803,,,,,,,3434121,,,0.0,,,,,,21036,,279658,,342168,13151.0,221517.0,1569051,,1166251,33659.0,,130615,2768023,2013年06月30日,866533,,,,5110925,5057342,0,523349,5991655,8014824,,30.0,0.0,,503760.0,0.0,0.0,5028027,,2768023,,,,,7089349.0,984084,,,,,,,,12200274.0,0,890034,,57179,,,,842460,221517.0,53583,1097694,4185450,35253,0
2013-11-05,3,2013,,101149,2219804,1461980,,,341006,1842679,,27383,203780,89387,100593,9087,91506,,251615,58,19484,,,,,,,3055216,,,0.0,,,,,,52061,,279664,,212930,13244.0,218170.0,1705678,,1041141,33387.0,,133250,2769273,2013年09月30日,938631,,,,5298969,5245190,0,523349,5800299,7862239,,0.0,0.0,,512662.0,,60.0,5051864,,2769273,,,,,6845821.0,986554,,,,,,,,12144790.0,0,1058196,,67334,,,,793907,218170.0,53779,1045522,4282551,47687,0
2014-03-18,4,2013,,101175,2215073,1541857,,,354804,1911827,,101759,240868,126354,99247,7804,91443,,249266,58,20164,,,,,,,2673049,,,0.0,,,,446896.0,,76624,,279679,,402874,13339.0,214800.0,1819607,84425.0,992333,34408.0,,138602,2769413,2013年12月31日,1018508,,,,5501445,5443826,0,523349,5365149,7997598,,0.0,0.0,,867867.0,368.0,103.0,4355686,,2769413,,,,,6853805.0,1030797,,,,,,,,12355250.0,9050,1066191,,71986,,,,792494,214800.0,57619,1488656,4357652,39972,0
2014-05-06,1,2014,,101201,2214936,1603063,,,337064,1836519,,10489,218004,103369,99218,7704,91514,,245747,58,17893,,,,,,,2784421,,,0.0,,0.0,,448661.0,,319085,,199775,,273225,13434.0,211406.0,1986041,75979.0,1013036,34283.0,,143259,2769939,2014年03月31日,1079714,,,,5471696,5416388,0,523349,5460872,8013419,,0.0,0.0,619107.0,,1631.0,0.0,4440535,,2769939,,,,,6814204.0,1032897,,,,,,,,12285900.0,8617,1034022,,59874,,,,658924,211406.0,55308,1353332,4272481,64531,0
2014-08-06,2,2014,578180.0,578180,2378045,1428104,-31405.0,-31405.0,329837,1835837,,-30324,1003249,425069,103929,7164,96765,,34313,162,443347,,,1081.0,1081.0,,,3236373,,,0.0,,0.0,451321.0,451321.0,76474.0,76474,249708.0,249708,459196.0,459196,0.0,0.0,2316387,77026.0,1245152,34151.0,,147588,2769939,2014年06月30日,871639,,,159487.0,5254054,5202324,0,556465,7733846,8775446,,0.0,,578770.0,,7271.0,0.0,5919282,712152.0,2769939,,,,,8372912.0,1034605,24973.0,7778.0,,959488.0,42366.0,959488.0,,13626966.0,18666,805779,,46703,5919282.0,,153432.0,153432,0.0,51730,639066,4851520,82193,0
2014-11-04,3,2014,,2080,2885756,1489572,,,348532,1915051,,70173,123060,120980,113897,22355,91542,,34184,162,13675,,,,,,,3472230,,,0.0,,0.0,,453981.0,,131920,,279693,,474302,0.0,0.0,2220206,32714.0,1157080,34022.0,,156250,2777199,2014年09月30日,933107,,,,5427080,5377069,0,556465,6269629,8823281,,,,534966.0,,9027.0,0.0,5242585,,2777199,,,,,8404574.0,1040125,,,,,,,,13831654.0,9042,847605,,37641,,,,1646780,0.0,50011,2134945,5008373,96051,0
2015-03-20,4,2014,,2080,2820982,1494071,,,352570,1919686,,97326,107362,105282,98176,3398,94778,,36652,58,28834,,,,,,,3500985,,,0.0,244263.0,0.0,,438334.0,,62416,,279723,,374117,0.0,0.0,1616925,39430.0,1087652,36594.0,,16494,2788380,2014年12月31日,937606,,,,5475787,5429240,0,556465,5493439,8265162,,,,398927.0,,11626.0,0.0,4646478,,2788380,3382.0,,,,7615281.0,1049463,,,,,,,,13091068.0,8335,846768,11.0,39910,,,,1646845,0.0,46547,2121842,4825906,79466,0
2015-05-08,1,2015,,152080,2816222,1780491,,,348532,1902616,,73941,281636,129556,115630,25609,90021,,36742,300,85411,,,,,,,3391312,,,,168738.0,,,440875.0,,109421,,279613,,340095,0.0,0.0,1684599,37503.0,831363,,,16524,2788380,2015年03月31日,1224026,9840.0,,,5738514,5693983,0,556465,5091293,7943422,36442.0,,,,576784.0,,,4059107,,2788380,0.0,,12804105.0,7065591.0,,1051171,,,,,,,12804105.0,,11581,742565,11.0,39910,,,,1496670,0.0,44531,1974298,4860683,46396,0
2015-08-05,2,2015,,152080,2813774,1362057,,,330361,1825801,353522.0,-23954,187471,35391,96298,6235,90063,,36613,300,71676,,2704316.0,,,1703.0,149157.0,3141801,3141801.0,1089.0,,166721.0,,,443416.0,,54226,,379513,,159961,,,1610115,40142.0,918943,,,16032,2788380,2015年06月30日,782447,0.0,,,5221147,5179363,0,579610,5250272,7688032,36313.0,,,,618854.0,,,4104939,,2788380,0.0,286625.0,12447943.0,7226796.0,,1052880,31807.0,7778.0,972628.0,972628.0,40667.0,,12447943.0,,10640,720505,0.0,32628,,617765.0,,1496495,,41784,1976524,4759911,44292,0
