date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,8300,574160,69556,536305,537419,,140273,681531,246215,26993,18693,4588,,4883,35082,17228,3340,3977,9196,12008,928093,928093,59652.0,,,832696,3015.0,74881.0,1345,1749337,28190.0,85901,25886.0,21103,,1146015,2013年03月31日,314933,,,2450103,2067576,2300000,197113,2877774,4763077,,,8860,24259,,728223.0,24199.0,1900.0,1774372,1151995,,,,3021944.0,192713,,5472047.0,0.0,,9488,18063,99600,382527,144170,708970,17895,0.0,1880.0,5980.0,598000
2013-08-08,2,2013,11067,576350,41248,438453,494531,,179373,667135,256755,16165,5098,2387,,3421,37708,16766,3340,15974,12126,11920,977273,977273,59652.0,135479.0,,874666,1894.0,94854.0,1476,1662539,5640.0,157405,25582.0,21093,54026.0,1151995,2013年06月30日,198888,,,2500206,2114723,2300000,215306,2877405,4772574,,,19395,24259,,751348.0,20140.0,0.0,1688837,1287474,,,,3018790.0,191693,,5518996.0,0.0,0.0,9610,17544,94067,385483,141385,746422,54316,86.0,1420.0,0.0,0
2013-11-12,3,2013,11067,594350,44679,562898,390388,,139488,821518,170958,16596,5529,3380,,3572,33873,16655,3340,15974,8715,11895,1033386,1033386,0.0,,,1019350,3469.0,74950.0,1359,1817147,8041.0,87726,25158.0,21084,68592.0,1287474,2013年09月30日,323333,,,2601125,2217849,0,215306,2988799,4940168,,,19546,24259,,722305.0,11769.0,0.0,1721818,1291534,,,,3122908.0,192459,,5724033.0,0.0,0.0,8936,18959,91300,383276,134109,783865,56277,0.0,1420.0,4060.0,406000
2014-03-25,4,2013,11067,591511,44679,611270,389020,,169600,744161,167148,17673,6606,2556,,3074,32633,22158,3340,15974,4022,14744,1024877,1024877,0.0,,,1144667,15462.0,74967.0,1810,2012706,3427.0,100148,28611.0,21074,69168.0,1291534,2013年12月31日,371705,,,2697677,2261072,0,215306,2994374,5046126,,,19048,24259,,739456.0,20076.0,0.0,1550119,1291534,,,,3125429.0,191120,,5823106.0,0.0,,9889,9342,88533,436605,131055,776980,29775,0.0,4074.0,0.0,0
2014-05-13,1,2014,11067,576461,44679,690854,401555,,147030,711033,189021,26037,14970,3383,,3075,34531,22331,3340,51411,4266,14917,1113464,1113464,0.0,,0.0,1279129,120.0,29996.0,1364,2098874,4703.0,163496,30265.0,35000,0.0,1291534,2014年03月31日,451289,,,2855872,2362529,0,215306,2992980,5232574,,,54486,24259,688924.0,,34648.0,92.0,1474656,1291534,,,,3124568.0,191120,,5980440.0,,,11290,14909,85767,493343,131588,747866,47050,,4074.0,0.0,0
2014-08-12,2,2014,11067,562797,41248,470664,379916,,323905,801652,158844,28652,17585,3030,,3019,34716,23085,3340,51411,4261,15671,1207239,1207239,0.0,154984.0,0.0,1427222,22.0,0.0,1642,2206725,4984.0,200965,30455.0,44066,0.0,1291534,2014年06月30日,199056,,,2767849,2267146,0,247349,3413581,5564615,,,54430,24259,722553.0,,34356.0,139.0,1597782,1446518,,,,3539480.0,191120,,6307329.0,,11.0,8183,17088,83000,500703,125899,742714,37401,0.0,4074.0,,0
2014-11-11,3,2014,11067,561459,39571,526821,318126,,196450,801131,108643,35935,24868,3480,,2850,33852,29729,9897,51411,4207,15758,1338877,1338877,0.0,,0.0,1520149,12.0,0.0,1762,2606642,1712.0,166559,29645.0,44357,0.0,1446518,2014年09月30日,255213,,,2768709,2273102,0,247349,3835344,5963803,,,54261,24259,698210.0,,33268.0,163.0,2047757,1446518,,,,3959608.0,191120,,6728317.0,11.0,,10179,35137,80233,495607,124264,764514,28903,,4074.0,0.0,0
2015-03-20,4,2014,11067,560521,39571,687049,298561,,222633,754999,109921,23514,12447,2336,2285.0,2285,31942,30263,9896,51411,4927,16064,1490730,1490730,0.0,,0.0,1480878,0.0,0.0,1548,2658579,0.0,125350,27015.0,44797,0.0,1590184,2014年12月31日,415441,,,2934947,2809495,0,247349,3908508,6189094,,,53696,24259,832335.0,,51252.0,209.0,2126786,1590184,,,,4034526.0,422341,,6969473.0,1897.0,,16610,51531,77466,125452,126018,780379,25995,,4303.0,,0
2015-05-13,1,2015,11067,577010,39571,790223,304910,,224301,723861,110547,30825,19758,2443,,1783,31832,29879,9896,51411,4925,15651,1558003,1558003,,,0.0,1288774,0.0,0.0,1390,2436609,0.0,91081,,44270,,1590184,2015年03月31日,518615,73333.0,239.0,3042570,2913295,0,247349,3745165,6113182,26907.0,4332.0,53194,24259,,973146.0,,,2126542,1590184,6905432.0,,3862862.0,,422341,6905432.0,,0.0,1242.0,11165,48326,74700,129275,117697,792250,21648,,,,0
2015-08-11,2,2015,20289,661142,39571,519645,245027,,435941,720322,43629,37221,16932,2446,,3142,33880,29258,9896,51411,6891,15024,1452076,1452076,,79509.0,,1247891,0.0,,2735,2314419,0.0,110305,,43643,,1590184,2015年06月30日,211937,49554.0,191.0,2719300,2645717,0,283449,3608136,5921577,26989.0,4338.0,54553,24259,,1065794.0,,,1834356,1669693,6796962.0,,4077662.0,,412750,6796962.0,,438.0,765.0,5695,47218,429951,73583,469526,875385,10232,,,,0
