date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,暫估應付費用,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,184714,450061,236028,7812,7577,,288580,22959,16354,,,,10443,34784,23542,7577.0,11242,0.0,,,6592,63,171866,8228,10443.0,324992,,2013年03月31日,216952,,1120657,1116862,0,233109,564701,1449889,,21496,,1215567.0,27405.0,6033.0,324992,,,,575354.0,334232,,,,,1696011.0,30062.0,210,5128,3795,10653,246122,265621.0,265621,,0
2013-08-13,2,2013,178722,366055,427106,9270,8104,,307429,30788,18210,12110.0,6100.0,13000.0,10014,36068,10358,8104.0,12710,7537.0,,,6817,41,200605,9350,,324992,,2013年06月30日,115861,,1030962,1025846,93000,250194,775658,1575378,,21548,,1307834.0,28226.0,6039.0,324992,,,,785882.0,334232,,,,,1816844.0,30109.0,210,5128,5116,10224,241466,276641.0,276641,,0
2013-11-12,3,2013,170826,430944,300156,8299,8050,,297087,21229,19478,13378.0,6100.0,13000.0,9583,30805,6590,8050.0,11215,0.0,,,4952,33,216798,7059,,324810,,2013年09月30日,180750,,1107873,1102216,0,250194,633459,1521506,,22860,,1239715.0,25273.0,5958.0,324810,,,,643252.0,338412,,,,,1751125.0,30157.0,210,5128,5657,9793,229619,275858.0,275858,,0
2014-03-25,4,2013,160807,501975,334322,6358,9057,,307802,39257,6091,6091.0,0.0,13000.0,4514,29988,8438,9057.0,8550,0.0,,,3374,238,210392,4389,4514.0,329897,334322.0,2013年12月31日,251781,,1218246,1214273,0,250194,681027,1689980,,20142,,1432549.0,35291.0,0.0,329897,,,,686303.0,373344,,373344.0,373344.0,,1904549.0,30201.0,762,3632,3973,5276,214569,268545.0,268545,,0
2014-05-08,1,2014,161876,554240,264010,10206,8739,,321026,22939,6728,6728.0,0.0,13000.0,4121,27267,7925,8739.0,6342,0.0,,0.0,3532,256,199148,5658,4121.0,329897,264010.0,2014年03月31日,304046,,1271415,1266220,0,250194,631977,1697978,,17522,1445996.0,,43153.0,0.0,329897,,,,636860.0,373344,,373344.0,373344.0,,1908275.0,30242.0,762,3632,5195,4883,210297,298087.0,298087,,0
2014-08-13,2,2014,162808,440943,522332,10945,7859,,349758,35416,7508,7508.0,0.0,13000.0,3708,26042,6709,,6333,0.0,,0.0,3827,45,221197,5812,3708.0,329897,522332.0,2014年06月30日,166606,,1158265,1152043,0,274337,913989,1864793,,19449,1589048.0,,38027.0,0.0,329897,,,,918459.0,373344,,,373344.0,,2076724.0,30283.0,762,3632,6222,4470,211931,314342.0,314342,,0
2014-11-13,3,2014,156777,543562,343993,8593,-3717,-12713.0,355210,26771,11504,11504.0,0.0,13000.0,3313,30180,8353,8996.0,8827,0.0,,0.0,2963,70,246824,6147,3313.0,331197,343993.0,2014年09月30日,269225,,1264042,1257224,0,274337,738144,1797878,,17794,1494486.0,,35908.0,0.0,331197,,,,742219.0,386182,12838.0,,373344.0,,2006261.0,30324.0,762,3632,6818,4075,208383,328439.0,328439,0.0,0
2015-03-24,4,2014,158328,615588,430137,9358,-7333,-10062.0,344510,39295,7494,7494.0,,13000.0,1907,28489,6892,2729.0,8597,0.0,,0.0,4509,266,213425,4685,1907.0,331197,430137.0,2014年12月31日,341251,,1332262,1325634,0,274337,820811,1951822,,15382,1716860.0,,41389.0,,331197,,,,824318.0,386182,,,386182.0,,2156580.0,0.0,1600,2559,6628,3507,204758,305215.0,305215,,0
2015-05-12,1,2015,171445,684132,312242,10035,-5007,-7411.0,371843,37348,7113,7113.0,,13000.0,1431,29575,8395,2404.0,8180,,,0.0,6062,51,207938,5801,,331117,312242.0,2015年03月31日,409795,51538.0,1402523,1396504,0,274337,741736,1929910,1431.0,13801,,1699023.0,,,331117,,2147290.0,744767.0,,386262,12918.0,,373344.0,2147290.0,,0.0,1600,2559,6019,3031,217380,334495.0,334495,,0
2015-08-05,2,2015,201259,558494,606939,10946,-3006,-4760.0,392869,38770,9728,9728.0,,13000.0,998,28382,6961,1754.0,8421,,,0.0,4575,43,236022,7710,,331117,606939.0,2015年06月30日,253098,67833.0,1279203,1272867,0,305396,1072259,2109373,998.0,12487,,1844967.0,,,331117,,2354060.0,1074857.0,,386262,12918.0,,373344.0,2354060.0,,0.0,1600,2559,6336,2598,244687,354099.0,354099,,0
