date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,債券換股權利證書,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,1335446.0,1335446.0,9214376,125,3388915,,415410,11887,,674079,1427289,91843.0,138787,4479.0,134308.0,263628,9907,524246,6115,6847132,2198622,,,250347,229923,111517,1539625,29871.0,29871,297558,3558,253721.0,10487,10000.0,10000.0,543624,8789452,2013年03月31日,753917,,,10747962,10747962,45959000,332102,7849176,9971982,,1305,,36450.0,2302896,,867970.0,17280.0,6616.0,5360847,8789452,,24435,,9580748.0,94138,,20328710.0,12128.0,80751,1367944,1342571,25373,52565,100000,259354,0,1731572,10356728,111777,258777,0
2013-08-08,2,2013,1307484.0,1307484.0,9227605,125,3453116,9488.0,422377,34596,,836958,1404972,97488.0,145624,4957.0,140667.0,250507,4603,458814,6651,6035659,2198622,0.0,,312131,229839,41239,2248041,27569.0,27569,259367,3782,245904.0,10479,10000.0,10000.0,531198,8789452,2013年06月30日,795706,,,11009434,11009434,45959000,354514,7784715,10218553,,1281,,18000.0,2302896,,1266807.0,53403.0,22197.0,5286087,8798940,,22981,,9505761.0,119042,,20515195.0,11686.0,72564,1370539,1342571,27968,57140,100000,262800,0,1721046,10296642,84347,189363,0
2013-11-08,3,2013,1313437.0,1313437.0,9129684,125,3695537,,457005,49401,,755487,1425514,112077.0,168742,5891.0,162851.0,265580,27432,363721,7391,5877545,2198622,0.0,,351957,229873,55601,1999787,26500.0,26500,261371,2436,238148.0,10472,10000.0,10000.0,549097,8798940,2013年09月30日,1038127,,,11170384,11170384,45959000,354514,7894802,10710122,,1219,,41157.0,2302896,,2011751.0,63659.0,8255.0,5282744,8798940,,21594,,9658055.0,119042,,20828439.0,6855.0,78055,1397673,1342571,55102,53999,100000,258459,0,1763253,10118317,185122,97871,0
2014-03-18,4,2013,1319390.0,1319390.0,9081163,125,3867072,,427026,47955,,890907,1442647,123257.0,104190,4568.0,99622.0,256127,27743,326297,7923,5881222,2198622,,,340328,149946,41697,1847469,30191.0,30191,329540,2499,228384.0,10465,10000.0,10000.0,575291,8798940,2013年12月31日,1209662,,,11477339,11477339,45959000,354514,7330260,10515660,,1335,,41341.0,2302896,,2030444.0,104942.0,1578.0,4793313,8798940,,29958,,9096013.0,119042,,20573352.0,403.0,90392,1409626,1342571,67055,53016,100000,260799,0,1765753,10057692,108839,57575,0
2014-04-29,1,2014,1325342.0,1325342.0,8942804,125,4009575,,407355,56204,,1010530,1438858,113516.0,123419,6626.0,116793.0,247198,26861,349014,6662,5774407,2198622,,0.0,285531,179805,30690,2145631,35409.0,35409,323150,2911,220337.0,10458,10000.0,10000.0,575463,8798940,2014年03月31日,1352165,,,11739465,11739465,45959000,354514,8029243,11489994,,1263,,23862.0,2302896,2787818.0,,101460.0,1574.0,5556917,8798940,,28627,,9694180.0,119042,,21433645.0,0.0,110339,1417739,1342571,75168,54524,0,262303,0,1664937,9943651,105270,80049,0
2014-08-06,2,2014,,,8671291,125,3327428,0.0,1379548,39904,,820261,1440393,,102282,,,238690,27199,369445,8539,5303047,2198622,,0.0,330919,149966,50166,2468142,,40195,218465,3097,211491.0,10451,,10000.0,530518,8798940,2014年06月30日,624088,,,10867049,10867049,45959000,400444,8236573,11076812,,1151,,23388.0,2302896,2616906.0,,95205.0,17.0,4763161,8798940,,27215,,9852341.0,119042,,20719390.0,0.0,99242,1377078,1342571,34507,49597,0,255181,0,1615768,9642578,162127,105725,0
2014-11-07,3,2014,,,8610506,125,3307979,0.0,469153,39074,,953738,1467255,,86424,11469.0,74955.0,230504,26957,402003,59831,5648575,2198622,,0.0,344406,149992,34013,1798099,,42427,211089,3984,203547.0,10444,,10000.0,523282,8798940,2014年09月30日,604639,,,10981077,10981077,45959000,400444,7603186,10569640,,1085,,23822.0,2302896,2434812.0,,83706.0,17.0,5028927,8798940,,25734,,9193318.0,119042,,20174395.0,0.0,94840,1359628,1342571,17057,47310,0,258017,0,1590132,9604755,186477,84155,0
2015-03-10,4,2014,,,8631654,125,1967756,0.0,529909,59686,,1282107,1488057,,53945,8908.0,45037.0,204187,6848,456844,64709,5763957,496788,,0.0,305108,149946,32903,1654026,,40796,262240,2705,197339.0,10437,,10000.0,527406,8449229,2014年12月31日,-735584,,,11321346,11321346,10988000,400444,7632677,10815323,,1082,,0.0,2302896,2740813.0,,99179.0,4.0,5016375,8449229,,11200,,9179435.0,119042,,20500781.0,0.0,111321,1342571,1342571,0,47910,0,267911,0,1546758,9685458,125830,124224,0
2015-05-08,1,2015,,200000.0,8311622,125,1671077,,448901,275579,,1170438,335730,135730.0,69759,11168.0,58591.0,195467,6065,571596,148293,5514770,0,,0.0,271360,149893,25422,1657287,,47518,250747,2185,,10429,,10000.0,459495,8339349,2015年03月31日,-1032263,153071.0,15.0,11299906,11299906,0,400444,6269347,10699296,189402.0,1078,0.0,,2302896,,2660588.0,,,4872143,8339349,20107291.0,11200,8807385.0,,119042,20107291.0,,1627.0,105492,1342571,1342571,0,43650,1000000,251292,0,2538038,9407995,115356,172011,0
2015-08-10,2,2015,,200000.0,8125231,125,1982673,,496391,136742,,1097351,341504,141504.0,154334,6369.0,147965.0,187292,5850,538392,90391,5592784,0,,,335521,179914,19854,1944277,,47437,241836,2034,,331505,,0.0,454291,8339349,2015年06月30日,-320223,86578.0,2.0,11538415,11538415,0,0,6502286,11089398,181442.0,1015,0.0,,2302896,,2756602.0,,,5031324,8339349,20582222.0,11200,9043807.0,,119042,20582222.0,,,102956,1354229,1342571,11658,42265,1000000,247038,0,2541521,9492824,110394,200963,0
2015-11-10,3,2015,,163636.0,8106666,125,2213102,,582338,136857,130000.0,1254226,302776,139140.0,133711,7096.0,126615.0,179493,5758,546121,9631,5669606,0,,,331182,219891,20257,1654475,,56741,245686,2746,,331498,,0.0,441264,8339349,2015年09月30日,-89794,82098.0,2.0,11925719,11925719,0,0,6814554,11566922,173735.0,985,0.0,,2302896,,3343377.0,,,5264812,8339349,21034730.0,11200,9109011.0,,119042,21034730.0,,,87658,1378600,1342571,36029,41149,736364,250957,0,2294457,9467808,106063,285533,0
2016-03-22,4,2015,,163636.0,8503192,125,2381849,0.0,651319,97537,130000.0,1076422,325932,162296.0,129582,4808.0,124774.0,182657,5498,272066,9694,7677787,0,,,325292,219811,82524,1500859,,59255,280022,1538,,331490,,0.0,420396,8339349,2015年12月31日,78953,84681.0,2.0,11916662,11916662,0,0,9019538,13693101,177159.0,912,,,2302896,,3585924.0,,,7316579,8339349,23260882.0,13400,11344220.0,,119042,23260882.0,,0.0,94301,1405661,1338178,67483,39600,736364,243623,0,2324682,9567781,136294,18749,0
2016-05-12,1,2016,,163636.0,8527783,125,2553362,,603359,62305,130000.0,992793,286865,123229.0,69835,7389.0,62446.0,174877,4481,300014,30643,8035274,0,,,357119,219808,17744,1286030,,65567,268819,2369,,331483,,0.0,497361,8339349,2016年03月31日,250466,82689.0,99934.0,12004546,12004546,0,0,8242692,12786938,170396.0,847,,,2302896,,2501228.0,,,6660422,8339349,22482322.0,13400,10477776.0,,119042,22482322.0,,1286.0,88774,1405661,1338178,67483,37771,654546,238215,0,2235084,9695384,176803,31156,0
2016-08-04,2,2016,,163636.0,8535413,125,2980309,,820616,36420,130000.0,839280,319745,156109.0,77020,6817.0,70203.0,167726,4163,284343,33495,7811555,190902,,,448600,169871,19997,2061753,,68207,229852,2334,,331476,,,395301,8339349,2016年06月30日,669518,118388.0,1.0,11987006,11987006,6988000,7895,8561746,12979485,163563.0,777,0.0,,2302896,,2313351.0,,,6651129,8339349,22563067.0,13400,10576061.0,,18970,22563067.0,,,85379,1192043,1124560,67483,36147,654546,230944,0,2014315,9583582,163613,19904,0
2016-11-09,3,2016,,163636.0,8524553,125,3233044,,586939,34551,130000.0,614579,303289,139653.0,75096,6381.0,68715.0,160594,3904,261763,29392,7881259,690173,,,415658,269587,16833,1878617,,51527,201233,2390,,331469,,,457088,8339349,2016年09月30日,922253,110293.0,1.0,11515769,11515769,23320000,7895,9040403,12871260,156690.0,701,,,2302896,,2399343.0,,,7324404,8339349,22481536.0,13400,10965767.0,,18970,22481536.0,,,76375,1192043,1124560,67483,34577,572727,221080,0,1925364,9610276,140868,11291,0
