date,season,year,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,在建房地,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待售房地,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,短期借款合計,礦產資源淨額,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－其他受贈資產,資本公積－受贈資產合計,資本公積－受領股東贈與,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－特別股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－轉換公司債轉換溢價,資本公積－限制員工權利股票,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1383810,,,4126,1318659,522962,,,,77040,11481,,-50033,37175,4745,94639,11854,10505,37725.0,5780,335562,69365.0,266197.0,0.0,,,,31640.0,,,,155191,294921,47966,79429,,,,5019,,88859.0,4673773,,,,,,,2600391,2013年03月31日,-217778,,3869017,3869017,0,,1544942,1030183,,892,,,1536437,,,,38601.0,,,924200,,2600391,,8449,,,3235621.0,0,,,,,,,,,,,,,,,,,,,,7104638.0,,,,22404.0,,1596040,,,,,,0.0,1690679,6074455,9980,1349,,0
2013-08-13,2,2013,1392957,,,4126,1311015,507805,,,,98414,7418,,-64356,30928,6059,90401,15079,10580,,5754,365100,,,,,,,,,,,166343,149895,34218,73615,,,,9691,,84647.0,4675281,,,,,,,2600391,2013年06月30日,-225422,,3847050,3847050,0,,1568200,1013439,,809,,,1536437,,,,36740.0,,,1080300,,2600391,,8102,,,3254641.0,0,,,,,,,,,,,,,,,,,,,,7101691.0,,,,0.0,,1596040,,,,,,,1686441,6088252,7011,4499,,0
2013-11-08,3,2013,1391105,,,4126,1273987,552358,,,,121160,10349,,-19259,37159,6807,85440,11993,10596,,4972,381505,,,0.0,,,,,,,,149319,399789,8032,46300,,,,10000,,80468.0,4675219,,,,,,,2600391,2013年09月30日,-262450,,3855119,3855119,0,,1582901,1034629,,2428,,,1536437,,,,21184.0,,,859180,,2600391,,8262,,,3264381.0,0,,,,,,,,,,,,,,,,,,,,7119500.0,,,,0.0,,1596040,,,,,,,1681480,6084871,6126,1397,,0
2014-03-19,4,2013,1394076,,,4126,1194389,507746,,,,53803,9196,,-60871,43648,7050,75421,20195,10596,,4886,310104,,,0.0,,,,,,,,107081,419831,5927,44875,,,,10000,,70535.0,4678049,,,,,,,2600391,2013年12月31日,-342048,,3733909,3733909,0,,1698750,1004664,,3010,,,1536437,,,,62921.0,,,1060430,,2600391,,8030,,,3370211.0,0,,,,,,,,,,,,,,,,,,,,7104120.0,,,,0.0,,1596040,,,,,,,1671461,6099456,52772,9599,,0
2014-05-06,1,2014,1390975,,,4126,1074820,482916,,,,147214,13171,,-85701,51250,7678,72791,26853,10614,,6291,416851,,416851.0,,,,,,,,,115854,499802,8179,43922,,,,7429,,66500.0,4687952,,,,,,,2600391,2014年03月31日,-461617,,3589510,3589510,0,,1922321,1067818,,2938,,,1536437,,,52950.0,,,,1092080,,2600391,,7942,,,3591152.0,0,,,,,,,,,,,,,,,,,,,,7180662.0,,,,0.0,,1596040,,,,,,0.0,1668831,6112844,42901,16239,,0
2014-08-12,2,2014,1379040,,,4126,1046959,501702,,,,95420,6219,,-66915,58347,8012,68544,39994,10614,,6305,379584,,379584.0,,,,,,,0.0,,117363,511251,7214,47784,,,,9943,,62239.0,4687586,,,,,,,2600391,2014年06月30日,-489478,,3580435,3580435,0,,1924967,1056462,,2778,,,1536437,,,58505.0,,,,1128000,,2600391,,7372,,,3589551.0,0,,,,,,,,,,,,,,,,,,,,7169986.0,,,,0.0,,1596040,,,,,,0.0,1664584,6113524,44713,29380,,0
2014-11-07,3,2014,1417789,,,4126,981171,689505,,,,191247,7158,,124665,72919,8356,57248,11595,10616,,6373,388013,,388013.0,,,,,,,0.0,,100882,504783,14943,47739,,,,0,,50875.0,4687414,,,,,,,2600391,2014年09月30日,-555266,,3706227,3706227,0,,2001399,1237373,,2617,,,1536437,,,71791.0,,,,1109500,,2600391,,7125,,,3654687.0,0,,,,,,,,,,,,,,,,,,,,7360914.0,,,,0.0,,1596040,,,,,,0.0,1653288,6123541,24811,979,,0
2015-03-09,4,2014,1114833,,,4126,748755,867047,,,,46681,1496,,302471,17281,7800,27850,2610,2604,,6351,262927,,262927.0,,119048.0,,,,,0.0,,19663,628740,2103,21405,,,,0,,21499.0,4686762,,,,,,,2600391,2014年12月31日,-787682,,3651617,3651617,0,,1856044,1320744,,2476,,,1536437,,,20879.0,,,,1139000,,2600391,,2576,,,3479934.0,0,,,,,,,,,,,,,,,,,,,,7131551.0,,,,0.0,,1596040,,,,,,0.0,1623890,5810807,20142,6,,0
2015-05-12,1,2015,1111517,,,4126,701881,1195972,,,,58533,359,,627918,64454,5670,26231,2666,2666,,6419,243270,,243270.0,,123770.0,,,,,0.0,,6596,601724,428,16442,,,,0,,,4686408,,,,,,,2600391,2015年03月31日,-834556,,3930190,3930190,0,,1872672,1618100,19812.0,2316,,,1536437,,,,26900.0,,,1139000,,2600391,7425133.0,1937,,3494943.0,,0,,,,,,,,,,,,,,,,,,,7425133.0,,,,,0.0,,1596040,,,,,,0.0,1622271,5807033,5717,0,,0
2015-08-10,2,2015,1106517,,,4126,635334,775223,,,,88357,778,,206521,135850,5521,24672,2670,2670,,6412,199706,,199706.0,,123018.0,,,,,0.0,,5569,511865,574,10980,,,,1195,,,4686586,,,,,,,2600391,2015年06月30日,-901103,,3442246,3442246,0,,1882731,1143634,18260.0,2156,,,1536437,,,,22593.0,,,1139000,,2600391,6945689.0,1516,,3503443.0,,0,,,,,,,,,,,,,,,,,,,6945689.0,,,,,0.0,,1596040,,,,,,0.0,1620712,5802055,4620,0,,0
