date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵呆帳－應收關係人帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他短期借款,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,商品存貨,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,土地－重估增（減）值,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據,應付票據合計,應付票據－關係人合計,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備成本,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－水電設備,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－房屋及建築,累計減損－機器設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,電腦軟體,電腦軟體淨額,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,59484,59484,1170596,550066,-729,,,23375.0,90874,80426,9147,5219,81849,2149,109113,229.0,56408,25898,75558,650798,,1053,216412,,5219,46046,57310,11264,8507,10692,,45986,488701,488701,,3060,,,314165,,,139838,139838,,245398,245398,,10448,691611,692340,455,455,25032,25032,435,435,75558.0,408162,244450,645000,2013年03月31日,392345,,,,1687340,761856,1313140,1313140,0,128802,60980,101961,1330016,1987110,,403,70269,55760,,300336.0,42561.0,8037.0,415331,30510,163712,925484,67822,12805,35413,,,645000,206196,,,2516651.0,112855,,,,,3829791.0,18408,5603,49912,14499,36070,7386,28684,20884,415102,297276,,1075007,65599,403,403,1186635,1842681,353514,538160,20216,0,20216
2013-08-13,2,2013,207095,207095,1185065,530379,3836,,,19743.0,118914,97304,18003,26580,225807,1466,81066,0.0,57391,25422,76485,686861,,1053,259586,,26580,46046,57310,11264,8958,32875,,17565,558658,558658,,3772,,420671.0,420671,,,0,0,,316753,316753,,21610,811197,807361,237,237,34834,34834,765,765,76485.0,414740,245055,726000,2013年06月30日,352958,,,,1745242,779641,1736426,1736426,0,129934,58597,121661,1345647,2138721,,375,74357,55760,,291645.0,37976.0,0.0,225526,31969,169685,965601,71337,13555,36497,,,726000,202625,,,2296236.0,453467,,,,,4032662.0,19001,5446,50091,13594,53019,7386,45633,21640,225526,287873,,821085,66346,375,375,950589,1893941,346152,601897,17246,0,17246
2013-11-12,3,2013,275925,275925,1811007,654021,3829,,,22263.0,183612,111833,19999,16197,287751,1668,99387,0.0,58758,25632,77062,140628,,1053,295791,,16197,46046,57310,11264,9227,8143,,15307,559239,559239,,6040,,397919.0,397919,,,199887,199887,,353259,353259,,71779,771765,767936,511,511,35014,35014,237,237,77062.0,501692,346283,726000,2013年09月30日,476600,38231.0,,,2260298,1231213,1849685,1849685,0,133155,91351,121661,1729984,2184520,,336,69828,55760,,355634.0,28519.0,0.0,279037,33126,155409,1029085,41804,14085,37336,,,726000,198513,,,2309157.0,453467,,,,,4158842.0,18905,4820,53503,16167,8526,7386,1140,22351,279037,349594,,493585,65225,336,336,579173,1974322,346563,59043,10158,0,10158
2014-03-17,4,2013,391867,391867,1829673,765401,852,,,25189.0,239936,180807,18617,51683,406694,1974,74691,0.0,60457,25699,80061,207919,,1053,293376,,51683,46046,57310,11264,9322,29077,491.0,15353,649720,649720,,5503,,450289.0,450289,,,49999,49999,,442066,442066,,59129,832547,831695,994,994,38594,38594,633,633,79570.0,528723,347059,726000,2013年12月31日,587980,60575.0,,,2312802,1223607,1996551,1996551,0,134837,89649,121661,1883995,2375884,,307,70982,55760,,398417.0,48714.0,0.0,246297,34758,183900,1089360,45188,14815,37547,-2236.0,-165.0,726000,272152,,,2440090.0,453467,,,,,4436641.0,19230,4415,58906,21359,9075,7386,1689,22858,246297,392914,466959.0,466959,66010,307,307,556095,2060757,362523,125503,12853,0,12853
2014-05-12,1,2014,224322,224322,1834142,862486,849,,,26575.0,180685,131790,21412,50345,236531,2331,83350,0.0,61449,25295,80654,228657,,1053,309947,,50345,46046,57310,11264,9095,27124,490.0,11859,679300,679300,,3399,0.0,492585.0,492585,,,99857,99857,,435282,435282,,48895,872483,871634,168,168,38928,38928,351,351,80164.0,527679,339977,726000,2014年03月31日,685065,79587.0,,,2355855,1251945,2092298,2092298,0,136212,54240,121661,1637802,2413790,,270,74625,55760,381079.0,,60621.0,0.0,132241,36154,188222,1104052,81972,15365,39052,-520.0,-142.0,726000,285084,,,2406787.0,453467,,,,,4499085.0,19425,4060,60780,21728,8140,7386,754,22226,132241,377680,680191.0,680191,110907,270,270,768985,2085295,337568,104838,9878,0,9878
2014-08-12,2,2014,52264,52264,1813915,811161,837,,,27406.0,318373,292086,2385,10815,63210,1812,79015,,64163,27421,81242,224842,,1873,262275,,10815,46046,57310,11264,9162,18792,481.0,13406,598666,598666,,3486,0.0,467509.0,467509,,,99934,99934,,439738,439738,,26287,921002,920165,368,368,49122,49122,0,0,80761.0,521526,328907,726000,2014年06月30日,607473,89104.0,,,2381355,1236306,2001443,2001443,0,135661,51068,159340,1618298,2339955,,231,67530,44348,356415.0,,62389.0,2041.0,167145,36742,192619,1145049,84593,15123,39932,,,726000,268313,,,2399898.0,453467,14063.0,439404.0,439404.0,,4401341.0,18925,3802,59929,19997,8018,7386,632,22398,167145,352929,692340.0,692340,108183,231,231,781600,2061386,331778,101380,9134,0,9134
2014-11-11,3,2014,65235,65235,1841553,908508,854,,,23164.0,168787,129024,2484,65332,77785,1715,74478,,67133,28548,81860,240541,,2273,291060,,65332,46046,57310,11264,16102,17721,493.0,15077,687301,687301,,3367,0.0,374238.0,374238,,,189813,189813,,483615,483615,,39763,956098,955244,204,204,58032,58032,0,0,81367.0,533253,332813,726000,2014年09月30日,704820,107872.0,,,2442724,1236643,2153307,2153307,0,142575,55140,159340,1569984,2317558,,201,94369,44348,291491.0,,49912.0,0.0,225834,38585,200440,1206081,87435,15651,39242,,,726000,291213,,,2269014.0,453467,14063.0,439404.0,439404.0,,4422321.0,20526,4875,57594,18352,8807,7386,1421,22468,225834,288124,608363.0,608363,108270,201,201,699030,2104763,248324,114921,10835,0,10835
2015-03-16,4,2014,87388,87388,1864367,1027393,5054,,,,203733,156512,3686,138398,103501,2276,83335,,68283,27740,80602,348174,,2637,259048,4108.0,138398,46046,57310,11264,20285,55835,509.0,15524,770785,766755,4030.0,2953,0.0,548373.0,548373,,,89952,89952,,529444,529444,,47221,1059821,1054767,246,246,58657,58657,0,0,80093.0,526733,335521,726000,2014年12月31日,823705,120286.0,,,2494326,1233469,2345258,2345258,0,162016,67858,159340,1805950,2668796,,171,81131,44348,339335.0,,71906.0,0.0,259041,40543,191212,1260857,94158,16142,39300,,,726000,372152,,,2558425.0,453467,14063.0,439404.0,439404.0,,4903683.0,20762,4620,56863,17563,10125,7386,2739,22175,259041,336382,661748.0,661748,108796,171,171,752475,2234887,357985,221217,13837,0,13837
2015-05-12,1,2015,54775,54775,1851691,1178185,14415,2622.0,,,168335,142714,24504,113969,69642,2374,58661,0.0,69064,27031,81159,369416,,2491,299808,11147.0,113969,46046,57310,11264,26340,46286,504.0,15538,799686,788617,11069.0,2625,0.0,638250.0,638250,,,79960,79960,,453760,453760,,25621,1141508,1127093,311,311,70513,67891,0,0,,525575,328684,726000,2015年03月31日,974497,146723.0,102875.0,0.0,2512922,1208335,2471621,2471621,0,161018,63364,159340,1886612,2901628,80655.0,133,81464,44348,,373409.0,,,373790,42033,197294,1304735,97654,16490,40659,-403.0,-148.0,726000,356415,5151185.0,2679564.0,,453467,14063.0,439404.0,439404.0,5151185.0,,20706,4216,56687,16028,7918,7386,532,28317,373790,370784,703875.0,703875,106612,133,133,792952,2249557,450073,244775,12493,0,12493
2015-08-11,2,2015,60674,60674,1799768,1134176,12100,4821.0,,,364663,343114,15311,75841,72991,2294,72696,0.0,68582,25675,81714,391459,,2562,387839,11727.0,75841,46046,57310,11264,28701,11323,497.0,15830,900330,888681,11649.0,2794,0.0,473565.0,473565,,,109845,109845,,468320,468320,,21549,1182831,1170731,296,296,68443,63622,0,0,,522308,320285,726000,2015年06月30日,888473,165755.0,83472.0,0.0,2495627,1153758,2389484,2389484,0,159364,58675,201355,1980072,2912438,81217.0,95,94150,44348,,375355.0,,,407216,42907,202828,1342162,100689,16752,40589,-805.0,-293.0,726000,388364,5133095.0,2743611.0,,453467,14063.0,439404.0,439404.0,5133095.0,,20670,3918,54981,14392,8165,7386,779,29335,407216,372561,673660.0,673660,104138,95,95,763539,2220657,314097,268929,10023,0,10023
