date,season,year,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,905598,323602,,92461,1777,0.0,-134,12061,4859,13623,53557,-134.0,270,271577,0,,,130873,139870,10295,366137,,249277,13353.0,16731,935000,2013年03月31日,190292,,1274147,1267792,0,123207,665333,983210,,,10103,,44621.0,21041.0,256028,935000,,,2704,,691373.0,9324,,1965520.0,12417,6424,6355,26040,982310,44962,0
2013-07-30,2,2013,896515,242212,0.0,132905,816,0.0,-3,13413,1986,13526,67280,-3.0,270,288457,0,65000.0,,118721,169914,17101,373066,,237823,13256.0,16704,935000,2013年06月30日,97620,,1257644,1251533,0,134489,673866,968796,,,10103,,46964.0,15728.0,204118,1000000,0.0,,1966,,699836.0,9324,,1957480.0,12444,8185,6111,25970,988684,19684,0
2013-11-12,3,2013,903216,276432,,103189,3452,0.0,-41,12724,847,13336,58451,-41.0,184,246668,0,,,104685,139903,7213,364818,,185286,13152.0,16677,1000000,2013年09月30日,131840,,1291196,1285715,0,134489,547967,878212,,,10103,,46273.0,7318.0,171577,1000000,,,1358,,573739.0,9324,,1864935.0,12436,8379,5481,25772,986723,30868,0
2014-03-24,4,2014,982308,314360,0.0,145493,8689,0.0,2481,2164,1462,13093,88674,2481.0,224,357189,0,,0.0,120450,239852,6843,427975,,247238,12869.0,16541,1050000,2014年12月31日,158855,,1386236,1376165,0,145402,797755,1114125,,1953.0,10103,55380.0,,15096.0,264280,1050000,,,3577,,823801.0,9324,,2210037.0,12953,6436,10071,26046,1095912,16192,0
2014-03-25,4,2013,935364,307079,,129674,2386,0.0,426,4144,937,13371,66797,426.0,184,260397,0,,,90059,149859,13297,383522,,172354,13187.0,16650,1000000,2013年12月31日,162487,,1322224,1316829,0,134489,573166,894853,,,10103,,45061.0,16658.0,168607,1000000,,,868,,599069.0,9324,,1921293.0,12532,7629,5395,25903,1026440,30196,0
2014-05-13,1,2014,934448,329051,,105604,1758,0.0,258,4053,3480,13251,61458,258.0,184,283576,0,,0.0,99553,149916,41976,355264,,184739,13067.0,16623,1000000,2014年03月31日,184459,,1344159,1338633,0,134489,562280,911879,,,10103,46288.0,,18143.0,139356,1000000,,,3679,,588029.0,9324,,1932188.0,12498,7780,5526,25749,1020309,36774,0
2014-08-05,2,2014,944404,258644,,162990,2023,,-413,4190,3434,13132,64090,,184,292343,0,50000.0,0.0,144923,149851,4778,463288,,161292,12948.0,16595,1000000,2014年06月30日,103139,,1326139,1317555,0,145402,696328,1015514,,,10103,58138.0,,16364.0,209565,1050000,,,3667,,721820.0,9324,,2047959.0,12360,7356,8584,25492,1032445,34996,0
2014-11-11,3,2014,957107,277943,,123001,3665,0.0,852,4363,9255,13241,61701,852.0,408,336710,0,,0.0,133758,229852,36325,492277,,169811,12833.0,16568,1050000,2014年09月30日,122438,,1347334,1338119,0,145402,784348,1112924,,2066.0,10103,72645.0,,9110.0,244369,1050000,,,3570,,810208.0,9324,,2157542.0,12619,7176,9215,25860,1044618,28561,0
2015-05-05,1,2015,1004248,336134,,113459,6973,0.0,1701,2595,279,12972,80598,1701.0,224,373538,0,,0.0,190983,239852,6697,433420,,226542,,16514,1050000,2015年03月31日,180629,13185.0,1407198,1397159,0,145402,817206,1140362,12748.0,1840.0,10103,,55655.0,,245864,1050000,,2250169.0,4571,842971.0,,9324,2250169.0,,12793,6607,10039,25765,1109807,43955,0
2015-08-11,2,2015,1007102,254467,,187085,8383,0.0,1233,2416,426,12863,105181,1233.0,224,345203,0,52500.0,0.0,115293,189975,7967,394025,14179.0,206241,,16487,1050000,2015年06月30日,87919,10744.0,1378441,1367524,0,156445,806791,1073869,12639.0,1728.0,10103,,77993.0,,293311,1102500,,2210792.0,0,832351.0,,9324,2210792.0,,12697,6425,10917,25560,1136923,27419,0
2015-11-10,3,2015,1089222,281980,,100492,12289,0.0,3797,4181,27,12352,39862,3797.0,224,370997,0,0.0,0.0,177181,279746,6842,404184,16048.0,202193,,16460,1102500,2015年09月30日,115432,6489.0,1408261,1397601,0,156445,802014,1082081,12128.0,1615.0,10103,,46260.0,,227083,1102500,,2235535.0,0,827274.0,,9324,2235535.0,,12908,6295,10660,25260,1153454,30083,0
2016-03-22,4,2015,1074346,301004,,126935,10296,0.0,2328,3369,16191,20167,76897,2328.0,224,322188,0,0.0,0.0,108521,249812,10287,360077,15949.0,207990,,16433,1102500,2015年12月31日,134456,12270.0,1425345,1415156,0,156445,763266,1044286,19943.0,1502.0,10103,,87842.0,,252072,1102500,,2221385.0,0,796040.0,,9324,2221385.0,,12607,7921,10189,32774,1177099,23753,0
2016-05-10,1,2016,1064985,317912,,110836,10760,0.0,1006,3833,4524,9002,84756,1006.0,224,327949,0,0.0,0.0,110773,299450,5270,347456,14442.0,188758,,16406,1102500,2016年03月31日,151364,14742.0,1440697,1430742,0,156445,735327,1023635,8778.0,1390.0,10103,,99070.0,,190423,1102500,,2197362.0,0,756665.0,,9324,2197362.0,,12336,6190,9955,21338,1173727,30676,0
2016-08-09,2,2016,1132533,284488,,163565,18988,0.0,-1557,2708,5032,8933,40878,-1557.0,224,394000,0,0.0,0.0,109931,299685,6506,354779,17345.0,181192,,16378,1102500,2016年06月30日,108052,12829.0,1406309,1394755,0,166333,846975,1077126,8709.0,1277.0,10103,,81125.0,,251751,1102500,,2274028.0,0,867719.0,,9324,2274028.0,,11811,5836,11554,20744,1196902,24665,0
2016-11-08,3,2016,1134788,308265,,101606,14810,0.0,-4573,3017,7270,8868,43653,-4573.0,224,383550,0,0.0,0.0,116785,299685,5144,363875,14527.0,156250,,16351,1102500,2016年09月30日,131829,7762.0,1426804,1415516,0,166333,826185,1070876,8644.0,1164.0,10103,,104452.0,,292186,1102500,,2273050.0,0,846246.0,,9324,2273050.0,,11193,6218,11288,20061,1202174,26142,0
