date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,230200,230200,1187476,59015,4611,20108,43022,88617,26650,239132,8932,39853,69070,11959,13650,,6542,56716,86799,,,62799,1993,444,188973,3491.0,18921,,57111.0,,271926,2066551,2013年03月31日,-51561,,2469685,2469685,12407000,16957.0,414428,1448621,,5,9500.0,39215.0,,1000434.0,21247,2066551,,,619583.0,458672,,3089268.0,196.0,140233,1035,56053,135050,0,205155,1640647,,0
2013-08-13,2,2013,192700,192700,1170499,235394,-20579,25177,48091,90773,26318,199500,6800,24538,69123,12010,13638,,1141,50550,134926,,,60879,1411,562,169481,402.0,11473,,57113.0,,264125,2066551,2013年06月30日,-79763,,2396036,2396036,20588000,17258.0,359939,1072318,,0,4500.0,41926.0,,694991.0,5931,2066551,,,468719.0,458672,,2864755.0,883.0,120883,957,56190,38700,0,108780,1792437,,0
2013-11-13,3,2013,149200,149200,1153453,174249,-32344,24665,47580,88834,36897,154684,5484,86861,69231,12169,16247,,12232,51475,82493,,,57559,134,0,206640,1557.0,7158,,57062.0,,252543,1976551,2013年09月30日,-91528,,2394849,2394849,11588000,17258.0,318319,1118569,,0,2000.0,41926.0,,679727.0,17006,1976551,,,422961.0,496238,,2817810.0,102.0,85151,761,53169,34650,0,104642,1699241,,0
2014-03-25,4,2013,82400,82400,1171090,197495,-62075,28764,51033,105308,49538,86041,3641,52250,62351,12858,15403,,20774,46949,134298,,,39709,2042,22832,164403,2967.0,9814,318.0,49493.0,,230135,1976551,2013年12月31日,-121259,,2326225,2326225,19252000,17258.0,330932,1048357,,1260,0.0,41926.0,,673020.0,75000,1976551,,,439415.0,496509,,2765640.0,0.0,98636,532,50867,45600,0,108483,1717283,,0
2014-05-12,1,2014,169150,169150,1150569,197495,-48090,128171,595807,83083,151415,171899,2749,65543,56010,6655,10681,,23244,45217,82493,,0.0,40528,236,18589,183976,2631.0,7416,0.0,49355.0,,219172,1896551,2014年03月31日,-107274,,2439742,2439742,11588000,17258.0,524560,829066,,1155,0.0,41926.0,493779.0,,210121,1896551,,,614335.0,522359,,3054077.0,104.0,30504,765,50132,33000,0,89775,2225011,,0
2014-08-12,2,2014,184200,184200,1134068,197495,1858,1890,469336,73497,32355,189259,5059,49196,63871,13033,10803,,30465,45377,52001,,0.0,38804,9,14336,153138,2286.0,8734,3.0,50838.0,,204893,1862401,2014年06月30日,-40068,,2308555,2308555,8173000,0.0,409911,779926,,1050,0.0,41926.0,468898.0,,93977,1862401,,,536718.0,463942,,2845273.0,29.0,52294,436,47702,62500,0,126807,2065347,,0
2014-11-10,3,2014,120300,120300,1110064,203357,-4947,-29603,437369,77310,-3633,125257,4957,27410,65190,13788,10718,,25970,46467,52001,,8173000.0,42953,260,10072,152328,1788.0,11801,0.0,51402.0,,196989,1862401,2014年09月30日,-46873,,2265762,2265762,8173000,0.0,345476,724353,,945,0.0,41926.0,455532.0,,89624,1862401,,,456518.0,463942,,2722280.0,0.0,29027,852,38485,45000,0,111042,1997927,,0
2015-03-23,4,2014,191000,191000,1055227,310073,-59760,-48756,418216,79510,-21003,196878,5878,16372,57634,12623,15310,,27753,46316,0,,0.0,35546,3031,5797,140786,0.0,8690,0.0,45011.0,,179144,1780671,2014年12月31日,-59760,,2193579,2193579,0,0.0,420815,712311,,840,0.0,0.0,446913.0,,100053,1780671,,,526878.0,493671,,2720457.0,,53234,929,29336,47500,0,106063,2008146,,0
2015-05-08,1,2015,208000,208000,1022639,310073,-43270,48969,453308,72963,70124,221629,13629,42329,58200,13363,161739,14650.0,21155,42991,0,13800.0,0.0,38087,14185,1522,182999,143.0,20216,,,,168407,1780671,2015年03月31日,-43270,,2301196,2301196,0,0.0,477150,836757,44837.0,827,,0.0,,474108.0,128764,1780671,2981651.0,680455.0,,493671,2981651.0,,0.0,60171,105,27901,145000,0,203305,2144894,147089.0,0
2015-08-11,2,2015,156500,156500,1004887,293288,68272,99586,336608,82260,114835,170582,14082,27705,58282,13574,13994,,15249,47180,72476,13800.0,0.0,46731,1209,0,168389,0.0,15857,0.0,,161721.0,155953,1780671,2015年06月30日,68272,4400.0,2325213,2325213,10000000,,414693,1034698,44708.0,697,,,,690137.0,108008,1780671,3029188.0,703975.0,,433911,3029188.0,,1503.0,71630,0,27342,231000,0,289282,1994490,,0
