date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,員工福利負債準備－非流動,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,458228,,1634263,514212,4834.0,209496,-8766,9714,9714,52049,74254,5207,9558,49595,5207,380622,,251858,41993,432971,3153,24659.0,208700,22476,1678770,2013年03月31日,852277,,3366928,3366928,0,781758,584917,3165089,,69104,,1186580.0,228,,595502.0,71856.0,1678770,,9558,,668729.0,62661,,4035657.0,,,102019,,83812,870568,0
2013-08-09,2,2013,466731,,1287589,463653,34.0,769626,-5792,7166,7166,48066,79551,5244,10005,55157,5244,351939,,284342,51589,632490,267,24394.0,208369,56936,1678770,2013年06月30日,451816,,3023228,3023228,0,835545,1152190,3377413,,69798,,1033517.0,228,,847481.0,39467.0,1678770,,10005,,1241746.0,62661,,4264974.0,,,80449,0.0,89556,887561,0
2013-11-08,3,2013,474791,34.0,1401724,225326,,238356,-15563,3866,3866,53012,80325,5183,10452,56186,5183,328882,,203327,43219,494238,0,24139.0,207325,55351,1678770,2013年09月30日,565951,,3127592,3127592,0,835545,546974,2904342,,66021,,930080.0,228,,872804.0,58206.0,1678770,,10452,,637751.0,62661,,3765343.0,,,52296,0.0,90777,861001,0
2014-03-26,4,2013,472408,34.0,1537187,169868,,232721,-7616,5706,5706,47539,75383,5875,7833,54793,5875,294364,,197703,41403,486594,0,20590.0,199276,46895,1678770,2013年12月31日,701414,,3271002,3271002,0,835545,555640,3091451,,64044,,1080226.0,228,,1012860.0,78107.0,1678770,,7833,,639824.0,62661,,3910826.0,968.0,968.0,30843,0.0,84184,819375,0
2014-05-06,1,2014,470871,34.0,1654015,173729,,227656,907,5029,5029,67049,78691,5993,8219,58350,5993,423381,0.0,331748,44980,488469,101,20341.0,198764,45289,1678770,2014年03月31日,818242,,3396353,3396353,0,835545,704494,3374728,,60863,,1255610.0,228,966389.0,,95081.0,1678770,,8219,,792307.0,62661,,4188660.0,903.0,,32118,,87813,813932,0
2014-08-06,2,2014,467459,34.0,1287506,94710,,802145,-3928,6379,6379,54967,76587,6577,8605,56483,6577,398640,0.0,235672,46612,569068,1700,20104.0,197491,44259,1678770,2014年06月30日,392864,,3025009,3025009,0,887026,1134007,3434516,,61219,,1111872.0,7616,1203559.0,,43199.0,1678770,,8605,,1219523.0,62661,,4244532.0,324.0,,32977,,85516,810016,0
2014-11-07,3,2014,456323,34.0,1418935,93350,,244840,-1873,4577,4577,61822,80752,7150,8990,60887,7150,409581,0.0,219085,45618,491810,150,19865.0,197091,43877,1678770,2014年09月30日,524293,,3158493,3158493,0,887026,540290,2994304,,59517,,1261752.0,7616,675839.0,,26170.0,1678770,,8990,,630362.0,62661,,3788855.0,330.0,,30559,,90072,794551,0
2015-03-27,4,2014,453029,34.0,1525738,127608,,228672,7912,4814,4814,63101,79045,7452,8543,60947,7452,412221,0.0,230170,45931,440282,1186,18098.0,197286,13057,1678770,2014年12月31日,631096,,3275081,3275081,0,887026,551663,3154060,,59245,,1440383.0,7616,669279.0,,42076.0,1678770,,8543,,641788.0,62661,,3916869.0,2537.0,,32706,,90125,762809,0
2015-05-08,1,2015,455601,34.0,1597179,125760,,204694,2397,2124,2124,62323,77904,7310,8928,60027,7310,474185,0.0,208840,37388,378802,50,,196117,11718,1678770,2015年03月31日,702537,55865.0,3341007,3341007,0,887026,508911,3164458,17877.0,67963,1262423.0,,7616,,860915.0,,1678770,3937149.0,8928,596142.0,,62661,3937149.0,,399.0,,33948,,87231,772691,0
2015-08-12,2,2015,454341,34.0,1193229,115140,,781766,-1494,1674,1674,54725,78815,7276,9313,61163,7276,463952,0.0,269837,39363,542547,1077,,195081,11923,1678770,2015年06月30日,253527,33339.0,2933166,2933166,0,939474,1125979,3381602,17652.0,63160,1001633.0,,228,,1202528.0,,1678770,4147669.0,9313,1214503.0,,62661,4147669.0,,396.0,,34252,,88524,766067,0
