date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,370622,295922,,20162,49127,43007,43007.0,26352,-4216,,80943,,20253,8383,91004,91004,213705,0.0,,,,138418,99762.0,32.0,315771.0,315771,27971,,699612,2013年03月31日,153470,,1053679,1053679,0,136539,570973,1118595,3687,,69510.0,5913,,273639.0,707.0,207000.0,699612,,1104.0,,579356.0,62361,,1633035.0,62596.0,8383,514440,88636,0
2013-08-09,2,2013,308187,291802,,42123,52841,59635,59635.0,19266,-11395,,66028,,38113,6157,83334,83334,224255,0.0,,,,213025,69834.0,13224.0,387683.0,387683,13345,70972.0,699612,2013年06月30日,143637,,1042380,1042380,0,137240,660040,1189961,3282,,59895.0,10925,,302856.0,681.0,236700.0,699612,,913.0,,666197.0,62361,,1708577.0,0.0,6157,518616,102425,0
2013-11-12,3,2013,275021,293908,,19956,53164,51965,51965.0,24174,-6865,,54298,,24446,6210,82610,82610,212964,0.0,28156.0,,,148927,69838.0,22.0,392501.0,392501,19210,70331.0,699612,2013年09月30日,145743,,1049016,1049016,0,137240,564493,1135719,2874,,55184.0,10925,,242673.0,720.0,238000.0,699612,,723.0,,570703.0,62361,,1619719.0,0.0,6210,484000,116455,0
2014-03-20,4,2013,272899,320912,,14087,53564,49080,49080.0,18382,-6205,,48886,,17782,6332,96800,96800,234341,0.0,,,,220348,59935.0,23.0,414780.0,414780,27739,69745.0,699612,2013年12月31日,172747,,1076680,1076680,0,137240,531639,1119223,2420,,42401.0,10925,,247208.0,2835.0,150000.0,699612,,532.0,,537971.0,62361,,1614651.0,0.0,6332,495428,102503,0
2014-05-09,1,2014,273437,328825,,13025,55770,44219,,20683,-5927,,32813,,18712,7261,95452,95452,208359,,,0.0,,188775,69889.0,434.0,347926.0,347926,17879,69404.0,699612,2014年03月31日,180660,,1084871,1084871,0,137240,464849,1060919,1999,,53795.0,10925,291380.0,,3297.0,125000.0,699612,,422.0,,472110.0,62361,,1556981.0,0.0,7261,496062,89160,0
2014-08-01,2,2014,270788,307234,,12924,57226,70007,,19252,-8235,,26813,,13146,6876,100991,100991,194143,,,0.0,,169631,89925.0,680.0,405881.0,405881,21007,69076.0,699612,2014年06月30日,160699,,1060972,1060972,0,140330,439713,1007485,1995,,44708.0,6205,197006.0,,2332.0,80000.0,699612,,325.0,,446589.0,62361,,1507561.0,,6876,500076,99418,0
2014-11-07,3,2014,271153,318572,,12818,58626,58443,58443.0,20139,-7287,,41529,,24961,8829,101658,101658,180915,,0.0,0.0,168783.0,168783,59948.0,371.0,410266.0,410266,27855,68760.0,699612,2014年09月30日,172037,,1073258,1073258,0,140330,375348,955365,1873,,43390.0,6205,178425.0,,1047.0,45000.0,699612,,227.0,,384177.0,62361,,1457435.0,,8829,502070,56596,0
2015-03-20,4,2014,274051,342034,,14045,60772,57899,57899.0,24363,-4379,,48674,,28022,9738,100940,100940,147310,,,0.0,,150431,0.0,,357633.0,357633,27947,68456.0,699612,2014年12月31日,195499,,1099628,1099628,0,140330,262215,865895,1467,,50966.0,6205,184663.0,,5081.0,0.0,699612,,130.0,,271953.0,62361,,1371581.0,,9738,505686,30946,0
2015-05-06,1,2015,271987,342842,,11954,61205,43426,,17801,-528,,54735,,16604,9359,104614,104614,175545,,,0.0,,178505,0.0,,323996.0,323996,14404,68163.0,699612,2015年03月31日,196307,6886.0,1104287,1104287,0,140330,283552,890243,986,53473.0,,6205,,240640.0,,0.0,699612,1397198.0,,292911.0,,62361,1397198.0,,,9359,506955,35826,0
2015-08-04,2,2015,268709,321932,,10333,59389,89710,89710.0,13878,-3640,,68976,,17708,8693,107606,107606,145738,,,,,189931,0.0,,379391.0,379391,25153,67880.0,699612,2015年06月30日,173019,3047.0,1080265,1080265,0,144534,351664,936096,942,49647.0,,4379,,236858.0,,0.0,699612,1440622.0,,360357.0,,62361,1440622.0,,,8693,504526,57390,0
2015-11-09,3,2015,268321,335249,,7305,62388,55818,55818.0,9690,-4788,-4788.0,78193,78193.0,14028,9574,110736,110736,141051,,,,,168087,0.0,,,373257,17246,67606.0,699612,2015年09月30日,186336,484.0,1092434,1092434,0,144534,302582,894886,653,68107.0,,4379,,172760.0,,0.0,699612,1404590.0,,312156.0,,62361,1404590.0,,,9574,509704,91442,0
2016-03-22,4,2015,265844,354898,7743.0,7743,62990,65251,,4846,-3680,-3680.0,71472,71472.0,13603,10021,110591,110591,118452,,,,,207808,,,,376619,33154,67340.0,699612,2015年12月31日,205985,1773.0,1113191,1113191,0,144534,350224,964463,2208,64205.0,,4379,,287059.0,,,699612,1473436.0,3920.0,360245.0,,62361,1473436.0,,,10021,508973,58782,0
2016-05-10,1,2016,265569,362004,,7424,62700,44376,44376.0,8307,-3449,,78251,,12960,7007,110289,110289,151565,,,,,240447,,,368863.0,368863,16066,67082.0,699612,2016年03月31日,213091,3613.0,1120528,1120528,0,144534,366976,986819,2052,64425.0,,4379,,301949.0,,,699612,1494511.0,289.0,373983.0,,62361,1494511.0,,,7007,507692,55260,0
2016-08-05,2,2016,263596,342547,,8780,56276,87261,87261.0,1722,-812,,73576,,16454,6972,111708,111708,130210,,,,,211220,,,,448865,15014,66831.0,699612,2016年06月30日,188601,5600.0,1103708,1103708,0,150266,378301,987757,2813,63837.0,,3680,,245697.0,,,699612,1488981.0,644.0,385273.0,,62361,1488981.0,,,6972,501224,57178,0
2016-11-07,3,2016,262303,349355,,9589,54814,56665,56665.0,2685,-1762,,75244,,15747,6645,117325,117325,131321,,,,,211537,,,417568.0,417568,15571,66586.0,699612,2016年09月30日,195409,5130.0,1109566,1109566,0,150266,348576,961217,2542,64076.0,,3680,,245804.0,,,699612,1464787.0,,355221.0,,62361,1464787.0,,,6645,503570,58856,0
