date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,499819.0,2354712,15959,575926,316990,239459,20637,74595,5068,243605,519996,20177,4343,576614,5270,49774,4876,2638033,2638033.0,0.0,,,1423749,516,199931,68319,1463857,,1657856,571344.0,108178,497998,3276518,2013年03月31日,172429,,,4096585,4096585,0,95436,5669671,7405795,,8222,,340333.0,308061,,634607.0,2197.0,3191517,3276518,,3350,,6822861.0,536,,10919446.0,343952.0,0.0,,176576,161818,400000,44898,0.0,1153190,3513651,243151,0
2013-08-07,2,2013,0.0,2495214,16023,628550,298241,237892,23903,161603,21623,262269,23276,23276,3348,578022,6485,48062,2572,2248536,,,0.0,,1133566,408,99960,88854,1344430,,1507850,571537.0,108178,487311,3276518,2013年06月30日,225053,,,4167879,4167879,0,95436,4360849,7064562,,9725,,282718.0,308061,,702329.0,2884.0,2747951,3276518,,2155,,6522442.0,542,,10690321.0,,0.0,617853.0,183571,163005,1400000,45490,,2161593,3625759,174272,0
2013-11-11,3,2013,0.0,2554951,10609,620435,308795,217557,21810,99461,3302,266412,29074,29074,1016,579840,8112,46957,2223,2013003,,,,,1365393,53,399820,98647,1926839,,1847718,571728.0,108178,498136,3276518,2013年09月30日,216938,,,4163866,4163866,0,95436,5239269,7860622,,9725,,288115.0,308061,,828490.0,2873.0,3101994,3276518,,1805,,7399419.0,501,,11563285.0,,243.0,523143.0,180310,165312,1400000,44734,,2160150,3702663,329535,0
2014-03-13,4,2013,0.0,2614121,10653,522674,304670,232613,23797,85217,3937,292508,25783,25783,920,601594,8050,47722,2588,2779319,,,,,2088978,1508,399831,61693,1796479,,2018228,593544.0,108178,504896,3276518,2013年12月31日,119177,,,4092193,4092193,0,95436,6519758,8636080,,9725,,270897.0,308061,,1236102.0,957.0,3682248,3276518,,2164,,8308258.0,493,,12400451.0,,186.0,287133.0,186906,164406,1000000,45134,,1788500,3764371,157848,0
2014-05-09,1,2014,0.0,2651181,10780,309814,290147,248861,22363,69410,3157,288022,43304,43304,1864,601224,8906,47744,2354,3623732,3623732.0,,,0.0,1298127,370,499828,76115,1838543,,1954549,592318.0,108178,502284,3276518,2014年03月31日,-93683,,,3874839,3874839,0,95436,7398904,9556558,,25728,,185463.0,308061,1218662.0,,957.0,5207034,3276518,,1945,,9490214.0,485,,13365053.0,328862.0,0.0,,190086,172453,1300000,45390,,2091310,3808495,332316,0
2014-08-07,2,2014,,2602187,10665,229976,280996,228173,23112,112466,19249,253987,37901,37901,975,600223,8255,57240,13088,3057384,,,,0.0,889279,324,599757,67372,2084492,,1697747,591968.0,108178,498205,3276518,2014年06月30日,-175259,,,3760964,3760964,0,97174,7056674,9149498,,24788,,682973.0,308061,486559.0,,957.0,5207412,3276518,,2387,,9140557.0,483,,12901521.0,,0.0,723697.0,183660,169764,1300000,44152,,2083883,3752023,283956,0
2014-11-07,3,2014,,2579447,8520,118078,221135,253217,21914,110010,3318,207462,38920,38920,2601,598785,7220,49617,4979,2582979,,,,0.0,921280,958,599774,46279,1936540,68737.0,1669178,591565.0,108178,491791,3276518,2014年09月30日,-287157,,,3602541,3602541,0,97174,6583035,8905660,,23577,,520743.0,308061,1051631.0,,957.0,4697891,3276518,,1667,,8966197.0,483,,12568738.0,,178.0,677836.0,190377,180813,1594000,44638,,2383162,3663078,282087,0
2015-03-11,4,2014,,2595052,8753,-115424,257901,238415,24732,101260,3748,308997,39353,39353,241,607915,8567,51485,5141,1725667,,,,0.0,892572,788,599844,47322,1977140,36489.0,1513826,599348.0,108178,499837,3276518,2014年12月31日,-520659,,,3470574,3470574,0,97174,5406511,7267345,,22367,,508811.0,308061,910720.0,,957.0,3560145,3276518,,2024,,7522203.0,483,,10992777.0,,359.0,395552.0,207777,181859,1300000,46344,,2115692,3725432,93891,0
2015-05-11,1,2015,,2573521,8687,-33226,238621,261939,25425,63724,4128,261795,70396,70396,1260,607847,8747,49451,4140,1513322,1513322.0,,,0.0,1116486,466,599849,28387,1545979,14874.0,1276565,,108178,489866,3276518,2015年03月31日,-438461,957.0,,3505560,3505560,0,97174,4671172,6608662,599100.0,21156,584170.0,,308061,,908370.0,,2565592,3276518,10280353.0,1664,6774793.0,,473,10280353.0,,565144.0,11.0,,195774,182211,1300000,45311,,2103621,3671691,131126,0
2015-08-07,2,2015,,2536374,8603,156968,185816,219995,26898,101530,11742,192279,28219,28219,1732,607497,8681,48644,4104,1663438,,,,0.0,1133419,14,599827,13023,2117467,19997.0,959646,,108178,482603,3276518,2015年06月30日,-151093,23896.0,,3626238,3626238,0,0,5300543,7407652,598816.0,25640,579647.0,,308061,,1103989.0,,3253651,3276518,10969449.0,1601,7343211.0,,473,10969449.0,,,0.0,742651.0,195171,165939,1240000,44540,,2042668,3561797,105813,0
2015-11-11,3,2015,,2531564,8985,-24357,199286,235710,27423,147737,4595,211975,20261,20261,1977,607801,9239,49575,4334,1389127,,,,0.0,747581,13,199829,0,1783856,2852.0,904819,,108178,478958,3276518,2015年09月30日,-332418,957.0,,3464609,3464609,0,0,4028002,5966852,598562.0,24475,247949.0,,308061,,590474.0,,2794845,3276518,9540189.0,1383,6075580.0,,473,9540189.0,,,0.0,777052.0,199777,172316,1240000,45241,,2047578,3573337,116414,0
2016-03-11,4,2015,,2503719,8976,-69113,191904,264414,25224,98107,4370,167209,21318,21318,2129,632261,8305,64421,20507,1221977,,,,0.0,967141,1204,299860,0,1733156,6706.0,807908,,108178,479056,3276518,2015年12月31日,-377174,957.0,5656.0,3375083,3375083,0,0,4025885,5658976,623956.0,23096,316708.0,,308061,,586040.0,,2444462,3276518,9221687.0,1305,5846604.0,,469,9221687.0,,,0.0,786587.0,188458,183361,1000000,43914,,1820719,3562711,89632,0
2016-05-06,1,2016,,2475914,8855,-19338,189981,216104,24376,99083,3790,154800,26485,26485,2419,634407,8715,67178,24244,1363770,1363770.0,,,0.0,928848,13,449895,0,1608148,10613.0,668513,,108178,489051,3276518,2016年03月31日,-327399,24083.0,13689.0,3412449,3412449,0,0,3967396,5652766,625692.0,21530,466139.0,,308061,,624569.0,,2296320,3276518,9197860.0,1272,5785411.0,,469,9197860.0,,590766.0,0.0,,183608,184407,1000000,42934,,1818015,3545094,201267,0
