date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付利息,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應付董監事酬勞,應收分期帳款－關係人,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,銀行借款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-09,1,2013,208152,218918,,21999,,,21999.0,7995,7995.0,-875,9692,9674.0,26707,26707.0,1159,12035,47679.0,,-875,-875.0,1159.0,68.0,101808,101808.0,0.0,,,,0.0,225989.0,225989,0.0,0.0,7.0,7.0,0.0,0.0,0.0,,1079257.0,1079257,0.0,0,935702,2013年03月31日,159740,,,1153745,1153745,0,,513633,1448350,35762.0,35762.0,59178,,149142.0,,255946,159740.0,935702,,,,514792.0,0.0,,1668537.0,0.0,0.0,0.0,,255946.0,11967.0,0.0,1159,220187,47679,,18.0,0,18.0
2013-08-09,2,2013,217282,252064,,68805,9504.0,68805.0,,8226,8226.0,4772,9430,9412.0,26800,26800.0,1194,12371,54231.0,0.0,4772,4772.0,1194.0,288.0,188588,188588.0,,,9357.0,,,306667.0,306667,0.0,0.0,3.0,3.0,0.0,0.0,,915332.0,388120.0,388120,,915332,935702,2013年06月30日,184794,,168111.0,1201895,1201895,0,8092.0,1036397,2009833,38801.0,38801.0,59178,,389735.0,1622.0,640366,16683.0,945059,,,,1037591.0,0.0,,2239486.0,,,0.0,,640366.0,12083.0,0.0,1194,229653,54231,0.0,18.0,0,18.0
2013-11-08,3,2013,210009,345510,,24190,,,,9266,,-9249,11438,,88462,,1178,12275,,,-9249,,,,223488,,,,,,,,297676,,,,3.0,,,,,,418572,,847358,945059,2013年09月30日,278240,,,1281320,1281320,0,8092.0,708519,1778960,,,59178,,179122.0,1613.0,369265,,945059,,4334.0,,719924.0,,,2001244.0,,,0.0,10227.0,,,,11405,222284,12692,,,0,
2014-03-26,4,2013,174570,435995,,23916,,,,8754,,6384,5716,,90722,,1204,12405,,,6384,,,,539904,,,4181.0,,,,,676466,,,,3.0,,,,,,540632,,1031776,945059,2013年12月31日,368725,,,1387438,1387438,0,8092.0,1297418,2499085,,,59178,,274525.0,1607.0,585376,,945059,,4334.0,,1298622.0,,,2686060.0,,,0.0,,,,,1204,186975,8591,,,0,
2014-05-06,1,2014,170985,537841,,20720,,,,3332,,5234,4981,,80181,,1204,16629,,,5234,,,,723181,,,0.0,,0.0,,,767204,,,,3.0,,,,,,644079,,1138898,945059,2014年03月31日,470571,,,1488134,1488134,0,8092.0,1511058,2812782,,,59178,221307.0,,1607.0,712209,,945059,,4334.0,,1512262.0,,,3000396.0,,,,,,,,1204,187614,1804,,,0,
2014-08-08,2,2014,164472,386131,,46398,,,,3314,,-218,4966,,79556,,1187,16290,,,-218,,,,471368,,,0.0,147429.0,0.0,,,191135,,,,53.0,,,,,,308817,,733452,945059,2014年06月30日,283657,,,1478401,1478401,0,43296.0,582225,1881051,,,59178,263947.0,,14034.0,321305,,1092488,,4334.0,,583412.0,,,2061813.0,,,,,,,,1187,180762,20597,,,0,
2014-10-28,3,2014,175749,453409,14802.0,18181,,,,2811,,7180,5081,,65720,,1219,12176,,,7180,,,,263377,,,0.0,,0.0,,,472827,,,,4.0,,,,,,463513,,801825,1092488,2014年09月30日,350935,,,1553077,1553077,0,43296.0,535478,1901849,,,59178,288234.0,,13984.0,21067,,1092488,,4334.0,,536697.0,,,2089774.0,,,,0.0,,,,1219,187925,1567,,,0,
2015-03-23,4,2014,166930,531505,,38017,,,,2842,,13428,6410,,61662,,1264,12475,,,13428,,,,208454,,,0.0,,0.0,,,410265,,,,3.0,,,,,,437436,,955337,1092488,2014年12月31日,429031,,,1637421,1637421,0,43296.0,557815,2017095,,,59178,347759.0,,13964.0,84822,,1092488,,4334.0,,559079.0,,,2196500.0,,,,,,,,1264,179405,3605,,,0,
2015-04-29,1,2015,163494,537937,,30153,,,,2695,,9947,4987,,116392,,1307,12266,,,9947,,,,443484,,,0.0,,0.0,,,467026,,,,3.0,,,,,,613533,,944445,1092488,2015年03月31日,435463,13952.0,,1640372,1640372,0,43296.0,905489,2371408,,,59178,,248866.0,,385034,,1092488,2547168.0,4334.0,906796.0,,,2547168.0,,,,,,,,,1307,175760,1993,,,0,
2015-07-31,2,2015,158727,502985,,75362,,,,2847,,4873,4968,,96250,,1293,12064,,,4873,,,,326369,,,0.0,0.0,0.0,,,678079,,,,60.0,,,,,,751006,,1129620,1092488,2015年06月30日,373382,20464.0,,1600346,1600346,0,70425.0,1125071,2555919,,,59178,,247502.0,,346138,,1092488,2726710.0,0.0,1126364.0,,,2726710.0,,,,,,,,,1293,170791,2325,,,0,
