date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,3696862,83860,1901252,-22732,44695,9130,261504,95847,-24873,77085,1470,207074,,158692,,-2141,,,1616464,,,524673,,28,593034,287606,,,0.0,3800304,2013年03月31日,800599,,5823285,5676683,0,667211,1427373,3728380,,7697,433442,,955518.0,32756.0,531327,3800304,,,1916523.0,,7739808.0,255481,55187,26595,,146602,489150,4011428,133746,,,0
2013-08-09,2,2013,,3706183,83860,1611052,-22180,45247,9140,482492,84466,31457,52904,1498,203864,,159420,,53637,,,1633388,190015.0,,554711,,83,560987,203206,,,0.0,3800304,2013年06月30日,474852,,5779319,5632828,0,702758,1545671,3810101,,6977,433442,,1061701.0,46628.0,408853,3990319,,,2051487.0,,7830806.0,256197,55125,45755,,146491,505816,4020705,219608,,,0
2013-11-08,3,2013,52199.0,3609368,83860,1616389,-21006,46421,9114,264424,97170,-4952,56125,1482,198972,0.0,159899,103713.0,16054,110.0,1230.0,1303610,,,529634,,10,687484,253359,198862.0,,0.0,3990319,2013年09月30日,480189,,5749012,5601756,0,702758,1491397,3845275,,6675,433442,,1162386.0,33911.0,607293,3990319,,,2019972.0,,7768984.0,256084,54793,73519,50030.0,147256,528575,3923709,293363,4926.0,3926.0,0
2014-03-20,4,2013,44610.0,3561693,83860,1711223,-36395,45542,61157,273735,86884,38541,65042,1510,174035,0.0,159266,107536.0,74936,110.0,1185.0,1506007,,,615807,,59,594445,187407,173925.0,688658.0,0.0,3990319,2013年12月31日,575023,,5887375,5740083,0,702758,1484420,3952665,,6626,433442,,511538.0,33353.0,496424,3990319,,,1985388.0,,7872763.0,257211,47496,69722,50545.0,147292,500968,3920098,330674,0.0,20432.0,0
2014-05-09,1,2014,34763.0,3448225,83860,1735130,-36586,43577,61197,216659,94263,29006,54869,1505,168115,0.0,163132,110346.0,65592,110.0,1178.0,1565228,,0.0,355455,,288,650155,198924,168005.0,700700.0,,3990319,2014年03月31日,598930,,5904890,5754455,0,702758,1228443,3797687,,5796,433442,427583.0,,34591.0,566581,3990319,,,1704758.0,,7609648.0,260486,49751,47714,49977.0,150435,476315,3811961,115752,1631.0,20106.0,0
2014-08-07,2,2014,42078.0,3338818,83860,1430924,-37353,42810,61161,362815,52163,-33658,53265,1479,167108,0.0,162222,111897.0,3695,110.0,1026.0,1259220,159613.0,0.0,508769,,76,743228,241317,166998.0,481095.0,,3990319,2014年06月30日,262220,,5704341,5547198,0,735262,1375646,3833121,,5878,433442,794152.0,,8251.0,442470,4149932,,,1828999.0,,7533340.0,258177,48280,28068,48850.0,157143,453353,3700219,217657,449.0,11187.0,0
2014-11-10,3,2014,42296.0,3298544,83860,1510518,-38151,42012,61194,229087,68423,48174,57861,1518,160887,0.0,174870,122694.0,86325,110.0,1025.0,1076375,,0.0,425186,,224,745091,243271,160777.0,592080.0,,4149932,2014年09月30日,341814,,5875407,5708624,0,735262,1104109,3765193,,5576,433442,749774.0,,26163.0,365588,4149932,,,1561058.0,,7436465.0,260548,47228,35514,49722.0,166783,456949,3671272,246649,1429.0,15565.0,0
2015-03-19,4,2014,38597.0,3255944,83860,1626984,-38316,41847,61269,583494,16340,160398,83176,1568,151549,,180851,122145.0,198714,110.0,984.0,1025903,,0.0,61599,,105,650096,255923,151439.0,942021.0,,4149932,2014年12月31日,458280,,6111695,5937314,0,735262,1254942,4179040,,5505,433442,995778.0,,49402.0,477166,4149932,,,1696160.0,,7807855.0,262667,41386,27002,50925.0,174381,441218,3628815,249564,6797.0,44579.0,0
2015-05-08,1,2015,33563.0,3148851,83860,1849074,-36585,43578,61247,229414,48711,128114,83811,1555,147195,,158633,96257.0,164699,110.0,853.0,904630,,0.0,237329,,262,618718,219669,,857479.0,,4149932,2015年03月31日,680370,93945.0,6309726,6127120,0,735262,958520,4195972,147085.0,5357,433442,,1320864.0,,313759,4149932,7696170.0,1386444.0,,7696170.0,,260089,42250,20640,50161.0,182606,427924,3500198,180768,11362.0,50248.0,0
2015-08-10,2,2015,26314.0,3050437,83860,1955368,-39936,40227,61221,380992,22416,76357,95940,1536,142557,,195697,97922.0,116293,0.0,885.0,830605,103748.0,0.0,346078,,88,744454,317245,,796237.0,,4149932,2015年06月30日,763591,107980.0,6479091,6285405,0,758335,1040107,4501964,142557.0,5556,433442,,1580442.0,,109029,4253680,7939448.0,1460357.0,,7939448.0,,260945,40713,16748,49106.0,193686,420250,3437484,168802,47784.0,69626.0,0
