date,season,year,不動產、廠房及設備合計,人壽保險現金解約價值,保留盈餘合計,備供出售金融資產－流動淨額,備抵呆帳－長期應收款項,備抵呆帳－長期應收關係人款項,催收款項,催收款項－關係人,償債基金,內部往來,共同控制下前手權益,其他基金,其他應付款項－關係人,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他長期投資,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,基金合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應計退休金負債（應付退休金費用）,改良及擴充基金,普通股股本,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,未實現利息收入－長期應收分期帳款,未實現利息收入－長期應收關係人分期帳款,未實現售後租回損失,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形探勘及評估資產淨額,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計減損－其他長期投資,股本合計,融資租賃之未賺得融資收益,融資租賃之未賺得融資收益－關係人,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅資產,長期應收分期帳款,長期應收分期帳款－關係人,長期應收款,長期應收款－關係人,長期應收票據,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期應收票據－關係人,長期應收租賃款,長期應收租賃款－關係人,長期預付租金,陳飾品,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,387725,,460502,134725,,,,,,,,,3582,886,886,105240,17160,,1356.0,,,98442,3225,,,,81319.0,1869.0,377287,0.0,,357169,398879,17123.0,,1088158,2013年03月31日,,291666,,,,,1841679,1841679,0,168836,481838,1893526,,,114517,0.0,,965475.0,15847.0,0.0,,1088158,,,,,,580280.0,292133,,2421959.0,22966,,,,,,,,,,,,,0.0,98442,528433,,,,0
2013-08-08,2,2013,382716,,548052,190565,,,,,,,,,27754,2833,2833,266721,19044,,1356.0,,,112744,3733,,,,95621.0,2377.0,376099,,,486921,793564,17123.0,,1088158,2013年06月30日,,371400,,,,,1876768,1876768,0,174945,807408,2292621,,,93858,1707.0,,913349.0,26012.0,0.0,,1088158,,,,,,920152.0,237725,,2796920.0,23992,,,,,,,,,,,,,,112744,504299,,,,0
2013-11-01,3,2013,374959,,656345,53545,,,,,,,,,31033,-2758,-2758,161846,27527,,317229.0,,,113367,319535,,,,96244.0,2306.0,333372,,,313640,633611,17123.0,,1088158,2013年09月30日,,479693,,,,,1979470,1979470,0,174945,550331,1846661,,,78025,1707.0,,798606.0,41916.0,0.0,,1088158,,,,1896.0,,663698.0,237725,,2643168.0,23988,,,,,,,,,,,,,,113367,796507,,,,0
2014-02-25,4,2013,360770,,675244,123701,,,,,,,,,12448,5690,5690,191383,18152,,322850.0,,,111752,325194,,,,95203.0,2344.0,296889,,,175164,372236,16549.0,,1088158,2013年12月31日,,498592,,,,,2006817,2006817,0,174945,424974,1773771,,,59818,1707.0,,962793.0,45979.0,0.0,,1088158,,,,,,536726.0,237725,,2543543.0,23990,,,,,,,,,,,,,,111752,769772,,,,0
2014-04-29,1,2014,345713,,698758,123878,,,,,,,,,10203,4104,4104,145245,18590,,,,,102212,324362,321608.0,321608.0,,85663.0,2754.0,335788,,0.0,206909,361749,16549.0,,1088158,2014年03月31日,,522106,,,,,2028745,2028745,0,174945,405449,1796025,,,51916,1707.0,956020.0,,43092.0,,,1088158,,,,,,507661.0,237725,,2536406.0,18390,,,,,,,,,,,,,,102212,740381,,,,0
2014-08-05,2,2014,353658,,554386,452118,,,,,,,,,9392,-4370,-4370,458108,26821,,317435.0,,,99942,320652,,,,,3217.0,321908,,0.0,361658,679100,,,1088158,2014年06月30日,,348897,,,,,1875899,1875899,0,205489,1068791,2305150,,,45913,0.0,825203.0,,19229.0,220404.0,,1088158,,,,,,1168733.0,237725,,3044632.0,19259,,,,,,,,,,,,,,99942,739482,,,,0
2014-10-28,3,2014,342509,0.0,651648,105754,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10547,7287,7287,194722,24093,412022.0,412022.0,0.0,0.0,104632,416081,0.0,0.0,0.0,,4059.0,346094,,0.0,318434,561945,,0.0,1088158,2014年09月30日,0.0,446159,0.0,0.0,0.0,,1984818,1984818,0,205489,622250,1896910,,0.0,38556,0.0,859024.0,,13675.0,84872.0,0.0,1088158,0.0,0.0,,,,726882.0,237725,,2711700.0,17644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,104632,814790,0.0,0.0,0.0,0
2015-02-10,4,2014,686762,,714765,55868,,,,,,,0.0,,112,22924,22924,194790,14772,,88623.0,,,106091,88623,,,,,,337270,0.0,0.0,213718,461279,,,1088158,2014年12月31日,,509276,,,,,2063572,2063572,0,205489,432051,1776298,,,33103,0.0,907109.0,,23431.0,,,1088158,,,,,,538142.0,237725,,2601714.0,16928,,,,,,,,,,,,,0.0,106091,825416,,,,0
2015-04-21,1,2015,670483,,760449,90034,,,,,,,,,551,18110,18110,158738,22861,,85449.0,,,94339,85449,,,,,,373607,,0.0,241536,434037,,,1088158,2015年03月31日,,554960,,,,40867.0,2104442,2104442,0,205489,441692,1818583,,,38607,0.0,,898044.0,,,,1088158,,,2640473.0,,536031.0,,237725,2640473.0,,27351,,,,,,,,,,,,,,94339,821890,,,,0
2015-08-04,2,2015,661239,,586597,416273,,,,,,,,,2723,11352,11352,520549,21244,,84305.0,,,92444,84305,,,,,,387446,,,354084,744223,,,1088158,2015年06月30日,,349952,,,,39954.0,1923832,1923832,0,236645,1144594,2360481,,,29516,,,791295.0,,227284.0,,1088158,,,3160870.0,,1237038.0,,237725,3160870.0,,25329,,,,,,,,,,,,,,92444,800389,,,,0
