date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地淨額,在製品,在途原物料,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付股利,應付設備款,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累積盈虧,累計折舊－房屋及建築,累計折舊－機器設備,累計減損－機器設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,3958239,85045,85045,1497402,97808,,97808.0,0.0,0.0,978659,978659,23323,986,49890.0,299115,281997,92906,24288,24288,123128,113461,27181.0,27181.0,3799,9667,3799,312365,117282,11327,11327,852.0,,513849,-4902.0,-4902,,898015,898015,611884,61841,2558576,2558576,1657,0.0,,,427044,427044,24981,24981,147806,147806,,17118,1549423,1526100,213961,212975,312365.0,2922769,1443631,85680,85680,4506371,2013年03月31日,762557,329197,,84337.0,6748255,1287396,6862218,6570237,0,691499,2590238,5370724,,27181.0,19145,43346,,829932.0,83394.0,1582758,60000.0,678220,1479138,5460859,0.0,4506371,1401747,,,3839107.0,473558,10999,462559,462559,,10701325.0,852.0,120013.0,36504,36504,78515,1582758,768275,900000,900000,,291981,1248869,5330601,102156,0
2013-08-13,2,2013,,,4031507,108385,108385,1207116,58553,58553.0,,0.0,0.0,943602,943602,26014,1162,,552590,309269,71270,33216,33216,139348,132998,,,6724,6350,6724,308183,139067,8886,8886,1871.0,90116.0,572697,,12717,12717.0,898061,898061,678240,39075,2636722,2636722,2277,,225319.0,,393829,393829,24983,24983,202702,202702,225319.0,18002,1610101,1584087,247351,246189,308183.0,2941792,1435199,89586,89586,4506371,2013年06月30日,422029,416667,,,6812182,1281580,6778127,6483634,0,741741,2902512,5534664,,,18336,43346,,838202.0,61877.0,1631444,,422029,1506593,5530602,,4731690,1328374,,,4147199.0,473558,10999,462559,462559,,10925326.0,1871.0,90116.0,36504,36504,78515,1631444,835925,900000,900000,28136.0,294493,1244687,5390662,95321,0
2013-11-14,3,2013,240000.0,240000.0,4115655,105615,105615,1398955,201883,201883.0,,0.0,0.0,1026999,1026999,32006,1158,,356294,332409,201842,288841,48841,178131,159452,,,3578,18679,3578,305514,200530,11454,11454,1317.0,120079.0,578489,,-41,-41.0,897951,897951,677222,45002,2662570,2662570,14272,,0.0,,387855,387855,19988,19988,199909,199909,0.0,23885,1549303,1517297,238216,237058,305514.0,2964035,1431435,93989,93989,4731690,2013年09月30日,613868,431069,,,6936851,1355200,7103111,6806045,0,741741,2894758,5678584,,,19532,43346,,963449.0,74122.0,1566432,,613868,1532600,5581651,,4731690,1342325,,,4196776.0,473558,10999,462559,462559,,11299887.0,1317.0,120079.0,36504,36504,78515,1566432,949177,960000,960000,27658.0,297066,1302018,5621303,157840,0
2014-03-27,4,2013,240000.0,240000.0,4322256,87526,87526,1556298,238958,238958.0,,0.0,0.0,1061161,1061161,31703,1264,,457040,420953,259440,267771,27771,174696,144453,,,3443,30243,3443,292955,168580,14016,14016,0.0,60021.0,613833,,20482,20482.0,898011,898011,682732,210062,2928646,2928646,3042,,,,424677,424677,19952,19952,192519,192519,,36087,1559274,1527571,308891,307627,292955.0,2994966,1443602,93160,93160,4731690,2013年12月31日,771211,618021,,,6986599,1362622,7323115,7020986,0,741741,3154901,5844012,,,18574,43346,,845451.0,79942.0,1713000,,771211,1551364,5623977,,4731690,1403445,,,4329909.0,473558,10999,462559,462559,,11653024.0,0.0,60021.0,42053,42053,76329,1713000,842409,840000,840000,27985.0,302129,1175008,5809012,123136,0
2014-05-14,1,2014,240000.0,240000.0,4402642,88696,88696,1747873,383116,,383116.0,0.0,0.0,1208472,1208472,32702,1113,49803.0,377498,348615,407121,285132,45132,188891,119456,27712.0,27712.0,5039,69435,5039,287477,139036,18037,18037,5736.0,,779768,24005.0,24005,,898182,898182,640957,170264,3242989,3242989,3243,0.0,,0.0,582644,582644,14964,14964,176264,176264,,28883,1671893,1639191,333851,332738,287477.0,2997428,1420351,102018,102018,4731690,2014年03月31日,962786,735430,,191575.0,7012644,1348679,7667017,7360242,0,741741,3440363,6232005,,27712.0,25059,43346,827931.0,,106726.0,1891399,0.0,771211,1577077,5663965,0.0,4731690,1676744,,,4609893.0,473558,10999,462559,462559,,12276910.0,5736.0,265.0,42053,42053,76329,1891399,824688,840000,840000,,306775,1169530,6044905,115960,0
2014-08-13,2,2014,300000.0,300000.0,4548288,88220,88220,1520622,489157,489157.0,,0.0,0.0,1405028,1405028,35381,1312,,671137,403284,488332,343908,43908,179478,145252,,,3439,34226,3439,283649,208011,19752,19752,4155.0,911.0,868085,,-825,-825.0,898026,898026,676241,116190,3387389,3387389,2719,0.0,236584.0,0.0,541688,541688,14965,14965,200538,200538,236584.0,31269,1870481,1835100,294688,293376,283649.0,3009228,1406514,101521,101521,4731690,2014年06月30日,676718,833584,,,7087509,1410164,7748703,7450786,0,800558,4130182,6437190,,,21894,43346,740936.0,,94047.0,2259744,,676718,1602714,5677345,,4968274,1704979,,,5115884.0,473558,10999,462559,462559,,12864587.0,4155.0,911.0,42053,42053,76329,2259744,738217,660000,660000,27048.0,297917,985702,6427397,157772,0
2014-11-13,3,2014,300000.0,300000.0,4751919,99561,99561,1660572,274768,274768.0,,0.0,0.0,1225920,1225920,34389,1213,,442239,410108,300822,341630,41630,160155,122679,,,9812,37476,9812,280412,162720,17648,17648,1794.0,386.0,939310,,26054,26054.0,899899,899899,620578,127307,3687555,3687555,2283,,0.0,0.0,387593,387593,14965,14965,221322,221322,0.0,32131,1733580,1699191,301967,300754,280412.0,3061042,1427904,95091,95091,4968274,2014年09月30日,816668,844260,,,7295769,1579856,7729924,7403226,0,800558,4240490,6562262,,,21743,43346,714221.0,,52110.0,2778837,,816668,1633138,5715913,,4968274,1978617,,,5243878.0,473558,10999,462559,462559,,12973802.0,1794.0,386.0,42053,42053,76329,2778837,711938,680923,680923,27574.0,326698,1003388,6411540,107686,0
2015-03-26,4,2014,360625.0,360625.0,4967231,134244,134244,1650106,260025,260025.0,,,,1267434,1267434,34881,1182,,475963,430613,327917,419135,58510,182384,150995,,,4088,31389,4088,275545,159166,9088,9088,,0.0,741928,,67892,67892.0,900214,900214,601139,54386,3271410,3271410,2791,,,0.0,275532,275532,14973,14973,172663,172663,,45350,1648128,1613247,292495,291313,275545.0,3311108,1655361,123972,123972,4968274,2014年12月31日,806202,661179,,,7491928,1750477,7741700,7419855,0,800558,4165203,5994211,,,24259,43346,635857.0,,65632.0,2741305,,806202,1655747,5741451,,4968274,1849698,,,4989750.0,473558,10999,462559,462559,,12731450.0,,0.0,48704,48704,85192,2741305,633066,500298,500298,28286.0,321845,824547,6737239,117704,0
2015-05-14,1,2015,361000.0,361000.0,5045387,132024,132024,1794958,258514,,258514.0,0.0,0.0,1265923,1265923,36165,1080,50971.0,380231,353675,306018,385641,24641,163578,128471,27850.0,27850.0,4234,35107,4234,273642,134043,35914,35914,1324.0,,731364,47504.0,47504,,895955,895955,622714,69805,3254712,3254712,2058,0.0,,0.0,494245,494245,14973,14973,186961,186961,,26556,1782100,1745935,256383,255303,,3302132,1620729,118852,118852,4968274,2015年03月31日,951054,733904,94621.0,144852.0,7581357,1794799,7866285,7542808,0,800558,4187148,6066431,273642.0,27850.0,32412,43346,,646903.0,,2629152,0.0,806202,1681403,5786558,0.0,4968274,1849388,12875702.0,5009417.0,,473558,10999,462559,462559,12875702.0,,1324.0,0.0,48704,48704,85192,2629152,644845,499923,499923,,323477,822269,6809271,93895,0
2015-08-13,2,2015,421375.0,421375.0,5116453,132400,132400,1412446,277167,277167.0,,0.0,0.0,1284576,1284576,42555,1287,,679692,393668,308130,445986,24611,142292,110296,,,15103,31996,15103,270387,167789,33961,33961,4132.0,153.0,800073,,30963,30963.0,895901,895901,630264,70502,3259166,3259166,1991,0.0,248414.0,0.0,359879,359879,14973,14973,221016,221016,248414.0,37610,1831451,1788896,304679,303392,,3304401,1593111,114489,114489,4968274,2015年06月30日,510699,827341,66978.0,,7657338,1800100,7733381,7410822,0,858401,4656857,6317978,270387.0,,26663,43346,,824079.0,,2864201,30000.0,510699,1711290,5857238,,5216688,1731664,13218877.0,5485496.0,,473558,10999,462559,462559,13218877.0,,4132.0,153.0,48704,48704,85192,2864201,792088,509548,509548,27292.0,322559,828639,6900899,91433,0
